id,pid,name,acronym,description,url,location,country,latitude,longitude,head,contact,juridical_person,network,also_known,capabilities,collaboration_commercial,collaboration_non_for_profit,national_node,withdrawn
bbmri-eric:ID:AT_MUG,21.12110/1.cf45-b21a-1dab,Biobank Graz,,The mission of Biobank Graz is to support research on the cause of diseases and the development of improvements in disease diagnosis and treatment.,http://www.medunigraz.at/biobank,,AT,47.07492,15.46588,bbmri-eric:contactID:AT_MUG_0021,bbmri-eric:contactID:AT_MUG_0021,Medical University of Graz,"bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:EU_isber-irl,bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_esbb,bbmri-eric:networkID:AT_BBMRI_at",,"biomaterial-storage,digital-imaging,nucleic-acid-extraction,tma-creation,pathology-archive-access,immunohistochemistry-staining,data-analytics,covid19,ProspectiveCollections,BSL3,VSF",true,true,AT,false
bbmri-eric:ID:AT_MUI,21.12110/1.13f8-4695-aeaf,Biobank Innsbruck,,The Medical University of Innsbruck has established several independent decentralized collections of diverse biomaterials that are approved by the local ethics committee.,https://www.i-med.ac.at/biobank/,,AT,"47,259917","11,387718",bbmri-eric:contactID:AT_MUI_0010,bbmri-eric:contactID:AT_MUI_0010,Medical University of Innsbruck,"bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:AT_BBMRI_at",,covid19,false,false,AT,false
bbmri-eric:ID:AT_MUW,21.12110/1.f97c-aadd-9043,MedUni Wien Biobank,MedUni Wien Biobank,The MedUni Wien Biobank considers itself as a link between basic and clinical research with the aim of enhancing research opportunities into emerging biomarkers and therapy strategies.,http://www.biobank.at,,AT,"48,220937","16,345041",bbmri-eric:contactID:AT_MUW_0008,bbmri-eric:contactID:AT_MUW_0008,Medical University of Vienna,"bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:AT_BBMRI_at",,covid19,true,true,AT,false
bbmri-eric:ID:AT_VET,21.12110/1.dba7-28aa-1af7,VetBioBank,VetBioBank,The VetBiobank aims to achieve a comprehensive collection of high quality animal tumor tissue. A second priority is the archivation of reference tissues of a wide range of species.,http://www.vetmeduni.ac.at/vetbiobank,,AT,"48,254580","16,431660",bbmri-eric:contactID:AT_VET_0015,bbmri-eric:contactID:AT_VET_0015,University of Veterinary Medicine,"bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_esbb,bbmri-eric:networkID:AT_BBMRI_at",,,true,true,AT,false
bbmri-eric:ID:BE_71014391000,21.12110/1.e149-7383-b126,BiobankUZ Brussel,CBIB,"CBIB (Central biobank UZ Brussel) is the central biobank of the UZ Brussel, the University Hospital of the Vrije Universiteit Brussel.",http://www.vub.ac.be/2020/biobank,,BE,50.8871394,4.3048933,bbmri-eric:contactID:BE_schots,bbmri-eric:contactID:BE_71014391000,Vrije Universiteit Brussel,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT",,"biomaterial-storage,cell-culture,data-analytics,data-storage,digital-imaging,immunohistochemistry-scoring,immunohistochemistry-staining,nucleic-acid-extraction,pathology-archive-access",true,true,BE,false
bbmri-eric:ID:CH_DavosBiosciences,21.12110/1.9297-eb01-d6a2,Davos BioSciences AG,,Hosting infrastructure for biobanks of CK-CARE and others,http://www.davosbiosciences.ch,,CH,,,bbmri-eric:contactID:CH_Rhyner,bbmri-eric:contactID:CH_Rhyner,Davos BioSciences AG,bbmri-eric:networkID:CH_SBP,,,true,true,CH,false
bbmri-eric:ID:BE_71024388,21.12110/1.f063-8b50-2e1f,University Biobank Limburg,UBiLim,"UBiLim is a collaboration between Hasselt University, Hospital East-Limburg and Jessa Hospital and is established to support translational research carried out by the three partners. UBiLim, however, also makes its facilities available to researchers from other hospitals or research institutes. The central storage facility of UBiLim is located at the Jessa Hospital. There are also storage facilities in the partner institutions Hasselt University and Hospital East-Limburg.
The goal of UBiLim is  to collect, process and store high-quality biological material together with its associated data; and to make the stored biological material available for a broad group of clinically relevant studies. To this end, UBiLim applies the highest standards regarding biobanking. All activities of UBiLim, carried out at the various locations, are executed according to the Belgian law and Royal Decree on biobanking, and reconciled to the (inter)national guidelines on biobanking and research, including those at Flemish (BBMRI.be) and European level (ESFRI, ECRIN, ...).
To manage the samples and associated data (collections and projects to which the sample belongs; informed consent of the donor; sample deliveries that have taken place, freeze-thaw cycles, etc.) a Biobank Information Management System (Labvantage Biobanking) is used, which makes it possible for UBiLim to offer the highest possible quality of service.",http://www.ubilim.be,,BE,50926132,5342096,bbmri-eric:contactID:BE_rummens,bbmri-eric:contactID:BE_71024388,Jessa Hospital,bbmri-eric:networkID:BE_BBMRIBE,,"biomaterial-storage,immunohistochemistry-staining,nucleic-acid-extraction,pathology-archive-access,BSL2,ProspectiveCollections",true,true,BE,false
bbmri-eric:ID:BE_71030031000,21.12110/1.0efa-aebb-95e4,Biobank Antwerpen,Biobank Antwerpen,"Biobank Antwerpen is an academic university hospital integrated biobank. Historically this biobank originated from Biobank@UZA which was a tumourbank. Nowadays, it's a collaboration between the University Hospital of Antwerp (UZA) and the University of Antwerp (UAntwerpen). Biobank Antwerpen is also the partner for many other research institutions and companies working with human body material. It contains a broad sample collection, harbouring samples of all active research domains at the university and the hospital. Examples are samples from oncology, pediatrics, immunology, microbiology, neurology etc. Biobank Antwerpen provides samples for all kind of research projects, both academic as (non)-commercial.",https://www.uza.be/biobankantwerpen,,BE,51.1574816,4.4108984,bbmri-eric:contactID:BE_71030031000,bbmri-eric:contactID:BE_71030031000,Universitair Ziekenhuis Antwerpen,"bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_BBMRIBE",,"biomaterial-storage,cell-culture,data-analytics,data-storage,digital-imaging,immunohistochemistry-scoring,immunohistochemistry-staining,nucleic-acid-extraction,pathology-archive-access,recontact,BSL2,covid19,PCR,TrialSetupClinical",true,true,BE,false
bbmri-eric:ID:BE_71067049,21.12110/1.77fc-7131-3a29,HIRUZ Biobank,HIRUZ Biobank,All centralised collections at Ghent University Hospital of human body material exclusively for research purposes,http://hiruz.be/service/brc/,,BE,51.025612,3.724091,bbmri-eric:contactID:BE_vanderstraeten,bbmri-eric:contactID:BE_71067049,University Hospital Ghent,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT",,"biomaterial-storage,cell-culture,data-analytics,data-storage,digital-imaging,nucleic-acid-extraction,pathology-archive-access",true,true,BE,false
bbmri-eric:ID:BE_B0383,21.12110/1.9ef6-f75d-6565,Biobank-University Hospitals Leuven,BBUZL,"The Activity Centre Biobanking from the University Hospitals Leuven is a facility that stores and distributes human biological material (HBM) for research purposes. The centralized storage facility with supportive IT infrastructure was initiated in 2007 to comply with the changing Belgian legislation, to generate a generic informed consent and ethical code. The biobank holds prospective and historal collections obtained over several decades, both as leftover material and as primary research material, originating from ao Pathology, Laboratory Medicine, Genetics and a multitude of clinical departments. The UZ Leuven also participates in several Flemish, national and international initiatives to create a more transparent model for biobanking and research related to HBM.",,,BE,50.877449,4.673402,bbmri-eric:contactID:BE_B0383,bbmri-eric:contactID:BE_B0383,University Hospitals Leuven (B0383),"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT",,,true,true,BE,false
