id,pid,acronym,name,type,type other,institution,institution acronym,email,logo,address,expertise,country,features,role,website,description
UU,,UU,University of Utrecht ,University,,,,,,,,Netherlands (the),,,,
USEY,,USEY,University of Surrey ,University,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,
AMC,,AMC,Amsterdam Medical Center ,University,,,,,,,,Netherlands (the),,,,
CYN,,CYN,Cynexo ,SME,,,,,,,,Italy,,,,
CEIS,,CEIS,University of Rome ,University,,,,,,,,Italy,,,,
TUNI,,,Tampere University,University,,,,,,,,Finland,,,https://www.tuni.fi/en,
INSERM,,INSERM,National Institute of Medical Research ,Research centre,,,,,,,,France,,,,
UCL,,UCL,University College London ,University,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,
ICL,,ICL,Imperial College London,University,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,
BETA,,BETA,Beta Technologies,SME,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,
UEF,,UEF,University of Eastern Finland,University,,,,,,,,Finland,,,,
CUT,,CUT,Chalmers University of Technology ,University,,,,,,,,Sweden,,,,
MLT,,MLT,"Malta Congenital Anomalies Registry, Directorate for Health Information and Research",Research centre,,,,,,,,Malta,,,,
AMF,,AMF,Malformation Monitoring Centre Saxony-Anhalt Medical Faculty,University,,,,,,,,Germany,,,,
MUMC,,,Maastricht UMC+,Academic medical centre,,,,,,,,,,,,
BRI,,BRI,Bradford Royal Infirmary,Teaching hospital,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,
NIPH,,NIPH,Norwegian Institute of Public Health,Government agency,,,,,,,,Norway,,,https://www.fhi.no/en/,
UNITO,,UNITO,Università degli Studi di Torino,University,,,,,,,,Italy,,,https://www.unito.it/,
UHASSELT,,UHASSELT,Hasselt University (Universiteit Hasselt),University,,,,,,,,Belgium,,,http://www.uhasselt.be/en,
NKI,,NKI,Netherlands Cancer Institute,Research centre,,,,,,,,,,,,
UOC,,UOC,University of Crete,University,,,,,,,,Greece,,,https://www.uoc.gr/,
LMU,,LMU,Medical Faculty - LMU Munich,University,,,,,,,,Germany,,,https://www.med.uni-muenchen.de/index.html,
UWA,,UWA,University of Western Australia,University,,,,,,,,Australia,,,https://www.uwa.edu.au/,
VMU,,VMU,Vytautas Magnus University,University,,,,,,"K. Donelaičio g. 58, LT-44248 Kaunas",,Lithuania,,,https://www.vdu.lt/,
Amsterdam UMC (AMC),,,"Amsterdam UMC, location AMC",Academic medical centre,Netherlands (the),,,,,,,,,,,
Soton,,Soton,University of Southampton,University,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,https://www.southampton.ac.uk/,
HUA,,HUA,Harokopio University,University,,,,evangeliatzo@gmail.com,,,,,,,https://www.ddns.hua.gr/en/home/,
KI,,KI,Karolinska Institutet,University,,,,,,,,Sweden,,,https://ki.se/en,
UCD,,UCD,University College Dublin,University,,,,,,,,Ireland,,,,
UIBK,,UIBK,Universität Innsbruck,University,,,,,,,,Austria,,,https://www.uibk.ac.at/,
GGZ Drenthe,,,GGZ Drenthe,,,,,,,,,,,,,
GGZ Friesland,,,GGZ Friesland,,,,,,,,,,,,,
Lentis Research,,,Lentis Research,,,,,,,,,,,,,
ISPUP,,,Institute of Public Health of the University of Porto,,,,,,,,,,,,,
CUH,,CUH,Copenhagen University Hospital,University,,,,,,,,Denmark,,,,
pre-demo,,,test org,,,,,,,,,,,,,
VIB,,,VIB,,,,,,,,,Belgium,,,https://vib.be/,
WWU,,,WESTFAELISCHE WILHELMSUNIVERSITAET MUENSTER,,,,,,,,,Germany,,,https://www.uni-muenster.de/en/,
ImaginAb,,,"IMAGINAB, INC",,,,,,,,,United States of America (the),,,https://imaginab.com/,
Pfizer,,,PFIZER LIMITED,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,https://www.pfizer.com/,
Janssen,,,JANSSEN PHARMACEUTICA NV,,,,,,,,,Belgium,,,https://www.janssen.com/belgium/,
UCAM,,,THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,https://www.cam.ac.uk/,
Takeda,,,TAKEDA DEVELOPMENT CENTRE EUROPE LTD,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,
Bayer,,,BAYER AKTIENGESELLSCHAFT,,,,,,,,,Germany,,,https://www.bayer.com/en/,
