id;description;dns;contact_persons;data_refresh;date_start;date_end
EXT;External countries;;;manual;;
DE;Germany;https://directory.bbmri.de;DE_Dudova,DE_Engels,DE_Hummel;external_server;;
NO;Norway;;NO_Hveem,NO_Marschhauser;manual;;
BE;Belgium;https://directory.bbmri.be;BE_Debucquoy,BE_Secretariat,BE_VanderStock;external_server;;
FI;Finland;;FI_Eklund,FI_Hautalahti,FI_Wihuri;manual;;
BG;Bulgaria;;BG_Kaneva,BG_Bozhilova;manual;;
LT;Lithuania;;LT_Dabkeviciene,LT_Naumovas,LT_Minkauskas;manual;;
LV;Latvia;;LV_Kante,LV_Rovite;manual;;
FR;France;;;manual;;2020-12-31
HU;Hungary;;HU_Felso,HU_Gyenesei,HU_Kocsubej,HU_Molnar,HU_Ripka,HU_Sagi;manual;;
SE;Sweden;;SE_Bruzelius,SE_Sjoblom;manual;;
SI;Slovenia;;SI_Ojstersek;manual;;
UK;United Kingdom;;UK_Mitsch,UK_Quinlan,UK_Styles;manual;;2022-12-31
EE;Estonia;;EE_Metspalu,EE_Puusepp;manual;;
CH;Switzerland;;CH_Currat,CH_Uldry;manual;;
MT;Malta;;MT_Pace,MT_Ryabova,MT_Santucci,MT_Vella;manual;;
GR;Greece;;GR_Kolyva,GR_Michalopoulos,GR_Thanos;manual;;
IT;Italy;;IT_Gnocchi,IT_Lavitrano;rest_api;;
ES;Spain;;ES_Garcia;manual;;
EU;European Union;;EU_Holub;manual;;
AT;Austria;;AT_Shekhovtsov,AT_Stumptner,AT_Zatloukal;file_ingest;;
CY;Cyprus;;CY_Deltas,CY_Loizidou,CY_Malatras,CY_Stylianou,CY_Kyratzi;manual;;
CZ;Czech Republic;;CZ_ Hrstka,CZ_Dudova;manual;;
PL;Poland;;PL_UploadPL,PL_Zien;rest_api;;
NL;Netherlands;https://catalogue.bbmri.nl;NL_Verjans;external_server;;
