resource,dataset,name,useExternalDefinition.resource,useExternalDefinition.dataset,useExternalDefinition.name,label,description,collection event,format,unit,since version,until version,repeat unit,repeat min,repeat max,example values,keywords,vocabularies,notes
testNetwork,testTable,region_birth,,,,Region of birth,"Region of birth, adapted from the World Bank classification",c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,edu,,,,Own education,Education of the study participant. Provide repeated measures in long format with corresponding age in years.,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,study_id,,,,Study id,Unique identifier number for the study,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,study_country,,,,Country of study,Country of the study,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,cob,,,,Country of birth,Country of birth,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,ethn1,,,,Ethnic background based on country of origin,Ethnic background based on country of origin,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,ethn2,,,,Ethnic background based on colour,Ethnic background based on colour,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,ethn3,,,,"Ethnic background, best estimate",Best estimate of ethnic background based on ethn1 or ethn2 and study's own discretion,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,occup,,,,Own occupational status,Occupational status of the study participant. Provide repeated measures in long format with corresponding age in years.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,hhincome_own,,,,Own household income,Total yearly household of the study participant. Provide repeated measures in long format with corresponding age in years.,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,famsize_adult_own,,,,Number of adults in the household,Total number of adults in the same household of study participant. Provide repeated measures in long format with corresponding age in years.,c1,integer,,1.0.0,,,,,,,,
testNetwork,testTable,famsize_child_own,,,,Number of children in the household,Total number of children under 18 years old in the household of study participant. Provide repeated measures in long format with corresponding age in years.,c2,integer,,1.0.0,,,,,,,,
testNetwork,testTable,smk_ever,,,,"Smoking, ever",Has the study participant ever smoked regularly? Provide repeated measures in long format with corresponding age in years.,c1,categorical,,1.0.0,,,,,,,,
