age_group_5,age_group_6,enrollment_1,enrollment_2,enrollment_3,enrollment_4,enrollment_5,enrollment_6,enrollment_8,age_group_0,age_group_2,age_group_4,age_group_1,age_group_3,age_group_7,enrollment_7,enrollment_9,enrollment_10,highlights_0,highlights_1,highlights_2,sex_intersex,sex_female,sex_undetermined,sex_male,AT01,AT04,BE04,BE06,BE10,CZ03,CZ04,CZ06,CZ08,DE03,DE19,DE20,DE24,DE25,DE26,DE27,DK03,DK04,ES08,FI01,FR09,FR15,FR22,FR28,FR31,FR34,HR01,HU01,HU03,HU04,IE01,IT04,IT07,IT109,IT11,IT14,IT20,IT27,IT33,IT34,IT39,IT53,IT58,LT04,NL06,LU01,LV01,MT02,NL01,NL02,NL03,NL13,RO02,SE05,SI02,DE38a,DE38b,date,id
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,50.0,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-30,6UgeYwmOeG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-30,6UhHKaKGBs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-30,6UhtXXP4Ii
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,25.0,50.0,0.0,25.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-30,6Ujwb3ZdnE
0.0,0.0,0.0,3.0,2.0,0.0,2.0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,14.0,3.0,6.0,28.57,57.14,0.0,14.29,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-31,6XfYz8ZNWS
0.0,0.0,1.0,4.0,3.0,1.0,3.0,13.0,4.0,13.0,5.0,0.0,1.0,3.0,13.0,2.0,2.0,2.0,35.0,3.0,6.0,28.57,45.71,8.57,17.14,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-01,6azN4JU0vo
0.0,0.0,1.0,4.0,3.0,1.0,3.0,13.0,4.0,13.0,5.0,0.0,1.0,3.0,13.0,2.0,2.0,2.0,35.0,3.0,6.0,28.57,45.71,8.57,17.14,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-02,6eJBGkaSdU
0.0,0.0,1.0,4.0,3.0,1.0,3.0,13.0,4.0,13.0,5.0,0.0,1.0,3.0,13.0,2.0,2.0,2.0,35.0,3.0,6.0,28.57,45.71,8.57,17.14,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-03,6hcz67dn28
0.0,0.0,1.0,4.0,3.0,1.0,3.0,13.0,4.0,13.0,5.0,0.0,1.0,3.0,13.0,2.0,2.0,2.0,35.0,3.0,6.0,28.57,45.71,8.57,17.14,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-04,6kwnBxQfAm
0.0,0.0,1.0,4.0,3.0,1.0,3.0,13.0,4.0,13.0,5.0,0.0,1.0,3.0,13.0,2.0,2.0,2.0,35.0,3.0,6.0,28.57,45.71,8.57,17.14,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-05,6oGbF2uDGi
