resource,identifier,external identifier type,external identifier type other
Biobank Graz,bbmri-eric:ID:AT_MUG,,BBMRI id
Biobank Innsbruck,bbmri-eric:ID:AT_MUI,,BBMRI id
MedUni Wien Biobank,bbmri-eric:ID:AT_MUW,,BBMRI id
VetBioBank,bbmri-eric:ID:AT_VET,,BBMRI id
CBIB,bbmri-eric:ID:BE_71014391000,,BBMRI id
UBiLim,bbmri-eric:ID:BE_71024388,,BBMRI id
Biobank Antwerpen,bbmri-eric:ID:BE_71030031000,,BBMRI id
HIRUZ Biobank,bbmri-eric:ID:BE_71067049,,BBMRI id
BBUZL,bbmri-eric:ID:BE_B0383,,BBMRI id
BBOR,bbmri-eric:ID:BE_BBOR1,,BBMRI id
BBRU,bbmri-eric:ID:BE_BBRU1,,BBMRI id
BCHA,bbmri-eric:ID:BE_BCHA1,,BBMRI id
BERA,bbmri-eric:ID:BE_BERA1,,BBMRI id
BIPG,bbmri-eric:ID:BE_BIPG1,,BBMRI id
CBP,bbmri-eric:ID:BE_CBP,,BBMRI id
CUSL,bbmri-eric:ID:BE_CICP1,,BBMRI id
CGOD,bbmri-eric:ID:BE_CMGO1,,BBMRI id
ITG Biobank,bbmri-eric:ID:BE_ITG,,BBMRI id
Jessa Biobank,bbmri-eric:ID:BE_Jessa,,BBMRI id
LCHU,bbmri-eric:ID:BE_LCHU1,,BBMRI id
Biothèque UCLouvain,bbmri-eric:ID:BE_UCL,,BBMRI id
MMC biobank,bbmri-eric:ID:BG_MMC,,BBMRI id
CHUV,bbmri-eric:ID:CH_CHUV,,BBMRI id
Davos BioSciences AG,bbmri-eric:ID:CH_DavosBiosciences,,BBMRI id
EPFL,bbmri-eric:ID:CH_EPFL,,BBMRI id
ETH,bbmri-eric:ID:CH_ETH,,BBMRI id
FEPT,bbmri-eric:ID:CH_FondazioneEpatocentroTicino,,BBMRI id
HFR biobank infrastructure,bbmri-eric:ID:CH_HFR,,BBMRI id
HUG,bbmri-eric:ID:CH_HopitauxUniversitairesGeneve,,BBMRI id
ICH,bbmri-eric:ID:CH_ICH,,BBMRI id
Kinderspital Zürich,bbmri-eric:ID:CH_KinderspitalZurich,,BBMRI id
LBB Services,bbmri-eric:ID:CH_LBBservices,,BBMRI id
LPA,bbmri-eric:ID:CH_LPA,,BBMRI id
SCMB,bbmri-eric:ID:CH_SCMB,,BBMRI id
Sun Bioscience,bbmri-eric:ID:CH_SunBioscience,,BBMRI id
Swiss Paraplegic Research,bbmri-eric:ID:CH_SwissParaplegicResearch,,BBMRI id
UKBB,bbmri-eric:ID:CH_UKBB,,BBMRI id
USB,bbmri-eric:ID:CH_USB,,BBMRI id
USZ,bbmri-eric:ID:CH_USZ,,BBMRI id
UNIFR,bbmri-eric:ID:CH_Unifr,,BBMRI id
Université de Genève,bbmri-eric:ID:CH_Unige,,BBMRI id
University of Bern,bbmri-eric:ID:CH_UniversityOfBern,,BBMRI id
Synapsy Mental Health Biobank Infrastructure,bbmri-eric:ID:CH_synapsy,,BBMRI id
ALLBIO,bbmri-eric:ID:CY_ALLBIO,,BBMRI id
CY,bbmri-eric:ID:CY_cybiobank,,BBMRI id
UK_HK,bbmri-eric:ID:CZ_CUNI_HK,,BBMRI id
UK_LF1,bbmri-eric:ID:CZ_CUNI_LF1,,BBMRI id
UK_PILS,bbmri-eric:ID:CZ_CUNI_PILS,,BBMRI id
MMCI,bbmri-eric:ID:CZ_MMCI,,BBMRI id
MU_ICS,bbmri-eric:ID:CZ_MU_ICS,,BBMRI id
REVMA,bbmri-eric:ID:CZ_REVMA,,BBMRI id
UPOL,bbmri-eric:ID:CZ_UPOL_LF,,BBMRI id
ACBB,bbmri-eric:ID:DE_ACBB,,BBMRI id
ASK-Tx,bbmri-eric:ID:DE_ASK-Tx,,BBMRI id
BioBank Bonn,bbmri-eric:ID:DE_BBB,,BBMRI id
BBD,bbmri-eric:ID:DE_BBD,,BBMRI id
BBM,bbmri-eric:ID:DE_BBM,,BBMRI id
BBNM,bbmri-eric:ID:DE_BBNM,,BBMRI id
BBR,bbmri-eric:ID:DE_BBR,,BBMRI id
BIOLIP,bbmri-eric:ID:DE_BIOLIP,,BBMRI id
BIPS Biobank Bremen,bbmri-eric:ID:DE_BIPS,,BBMRI id
