source,source dataset,target,target dataset,order,description,syntax
G21,blood_pressure,LifeCycle_CDM,outcome,,,
G21,child,LifeCycle_CDM,outcome,,,
G21,healthbooks,LifeCycle_CDM,outcome,,,
G21,mother,LifeCycle_CDM,outcome,,,
G21,medical records,LifeCycle_CDM,core,,,
CEANS,Metadata,EXPANSE_CDM,Metadata,,,
SAPALDIA,metadata,EXPANSE_CDM,General,,,
G21,mother,LifeCycle_CDM,core,,,
G21,mother's health,LifeCycle_CDM,core,,,
G21,obstetrics,LifeCycle_CDM,core,,,
G21,pregnancy,LifeCycle_CDM,core,,,
G21,blood markers,LifeCycle_CDM,outcome,,,
G21,blood pressure,LifeCycle_CDM,outcome,,,
G21,health books,LifeCycle_CDM,core,,,
G21,blood markers,ATHLETE_CDM,outcome_ath,,,
G21,blood pressure,ATHLETE_CDM,outcome_ath,,,
G21,metadata,ATHLETE_CDM,outcome_ath,,,
G21,anthropometrics,ATHLETE_CDM,outcome_ath,,,
G21,healthbooks,ATHLETE_CDM,outcome_ath,,,
G21,anthropometrics,LifeCycle_CDM,core,,,
G21,parental anthropometrics,LifeCycle_CDM,core,,,
G21,alcohol,LifeCycle_CDM,core,,,
G21,parental ethnicity,LifeCycle_CDM,core,,,
G21,supplements,LifeCycle_CDM,core,,,
G21,tobacco,LifeCycle_CDM,core,,,
G21,metadata,LifeCycle_CDM,outcome,,,
G21,sociodemographics,LifeCycle_CDM,core,,,
G21,child,LifeCycle_CDM,core,,,
G21,metadata,LifeCycle_CDM,core,,,
G21,health,LifeCycle_CDM,outcome,,,
G21,nutrition,LifeCycle_CDM,core,,,
G21,tobacco,LifeCycle_CDM,outcome,,,
G21,pets,LifeCycle_CDM,outcome,,,
G21,parental health,LifeCycle_CDM,outcome,,,
PELAGIE,harmonized,LifeCycle_CDM,outcome,,"When variables were created for Lifecycle and not derived from other variables (instr, eval, wave)",
PELAGIE,maj_ddn_2021,LifeCycle_CDM,outcome,,Update of date of birth,
Sepages,Ultrasound_all_SLC_20220428_893,ATHLETE_CDM,outcome_ath,,,
Sepages,bdd_grossesse_v5_1,ATHLETE_CDM,outcome_ath,,,
INMA,WP6.3_harmonization_INMA,ATHLETE_CDM,outcome_ath,,,
INMA,wheezing_rhinitis_0to9y,ATHLETE_CDM,outcome_ath,,,
INMA,INMA_LifeCycleWP6,ATHLETE_CDM,outcome_ath,,,
INMA,sdq11a_sabgip,ATHLETE_CDM,outcome_ath,,,
INMA,K_CPT_16_Jun_2014,ATHLETE_CDM,outcome_ath,,,
INMA,ANT_NBACK_SabValAstGip_7y,ATHLETE_CDM,outcome_ath,,,
INMA,ANT_NBACK_Tapping_9a,ATHLETE_CDM,outcome_ath,,,
INMA,ANT_NBACK_Tapping_Cups_PMA_11a,ATHLETE_CDM,outcome_ath,,,
INMA,INMA_WP6.1_harmonization,ATHLETE_CDM,outcome_ath,,,
NFBC1966,wave_01,LongITools_CDM,wave_01,,Wave 1 harmonisations for NFBC1966,
PELAGIE,pelagie_GC_q11,LifeCycle_CDM,outcome,,Questionnaire at 11 years (grandir et Changer),
PELAGIE,pelagie_q12,LifeCycle_CDM,outcome,,Questionnaires at 12 years,
PELAGIE,pepsy,LifeCycle_CDM,outcome,,Neurodev study at 6 years,
PELAGIE,pelagie_exam12,LifeCycle_CDM,outcome,,database with results from the clinical examination at age 12,
PELAGIE,pelagie_q0,LifeCycle_CDM,core,,Questionnaires at inclusion (pregnancy),
PELAGIE,harmonized,LifeCycle_CDM,core,,"When variables were created for Lifecycle and not derived from other variables (instr, eval, wave)",
G21,urban_g21,ATHLETE_CDM,urban_ath,,,
PELAGIE,maj_ddn_2021,LifeCycle_CDM,core,,Update of date of birth,
PELAGIE,BDD_pop,ATHLETE_CDM,chemicals_ath,,database with POPs measurement from cord blood and in the blood of children at 12 years,
PELAGIE,pelagie_q12,LifeCycle_CDM,core,,Questionnaires at 12 years,
PELAGIE,pelagie_q6,LifeCycle_CDM,core,,Questionnaires at 6 years,
PELAGIE,pelagie_q2,LifeCycle_CDM,core,,Questionnaires at 2 years,
PELAGIE,datenaisspere,LifeCycle_CDM,core,,Update of date of birth of the father,
PELAGIE,pelagie_q0,LifeCycle_CDM,outcome,,Questionnaires at inclusion (pregnancy),
PELAGIE,pelagie_q2,LifeCycle_CDM,outcome,,Questionnaires at 2 years,
PELAGIE,pelagie_q6,LifeCycle_CDM,outcome,,Questionnaires at 6 years,
PELAGIE,pelagie_exam12,ATHLETE_CDM,outcome_ath,,database with results from the clinical examination at age 12,
ENVIRONAGE,Baby Booklet (kind en gezin),LifeCycle_CDM,core,,,
PELAGIE,harmonized,ATHLETE_CDM,outcome_ath,,"When variables were created for Lifecycle and not derived from other variables (instr, eval, wave)",
PELAGIE,maj_ddn_2021,ATHLETE_CDM,outcome_ath,,Update of date of birth,
PELAGIE,BDD_phtalates_phenols,ATHLETE_CDM,chemicals_ath,,database with phtalates and phenols measurement from maternal urine sample,
PELAGIE,BDD_perfluores,ATHLETE_CDM,chemicals_ath,,database with PFASs measurement from cord blood and in the blood of children at 12 years,
PELAGIE,BDD_ethers,ATHLETE_CDM,chemicals_ath,,database with measurement of OPs from a maternal urine sample and in children's urine at 6 years,
PELAGIE,BDD_OP,ATHLETE_CDM,chemicals_ath,,database with measurement of OPs from a maternal urine sample and in children's urine at 6 years,
PELAGIE,BDD_creatinine,ATHLETE_CDM,chemicals_ath,,database with measurement of creatinine from a maternal urine sample and in children's urine at 6 years,
ENVIRONAGE,haematology Follow-Up1,LifeCycle_CDM,outcome,,,
PELAGIE,BDD_mercure,ATHLETE_CDM,chemicals_ath,,database with measurement of metals in a sample of mothers' hair during the third trimester,
PELAGIE,BDD_cotinine,ATHLETE_CDM,chemicals_ath,,database with measurement of cotinine from a maternal urine sample and in children's urine at 6 years,
PELAGIE,harmonized,ATHLETE_CDM,chemicals_ath,,"When variables were created for Lifecycle and not derived from other variables (instr, eval, wave)",
PIAMA,mpvl_blzt8,EXPANSE_CDM,Lifestyle,,,
PIAMA,mcvl_blzt9,EXPANSE_CDM,Lifestyle,,,
ENVIRONAGE,General questionnaire Birth,LifeCycle_CDM,outcome,,,
ENVIRONAGE,food frequency questionnaire at Follow-Up1,LifeCycle_CDM,outcome,,,
ENVIRONAGE,ultrasound measurements gestation,ATHLETE_CDM,outcome_ath,,,
ENVIRONAGE,retina data FU1,ATHLETE_CDM,outcome_ath,,,
ENVIRONAGE,measurements at FU1,ATHLETE_CDM,outcome_ath,,,
ENVIRONAGE,obstetric data,ATHLETE_CDM,outcome_ath,,,
ENVIRONAGE,chemical FU1,ATHLETE_CDM,chemicals_ath,,,
ENVIRONAGE,Strengths and difficulties questionnaire Follw-Up1,LifeCycle_CDM,outcome,,,
ENVIRONAGE,Strengths and difficulties questionnaire Follw-Up1,ATHLETE_CDM,outcome_ath,,,
PELAGIE,pelagie_dosage12,LifeCycle_CDM,outcome,,database with effect biomarkers assessed in blood at 12 years old,
ENVIRONAGE,obstetric data,LifeCycle_CDM,core,,,
ENVIRONAGE,measurements after birth,LifeCycle_CDM,core,,,
ENVIRONAGE,General questionnaire Birth,LifeCycle_CDM,core,,,
ENVIRONAGE,Questionnaire Follow-Up1,LifeCycle_CDM,core,,,
ENVIRONAGE,food frequency questionnaire at Follow-Up1,LifeCycle_CDM,core,,,
ENVIRONAGE,food frequency questionnaire after delivery,LifeCycle_CDM,core,,,
ENVIRONAGE,biochemistry cord blood,LifeCycle_CDM,core,,,
ENVIRONAGE,biochemistry mother,LifeCycle_CDM,outcome,,,
PIAMA,antro_3mnd_20y,EXPANSE_CDM,Cardiometabolic,,,
PIAMA,mcvl_blzt9,EXPANSE_CDM,Cardiometabolic,,,
PIAMA,picode28,EXPANSE_CDM,General,,,
GenR,FETALCRL_22112016,ATHLETE_CDM,outcome_ath,,,
GenR,FETALPLACENTA_22112016,ATHLETE_CDM,outcome_ath,,,
GenR,ATHLETE_fetal_growth_standardized,ATHLETE_CDM,outcome_ath,,,
GenR,CHILD-ALLGENERALDATA_12112020,ATHLETE_CDM,outcome_ath,,,
GenR,FETALGROWTH_22112016,ATHLETE_CDM,outcome_ath,,,
GenR,20220228 Fetal Growth GenR_ATHLETE,ATHLETE_CDM,outcome_ath,,,
GenR,URINEMOTHER_phtalatesandbisphenols_pregnancy_21082018,ATHLETE_CDM,chemicals_ath,,,
ENVIRONAGE,haematology cord blood,LifeCycle_CDM,outcome,,,
ENVIRONAGE,haematology mother,LifeCycle_CDM,outcome,,,
ENVIRONAGE,obstetric data,LifeCycle_CDM,outcome,,,
ENVIRONAGE,Questionnaire Follow-Up1,LifeCycle_CDM,outcome,,,
GenR,URINECHILD_phtalatesandbispenhols6_06112019,ATHLETE_CDM,chemicals_ath,,,
CONSTANCES,core,LifeCycle_CDM,core,,,
CONSTANCES,core,LongITools_CDM,wave_01,,,
NINFEA,core,ATHLETE_CDM,outcome_ath,,,
NINFEA,core,ATHLETE_CDM,urban_ath,,,
BAMSE,Metadata,EXPANSE_CDM,Metadata,,,
SAPALDIA,metadata,EXPANSE_CDM,Medical history,,,
Sepages,code_helix_athlete,ATHLETE_CDM,outcome_ath,,,
Sepages,code_helix_athlete,LifeCycle_CDM,core,,,
Sepages,bdd_grossesse_v5_1,LifeCycle_CDM,core,,,
Sepages,bdd_1a_v1_1,LifeCycle_CDM,core,,,
Sepages,bdd_2a_v_1_0,LifeCycle_CDM,core,,,
SYSDIMET,Sysdimet_data,LongITools_CDM,wave_01,,,
PSYCONN,PSYCONN,IPEC_CDM,IPECtable,,,
Sepages,bdd_pere_1_2,LifeCycle_CDM,core,,,
Sepages,quest_mt1raa1,LifeCycle_CDM,core,,,
Sepages,efr_mere_LMAB_20210902_26,LifeCycle_CDM,core,,,
Sepages,efr_pere_LMAB_20210902_26,LifeCycle_CDM,core,,,
Sepages,ch_bf_mr&ag_2021-12-02_5,LifeCycle_CDM,core,,,
Sepages,tabac_passif_enf,LifeCycle_CDM,core,,,
Sepages,ddn_pere,LifeCycle_CDM,core,,,
EDEN,athlete_eden,ATHLETE_CDM,outcome_ath,,,
EDEN,core,LongITools_CDM,wave_01,,,
ELSPAC,metadata,LifeCycle_CDM,core,,,
ELSPAC,birth,LifeCycle_CDM,core,,,
ELSPAC,prenatal,LifeCycle_CDM,core,,,
ELSPAC,mother,LifeCycle_CDM,core,,,
ELSPAC,exam,LifeCycle_CDM,core,,,
ELSPAC,mother_child,LifeCycle_CDM,outcome,,,
ELSPAC,metadata,LifeCycle_CDM,outcome,,,
ELSPAC,teacher,LifeCycle_CDM,outcome,,,
ELSPAC,child,LifeCycle_CDM,outcome,,,
ELSPAC,mother,LifeCycle_CDM,outcome,,,
ELSPAC,father,LifeCycle_CDM,outcome,,,
ELSPAC,fss,LifeCycle_CDM,outcome,,,
ELSPAC,growth,ATHLETE_CDM,outcome_ath,,,
ELSPAC,birth,ATHLETE_CDM,outcome_ath,,,
ELSPAC,mother_child,LifeCycle_CDM,core,,,
ELSPAC,father,LifeCycle_CDM,core,,,
ELSPAC,child,LifeCycle_CDM,core,,,
ELSPAC,prenatal,LifeCycle_CDM,outcome,,,
ELSPAC,medical,LifeCycle_CDM,core,,,
ELSPAC,diag,LifeCycle_CDM,outcome,,,
ELSPAC,exam,LifeCycle_CDM,outcome,,,
ELSPAC,medical,LifeCycle_CDM,outcome,,,
ELSPAC,growth,LifeCycle_CDM,core,,,
ELSPAC,growth,LifeCycle_CDM,outcome,,,
ELSPAC,birth,LifeCycle_CDM,outcome,,,
ELSPAC,metadata,ATHLETE_CDM,outcome_ath,,,
ELSPAC,diag,LifeCycle_CDM,core,,,
