resource,research center,primary tumor site,metastasis,year of diagnosis,sex,n
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,2021-2025,Male,12
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,2021-2025,Female,18
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,2016-2020,Male,10
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,2016-2020,Female,19
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,2011-2015,Male,7
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,2011-2015,Female,20
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,2006-2010,Male,18
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,2006-2010,Female,14
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,2001-2005,Male,0
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,2001-2005,Female,4
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,1991-2000,Male,4
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,1991-2000,Female,6
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,<1991,Male,20
FORCE-NEN collections,AvL,"Esophagus, NOS",Yes,<1991,Female,15
