resource,name,type,description,url,file,file_filename
RAINE,Access to RAINE data,,,https://rainestudy.org.au/information-for-researchers/available-data/,,
NFBC1986,Access to NFBC86 data,,,https://www.oulu.fi/nfbc/nfbc1966_1986,,
NFBC1966,Access to NFBC66 data,,,https://www.oulu.fi/nfbc/nfbc1966_1986,,
RHEA,Access to RHEA data,,,http://www.rhea.gr/en/research/data-access/,,
BIB,Guidance for Collaborators,,,https://borninbradford.nhs.uk/research/guidance-for-collaborators/,,
BIB,Access to BIB data,,,https://borninbradford.nhs.uk/research/how-to-access-data/,,
BIB,Data documentation,,,https://borninbradford.nhs.uk/research/documents-data/,,
INMA,Access to INMA data,,,https://www.proyectoinma.org/en/inma-project/inma-collaboration-policy/,,
DNBC,Acces to DNBC data,,,https://www.dnbc.dk/data-available,,
ELFE,Access to ELFE data,,,https://elfe-france.fr/en/the-research/access-to-data-and-questionnaires/,,
SWS,Access to SWS data,,sws@mrc.soton.ac.uk,,,
MoBa,Access to MoBa data,,,https://www.fhi.no/en/studies/moba/for-forskere-artikler/research-and-data-access/,,
ALSPAC,Data request,,,https://proposals.epi.bristol.ac.uk/,,
ALSPAC,Data documentation,,,http://www.bristol.ac.uk/alspac/researchers/our-data/,,
