rdf type,fdp endpoint,ldp membership relation,id,pid,name,local name,acronym,type,type other,catalogue type,cohort type,clinical study type,RWD type,network type,website,description,keywords,internal identifiers.resource,internal identifiers.identifier,external identifiers.resource,external identifiers.identifier,start year,end year,time span description,contact email,logo,logo_filename,status,conforms to,has member relation,issued,modified,design,design description,design schematic,design schematic_filename,data collection type,data collection description,reason sustained,record trigger,unit of observation,subpopulations.resource,subpopulations.name,collection events.resource,collection events.name,data resources,part of networks,number of participants,number of participants with samples,underlying population,population of interest,population of interest other,countries,continents,regions,minimum age,maximum age,population age groups,age min,age max,inclusion criteria,other inclusion criteria,exclusion criteria,other exclusion criteria,population entry,population entry other,population exit,population exit other,population disease,population oncology topology,population oncology morphology,population coverage,population not covered,counts.resource,counts.age group,people involved.resource,people involved.first name,people involved.last name,contact point.resource,contact point.first name,contact point.last name,organisations involved.resource,organisations involved.id,publisher.resource,publisher.id,creator.resource,creator.id,child networks,parent networks,datasets.resource,datasets.name,samplesets.resource,samplesets.name,areas of information,areas of information rwd,quality of life other,cause of death code other,indication vocabulary other,genetic data vocabulary other,care setting other,medicinal product vocabulary other,prescriptions vocabulary other,dispensings vocabulary other,procedures vocabulary other,biomarker data vocabulary other,diagnosis medical event vocabulary other,data dictionary available,disease details,biospecimen collected,languages,multiple entries,has identifier,identifier description,prelinked,linkage options,linkage possibility,linked resources.resource,linked resources.linked resource,informed consent type,informed consent required,informed consent other,access rights,data access conditions,data use conditions,data access conditions description,data access fee,access identifiable data,access identifiable data route,access subject details,access subject details route,access third party,access third party conditions,access non EU,access non EU conditions,biospecimen access,biospecimen access conditions,governance details,approval for publication,release type,release description,number of records,release frequency,refresh time,lag time,refresh period,date last refresh,preservation,preservation duration,standard operating procedures,qualification,qualifications description,audit possible,completeness,completeness over time,completeness results,quality description,quality over time,access for validation,quality validation frequency,quality validation methods,correction methods,quality validation results,mappings to common data models.source,mappings to common data models.source dataset,mappings to common data models.target,mappings to common data models.target dataset,common data models other,ETL standard vocabularies,ETL standard vocabularies other,publications.resource,publications.doi,funding sources,funding scheme,funding statement,citation requirements,acknowledgements,documentation.resource,documentation.name,supplementary information,theme,applicable legislation,collection start planned,collection start actual,analysis start planned,analysis start actual,data sources,medical conditions studied,data extraction date,analysis plan,objectives,results,mg_draft
http://www.w3.org/ns/dcat#Catalog,main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,ATHLETE,https://placeholder-pid/athlete.org,Advancing Tools for Human Early Lifecourse Exposome Research and Translation,,ATHLETE,"Network,Catalogue",,project,,,,h2020,https://athleteproject.eu/,"Children are particularly vulnerable to environmental hazards. The ATHLETE project will measure a wide range of environmental exposures (urban, chemical, lifestyle and social risk factors) during pregnancy, childhood, and adolescence. The project will then link this “early-life exposome” to children’s biological responses and cardiometabolic, respiratory, and mental health. The results will help us to better understand and prevent health damage from environmental agents from the earliest parts of the life course onward.","test1,test2",,,,,,,,,,,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,"DNBC,PELAGIE,G21,ELSPAC,BIB,GenR,Sepages,INMA,EDEN,MoBa,KANC,GenR Next",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATHLETE,Rob,Boss,ATHLETE,Rob,Boss,ATHLETE,place-holder-organisation,ATHLETE,place-holder-organisation,ATHLETE,place-holder-organisation,,"EUChildNetwork,OOM","ATHLETE,ATHLETE","outcome_ath,chemicals_ath",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Data Governance Act,,,,,,,,,,,
http://www.w3.org/ns/dcat#Catalog,main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,LifeCycle,https://placeholder-pid/lifecycle.org,The LifeCycle Project,,LifeCycle,"Network,Catalogue",,project,,,,,https://lifecycle-project.eu/,"A Europe-wide network of cohort studies started in early life Cohort studies started from pregnancy or childhood give the unique opportunity to relate early-life stressors with variation in development, health and disease throughout the life course. Moreover, advanced analytical approaches used in observational studies can help identify causality and potential for early-life interventions on factors that cannot be easily studied in experimental settings. These factors include socioeconomic circumstances, migration, urban environment as well as lifestyle-related determinants and will be given particular focus in our project. We will set up a European pregnancy and childhood cohort, the EU Child Cohort Network, which brings together extensive existing data from more than 250,000 European children and their parents. These cohorts enable studies in multiple generations because of their detailed phenotyping of both parents and children. The network will bring together existing successful multidisciplinary cohort studies, which all started before or during pregnancy or in childhood. Together, they span the full life course and contain detailed phenotypical information as well as biological samples. The EU Child Cohort Network will optimize exploitation of more than 40 available cohort resources in Europe and will enable innovative research on identification of novel markers of early-life stressors related to health trajectories throughout the full life cycle. Although LifeCycle partners and their cohorts have taken the initiative for this unique collaboration, the network is open to other partners with population-based cohorts started in early life, specifically those from Eastern and Southern Europe. To ensure that this will be a Europe-wide, open and sustainable network, which exceeds the LifeCycle Project duration, we will introduce a data sharing platform taking account of ethical, legal and societal implications, we will organize yearly meetings open to all European pregnancy and child cohort researchers and we will start a fellowship programme for exchange between these European cohorts.","test1,test2",,,,,,,,,,,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,"ELFE,GECKO,ALSPAC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LifeCycle,Rob,Boss,LifeCycle,Rob,Boss,LifeCycle,EMC,LifeCycle,EMC,LifeCycle,EMC,,"EUChildNetwork,OOM","LifeCycle,LifeCycle,LifeCycle","core,outcomes,outcome",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Data Governance Act,,,,,,,,,,,
http://www.w3.org/ns/dcat#Catalog,main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,LongITools,https://placeholder-pid/longitools.org,LongITools health & environment dynamics,,LongITools,"Network,Catalogue",,project,,,,h2020,https://longitools.org/,"LongITools is a European research project studying the interactions between the environment, lifestyle and health in determining the risks of chronic cardiovascular and metabolic diseases.","test1,test2",,,,,,,,,,,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,"NFBC1986,G21,DFBC,ALSPAC,EDEN,NOMA,ELFE,RS2,RS1,ENVIRONAGE,GenR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LongITools,LongITools","Ollie,Rob","Ross,Boss",LongITools,Ollie,Ross,LongITools,UOULU,LongITools,UOULU,LongITools,UOULU,,EUChildNetwork,LongITools,wave_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Data Governance Act,,,,,,,,,,,
http://www.w3.org/ns/dcat#Catalog,main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,testNetwork1,https://placeholder-pid/testnetwork1.org,name for test network1,,acronym for test network1,"Catalogue,Network",,,,,,EU4health - Prevention,https://www.molgenis.org,test description for new test network,"test1,test2",,,,,1975,2010,,,49a688823ceb44069e16b921c6b0ddae,23edc738065142278a5df544ddd287de.jpg,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,"testCohort2,COD_FARMACI_SPF,AP,testCohort3,testCohort1,testCohort4,SPECIALISTICA,TestDataSourceID",,,,,,,"Central African Republic (the),Chad",,,,,,,,,,,,,,,,,,,,,,,testNetwork1,Rob,Boss,testNetwork1,Rob,Boss,"testNetwork1,testNetwork1,testNetwork1,testNetwork1","CNR-IFC,UMCG,AMC,CYN",testNetwork1,UMCG,"testNetwork1,testNetwork1,testNetwork1,testNetwork1","CNR-IFC,UMCG,AMC,CYN",,testNetworkofNetworks,testNetwork1,cdm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"testNetwork1,testNetwork1","https://doi.org/10.1016/S1473-3099(20)30873-2,https://doi.org/10.1136/bmjopen-2017-015867",,,"test funding statement for test network - check that ""until now"" has been included Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. until now",,"test acknowledgements for test network - check that ""until now"" has been included Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.  until now",,,,Health,Data Governance Act,,,,,TestDataSourceID,,,,,,false
http://www.w3.org/ns/dcat#Catalog,main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,testNetwork2,https://placeholder-pid/testnetwork2.org,name for test network2,,acronym for test network2,Network,,,,,,EU4health - Prevention,https://www.molgenis.org,test description for new test network,"test1,test2",,,,,1975,2010,,,,,,https://specs.fairdatapoint.org/fdp-specs-v1.2.,,,,,,,,,,,,,,,,,"testCohort1,testCohort2,COD_FARMACI_SPF,SPECIALISTICA,AP",,,,,,,"Germany,Netherlands (the)",,,,,,,,,,,,,,,,,,,,,,,testNetwork2,Rob,Boss,testNetwork2,Rob,Boss,"testNetwork2,testNetwork2,testNetwork2,testNetwork2","CNR-IFC,UMCG,AMC,CYN",testNetwork2,UMCG,"testNetwork2,testNetwork2,testNetwork2,testNetwork2","UMCG,CYN,AMC,CNR-IFC",,testNetworkofNetworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testNetwork2,https://doi.org/10.1016/S1473-3099(20)30873-2,,,"test funding statement for test network - check that ""until now"" has been included blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah until now",,"test acknowledgements for test network - check that ""until now"" has been included blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah until now",,,,Health,Data Governance Act,,,,,,,,,,,
http://www.w3.org/ns/dcat#DatasetSeries,main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,RAINE,https://placeholder-pid/raine.org,The West Australian Pregnancy Cohort,,RAINE,Cohort study,,,Population cohort,,,,https://rainestudy.org.au/,"The Raine Study is one of the most comprehensive pregnancy birth cohort studies in the world. It is a rich resource for the study of environmental and genetic factors that affect health and development and can provide unique insights into the natural history of human diseases. Between May 1989 and November 1991, 2900 pregnant women were recruited into the study and their children have been assessed intensively over the past three decades.

Prospective longitudinal data has been collected at multiple time-points over pregnancy, infancy, childhood, adolescence and young adulthood and there is broad multidisciplinary data on physical, mental and social aspects of development.

The main cohort (Gen2) are now almost 30 years of age and maintain a keen sense of commitment to the Raine Study. Their data has been genotyped and data linkage with other publicly held datasets (e.g. school results and hospital records) is available. There are stored biological samples and established collaborative research networks across a wide variety of disciplines.","test1,test2",,,,,1989,2020,,,,,,,,,,Longitudinal,,,,Prospective,,,,,,,,,,MOLGENIS,2868,,,,,,Oceania,Western Australia,,,,,,,,,,,,,,,,,,,,,RAINE,Rob,Boss,RAINE,Rob,Boss,RAINE,UWA,RAINE,UWA,RAINE,UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,health or medical or biomedical research,,1. Submit a project proposal 2. Approval of the project ​3. Sign a data access agreement (DAA) 4. Data access with credentials (via DAT,,,,,,,,,,,,,,Continuous,Upon completion of follow-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAINE,https://doi.org/10.5694/mja12.10698,,,"The Raine Study has been funded by program and project grants from the Australian National Health and Medical Research Council, the Commonwealth Scientific and Industrial Research Organisation, Healthway and the Lions Eye Institute in Western Australia. The Raine Study Gen2-17 year follow-up was funded by the NHMRC Program Grant (Stanley et al, ID 353514) and the GWAS data from the Gen2-17 year follow-up was funded by the NHMRC (Huang et al, ID 1059711) grant. The Raine Study participation in LIFECYCLE was funded by a grant from the National Health and Medical Research Council, Australia (GNT114285). The University of Western Australia (UWA), Curtin University, the Raine Medical Research Foundation, the Telethon Kids Institute, the Women’s and Infant’s Research Foundation (KEMH), Murdoch University, The University of Notre Dame Australia and Edith Cowan University provide funding for the Core Management of the Raine Study. REF is a recipient of a National Health and Medical Research Council Early Ca",,,,,,Health,Data Governance Act,,,,,,,,,,,
http://www.w3.org/ns/dcat#DatasetSeries,main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,SYSDIMET,https://placeholder-pid/sysdimet.org,Health Grain intervention,,SYSDIMET,Cohort study,,,,,,,,This is a test description,"RCT,healthy diet,cereals,berries,n-3 fatty acids,dietary fibre,inflammation,endothelial dysfunction",,,,,2007,2007,,,,,,,,,,Longitudinal,,,,Prospective,,,,,,,,,,,131,104,,,,Finland,,,,,"Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years)",,,,,,,,,,,,,,,,,,SYSDIMET,Rob,Boss,SYSDIMET,Rob,Boss,SYSDIMET,UEF,SYSDIMET,UEF,SYSDIMET,UEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,Non public,health or medical or biomedical research,,Contact Marjukka Kolehmainen to use data from this study,,,,,,,,,,,,,,Closed dataset,Contact Marjukka Kolehmainen to use data from this study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYSDIMET,SYSDIMET,SYSDIMET","https://doi.org/10.1007/s00125-011-2285-3,https://doi.org/10.1371/journal.pone.0090352,https://doi.org/10.1371/journal.pone.0022646",,,"This study was supported by: the Academy of Finland (117844 and 118590 [to M. Uusitupa]; 131460 [to K. Poutanen]; 130469 [to H. Mykkänen] and 131593 [to V. D. F. de Mello]); the Kuopio University Hospital (5106, 5168, 5254 [to M. Uusitupa]); the Finnish Diabetes Research Foundation; the Sigrid Juselius Foundation; the Nordic Centre of Excellence on ‘Systems biology in controlled dietary interventions and cohort studies’
(SYSDIET; 070014); and the European Commission in the Communities 6th Framework Programme, Project HEALTHGRAIN (",,"We thank the laboratory technologists T. Onnukka and K. Kettunen from the Department of Clinical Nutrition, University of Eastern Finland, Kuopio, Finland, and G. Trischler from the Department of Internal Medicine II-Cardiology, University of Ulm Medical Center, Ulm, Germany for their skilful work.",,,,Health,Data Governance Act,,,,,,,,,,,
http://www.w3.org/ns/dcat#DatasetSeries,main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,ADVANCE Coverage POC,https://placeholder-pid/advancecoveragepoc.org,ADVANCE POC Study Protocol - Testing new approaches to monitoring benefit/risk with pertussis vaccines as test case. Coverage rates of acellular and whole-cell pertussis-containing vaccines in preschool children,,ADVANCE Coverage POC,Other type,,,,,,,,This is a test description,"test1,test2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCE Coverage POC,Rob,Boss,ADVANCE Coverage POC,Rob,Boss,ADVANCE Coverage POC,SSI,ADVANCE Coverage POC,SSI,ADVANCE Coverage POC,SSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Data Governance Act,,,,,"DHL,ABL,EUROCAT NNL",,,,,,
http://www.w3.org/ns/dcat#DatasetSeries,main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,SPA,https://placeholder-pid/spa.org,SPA,,SPA,Databank,,,,,,,,outpatient activities,"test1,test2",,,,,,,,,,,,,,,,,,,,,,,"Access to an ambulatory procedure belonging to the list of reimbursed procedures (Nomenclatore), provided it is prescribed by the primary care physician of the patient, or of a specialist employed by the National healthcare System. Nomeclatore is updated every few years, and contains laboratory and instrumental diagnostic tests, diagnostic and rehabilitation procedures, specialist encounters.",,,,,,,OOM,,,All the population.,,,,,,,,,,,,,,,,,,,,,,,,,,SPA,Rob,Boss,SPA,Rob,Boss,SPA,place-holder-organisation,SPA,place-holder-organisation,SPA,place-holder-organisation,,,SPA,SPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many ambulatory services are purchased by patients to avoid waiting lists for instance around half of specialist visits, according to estimates of the National","The table is updated every 3-4 months and is complete up to around 6 months before that date. At April of every year the final table is closed, except for record generated outside of the region which are obtained in September.",,,,,,,,,"SPA,SPA","SPA,SPA","OOM,OOM","PROCEDURES,VISIT_OCCURRENCE",,,,,,,,,,,,,,Health,Data Governance Act,,,,,,,,,,,
http://www.w3.org/ns/dcat#Catalog,main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,EUChildNetwork,https://placeholder-pid/euchildnetwork.org,The EU Child Cohort Network,,EUChildNetwork,"Catalogue,Network",,,,,,harmonization,https://lifecycle-project.eu/for-scientists/the-eu-child-cohort-network/,"The EU Child Cohort Network: A Europe-wide network of cohort studies started in early life Cohort studies started from pregnancy or childhood give the unique opportunity to relate early-life stressors with variation in development, health and disease throughout the life course. Moreover, advanced analytical approaches used in observational studies can help identify causality and potential for early-life interventions on factors that cannot be easily studied in experimental settings. These factors include socioeconomic circumstances, migration, urban environment as well as lifestyle-related determinants and will be given particular focus in our project. We will set up a European pregnancy and childhood cohort, the EU Child Cohort Network, which brings together extensive existing data from more than 250,000 European children and their parents. These cohorts enable studies in multiple generations because of their detailed phenotyping of both parents and children. The network will bring together existing successful multidisciplinary cohort studies, which all started before or during pregnancy or in childhood. Together, they span the full life course and contain detailed phenotypical information as well as biological samples. The EU Child Cohort Network will optimize exploitation of more than 40 available cohort resources in Europe and will enable innovative research on identification of novel markers of early-life stressors related to health trajectories throughout the full life cycle. Although LifeCycle partners and their cohorts have taken the initiative for this unique collaboration, the network is open to other partners with population-based cohorts started in early life, specifically those from Eastern and Southern Europe. To ensure that this will be a Europe-wide, open and sustainable network, which exceeds the LifeCycle Project duration, we will introduce a data sharing platform taking account of ethical, legal and societal implications, we will organize yearly meetings open to all European pregnancy and child cohort researchers and we will start a fellowship programme for exchange between these European cohorts.","test1,test2",,,,,,,,,,,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,"GECKO,GenR,RS2,ALSPAC,NOMA,RS3,KANC,RS1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUChildNetwork,Rob,Boss,EUChildNetwork,Rob,Boss,EUChildNetwork,place-holder-organisation,EUChildNetwork,place-holder-organisation,EUChildNetwork,place-holder-organisation,"LongITools,ATHLETE,LifeCycle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Data Governance Act,,,,,,,,,,,false
