resource,variable.resource,variable.dataset,variable.name,mg_draft
LongITools,LifeCycle,core,agebirth_m_y,
LongITools,LifeCycle,core,agebirth_p_fath,
LongITools,LifeCycle,core,agebirth_p_y,
LongITools,LifeCycle,core,alc_t,
LongITools,LifeCycle,core,asthma_adult,
LongITools,LifeCycle,core,birth_length,
LongITools,LifeCycle,core,birth_month,
LongITools,LifeCycle,core,birth_weight,
LongITools,LifeCycle,core,birth_year,
LongITools,LifeCycle,core,breastfed_any,
LongITools,LifeCycle,core,breastfed_ever,
LongITools,LifeCycle,core,breastfed_excl,
LongITools,LifeCycle,outcome,cfpwv_,
LongITools,LifeCycle,core,child_id,
LongITools,LifeCycle,core,child_no,
LongITools,LifeCycle,core,childcare_,
LongITools,LifeCycle,core,childcare_intro,
LongITools,LifeCycle,core,childcarecentre_,
LongITools,LifeCycle,core,childcareprof_,
LongITools,LifeCycle,core,childcarerel_,
LongITools,LifeCycle,outcome,chol_,
LongITools,LifeCycle,outcome,chol_cord,
LongITools,LifeCycle,outcome,cimt_,
LongITools,LifeCycle,core,cob_m,
LongITools,LifeCycle,core,cob_p,
LongITools,LifeCycle,core,cob_p_fath,
LongITools,LifeCycle,core,cohab_,
LongITools,LifeCycle,outcome,crp_,
LongITools,LifeCycle,outcome,crp_cord,
LongITools,LifeCycle,outcome,crpwv_,
LongITools,LifeCycle,outcome,dbp_,
LongITools,LifeCycle,outcome,dbpav_,
LongITools,LifeCycle,core,edu_f1_,
LongITools,LifeCycle,core,edu_f1_fath,
LongITools,LifeCycle,core,edu_m_,
LongITools,LifeCycle,core,ethn_p_fath,
LongITools,LifeCycle,core,ethn1_m,
LongITools,LifeCycle,core,ethn1_p,
LongITools,LifeCycle,core,ethn2_m,
LongITools,LifeCycle,core,ethn2_p,
LongITools,LifeCycle,core,ethn3_m,
LongITools,LifeCycle,core,ethn3_p,
LongITools,LifeCycle,core,ga_bj,
LongITools,LifeCycle,core,ga_lmp,
LongITools,LifeCycle,core,ga_mr,
LongITools,LifeCycle,core,ga_us,
LongITools,LifeCycle,outcome,glucose_,
LongITools,LifeCycle,outcome,glucose_cord,
LongITools,LifeCycle,outcome,hdlc_cord,
LongITools,LifeCycle,core,height_,
LongITools,LifeCycle,core,height_f,
LongITools,LifeCycle,core,height_f1_fath,
LongITools,LifeCycle,core,height_m,
LongITools,LifeCycle,core,hhincome_,
LongITools,LifeCycle,outcome,hipcirc_,
LongITools,LifeCycle,outcome,il6_,
LongITools,LifeCycle,outcome,il6_cord,
LongITools,LifeCycle,core,inh_all_sens_SPT_,
LongITools,LifeCycle,core,inhalant_all_sens_SPT_,
LongITools,LifeCycle,outcome,insulin_,
LongITools,LifeCycle,outcome,insulin_cord,
LongITools,LifeCycle,core,latepreg_weight,
LongITools,LifeCycle,core,latepreg_weight_ga,
LongITools,LifeCycle,outcome,ldlc_,
LongITools,LifeCycle,outcome,ldlc_cord,
LongITools,LifeCycle,core,mode_delivery,
LongITools,LifeCycle,core,mother_id,
LongITools,LifeCycle,core,occup_f1_,
LongITools,LifeCycle,core,occup_f1_fath,
LongITools,LifeCycle,core,occup_m_,
LongITools,LifeCycle,core,parity_m,
LongITools,LifeCycle,core,ppd,
LongITools,LifeCycle,core,preeclam,
LongITools,LifeCycle,core,preg_alc,
LongITools,LifeCycle,core,prepreg_alc,
LongITools,LifeCycle,core,prepreg_alc_unit,
LongITools,LifeCycle,core,prepreg_cig,
LongITools,LifeCycle,core,prepreg_smk,
LongITools,LifeCycle,core,prepreg_weight,
LongITools,LifeCycle,core,prepreg_weight_ga,
LongITools,LifeCycle,outcome,pulse_,
LongITools,LifeCycle,core,region_fa,
LongITools,LifeCycle,core,region_mo,
LongITools,LifeCycle,outcome,sbp_,
LongITools,LifeCycle,outcome,sbpav_,
LongITools,LifeCycle,core,sex,
LongITools,LifeCycle,core,smk_t,
LongITools,LifeCycle,core,solid_food,
LongITools,LifeCycle,outcome,triglycerides_,
LongITools,LifeCycle,outcome,triglycerides_cord,
LongITools,LifeCycle,outcome,vldlc_,
LongITools,LifeCycle,outcome,vldlc_cord,
LongITools,LifeCycle,outcome,waistcirc_,
LongITools,LifeCycle,core,weight_,
LongITools,LifeCycle,core,weight_f,
LongITools,LifeCycle,core,weight_f1_fath,
LongITools,LifeCycle,core,abroad_child,
LongITools,LifeCycle,core,abroad_fa,
LongITools,LifeCycle,core,abroad_mo,
LongITools,LifeCycle,outcome,adhd_age_,
LongITools,LifeCycle,outcome,adhd_avg_,
LongITools,LifeCycle,outcome,adhd_eval_,
LongITools,LifeCycle,outcome,adhd_instr_,
LongITools,LifeCycle,outcome,adhd_pc_,
LongITools,LifeCycle,outcome,adhd_pro_,
LongITools,LifeCycle,outcome,adhd_raw_,
LongITools,LifeCycle,outcome,adhdR_,
LongITools,LifeCycle,outcome,adhdR_age_,
LongITools,LifeCycle,outcome,adhdR_eval_,
LongITools,LifeCycle,outcome,adipo_,
LongITools,LifeCycle,outcome,adipo_cord,
LongITools,LifeCycle,outcome,adipoage_,
LongITools,LifeCycle,outcome,adipomes_,
LongITools,LifeCycle,core,agebirth_m_d,
LongITools,LifeCycle,core,agebirth_p_d,
LongITools,LifeCycle,core,agrgr_,
LongITools,LifeCycle,core,agrgr_preg,
LongITools,LifeCycle,core,agrgr_t,
LongITools,LifeCycle,core,airpt_,
LongITools,LifeCycle,core,airpt_preg,
LongITools,LifeCycle,core,airpt_t,
LongITools,LifeCycle,outcome,all_,
LongITools,LifeCycle,outcome,all_ever,
LongITools,LifeCycle,outcome,allergy_any_m,
LongITools,LifeCycle,outcome,allergy_food_m,
LongITools,LifeCycle,outcome,allergy_inh_m,
LongITools,LifeCycle,core,an_m_,
LongITools,LifeCycle,outcome,anaphylaxis,
LongITools,LifeCycle,core,apgar,
LongITools,LifeCycle,core,areases_quint_,
LongITools,LifeCycle,core,areases_quint_preg,
LongITools,LifeCycle,core,areases_quint_t,
LongITools,LifeCycle,core,areases_tert_,
LongITools,LifeCycle,core,areases_tert_preg,
LongITools,LifeCycle,core,areases_tert_t,
LongITools,LifeCycle,outcome,armcirc_,
LongITools,LifeCycle,outcome,armcircage_,
LongITools,LifeCycle,outcome,armcircmes_,
LongITools,LifeCycle,outcome,armlength_,
LongITools,LifeCycle,outcome,armlengthage_,
LongITools,LifeCycle,outcome,armlengthmes_,
LongITools,LifeCycle,core,art,
LongITools,LifeCycle,outcome,asd_age_,
LongITools,LifeCycle,outcome,asd_avg_,
LongITools,LifeCycle,outcome,asd_eval_,
LongITools,LifeCycle,outcome,asd_instr_,
LongITools,LifeCycle,outcome,asd_pc_,
LongITools,LifeCycle,outcome,asd_pro_,
LongITools,LifeCycle,outcome,asd_raw_,
LongITools,LifeCycle,outcome,asdR_,
LongITools,LifeCycle,outcome,asdR_age_,
LongITools,LifeCycle,outcome,asdR_eval_,
LongITools,LifeCycle,outcome,asthma_,
LongITools,LifeCycle,core,asthma_bf,
LongITools,LifeCycle,outcome,asthma_current_ISAAC,
LongITools,LifeCycle,outcome,asthma_current_ISAAC_,
LongITools,LifeCycle,outcome,asthma_current_MeDALL,
LongITools,LifeCycle,outcome,asthma_current_MeDALL_,
LongITools,LifeCycle,outcome,asthma_ever_CHICOS,
LongITools,LifeCycle,outcome,asthma_ever_MeDALL,
LongITools,LifeCycle,core,asthma_m,
LongITools,LifeCycle,outcome,asthma_med_,
LongITools,LifeCycle,outcome,asthma_med_spec_,
LongITools,LifeCycle,core,bdens100_,
LongITools,LifeCycle,core,bdens100_preg,
LongITools,LifeCycle,core,bdens100_t,
LongITools,LifeCycle,core,bdens300_,
LongITools,LifeCycle,core,bdens300_preg,
LongITools,LifeCycle,core,bdens300_t,
LongITools,LifeCycle,outcome,BHR_,
LongITools,LifeCycle,outcome,bicepsf_,
LongITools,LifeCycle,outcome,bicepsfage_,
LongITools,LifeCycle,outcome,bicepsfmes_,
LongITools,LifeCycle,outcome,bio_,
LongITools,LifeCycle,outcome,bioage_,
LongITools,LifeCycle,outcome,biomes_,
LongITools,LifeCycle,core,birth_head_circum,
LongITools,LifeCycle,core,blue_dist_,
LongITools,LifeCycle,core,blue_dist_preg,
LongITools,LifeCycle,core,blue_dist_t,
LongITools,LifeCycle,core,blue_size_,
LongITools,LifeCycle,core,blue_size_preg,
LongITools,LifeCycle,core,blue_size_t,
LongITools,LifeCycle,core,blueyn300_,
LongITools,LifeCycle,core,blueyn300_preg,
LongITools,LifeCycle,core,blueyn300_t,
LongITools,LifeCycle,core,bn_m_,
LongITools,LifeCycle,outcome,bpage_,
LongITools,LifeCycle,core,bus_lines_100_,
LongITools,LifeCycle,core,bus_lines_100_preg,
LongITools,LifeCycle,core,bus_lines_100_t,
LongITools,LifeCycle,core,bus_lines_300_,
LongITools,LifeCycle,core,bus_lines_300_preg,
LongITools,LifeCycle,core,bus_lines_300_t,
LongITools,LifeCycle,core,bus_lines_500_,
LongITools,LifeCycle,core,bus_lines_500_preg,
LongITools,LifeCycle,core,bus_lines_500_t,
LongITools,LifeCycle,core,bus_stops_100_,
LongITools,LifeCycle,core,bus_stops_100_preg,
LongITools,LifeCycle,core,bus_stops_100_t,
LongITools,LifeCycle,core,bus_stops_300_,
LongITools,LifeCycle,core,bus_stops_300_preg,
LongITools,LifeCycle,core,bus_stops_300_t,
LongITools,LifeCycle,core,bus_stops_500_,
LongITools,LifeCycle,core,bus_stops_500_preg,
LongITools,LifeCycle,core,bus_stops_500_t,
LongITools,LifeCycle,core,cats_,
LongITools,LifeCycle,core,cats_preg,
LongITools,LifeCycle,core,cats_quant_,
LongITools,LifeCycle,core,cats_quant_preg,
LongITools,LifeCycle,outcome,cbpage_,
LongITools,LifeCycle,outcome,cbpsit_,
LongITools,LifeCycle,outcome,cdbp_,
LongITools,LifeCycle,core,cer_palsy,
LongITools,LifeCycle,outcome,cfpwvage_,
LongITools,LifeCycle,outcome,cholage_,
LongITools,LifeCycle,outcome,cholmes_,
LongITools,LifeCycle,outcome,cimtage_,
LongITools,LifeCycle,outcome,cimtmes_,
LongITools,LifeCycle,core,coh_country,
LongITools,LifeCycle,core,cohort_id,
LongITools,LifeCycle,core,con_anomalies,
LongITools,LifeCycle,core,connind100_,
LongITools,LifeCycle,core,connind100_preg,
LongITools,LifeCycle,core,connind100_t,
LongITools,LifeCycle,core,connind300_,
LongITools,LifeCycle,core,connind300_preg,
LongITools,LifeCycle,core,connind300_t,
LongITools,LifeCycle,outcome,COPD_adult_diagnosis,
LongITools,LifeCycle,outcome,COPD_adult_GOLD,
LongITools,LifeCycle,outcome,COPD_adult_LLN,
LongITools,LifeCycle,outcome,crpage_,
LongITools,LifeCycle,outcome,crpmes_,
LongITools,LifeCycle,outcome,crpwvage_,
LongITools,LifeCycle,outcome,csbp_,
LongITools,LifeCycle,core,dairy_pgn,
LongITools,LifeCycle,core,dairy_psc,
LongITools,LifeCycle,core,dairy_sch,
LongITools,LifeCycle,core,dash_pgn,
LongITools,LifeCycle,core,dash_sch,
LongITools,LifeCycle,core,death_child,
LongITools,LifeCycle,core,death_child_age,
LongITools,LifeCycle,core,death_m,
LongITools,LifeCycle,core,death_m_age,
LongITools,LifeCycle,core,death_p,
LongITools,LifeCycle,core,death_p_age,
LongITools,LifeCycle,core,death_p_fath,
LongITools,LifeCycle,core,dia_bf,
LongITools,LifeCycle,core,dietage_psc,
LongITools,LifeCycle,core,dietage_sch,
LongITools,LifeCycle,core,dietass_pgn,
LongITools,LifeCycle,core,dietass_psc,
LongITools,LifeCycle,core,dietass_sch,
LongITools,LifeCycle,core,dietga_pgn,
LongITools,LifeCycle,core,distinvnear1_,
LongITools,LifeCycle,core,distinvnear1_preg,
LongITools,LifeCycle,core,distinvnear1_t,
LongITools,LifeCycle,core,dogs_,
LongITools,LifeCycle,core,dogs_preg,
LongITools,LifeCycle,core,dogs_quant_,
LongITools,LifeCycle,core,dogs_quant_preg,
LongITools,LifeCycle,outcome,dominant_armc_,
LongITools,LifeCycle,outcome,dxafm_,
LongITools,LifeCycle,outcome,dxafmage_,
LongITools,LifeCycle,outcome,dxafmmes_,
LongITools,LifeCycle,outcome,dxalm_,
LongITools,LifeCycle,outcome,dxalmage_,
LongITools,LifeCycle,outcome,dxalmmes_,
LongITools,LifeCycle,outcome,eczema_,
LongITools,LifeCycle,outcome,eczema_ever,
LongITools,LifeCycle,outcome,eczema_m,
LongITools,LifeCycle,core,ed_m_,
LongITools,LifeCycle,core,edu_f2_,
