id,pid,name,ror id,website,email,mg_draft
UMCG_org,https://ror.org/03cv38k47,University Medical Center Groningen,University Medical Center Groningen,https://www.umcg.nl,info@umcg.nl,
test organisation,https://placeholder-pid/test-organisation.org,Test organisation without ROR,,https://website-test-organisation.org,test@email.com,
UEF,https://ror.org/00cyydd11,University of Eastern Finland,University of Eastern Finland,https://www.uef.fi,test@email.com,
OVGU,https://ror.org/00ggpsq73,Otto-von-Guericke University Magdeburg,Otto-von-Guericke University Magdeburg,http://www.ovgu.de/unimagdeburg/en/Otto+von+Guericke+University+Magdeburg.html,test@email.com,
BBMRI-ERIC,https://ror.org/00pwncn89,Biobanking and Biomolecular Resources Research Infrastructure Consortium,Biobanking and Biomolecular Resources Research Infrastructure Consortium,http://bbmri-eric.eu/,test@email.com,
AmsterdamUMC (VUmc),https://ror.org/00q6h8f30,Amsterdam UMC Location Vrije Universiteit Amsterdam,Amsterdam UMC Location Vrije Universiteit Amsterdam,https://vumc.nl,test@email.com,
Lentis Research,https://ror.org/00t93jm73,Lentis,Lentis,https://www.lentis.nl/,test@email.com,
UMCU,https://ror.org/0575yy874,University Medical Center Utrecht,University Medical Center Utrecht,https://www.umcutrecht.nl,test@email.com,
EMC,https://ror.org/018906e22,Erasmus MC,Erasmus MC,https://www.erasmusmc.nl,test@email.com,
GGZ Drenthe,https://ror.org/0107rkg57,GGZ Drenthe,GGZ Drenthe,https://www.ggzdrenthe.nl/,test@email.com,
FISABIO,https://ror.org/0116vew40,Fundación para el Fomento de la Investigación Sanitaria y Biomédica de la Comunitat Valenciana,Fundación para el Fomento de la Investigación Sanitaria y Biomédica de la Comunitat Valenciana,http://fisabio.san.gva.es/,test@email.com,
CHUT,https://ror.org/017h5q109,Centre Hospitalier Universitaire de Toulouse,Centre Hospitalier Universitaire de Toulouse,http://www.chu-toulouse.fr/,test@email.com,
NP,https://ror.org/01a80cj23,Novartis (Netherlands),Novartis (Netherlands),http://www.novartis.nl/,test@email.com,
AU,https://ror.org/01aj84f44,Aarhus University,Aarhus University,https://www.au.dk,test@email.com,
CNR-IFC,https://ror.org/01kdj2848,Istituto di Fisiologia Clinica,Istituto di Fisiologia Clinica,https://www.ifc.cnr.it/index.php/it/,test@email.com,
Maxima MC,https://ror.org/02x6rcb77,Máxima Medisch Centrum,Máxima Medisch Centrum,http://expats.mmc.nl/,test@email.com,
Soton,https://ror.org/01ryk1543,University of Southampton,University of Southampton,http://www.southampton.ac.uk/,test@email.com,
PHARMO.I,https://ror.org/01wfg6h04,Pharmo Institute,Pharmo Institute,http://www.pharmo.nl/,test@email.com,
GSK,https://ror.org/01xsqw823,GlaxoSmithKline (United Kingdom),GlaxoSmithKline (United Kingdom),http://uk.gsk.com/,test@email.com,
UiO,https://ror.org/01xtthb56,University of Oslo,University of Oslo,http://www.uio.no/english/,test@email.com,
LIPRE,https://ror.org/02c22vc57,Leibniz Institute for Prevention Research and Epidemiology - BIPS,Leibniz Institute for Prevention Research and Epidemiology - BIPS,https://www.bips-institut.de/en/home.html,test@email.com,
MUMC,https://ror.org/02d9ce178,Maastricht University Medical Centre,Maastricht University Medical Centre,https://www.mumc.nl,test@email.com,
SAN,https://ror.org/02n6c9837,Sanofi (France),Sanofi (France),http://en.sanofi.com/,test@email.com,
INSERM,https://ror.org/02vjkv261,Inserm,Inserm,https://www.inserm.fr,test@email.com,
IHD,https://ror.org/031n1rn61,Duke Institute for Health Innovation,Duke Institute for Health Innovation,http://www.dihi.org/,test@email.com,
