id,pid,acronym,name,type,type other,website,lead organisation,additional organisations,other organisations,description,status,logo,countries,publications,funding scheme,funding statement,acknowledgements,networks,networks other,study requirements,regulatory procedure number,date of signing funding contract planned,date of signing funding contract actual,collection start planned,collection start actual,analysis start planned,analysis start actual,interim report planned,interim report actual,final report planned,final report actual,data sources,data sources other,databanks,databanks other,cohorts,study features,data characterisation details,data source types,data source types other,quality marks,number of data sources,medicines studied INN codes,medicines studied ATC codes,medicines studied other,medical conditions studied,medical conditions studied other,data extraction date,study setting,analysis plan,population description,number of subjects,age groups,objectives,interventions,comparators,outcomes,study design,results,topic,topic other,trial regulatory scope,study design classification,study design classification other,study scope,study scope other,population of interest,population of interest other
ADVANCE Coverage POC,,ADVANCE Coverage POC,ADVANCE POC Study Protocol - Testing new approaches to monitoring benefit/risk with pertussis vaccines as test case. Coverage rates of acellular and whole-cell pertussis-containing vaccines in preschool children,,,,SSI,,,,,,,,,,,,,,,,,,,,,,,,,"DHL,ABL,EUROCAT NNL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIVE 2019/20,,DRIVE 2019/20,"Brand-specific influenza vaccine effectiveness in Europe, season 2019/20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DHL,ABL,EUROCAT NNL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARISE,,ARISE,Aortic Replacement using Individualised Regenerative Allografts: Bridging the Therapeutic Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DHL,ABL,EUROCAT NNL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSPECT,,INSPECT,A retrospectIve chart review study evaluatiNg the longer-term effectiveneSs of darvadstrocel in PatiEnts who CompleTed ADMIRE-CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DHL,ABL,EUROCAT NNL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS,,ACCESS,vACcine Covid-19 monitoring readinESS,,,,UMCU,"PHARMO.I,UMCU,UM,LIPRE,JORDIGOL,UB",,"This listing includes the four different safety protocol templates to monitor COVID-19 vaccine safety. These protocols were prepared on request of EMA and have been reviewed by EMA and stakeholders. Protocols require finalization by the final users and are not conducted as such. This registration includes the following protocols: 1. Cohort event monitoring to assess safety of COVID-19 vaccines using patient reported events, a protocol template from the ACCESS project 2. Rapid assessment of COVID-19 vaccines safety concerns through electronic health records: a protocol template from the ACCESS project 3. Safety evaluation of COVID-19 vaccines through electronic health records: a protocol template from the ACCESS project 4. Safety Protocol for Hospital Case–Based Monitoring of Specific Adverse Events Following COVID-19 Vaccines: A Protocol Template from the ACCESS project Section 19 includes the template protocols. Word documents can be retrieved from study authors or PI. Section 19 includes the final ACCESS report with feasibility assessment",,,,,,,,,,,,,,,,,,,,,,"DHL,ABL,EUROCAT NNL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THALIA,,THALIA,A retrospective cohort study to investigate the initiation and persistence of dual antiplatelet treatment after acute coronary syndrome in a Finnish setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSEUS,,PERSEUS,Risk of subsequent cardiovascular events in patients discharged after myocardial infarction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSc-ILD,,SSc-ILD,A Phase I trial to investigate the effect of nintedanib on the pharmacokinetics of a combination of ethinylestradiol and levonorgestrel in female patients with Systemic Sclerosis associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAHLIA,,DAHLIA,A retrospective nationwide cohort study to investigate the treatment of type 2 diabetic patients in Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASS,,PASS,A prospective observational study to assess effectiveness of the training and risk minimisation measures recommended for the usage of the diagnostic agent NeuraCeqTM in the post-authorisation clinical situation: A post-authorisation safety study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinACAF,,FinACAF,Finnish AntiCoagulation in Atrial Fibrillation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTI,,OPTI,"Non-interventional, cross-sectional, multicenter study to describe the exacerbations profile of COPD patients Treated with ICS in a real-life primary care population in Spain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPF,,IPF,Observational Analysis on the Socio-economic Impact of Idiopathic Pulmonary Fibrosis in Spain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEMS,,LEMS,Lambert-Eaton Myasthenic Syndrome (LEMS) Registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEIBA-GO,,FEIBA-GO,FEIBA NF GLOBAL OUTCOME STUDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEONARDO,,LEONARDO,"Utilization patterns, access to healthcare facilities and economic assessment of JAKi drugs used in rheumatoid arthritis patients in Tuscany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
