id,pid,acronym,name,local name,keywords,website,lead organisation,additional organisations,description,contact email,type,type other,design,design description,design schematic,design schematic_filename,collection type,logo,logo_filename,number of participants,number of participants with samples,countries,regions,population age groups,inclusion criteria,other inclusion criteria,start year,end year,population disease,population oncology topology,population oncology morphology,prelinked,linkage possibility description,release type,release description,linkage options,data holder,data access conditions,data use conditions,data access conditions description,data access fee,design paper,publications,informed consent type,funding statement,acknowledgements,supplementary information
G21,,,Generation 21,Geração XXI,,http://www.geracao21.com/pt/,ISPUP,,,,Birth cohort,,Longitudinal,,,,,60c4d2d999cf4c49b216a8ad3d6aeaaa,,8647,,Portugal,,"Newborn (0-1 months),Child (2-12 years),Adolescent (13-17 years)",,,2005,,,,,,,,,,,,,,,,,,,,
PIAMA,,,PIAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMD-MDbank,21.12110/1.3F7C-E85E-7586,GMD-MDbank,Cell lines and DNA bank of  Genetic Movement Disorders and Mitochondrial Diseases,,,http://biobanknetwork.telethon.it,,,The biobank deals with genetic movement disorders and mitochondrial diseases and is part of TNGB,barbara.garavaglia@istituto-besta.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
MYST Biobank,21.12110/1.0262-7894-7111,MYST Biobank,Myopia Study Biobank,,,,,,,c.j.m.klaver@erasmusmc.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
CAPACITY registry,21.12110/1.C1D7-6233-D6E8,,CAPACITY registry,,,,,,,info@capacity-covid.eu,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
"MPP, MFM biobanks",21.12110/1.BA86-3F66-6D5C,"MPP, MFM biobanks",MPP Biobanks in Malmö and Lund,,,,,,,olle.melander@med.lu.se,Biobank,,,,,,,,,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,
STREAM,,,STREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLCRC,,PLCRC,Molecular Early Detection Of Colorectal Cancer,Prospectief Landelijk CRC cohort,,,"UU,NKI,AmsterdamUMC (VUmc)",,"PLCRC is a nationwide cohort study in the Netherlands with inclusion of CRC patients (all stages). Within PLCRC, non-metastatic CRC patients are included in MEDOCC if their informed consent approves additional blood sampling. PLCRC-MEDOCC contains several sub-cohorts to study ctDNA.",r.fijneman@nki.nl,"Clinical cohort,Clinical trial,Biobank",,Longitudinal,,,,Prospective,,,,,,,,,,,,,,,,,,,,,"health or medical or biomedical research,disease specific research",,,,,,,,,
UNIFR,21.12110/1.433D-0BE5-D4B6,UNIFR,University of Fribourg,,,,,,,,Biobank,,,,,,,,,,,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,
Leeds Multidisciplinary Research Tissue Bank,21.12110/1.59E0-0A68-D025,,Leeds Multidisciplinary Research Tissue Bank,,,http://multirtb.leeds.ac.uk/index.php,,,"Background:  The Leeds Biobanking and Sample Processing Lab (LBSPL) is based at St James’s University Hospital and is an important element in the Leeds Clinical Research Facility (LCRF). LBSPL is dedicated to providing a sample processing service for clinical trials, and for many biobanking activities within the University and Leeds Teaching Hospitals Trust.  These currently include collections of tissue, and fluid samples such as blood and urine obtained from consented patients diagnosed with kidney, bladder, colorectal and ovarian cancer, brain tumours, and patients undergoing renal transplant. These are processed and stored in research tissue banks (Leeds Multidisciplinary RTB and Leeds NIHR Biomarker RTB) and used as a valuable resource for wider research activities.    The Leeds Multidisciplinary Research Tissue Bank (RTB) was given favourable ethical opinion by the Leeds (East) Research Ethics Committee on 3rd March 2010 and renewed 5 yeasr later (Current REC ref: 15/YH/0080).      Current situation:  The LBSPL provides ongoing sample processing support to a variety of local or commercial clinical trials requiring samples to be collected for PK/PD endpoints or other associated translational studies. The Leeds Multidisciplinary RTB currently holds matched normal and malignant frozen renal tissue samples from ~600 patients with renal cancer, and plasma, serum, buffy coat and urine samples from ~800 renal cancer patients either prior to surgery/treatment or during treatment, for example with sunitinib. In addition, fluid samples have been collected from patients with benign urological conditions, healthy controls, patients prior to and following renal transplant A population-based TMA including tissue from ~300 RCC patients has also been established.From having solely a renal focus, the RTB has expanded to now also include frozen normal tissue samples, and frozen tissue and urine samples from >1,000 patients with bladder cancer, frozen tissue from patients with brain tumours and limited samples from patients with ovarian cancer or colorectal cancer (no new collections ongoing in these areas). The Leeds NIHR BioRTB has closed to recruitment and contains a bank of fluid samples from patients with liver disease, renal cancer and patient undergoing renal transplantation. These were collected as part of a multicentre initiative in the UK, together with associated clinical data, and are intended for use in biomarker validation studies.      Sample processing and clinical data:  Samples are processed according to the relevant quality controlled Standard Operating Procedures (SOPs) within Good Clinical Practice (GCLP) laboratories. The dedicated sample processing team of laboratory technicians, administrative staff and a Quality Assurance manager works together to ensure that all samples are handled, processed, stored and tracked to the highest standards. The samples are stored accordingly at the correct temperature (e.g. snap frozen tissue in liquid nitrogen, plasma, serum and buffy coats at -80oC). All freezers and liquid nitrogen dewars which hold patient samples are monitored using the Tutela system, a 24/7 web-based alert response temperature monitoring system.    Full clinical data is being collected using CRFs. Follow-up data and data available later such as pathology results are obtained from the relevant hospital records/databases by trained personnel with appropriate access. We hope to move to more automated data linkage in the future through working with the Leeds Institute of Data Analytics.      To find further information about collaborative access to these RTB samples please e-mail Roz Banks or Jo Brown at rtb@leeds.ac.uk.",rtb@leeds.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
