network,variable.resource,variable.dataset,variable.name
LongITools,LifeCycle_CDM,core,agebirth_m_y
LongITools,LifeCycle_CDM,core,agebirth_p_fath
LongITools,LifeCycle_CDM,core,agebirth_p_y
LongITools,LifeCycle_CDM,core,alc_t1
LongITools,LifeCycle_CDM,core,alc_t2
LongITools,LifeCycle_CDM,core,alc_t3
LongITools,LifeCycle_CDM,core,birth_length
LongITools,LifeCycle_CDM,core,birth_month
LongITools,LifeCycle_CDM,core,birth_weight
LongITools,LifeCycle_CDM,core,birth_year
LongITools,LifeCycle_CDM,core,breastfed_any
LongITools,LifeCycle_CDM,core,breastfed_ever
LongITools,LifeCycle_CDM,core,breastfed_excl
LongITools,LifeCycle_CDM,outcome,cfpwv_
LongITools,LifeCycle_CDM,core,child_no
LongITools,LifeCycle_CDM,core,childcare_0
LongITools,LifeCycle_CDM,core,childcare_1
LongITools,LifeCycle_CDM,core,childcare_2
LongITools,LifeCycle_CDM,core,childcare_3
LongITools,LifeCycle_CDM,core,childcare_intro
LongITools,LifeCycle_CDM,core,childcarecentre_0
LongITools,LifeCycle_CDM,core,childcarecentre_1
LongITools,LifeCycle_CDM,core,childcarecentre_2
LongITools,LifeCycle_CDM,core,childcarecentre_3
LongITools,LifeCycle_CDM,core,childcareprof_0
LongITools,LifeCycle_CDM,core,childcareprof_1
LongITools,LifeCycle_CDM,core,childcareprof_2
LongITools,LifeCycle_CDM,core,childcareprof_3
LongITools,LifeCycle_CDM,core,childcarerel_0
LongITools,LifeCycle_CDM,core,childcarerel_1
LongITools,LifeCycle_CDM,core,childcarerel_2
LongITools,LifeCycle_CDM,core,childcarerel_3
LongITools,LifeCycle_CDM,outcome,chol_
LongITools,LifeCycle_CDM,outcome,chol_cord
LongITools,LifeCycle_CDM,outcome,cimt_
LongITools,LifeCycle_CDM,core,cob_m
LongITools,LifeCycle_CDM,core,cob_p
LongITools,LifeCycle_CDM,core,cob_p_fath
LongITools,LifeCycle_CDM,core,cohab_
LongITools,LifeCycle_CDM,outcome,crp_
LongITools,LifeCycle_CDM,outcome,crp_cord
LongITools,LifeCycle_CDM,outcome,crpwv_
LongITools,LifeCycle_CDM,outcome,dbp_
LongITools,LifeCycle_CDM,outcome,dbpav_
LongITools,LifeCycle_CDM,core,edu_f1_
LongITools,LifeCycle_CDM,core,edu_f1_fath_
LongITools,LifeCycle_CDM,core,edu_m_
LongITools,LifeCycle_CDM,core,ethn_p_fath
LongITools,LifeCycle_CDM,core,ethn1_m
LongITools,LifeCycle_CDM,core,ethn1_p
LongITools,LifeCycle_CDM,core,ethn2_m
LongITools,LifeCycle_CDM,core,ethn2_p
LongITools,LifeCycle_CDM,core,ethn3_m
LongITools,LifeCycle_CDM,core,ethn3_p
LongITools,LifeCycle_CDM,core,ga_bj
LongITools,LifeCycle_CDM,core,ga_lmp
LongITools,LifeCycle_CDM,core,ga_mr
LongITools,LifeCycle_CDM,core,ga_us
LongITools,LifeCycle_CDM,outcome,glucose_
LongITools,LifeCycle_CDM,outcome,glucose_cord
