tableName,tableExtends,tableType,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,refLabel,defaultValue,validation,visible,computed,semantics,profiles,label,description
Publications,,,,,,,,,,,,,,,,,,,Publications following bibtex format
Resources,,,,,,,,,,,,,,,,,,,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies"
Version,,,,,,,,,,,,,,,,,,,3.12
Organisations,Resources,,,,,,,,,,,,,,,,,,Research departments and research groups
Contacts,,,,,,,,,,,,,,,,,,,Listing of contact persons per resource
Extended resources,Resources,,,,,,,,,,,,,,,,,,"Generic listing of all extended resources. Should not be used directly, instead use specific types such as Databanks and Cohorts"
Models,Extended resources,,,,,,,,,,,,,,,,,,Data models
Quantitative information,,,,,,,,,,,,,,,,,,,Quantitative information on the resource
Subcohorts,,,,,,,,,,,,,,,,,,,Subcohorts defined for this resource
Aggregates,,,,,,,,,,,,,,,,,,,"Resource counts for e.g. samples, clinical data"
Collection events,,,,,,,,,,,,,,,,,,,Definition of a data collection event for a resource
Data resources,Extended resources,,,,,,,,,,,,,,,,,,Resources for data
Datasets,,,,,,,,,,,,,,,,,,,Definition of a dataset within a (common) data model
External identifiers,,,,,,,,,,,,,,,,,,,External identifier(s) for this resource
Mappings,,,,,,,,,,,,,,,,,,,"Mapping from collected datasets to standard/harmonised datasets, optionally including ETL syntaxes"
RWE resources,Data resources,,,,,,,,,,,,,,,,,,Real world data collections
Subcohort counts,,,,,,,,,,,,,,,,,,,"Number of participants per subcohort age group, optionally divided per sex"
All variables,,,,,,,,,,,,,,,,,,,"Generic listing of all source variables. Should not be used directly, please use SourceVariables or RepeatedSourceVariables instead"
Cohorts,Data resources,,,,,,,,,,,,,,,,,,Group of individuals sharing a defining demographic characteristic
Data sources,RWE resources,,,,,,,,,,,,,,,,,,Collections of multiple data banks covering the same population
Dataset mappings,,,,,,,,,,,,,,,,,,,Mappings from collected or source datasets to harmonised or target datasets
Linked resources,,,,,,,,,,,,,,,,,,,Links between datasource and databank
Submissions,,,,,,,,,,,,,,,,,,,Documentation of data submissions related to a resource
Variables,All variables,,,,,,,,,,,,,,,,,,"Definition of a non-repeated variable, or of the first variable from a repeated range"
DAPs,,,,,,,,,,,,,,,,,,,Data access provider relationship where an institution can provide access to (parts of) a resource
Documentation,,,,,,,,,,,,,,,,,,,Documentation attached to a resource
Repeated variables,All variables,,,,,,,,,,,,,,,,,,Definition of a repeated sourceVariable. Refers to another variable for its definition
Variable mappings,,,,,,,,,,,,,,,,,,,"Mappings from collected variables to standard/harmonised variables, optionally including ETL syntax"
Databanks,RWE resources,,,,,,,,,,,,,,,,,,"Data collection from real world databases such as health records, registries"
Networks,Extended resources,,,,,,,,,,,,,,,,,,Collaborations of multiple institutions
Variable values,,,,,,,,,,,,,,,,,,,Listing of categorical value+label definition in case of a categorical variable
Catalogues,,,,,,,,,,,,,,,,,,,A collection of resources within a network or consortium or about a common topic
Studies,Extended resources,,,,,,,,,,,,,,,,,,"Collaborations of multiple institutions, addressing research questions using data sources and/or data banks"
Network variables,,,,,,,,,,,,,,,,,,,Listing of the variables used in a network
Aggregates,,,resource,ref,1,True,,Extended resources,,,,,,,,,"DataCatalogue,CohortStaging",,Resource this sample or data count refers to
Aggregates,,,research center,ref,1,True,,Organisations,,,,,,,,,DataCatalogue,,
Aggregates,,,primary tumor,ontology,1,True,CatalogueOntologies,Tumor types,,,,,,,,,"DataCatalogue,CohortStaging",,
Aggregates,,,sample type,ontology,1,True,CatalogueOntologies,Sample types,,,,,,,,,"DataCatalogue,CohortStaging",,
Aggregates,,,sampling period,ontology,1,True,CatalogueOntologies,Sampling periods,,,,,,,,,"DataCatalogue,CohortStaging",,
Aggregates,,,sex,ontology,1,True,CatalogueOntologies,Sex,,,,,,,,,"DataCatalogue,CohortStaging",,
Aggregates,,,n,int,,True,,,,,,,,,,,"DataCatalogue,CohortStaging",,count
All variables,,,resource,ref,1,true,,Extended resources,,,,,,,,,"DataCatalogue,CohortStaging",,Data source that this variable was collected in
All variables,,,dataset,ref,1,true,,Datasets,resource,,,,,,,,"DataCatalogue,CohortStaging",,Dataset this variable is part of
All variables,,,name,,1,true,,,,,,,,,,,"DataCatalogue,CohortStaging",,"name of the variable, unique within a table"
All variables,,,label,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,"Human friendly longer name, if applicable"
All variables,,,collection event,ref,,,,Collection events,,,,,,,,,"DataCatalogue,CohortStaging",,in case of protocolised data collection this defines the moment(s) in time this variable is collected on
All variables,,,since version,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,When this variable was introduced
All variables,,,until version,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,When this variable was removed if applicable
Variables,,,format,ontology,,,CatalogueOntologies,Formats,,,,,,,,,"DataCatalogue,CohortStaging",,"Data type, e.g. string,int,decimal,date,datetime etc"
Variables,,,unit,ontology,,,CatalogueOntologies,Units,,,,,,,,,"DataCatalogue,CohortStaging",,
Variables,,,references,ref,,,,All variables,resource,,,,,,,,"DataCatalogue,CohortStaging",,to define foreign key relationships between variables within or across tables
Variables,,,mandatory,bool,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,whether this variable is required within this collection
Variables,,,description,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,
Variables,,,order,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,to sort variables you can optionally add an order value
Variables,,,example values,string_array,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,
Variables,,,permitted values,refback,,,,Variable values,,variable,,,,,,,"DataCatalogue,CohortStaging",,
Variables,,,keywords,ontology_array,,,CatalogueOntologies,Keywords,,,,,,,,,"DataCatalogue,CohortStaging",,
Variables,,,repeats,refback,,,,Repeated variables,,is repeat of,,,,,,,"DataCatalogue,CohortStaging",,listing of all repeated variables defined for this variable
Variables,,,vocabularies,ontology_array,,,CatalogueOntologies,Vocabularies,,,,,,,,,"DataCatalogue,CohortStaging",,
Variables,,,notes,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Any other information on this variable
All variables,,,mappings,refback,,,,Variable mappings,,target variable,,,,,,,DataCatalogue,,in case of protocolised data collection this defines the moment in time this variable is collected on
Repeated variables,,,is repeat of,ref,,True,,Variables,resource,,,,,,,,"DataCatalogue,CohortStaging",,reference to the definition of the sourceVariable that is being repeated
Catalogues,,,network,ref,1,true,,Networks,,,,,,,,,DataCatalogue,,Network or consortium that leads this catalogue
Catalogues,,,type,ontology,,True,CatalogueOntologies,CatalogueTypes,,,,,,,,,DataCatalogue,,Type of catalogue
Collection events,,,resource,ref,1,true,,Extended resources,,,,,,,,,"DataCatalogue,CohortStaging",,Resource this collection event is part of
Collection events,,,name,,1,true,,,,,,,,,,,"DataCatalogue,CohortStaging",,Name of the collection event
Collection events,,,description,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Description of the collection event
Collection events,,,subcohorts,ref_array,,,,Subcohorts,resource,,,,,,,,"DataCatalogue,CohortStaging",,Subcohorts that are targetted by this collection event
Collection events,,,start year,ontology,,,CatalogueOntologies,Years,,,,,,,,,"DataCatalogue,CohortStaging",,Start year of data collection
Collection events,,,start month,ontology,,,CatalogueOntologies,Months,,,,,,,,,"DataCatalogue,CohortStaging",,Start month of data collection
Collection events,,,end year,ontology,,,CatalogueOntologies,Years,,,,,,,,,"DataCatalogue,CohortStaging",,End year of data collection. Leave empty if collection is ongoing
Collection events,,,end month,ontology,,,CatalogueOntologies,Months,,,,,,,,,"DataCatalogue,CohortStaging",,End month of data collection. Leave empty if collection is ongoing
Collection events,,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,,,,,"DataCatalogue,CohortStaging",,Age groups included in this data collection event
Collection events,,,number of participants,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Number of participants sampled in this data collection event
Collection events,,,areas of information,ontology_array,,,CatalogueOntologies,Areas of information cohorts,,,,,,,,,"DataCatalogue,CohortStaging",,Areas of information that were extracted in this data collection event
Collection events,,,data categories,ontology_array,,,CatalogueOntologies,Data categories,,,,,,,,,"DataCatalogue,CohortStaging",,Methods of data collection used in this collection event
Collection events,,,sample categories,ontology_array,,,CatalogueOntologies,Sample categories,,,,,,,,,"DataCatalogue,CohortStaging",,Samples that were collected in this collection event
Collection events,,,standardized tools,ontology_array,,,CatalogueOntologies,Standardized tools,,,,,,,,,"DataCatalogue,CohortStaging",,"Standardized tools, e.g. surveys, questionnaires, instruments used to collect data for this collection event"
Collection events,,,standardized tools other,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,"If 'other', please specify"
Collection events,,,core variables,string_array,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Name 10-20 relevant variables that were collected in this collection event
Collection events,,,supplementary information,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Any other information that needs to be disclosed for this collection event
Contacts,,,resource,ref,1,true,,Resources,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Resource the contact is affiliated with
