id,pid,acronym,name,local name,type,type other,keywords,website,lead organisation,additional organisations,description,data collection description,date established,start data collection,end data collection,time span description,logo,number of participants,number of participants with samples,underlying population,countries,regions,population age groups,population entry,population entry other,population exit,population exit other,population disease,population oncology topology,population oncology morphology,population coverage,population not covered,areas of information,quality of life other,cause of death code other,indication vocabulary other,genetic data vocabulary other,care setting other,medicinal product vocabulary other,prescriptions vocabulary other,dispensings vocabulary other,procedures vocabulary other,biomarker data vocabulary other,diagnosis medical event vocabulary other,data dictionary available,disease details,disease details other,biospecimen collected,languages,record trigger,unit of observation,multiple entries,has identifier,identifier description,linkage description,linkage possibility,data holder,reason sustained,informed consent,informed consent other,access identifiable data,access identifiable data route,access subject details,access subject details route,audit possible,access third party,access third party conditions,access non EU,access non EU conditions,standard operating procedures,biospecimen access,biospecimen access conditions,governance details,approval for publication,refresh,lag time,preservation,preservation duration,refresh period,date last refresh,qualification,qualifications description,number of records,completeness,completeness over time,completeness results,quality description,quality over time,access for validation,quality validation frequency,quality validation methods,correction methods,quality validation results,cdms other,ETL standard vocabularies,ETL standard vocabularies other,design paper,publications,informed consent type,funding sources,funding statement,acknowledgements,supplementary information
COD_FARMACI_SPF,,COD_FARMACI_SPF,COD_FARMACI_SPF,,,,,,,,Medicinal products,,,,,,,,,All products with marketing authorisation in Italy (even if expired or withdrawn).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marketing authorisation by the Italian regulatory agency (AIFA) for a product is issued on the National Official Bullettin with some information. A company called Farmadati collects this information, and ARS purchases regular updates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Every other month.,,,,,,,,,,,,,,,,,,
AP,,AP,AP,,,Pathology registry,,,ARS.TOSCANA,,Pathology registry,,,,,,,,,All legal inhabitants of the Tuscany Region (Italy),Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The analysis of a sample by a pathology ward in Tuscany.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It is expected to be complete in the last years. Many coded fields are approximate.,The table exist since 2008. The table is updated every 3-4 months and is complete up to around 6 months before that date.,,,,,,,,,,,,,,,,,,
ARS_ANAG_MED_RES_storico,,,ARS_ANAG_MED_RES_storico,,Registration with healthcare system,,,,ARS.TOSCANA,,Inhabitant register,,,,,,,,,"Every person legally resident in Tuscany is enttled to subscribe to this registry. This registry is what defines our datsource population: indeed being registered in this registry implies that all healthcare funded by the Healthcare System will be funded by the Tuscany Region, which will trigger records of all the other tables of ARS datas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is the only table in our database that we truly build from scratch from original regional data. We create a history of our subjects based on the ANAGRAFE, that is, a regular sequence of cross-sectional depictions of who is in a given moment assisted in our Regional Heathcare Serice. The history is the sequence of records, with start and end validity of the time-dependent info (such as primary care physician, or residence). This impli
A record of ANAGRAFE is created upon one of the following events:
	when a person asks registration with a primary care physician in Tuscany, something that every person legally resident in Tuscany is allowed to do (so, upon birth or immigration)
	when a person changes primary care physician or place of residence
	when the local health unit receives notification that a person is registered in another local health unit in Tuscany
	when the local health unit receives notification that a person is registered in another local en the local health unit receives notification by the municipality of residence or of death that a person is dead (this is the source of death date)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"People may fail to register out when they leave Tuscany to live abroad, this may happen more often to young people or to people who is not Italian citizen in the first place. Foreign women who change name due to marriage may be recorded twice (in Italy marriage does not cause a name change). Other cause for overestimation of the population is when death fails to be notified, something that has happened in the past and is responsible for large decrease of the total number of heads in January 2016. This implies that person time of ederly people before the end of 2016 is overestimated.
Quality of the recording has dramatically improved in 2009, so for studies where long follow-ups are not necessary using data from 2009 onwards is safer.","The first cross-sectional images of the ANAGRAFE were obtained by ARS in 2003, although records may be older. We have received 1-2 cross-sectional images up to 2009. Since then we regularly receive images (every couple of months), with a negligible lag time.",,,,,,,,,,,,,,,,,,
ARS_PS,,PS,ARS_PS,,,,,,,,Emergency admissions,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admission to the emergency room of a Tuscan hospital. The record is immediately transmitted to the Region without further control.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnoses may be generic.,"The table started in 2009 and has been complete since 2012. It is updated every 3-4 months, and completeness is immediate.",,,,,,,,,,,,,,,,,,
ANAGRAFICA,,ANAGRAFICA,ANAGRAFICA,,Population registry,,,,,,Inhabitant registry,,,,,,,,,"All the legal inhabitants of the area of the city of Caserta and of its Local Health Unit (around 1.2 million over the database follow-up, of which 923,445 are the residents that live in the city in 2018).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The registration with a primary care physician of an NHS beneficiary in the Caserta catchment area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This table is considered to have a high degree of completeness because it is mandatory. If young people immigrate, they may be delayed in registering.","This table started in 2005.

University of Messina receives all the data of the LHU every February for the previous year, and is allowed to store it inhouse.

The lag time between collection of new data and availability of new data in house is usually 1 year at most. For exception technical reasons (change in data collection platform), we have not yet updated data to 2019. We expect to do this in the next 3-6 months.",,,,,,,,,,,,,,,,,,
EFEMERIS_PRESCRIPTION,,EFEMERIS_PRESCRIPTION,EFEMERIS_PRESCRIPTION,,,,,,CHUT,,Pharmacy dispensings registry,,,,,,,,,"The table is collected for all the population of EFEMERIS.
If a woman does not take any medication before or during pregnancy, she would still be captured as long as the pregnancy is recorded in the Health Insurance database.",France,,,,,,,,,,,,"Clinical data,Dispensings included,Product information,Brand name,Batch number,Formulation,Strength,Package size,Administration vaccines,Population pregnancy and neonates",,,,,,,,,,,,,,,,,"A record is created by the Health Insurance system based on the information received by the pharmacy after a woman retrieved a reimbursable medication.
The information is sent by Health Insurance to EFEMERIS database when a woman is labelled as pregnant at the time of dispensing or if she is known to be pregnant afterwards. The Health Insurance data cover the dispensing of medications from 3 months before the conception to the date of end of pregnancy.
Moreover, a woman will be recorded in EFEMERIS only if there is an outcome that we can associate to the pregnancy.
The woman must communicate to the Health Insurance that she is pregnant in order to obtain a full reimbursement of the medications from the 6th month of pregnancy. In France, women have to declare their pregnancy (mandatory at before 12 weeks) to have their health costs and medicines fully reimbursed (otherwise pay 30% etc.). If a woman requests an elective abortion, she needs to declare the pregnancy to be fully reimbursed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Health Insurance database is of very high quality and completeness. It records automatically the prescriptions dispensed at pharmacists. This electronic system is national even though we only have accessed to data at the Haute-Garonne area level.,"Currently, EFEMERIS is composed of pregnancies ending from July, 2004 to December, 2019. EFEMERIS is updated every year. 
Data year N available approximately in N+1.",,,,,,,,,,,,,,,,,,
FARMACEUTICA,,FARMACEUTICA,FARMACEUTICA,,,,,,,,Drug dispensations,,,,,,,,,"All the population in the database, provided that the drug is reimbursed by the NHS and is purchased with an NHS prescription.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The dispensing of a drug which is reimbursed by the NHS, from community pharmacy or from hospital pharmacies for outpatient use, to NHS beneficiaries, upon a prescription.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This table is generally considered to be complete. Data could be missing if patients opt to not request reimbursement for their medication.  

Dispensations occurring outside of the LHU of Caserta are likely to be captured with a delay of 1-2 years.","The lag time between collection of new data and availability of new data in house is usually 1 year at most. For exception technical reasons (change in data collection platform), we have not yet updated data to 2019. We expect to do this in the next 3-6 months.",,,,,,,,,,,,,,,,,,
EXE,,EXE,EXE,,,,,,,,Exemptions from copayment,,,,,,,,,It is collected for all residents of the catchment area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The instance in which an NHS beneficiary from the catchment area is recorded as having a co-payment exemption, such as a chronic disease and poor socioeconomic status.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This table is considered to be complete: whenever an exemption is issued, it is recorded. However people with a chronic disease not necessarily request the corresponding exemption.

It may not be accurate for certain conditions, such as diabetes, which is an over-used and misused exemption code. It can be used as a proxy of some diseases which exempt NHS beneficiaries from co-payment, but it is not always requested by patients. 

For example, a person with movement disorders may not request a co-pay exemption because they may not need it and it's an administrative burden, or are afraid of stigma

Another point to bear in mind is that some co-payment exemptions trump others; for example, a patient may have a rare disease and a poor socioeconomic status, but since the exemption for socioeconomic status is more economically advantageous, the patient may opt for the latter. Data on rare disease exemption would the","The lag time between collection of new data and availability of new data in house is usually 1 year at most. For exception technical reasons (change in data collection platform), we have not yet updated data to 2019. We expect to do this in the next 3-6 months.",,,,,,,,,,,,,,,,,,
SPECIALISTICA,,SPECIALISTICA,SPECIALISTICA,,,,,,,,Specialist visits and diagnostic tests,,,,,,,,,"It is collected for all NHS beneficiaries in the catchment area, provided that the specialist visits and diagnostic tests are conducted within an NHS setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The claim for a specialist practitioner visit or for a diagnostic test.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is usually considered to have an acceptable level of quality. 

Private services would not be recorded. We expect this occurs rarely but we are not able to quantify.","Services delivered outside of the Caserta LHU are captured with a delay. At present we are unable to quantify this delay. 
 
The lag time between collection of new data and availability of new data in house is usually 1 year at most. For exception technical reasons (change in data collection platform), we have not yet updated data to 2019. We expect to do this in the next 3-6 months.",,,,,,,,,,,,,,,,,,
PHT,,PHT,PHT,,,,,,,,Treatment plan registry,,,,,,,,,"It is collected for all population. 
Each treatment plan prescribed to a patient is registered.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The prescription of specific drugs for a pathology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The table is complete and reliable.
Each record represents a therapeutic plan (prescription). The start and end date, the dosage and the posology are specified (number of drug units in the time interval).","The table currently contains data from 2010 to 2018.

The lag time between collection of new data and availability of new data in house is usually 1 year at most. We expect to do this in the next 3-6 months.",,,,,,,,,,,,,,,,,,
