resource,dataset,name,label,collection event.resource,collection event.name,since version,until version,is repeat of.dataset,is repeat of.name
ATHLETE_CDM,chemicals_ath,c_dmtp_raw_21,,,,,,chemicals_ath,c_dmtp_raw_0
ATHLETE_CDM,chemicals_ath,c_dmtp_lod_18,,,,,,chemicals_ath,c_dmtp_lod_0
ATHLETE_CDM,chemicals_ath,c_dmtp_lod_19,,,,,,chemicals_ath,c_dmtp_lod_0
ATHLETE_CDM,chemicals_ath,c_dmtp_lod_20,,,,,,chemicals_ath,c_dmtp_lod_0
ATHLETE_CDM,chemicals_ath,c_dmtp_lod_21,,,,,,chemicals_ath,c_dmtp_lod_0
ATHLETE_CDM,outcome_ath,rhinitis_ttt_12m_18,,,,,,outcome_ath,rhinitis_ttt_12m_0
ATHLETE_CDM,outcome_ath,rhinitis_ttt_12m_19,,,,,,outcome_ath,rhinitis_ttt_12m_0
ATHLETE_CDM,outcome_ath,rhinitis_ttt_12m_20,,,,,,outcome_ath,rhinitis_ttt_12m_0
ATHLETE_CDM,outcome_ath,rhinitis_ttt_12m_21,,,,,,outcome_ath,rhinitis_ttt_12m_0
ATHLETE_CDM,chemicals_ath,c_dmdtp_raw_18,,,,,,chemicals_ath,c_dmdtp_raw_0
ATHLETE_CDM,chemicals_ath,c_dmdtp_raw_19,,,,,,chemicals_ath,c_dmdtp_raw_0
ATHLETE_CDM,chemicals_ath,c_dmdtp_raw_20,,,,,,chemicals_ath,c_dmdtp_raw_0
ATHLETE_CDM,chemicals_ath,c_dmdtp_raw_21,,,,,,chemicals_ath,c_dmdtp_raw_0
ATHLETE_CDM,chemicals_ath,c_mibp_lod_19,,,,,,chemicals_ath,c_mibp_lod_0
ATHLETE_CDM,chemicals_ath,c_mibp_lod_20,,,,,,chemicals_ath,c_mibp_lod_0
ATHLETE_CDM,chemicals_ath,c_mibp_lod_21,,,,,,chemicals_ath,c_mibp_lod_0
ATHLETE_CDM,chemicals_ath,c_mnbp_raw_18,,,,,,chemicals_ath,c_mnbp_raw_0
ATHLETE_CDM,chemicals_ath,c_mnbp_raw_19,,,,,,chemicals_ath,c_mnbp_raw_0
ATHLETE_CDM,chemicals_ath,c_mnbp_raw_20,,,,,,chemicals_ath,c_mnbp_raw_0
ATHLETE_CDM,chemicals_ath,c_mnbp_raw_21,,,,,,chemicals_ath,c_mnbp_raw_0
PIAMA,antro_3mnd_20y,dweight,,,2year,1.0.0,,antro_3mnd_20y,bweight
PIAMA,antro_3mnd_20y,eweight,,,3year,1.0.0,,antro_3mnd_20y,bweight
PIAMA,antro_3mnd_20y,fweight,,,4year,1.0.0,,antro_3mnd_20y,bweight
PIAMA,antro_3mnd_20y,gweight,,,5year,1.0.0,,antro_3mnd_20y,bweight
PIAMA,antro_3mnd_20y,hweight,,,6year,1.0.0,,antro_3mnd_20y,bweight
PIAMA,antro_3mnd_20y,jweight,,,7year,1.0.0,,antro_3mnd_20y,bweight
PIAMA,antro_3mnd_20y,kweight,,,8year,1.0.0,,antro_3mnd_20y,bweight
PIAMA,antro_3mnd_20y,mweight,,,11year,1.0.0,,antro_3mnd_20y,bweight
PIAMA,antro_3mnd_20y,nweight,,,14year,1.0.0,,antro_3mnd_20y,bweight
PIAMA,antro_3mnd_20y,rweight,,,17year,1.0.0,,antro_3mnd_20y,bweight
PIAMA,antro_3mnd_20y,skweight,,,20year,1.0.0,,antro_3mnd_20y,bweight
PIAMA,antro_3mnd_20y,clength,,,1year,1.0.0,,antro_3mnd_20y,blength
PIAMA,antro_3mnd_20y,dlength,,,2year,1.0.0,,antro_3mnd_20y,blength
PIAMA,antro_3mnd_20y,elength,,,3year,1.0.0,,antro_3mnd_20y,blength
PIAMA,antro_3mnd_20y,flength,,,4year,1.0.0,,antro_3mnd_20y,blength
PIAMA,antro_3mnd_20y,cweight,,,1year,1.0.0,,antro_3mnd_20y,bweight
PIAMA,antro_3mnd_20y,glength,,,5year,1.0.0,,antro_3mnd_20y,blength
PIAMA,antro_3mnd_20y,hlength,,,6year,1.0.0,,antro_3mnd_20y,blength
PIAMA,antro_3mnd_20y,jlength,,,7year,1.0.0,,antro_3mnd_20y,blength
PIAMA,antro_3mnd_20y,klength,,,8year,1.0.0,,antro_3mnd_20y,blength
PIAMA,antro_3mnd_20y,mlength,,,11year,1.0.0,,antro_3mnd_20y,blength
PIAMA,antro_3mnd_20y,nlength,,,14year,1.0.0,,antro_3mnd_20y,blength
PIAMA,antro_3mnd_20y,rlength,,,17year,1.0.0,,antro_3mnd_20y,blength
PIAMA,antro_3mnd_20y,sklength,,,20year,1.0.0,,antro_3mnd_20y,blength
PIAMA,mcvl_blzt9,mkhealth2,General health status at baseline,PIAMA,3mnd,,,mcvl_blzt9,mkhealth
PIAMA,mcvl_blzt9,mkhealth3,General health status at baseline,PIAMA,7year,,,mcvl_blzt9,mkhealth
LifeCycle_CDM,outcome,armcirc_73,,,,1.0.0,,outcome,armcirc_0
SYSDIMET,Sysdimet_data,kasvikset_12WK,,SYSDIMET,week 12,1.0.0,,Sysdimet_data,kasvikset_0WK
LifeCycle_CDM,outcome,dxalm_168,,,,1.0.0,,outcome,dxalm_0
LifeCycle_CDM,outcome,dxalm_169,,,,1.0.0,,outcome,dxalm_0
LifeCycle_CDM,outcome,dxalm_170,,,,1.0.0,,outcome,dxalm_0
LifeCycle_CDM,outcome,dxalm_171,,,,1.0.0,,outcome,dxalm_0
LifeCycle_CDM,outcome,dxalm_175,,,,1.0.0,,outcome,dxalm_0
LifeCycle_CDM,outcome,armcirc_40,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_41,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_42,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_44,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_45,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_62,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_63,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_64,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_65,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_66,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_75,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_76,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_87,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_88,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_89,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_90,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_91,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_92,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_96,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_97,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_98,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_99,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_100,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,dxalm_183,,,,1.0.0,,outcome,dxalm_0
LifeCycle_CDM,outcome,armcirc_101,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_102,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_103,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_132,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_133,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_134,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_137,,,,1.0.0,,outcome,armcirc_0
INMA,INMA_LifeCycleWP6,wm_eval_7,,,,,,INMA_LifeCycleWP6,wm_eval_5
EXPANSE_CDM,General,dom_1,,EXPANSE_CDM,Followup1,1.0,,General,dom_0
SAPALDIA,metadata,sex_s3,,SAPALDIA,SAP3,1.0.0,,metadata,sex_s1
ATHLETE_CDM,outcome_ath,att_om_raw_10,,,,,,outcome_ath,att_om_raw_0
EXPANSE_CDM,General,dom_2,,EXPANSE_CDM,Followup2,1.0,,General,dom_0
EXPANSE_CDM,General,dom_3,,EXPANSE_CDM,Followup3,1.0,,General,dom_0
SAPALDIA,metadata,sex_s4,,SAPALDIA,SAP4,1.0.0,,metadata,sex_s1
ATHLETE_CDM,chemicals_ath,c_pfhxs_raw_7,,,,1.1.0,,chemicals_ath,c_pfhxs_raw_0
INMA,INMA_LifeCycleWP6,int_eval_9,,,,,,INMA_LifeCycleWP6,int_eval_7
INMA,INMA_LifeCycleWP6,lan_eval_10,,,,,,INMA_LifeCycleWP6,lan_eval_4
EXPANSE_CDM,General,dom_4,,EXPANSE_CDM,Followup4,1.0,,General,dom_0
ATHLETE_CDM,outcome_ath,att_om_raw_11,,,,,,outcome_ath,att_om_raw_0
LifeCycle_CDM,core,areases_quint_10,,,,1.0.0,,core,areases_quint_0
INMA,INMA_LifeCycleWP6,lan_eval_5,,,,,,INMA_LifeCycleWP6,lan_eval_4
EXPANSE_CDM,General,dom_5,,EXPANSE_CDM,Followup5,1.0,,General,dom_0
SAPALDIA,metadata,sex_s2,,SAPALDIA,SAP2,1.0.0,,metadata,sex_s1
SYSDIMET,Sysdimet_data,hedelm_11WK,,SYSDIMET,week 12,1.0.0,,Sysdimet_data,hedelm_0WK
INMA,INMA_LifeCycleWP6,int_eval_12,,,,,,INMA_LifeCycleWP6,int_eval_7
LifeCycle_CDM,outcome,armcirc_118,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_119,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_120,,,,1.0.0,,outcome,armcirc_0
EXPANSE_CDM,General,dom_6,,EXPANSE_CDM,Followup6,1.0,,General,dom_0
EXPANSE_CDM,Cardiometabolic,bmi_rep_2,,EXPANSE_CDM,Followup2,1.0,,Cardiometabolic,bmi_rep_0
EXPANSE_CDM,General,dom_7,,EXPANSE_CDM,Followup7,1.0,,General,dom_0
EXPANSE_CDM,Cardiometabolic,bmi_rep_3,,EXPANSE_CDM,Followup3,1.0,,Cardiometabolic,bmi_rep_0
INMA,INMA_LifeCycleWP6,int_eval_8,,,,,,INMA_LifeCycleWP6,int_eval_7
EXPANSE_CDM,Cardiometabolic,bmi_rep_4,,EXPANSE_CDM,Followup4,1.0,,Cardiometabolic,bmi_rep_0
ATHLETE_CDM,urban_ath,ath_ndvi100_mean_4,5-years moving average (YYYY-4 to YYYY) of NDVI within a 100 meter buffer around geocode using all available images during the greenest period (from May to August) at four years of age,,,1.0.0,,urban_ath,ath_ndvi100_mean_0
SAPALDIA,metadata,docbronch_s4,,SAPALDIA,SAP4,1.0.0,,metadata,docbronch_s1
ATHLETE_CDM,chemicals_ath,c_pfhxs_raw_9,,,,1.1.0,,chemicals_ath,c_pfhxs_raw_0
INMA,INMA_LifeCycleWP6,lan_eval_6,,,,,,INMA_LifeCycleWP6,lan_eval_4
INMA,INMA_LifeCycleWP6,nvi_eval_10,,,,,,INMA_LifeCycleWP6,nvi_eval_4
INMA,INMA_LifeCycleWP6,lan_eval_7,,,,,,INMA_LifeCycleWP6,lan_eval_4
SYSDIMET,Sysdimet_data,vyotar_12WK,,SYSDIMET,week 12,1.0.0,,Sysdimet_data,vyotaro_0WK
ATHLETE_CDM,chemicals_ath,c_mnbp_lod_18,,,,,,chemicals_ath,c_mnbp_lod_0
EXPANSE_CDM,Cardiometabolic,bmi_rep_5,,EXPANSE_CDM,Followup5,1.0,,Cardiometabolic,bmi_rep_0
SYSDIMET,Sysdimet_data,pgluk0_12WK,,SYSDIMET,week 12,1.0.0,,Sysdimet_data,pgluk0_0WK
ATHLETE_CDM,chemicals_ath,c_mnbp_lod_19,,,,,,chemicals_ath,c_mnbp_lod_0
SYSDIMET,Sysdimet_data,rrdia1_12WK,,SYSDIMET,week 12,1.0.0,,Sysdimet_data,rridas1_0WK
ATHLETE_CDM,outcome_ath,z_bmi_241,,,,,,outcome_ath,z_bmi_0
SYSDIMET,Sysdimet_data,rrsys_12WK,,SYSDIMET,week 12,1.0.0,,Sysdimet_data,rrsyst_0WK
EXPANSE_CDM,Area_level,deprivation_9,,EXPANSE_CDM,Followup9,1.0,,Area_level,deprivation_0
ATHLETE_CDM,outcome_ath,aggr_pc_17,,,,,,outcome_ath,aggr_pc_0
INMA,INMA_LifeCycleWP6,lan_eval_9,,,,,,INMA_LifeCycleWP6,lan_eval_4
ATHLETE_CDM,outcome_ath,att_om_raw_1,,,,,,outcome_ath,att_om_raw_0
ATHLETE_CDM,chemicals_ath,c_mnbp_lod_20,,,,,,chemicals_ath,c_mnbp_lod_0
ATHLETE_CDM,chemicals_ath,c_mnbp_lod_21,,,,,,chemicals_ath,c_mnbp_lod_0
ATHLETE_CDM,urban_ath,ath_fdensity300_9,number of facilities present within a buffer of 300 m at nine years of age,,,1.0.0,,urban_ath,ath_fdensity300_0
EXPANSE_CDM,Cardiometabolic,bmi_rep_17,,EXPANSE_CDM,Followup17,1.0,,Cardiometabolic,bmi_rep_0
EXPANSE_CDM,Cardiometabolic,bmi_rep_19,,EXPANSE_CDM,Followup19,1.0,,Cardiometabolic,bmi_rep_0
ATHLETE_CDM,chemicals_ath,c_pfhxs_raw_17,,,,1.1.0,,chemicals_ath,c_pfhxs_raw_0
SYSDIMET,Sysdimet_data,fshdl_12WK,,SYSDIMET,week 12,1.0.0,,Sysdimet_data,fshdl_0WK
ATHLETE_CDM,chemicals_ath,c_pfhxs_lod_1,,,,1.1.0,,chemicals_ath,c_pfhxs_lod_0
ATHLETE_CDM,chemicals_ath,c_mbzp_raw_18,,,,,,chemicals_ath,c_mbzp_raw_0
ATHLETE_CDM,outcome_ath,att_om_raw_2,,,,,,outcome_ath,att_om_raw_0
SYSDIMET,Sysdimet_data,fskol_12WK,,SYSDIMET,week 12,1.0.0,,Sysdimet_data,fskol_0WK
ATHLETE_CDM,chemicals_ath,c_pfhxs_lod_3,,,,1.1.0,,chemicals_ath,c_pfhxs_lod_0
INMA,INMA_LifeCycleWP6,nvi_eval_11,,,,,,INMA_LifeCycleWP6,nvi_eval_4
ATHLETE_CDM,urban_ath,ath_trafnear_14,traffic density on nearest road at fourteen years of age,,,1.0.0,,urban_ath,ath_trafnear_0
SYSDIMET,Sysdimet_data,fsldl_12WK,,SYSDIMET,week 12,1.0.0,,Sysdimet_data,fsldl_0WK
ATHLETE_CDM,outcome_ath,aggr_instr_2,,,,,,outcome_ath,aggr_instr_0
EXPANSE_CDM,Cardiometabolic,bmi_rep_20,,EXPANSE_CDM,Followup20,1.0,,Cardiometabolic,bmi_rep_0
INMA,INMA_LifeCycleWP6,nvi_eval_5,,,,,,INMA_LifeCycleWP6,nvi_eval_4
ATHLETE_CDM,chemicals_ath,c_mbzp_raw_19,,,,,,chemicals_ath,c_mbzp_raw_0
EXPANSE_CDM,Cardiometabolic,bmi_rep_18,,EXPANSE_CDM,Followup18,1.0,,Cardiometabolic,bmi_rep_0
BIB,wp6.3_respiratory,rhinitis_9,"Hay fever / rhinitis ever, reported at 9-10yrs",,,,,wp6.3_respiratory,rhinitis_1
EXPANSE_CDM,General,mar_stat_p_15,,EXPANSE_CDM,Followup15,1.0,,General,mar_stat_p_0
BIB,wp6.1_mental,aggr_pc_5,"Aggressive behavior, percentiles of aggr_pro_",,,,,wp6.1_mental,aggr_pc_3
ATHLETE_CDM,outcome_ath,z_bmi_245,,,,,,outcome_ath,z_bmi_0
EXPANSE_CDM,General,mar_stat_p_16,,EXPANSE_CDM,Followup16,1.0,,General,mar_stat_p_0
INMA,ANT_NBACK_Tapping_Cups_PMA_11a,hitrtse_11y,SE of hrt correct responses- consistency,,,,,K_CPT_16_Jun_2014,Hit_RT_Stderror_global
EXPANSE_CDM,General,mar_stat_p_17,,EXPANSE_CDM,Followup17,1.0,,General,mar_stat_p_0
ATHLETE_CDM,outcome_ath,att_om_raw_8,,,,,,outcome_ath,att_om_raw_0
INMA,ANT_NBACK_Tapping_9a,hitrtse_9y,SE of hrt correct responses- consistency,,,,,K_CPT_16_Jun_2014,Hit_RT_Stderror_global
INMA,INMA_LifeCycleWP6,int_eval_10,,,,,,INMA_LifeCycleWP6,int_eval_7
INMA,INMA_LifeCycleWP6,int_eval_11,,,,,,INMA_LifeCycleWP6,int_eval_7
EXPANSE_CDM,Cardiometabolic,z_bmi_9,,EXPANSE_CDM,Followup9,1.0,,Cardiometabolic,z_bmi_0
SYSDIMET,Sysdimet_data,olut_12WK,,SYSDIMET,week 12,1.0.0,,Sysdimet_data,olut_S
