resource,name,description,number of participants,counts.resource,counts.subpopulation,counts.age group,inclusion start,inclusion end,age groups,main medical condition,comorbidity,countries,regions,inclusion criteria,other inclusion criteria,exclusion criteria,other exclusion criteria,contact point.first name,contact point.last name,publisher,creator,license,issued,modified
BIB,Children,This is a test description,,BIB,Children,Child (2-12 years),,,,,,,Bradford,,,,,Bob,Ross,BRI,BRI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
FORCE-NEN collections,AvL,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,UMCU,UMCU,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
FORCE-NEN collections,EMC,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,UMCU,UMCU,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
FORCE-NEN collections,Amsterdam UMC,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,UMCU,UMCU,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
FORCE-NEN collections,UMCU,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,UMCU,UMCU,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
FORCE-NEN collections,MUMC,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,UMCU,UMCU,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
FORCE-NEN collections,Maxima MC,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,UMCU,UMCU,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
FORCE-NEN collections,AvL/UMCU,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,UMCU,UMCU,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
FORCE-NEN collections,Maxima MC/MUMC,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,UMCU,UMCU,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
ALSPAC,Mothers,This is a test description,14541,ALSPAC,Mothers,Adult (18+ years),,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,Bob,Ross,UOB,UOB,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
ALSPAC,Partners,This is a test description,,ALSPAC,Partners,Adult (18+ years),,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,Bob,Ross,UOB,UOB,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
ALSPAC,Children,This is a test description,,ALSPAC,Children,Child (2-12 years),,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,Bob,Ross,UOB,UOB,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
Sepages,infants,children aged between 0 and 3 years,,,,,,,,,,,,,,,,Bob,Ross,INSERM,INSERM,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
BIB,Mothers,This is a test description,12453,BIB,Mothers,Adult (18+ years),,,,,,,Bradford,,,,,Bob,Ross,BRI,BRI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
BIB,Partners,This is a test description,3353,BIB,Partners,Adult (18+ years),,,,,,,Bradford,,,,,Bob,Ross,BRI,BRI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
