resource,dataset,variable,value,label,order,is missing,ontology term URI,since version,until version
ATHLETE,outcome_ath,rmcmes_,1,Manual,1,False,,1.0.1,
ATHLETE,outcome_ath,rhinitis_sx_ever_,0,No,2,False,,1.0.1,
ATHLETE,outcome_ath,rhinitis_sx_ever_,1,Yes,,False,,1.0.1,
ATHLETE,outcome_ath,rhinitis_sx_12m_,1,Yes,,False,,1.0.1,
ATHLETE,outcome_ath,rhinitis_,0,No,,False,,1.0.1,
ATHLETE,outcome_ath,rmcmes_,2,Semi-automatic,,False,,1.0.1,
ATHLETE,outcome_ath,mets_idefics_,0,Non-MetS,,False,,1.0.1,
ATHLETE,outcome_ath,mets_idefics_,1,Mets,,False,,1.0.1,
ATHLETE,outcome_ath,rhinitis_,1,Yes,,False,,1.0.1,
ATHLETE,outcome_ath,rhinitis_ttt_12m_,0,No,,False,,1.0.1,
ATHLETE,outcome_ath,rhinitis_ttt_12m_,1,Yes,,False,,1.0.1,
ATHLETE,outcome_ath,n_wheezing_12m_,0,None,,False,,1.0.1,
ATHLETE,outcome_ath,n_wheezing_12m_,1,1 to 3,,False,,1.0.1,
ATHLETE,outcome_ath,n_wheezing_12m_,2,4 to 12,,False,,1.0.1,
ATHLETE,outcome_ath,n_wheezing_12m_,3,more than 12,,False,,1.0.1,
ATHLETE,outcome_ath,anR_,1,Yes,,False,,1.0.1,
ATHLETE,outcome_ath,bnR_,0,No,,False,,1.0.1,
ATHLETE,outcome_ath,bnR_,1,Yes,,False,,1.0.1,
ATHLETE,outcome_ath,bedR_,0,No,,False,,1.0.1,
ATHLETE,outcome_ath,bedR_,1,Yes,,False,,1.0.1,
ATHLETE,outcome_ath,edR_eval_,1,Medical registries or medical records linkage,,False,,1.0.1,
ATHLETE,outcome_ath,edR_eval_,2,Parentally reported,,False,,1.0.1,
testNetwork1,cdm_1,testVarCategorical_,1,No,,False,,,
testNetwork1,cdm_1,testVarCategorical_,2,Yes,,False,,,
testNetwork1,cdm_1,testVarCategorical_,0,not available,,True,,,
