resource,name,description,number of participants,inclusion start,inclusion end,age groups,main medical condition,comorbidity,countries,regions,inclusion criteria,supplementary information
ALSPAC,Mothers,,14541,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,
ALSPAC,Partners,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,
ALSPAC,Children,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,
BIB,Children,,,,,,,,,Bradford,,
BIB,Mothers,,12453,,,,,,,Bradford,Baseline (26-28 weeks gestation) with various follow-ups,
BIB,Partners,,3353,,,,,,,Bradford,,
CON,Prognosis study,,,,,,,,,,,
CSC,Age stratification 30-49,Women aged 30 to 49 years old,,,,,,,,,,
CSC,Age stratification 50-70,Women aged 50 to 70,,,,,,,,,,
CSC,Age stratification 23-29,Women aged 23 to 29 years,,,,,,,,,,
DFBC,follow-up at: 74/75,,,,,,,,Netherlands (the),,,
DFBC,follow-up at: 58,,,,,,,,Netherlands (the),,,
DFBC,follow-up at: 73,,,,,,,,Netherlands (the),,,
DFBC,Baseline (50 years of age),,912,,,Middle-aged (45-64 years),,,Netherlands (the),,,
DFBC,follow-up at: 77,,,,,,,,Netherlands (the),,,
DFBC,follow-up at: 68,,,,,,,,Netherlands (the),,,
DFBC,follow-up at: 63,,,,,,,,Netherlands (the),,,
DNBC,children,,96825,,,,,,Denmark,,,
DNBC,pregnancies,,100410,,,,,,Denmark,,,
EDEN,children,,1400,,,,,,,Vienne,,
EDEN,fathers,,,,,,,,,Vienne,,
EDEN,mothers,,1900,,,,,,,Vienne,,
ELFE,children,,18329,,,,,,France,,,
ELFE,mothers,,,,,,,,France,,,
ELFE,fathers,,,,,,,,France,,,
MoBa,children,,114500,,,,,,Norway,,,
MoBa,fathers,,75000,,,,,,Norway,,,
mtFIT study,mtFIT study,,13300,,,,,,,,,
PSYCONN,RQ-MIS,"RoQua Management Information System.
Health care consumption, socio-demographic, and diagnosis data.
PSYCONN baseline and outcome data is collected from RQ-MIS.",,,,,,,,,,
FORCE-NEN,FORCE-NEN intensive,,,2022,,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (65-79 years),Aged (80+ years)","Duodenal neuroendocrine tumor,Functioning neuroendocrine tumor of pancreas,Gastroenteropancreatic neuroendocrine neoplasm,Ileal neuroendocrine tumor,Jejunal neuroendocrine tumor,Neuroendocrine carcinoma of pancreas,Neuroendocrine neoplasm,Neuroendocrine neoplasm of appendix,Neuroendocrine neoplasm of esophagus,Neuroendocrine neoplasm of pancreas,Neuroendocrine tumor of pancreas,Neuroendocrine tumor of the small intestine,Non-functioning neuroendocrine tumor of pancreas",,Netherlands (the),,"Pancreatic or Small intestine neuroendocrine tumor with a Ki-67 more than 10%, gastro-entero-pancreatic neuroendocrine carcinoma
Age 18 years and older
Able to provide broad consent
RECIST measurable disease at baseline

Exclusion criteria:
(history of) other malignancy at baseline
Hereditary syndrome as cause of the neuroendocrine neoplasm
Mixed neuroendocrine / non-neuroendocrine neoplasm
Unable to provide consent",
FORCE-NEN,FORCE-NEN Regular,,,2022,,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (65-79 years),Aged (80+ years)","C17.0 Malignant neoplasm of small intestine - Duodenum,C17.1 Malignant neoplasm of small intestine - Jejunum,C17.2 Malignant neoplasm of small intestine - Ileum,C25.4 Malignant neoplasm of pancreas - Endocrine pancreas,Carcinoid syndrome,Duodenal neuroendocrine tumor,Functioning neuroendocrine tumor of pancreas,Ileal neuroendocrine tumor,Jejunal neuroendocrine tumor,Neuroendocrine tumor of pancreas,Non-functioning neuroendocrine tumor of pancreas",,Netherlands (the),,"Pancreatic or Small intestine neuroendocrine tumor with a Ki-67 up to 10%
Age 18 years and older
Able to provide broad consent
RECIST measurable disease at baseline

Exclusion criteria:
(history of) other malignancy at baseline
Hereditary syndrome as cause of the neuroendocrine neoplasm
Mixed neuroendocrine / non-neuroendocrine neoplasm
Unable to provide consent",
HPV,Follow-Up at age 18,,,,,,,,,,,
HPV,Follow-Up at age 28,,,,,,,,,,,
HPV,Initial at age 14,,,,,,,,,,,
HPV,Follow-Up at age 22,,,,,,,,,,,
HPV,Follow-Up at age 25,,,,,,,,,,,
INMA,Children,,1580,,,"Prenatal,Newborn (0-1 months),Infants and toddlers (2-23 months),Infant (0-23 months),Child (2-12 years),Adolescent (13-17 years)",,,Spain,,"Criteria for inclusion of the mothers were: (i) to be resident in one of the study areas, (ii) to be at least 16 years old, (iii) to have a singleton pregnancy, (iv) to not have followed any programme of assisted reproduction, (v) to wish to deliver in the reference hospital and (vi) to have no communication problems.",
INMA,Mothers,,1600,,,,,,Spain,,"Criteria for inclusion of the mothers were: (i) to be resident in one of the study areas, (ii) to be at least 16 years old, (iii) to have a singleton pregnancy, (iv) to not have followed any programme of assisted reproduction, (v) to wish to deliver in the reference hospital and (vi) to have no communication problems.",
LSC,Intermittent fasting with ketogenic supplement,,,,,,,,,,,
LSC,Intermittent fasting without ketogenic supplement,,,,,,,,,,,
LSC,Smoking cessation,,,,,,,,,,,
MoBa,mothers,,95000,,,,,,Norway,,,
