id,pid,acronym,name,type,features,website,lead organisation,additional organisations,description,logo,logo_filename,countries,start year,end year,publications,funding statement,acknowledgements,data sources,databanks,cohorts,models,networks
PCM4EU,,PCM4EU,Personalised Cancer Medicine for all EU citizens,EU4health - Diagnosis and Treatment,,https://www.matrix-fkb.no/en/pcm4eu/home,,,"With 3.7 million new cases each year, cancer is one of the leading causes of death and morbidity in the EU. Personalised cancer medicine (PCM) has the potential to beat this disease. But currently, there is inequality in access to PCM between and within EU Member States.

As PCM is based on targeting driver mutations in tumours, its success depends on access to:

next-generation sequencing-based molecular diagnostics,
clinical decision support systems,
trials to facilitate implementation of the PCM approach.

PCM4EU aims to improve the survival rates and quality of life of cancer patients in the EU using PCM based on best practices. The project consortium has a good track record in the implementation of molecular diagnostics in academically-led cross-border PCM trials in north-western Europe. This expertise will be made available to support a wider use and access to PCM in Europe.",,,,2023,2024,,,,,,,,
JA CraNE,,JA CraNE,Network of Comprehensive Cancer Centres,"Joint Action,EU4health - Diagnosis and Treatment",,https://crane4health.eu,,,"The CraNE Joint Action aims to establish an EU Network of National Comprehensive Cancer Centres (CCCs) to support quality-assured early detection, diagnosis, and treatment of cancer patients. 

The main goals of CraNE JA are to create a sustainable structure for the EU Network of CCCs, improve access to comprehensive high-quality cancer care, and develop a consensus model for CCCs. 

Specific aims of the project include:

endorsing the sustainability of CraNE outputs for implementation in EU Member States;
creating an EU Network of National CCCs to improve care and reduce disparities across the EU;
further developing access and availability of high-quality care in Comprehensive Cancer Care

Networks to all EU Member States;

develop a consensus model for CCCs;
identify and analyse current practices and models of organisation in real-life settings for reference.",,,,2022,2024,,,,,,,,
PRAISE-U,,PRAISE-U,PRostate cancer Awareness and Initiative for Screening in the European Union,EU4health - Early Detection,,https://uroweb.org/praise-u,,,PRAISE-U aims to align screening protocols and guidelines across Member States and enable the collection and distribution of relevant data.,,,,2023,2026,,,,,,,,
i-Violin,,i-Violin,Radiation: i-Violin - Implementing verifiable oncological imaging by quality assurance and optimisation,EU4health - Diagnosis and Treatment,,https://www.eibir.org/projects/i-violin/,,,"The i-Violin project will address the need for harmonisation and optimisation of oncological imaging procedures across Europe and ensure their broad adoption. i-Violin will address disparities highlighted by the EuroSafe Imaging campaign at a pan-European level, with a mission to enhance cancer care for Europe’s patients.

To address the various challenges in achieving optimal oncological imaging, the i-Violin project aims to disseminate the image quality assessment tool developed in MEDIRAD for computed tomography (CT) chest scans throughout European hospitals. Additionally, the project seeks to adapt this tool for imaging procedures in the abdominal and pelvic regions, where a satisfactory assessment tool is currently unavailable.

The project also aims to:

establish a European database for CT images, detailing different imaging parameters, patient dose indicators, and image quality indicators;
offer recommendations for imaging procedures;
promote European-wide adoption of optimisation measures through the dissemination of i-Violin’s results;
implement education and training activities for radiologists, radiographers and medical physicists.",,,,2022,2024,,,,,,,,
NEWROAD,,NEWROAD,Open Platform for European Networking and Repurposing of Oncological Assets and Drugs,EU4health - Diagnosis and Treatment,,https://new-road.eu/,,,"Despite advances in technology, the productivity of the pharmaceutical industry, particularly the efficacy of cancer drugs, appears to be faltering due to unsustainable long-term costs and timeframes. In response, NEWROAD seeks to streamline this process by developing an EU-wide capability for Systematic Drug Repurposing (SDR), particularly for cancer treatment.

NEWROAD will create an open, collaborative platform to repurpose drugs in oncology. The platform will be accessible via high-performance computers and the cloud, drawing upon data provided by healthcare institutions and pharmaceutical companies.

Objectives
NEWROAD's primary aims are to:

develop novel therapies based on drug repurposing;
facilitate sharing of clinical data among European Union entities;
create an open, collaborative platform for Systematic Drug Repurposing.

Approach
NEWROAD utilises an Augmented Intelligence (AuI)-based platform for collaborative development of therapies via drug repurposing. Additionally, the platform also acts as a protocol for sharing clinical data uploaded by hospitals, universities, and research organisations. This data sharing aspect not only enhances the Artificial Intelligence’s capabilities but also marks the most innovative aspect of the project.

The final component of the platform offers an integrated in silico function that allows users to analyse and repurpose existing drugs or proprietary compounds. This unique protocol evaluates all data related to the disease of interest and available pharmacopoeia, conducting in silico testing on a rationally selected panel of oncological targets.",,,,2022,2025,,,,,,,,
INTERACT-EUROPE,,INTERACT-EUROPE,Innovative collaboration for Inter-specialty cancer training across Europe,EU4health - Diagnosis and Treatment,,https://www.europeancancer.org/eu-projects/impact/interact-europe,,,"The INTERACT-EUROPE programme is pioneering an innovative approach to inter-specialty cancer care training that can be applied to any cancer centre in any EU country. This will nurture new levels of high-performance, multi-disciplinary team working in cancer care for all EU countries, providing the best outcome for patients. 

Leading international and European oncology professional organisations have developed a curriculum for an inter-specialty training programme across oncology surgery, medical oncology, radiation oncology and cancer nursing. What’s more, the project is testing the use of automatic translation technology to broaden accessibility of the programme.",,,,2022,2023,,,,,,,,
AACR GENIE,,AACR GENIE,AACR Project GENIE: Powering Precision Medicine,Data science,,https://www.aacr.org/professionals/research/aacr-project-genie/,,,"Precision medicine requires an end-to-end learning health care system, wherein the treatment decisions for patients are informed by the prior experiences of similar patients. Oncology is currently leading the way in precision medicine because the genomic and other molecular characteristics of patients and their tumors are routinely collected at scale. A major challenge to realizing the promise of precision medicine is that no single institution is able to sequence and treat sufficient numbers of patients to improve clinical-decision making independently. To overcome this challenge, the AACR launched Project GENIE (Genomics Evidence Neoplasia Information Exchange).  

AACR Project GENIE® is a publicly accessible cancer registry of real-world clinico-genomic data assembled through data sharing between 19 leading international cancer centers. Through the efforts of strategic partners Sage Bionetworks and cBioPortal, the registry aggregates, harmonizes, and links clinical-grade, next-generation cancer genomic sequencing data with clinical outcomes obtained during routine medical practice from nearly every cancer patient treated at these institutions. The consortium and its activities are driven by openness, transparency, and inclusion, ensuring that the project output remains accessible to the global cancer research community for the benefit of all. 

We see the GENIE data providing another knowledge turn in the virtuous cycle of research, accelerating the pace of drug discovery, improving clinical trial design, and ultimately benefiting cancer patients globally.",,,,,,,,,,,,,
can.HEAL,,can.HEAL,Can.Heal EU,EU4health - Diagnosis and Treatment,,https://canheal.eu/,,,The project aims to set the framework for integrating and aligning the Genome of Europe biobanking initiative into public health genomics for cancer.,,,,2022,2024,,,,,,,,
EuroClonality-NGS,,EuroClonality-NGS,EuroClonality-NGS Working Group,Research Group,,https://euroclonality.org/,,,"The main objectives of EuroClonality-NGS, being a scientifically independent Working Group, are to develop, standardize, and validate IG/TR NGS assays for clonality assessment, MRD analysis and repertoire analysis (see Workpackages page).
Assay development

Even though several of such assays have already been published, there is still place for further optimization in assay design and development with the aim of ensuring better coverage of all genes and also evaluating other types of rearrangements (partial IGHD-IGHJ rearrangements, IGK locus rearrangements including those involving the kappa-deleting element, IG and TR translocations, etc.).
Assay standardization

Irrespective whether existing or novel assays are employed, one of the most important aspects in the implementation of NGS in routine practice concerns standardization, which pertains not only to the analytical phase but also to the pre-analytical phase (e.g. sample preparation, choice of target) and the post-analytical phase (e.g. bioinformatics pipeline, clinical interpretation).
Assay validation

Finally, a very important aim of the EuroClonality-NGS Working Group is to validate the technology via large-scale, multi-laboratory testing of clinical samples and in the context of clinical trials. By using a similar approach as previously followed in the BIOMED-2/EuroClonality program, this should provide robust tools and methodology which will allow to exploit the full potential of this powerful new technology in clinical practice.
EuroClonality-NGS as generic model structure

The NGS technology has general requirements on standardization and clinical validation, irrespective whether it concerns the field of hematological malignancies, oncology, genetics, infectious diseases or any other area of medicine. Therefore, even though EuroClonality-NGS is focusing on IG/TR genes, it will strive to make the structure and overall scheme generic enough and available as a model for other consortia that aim to implement NGS technologies in routine clinical diagnostics in other fields of medicine.",,,,,,,,,,,,,
canSERV,,canSERV,Providing cutting edge cancer research services across Europe,RIA - Data science,,https://www.canserv.eu/,,,"canSERVs mission is to make cutting-edge and customised research services available to the cancer research community EU wide, enable innovative R&D projects and foster precision medicine for patients benefit across Europe.",,,,2022,2025,,,,,,,,
CAPABLE,,CAPABLE,CAncer PAtients Better Life Experience,RIA - Quality of Life,,https://capable-project.eu/,,,"The EU-funded CAPABLE project aims to develop a cancer patient coaching system with the objective of facing these needs. CAPABLE identifies unexpected needs while providing patient-specific decision support. This feature, together with the chance of discovering unknown adverse effects of new treatments, makes CAPABLE more than a personalised tool for improving life quality. It marks a significant advance for the whole research community.",,,,2020,2023,,,,,,,,
ERICLL,,ERICLL,European Research Initative on CLL,Initiative,,http://www.ericll.org/,,,"ERIC was founded in 2001 and represents an European organisation devoted to improving the outcome of patients with chronic lymphocytic leukemia (CLL) and related diseases. It is a registered non-profit organisation under the name of the European Research Initiative on CLL e.v.
ERIC is also a Working Party of the European Leukemia Net (ELN) and a Specialized Working Group of the European Hematology Association (EHA). ERIC is open to all physicians and scientists working/interested in the field of chronic lymphocytic leukemia and related disorders.
The ERIC Office located in Barcelona is hosted by The Research Institute of the Sant Pau Hospital (IR-HSCSP).
Our work uses the EGI infrastructure with the dedicated support of BEgrid-BELNET.

AIMS
Development and promotion of clinical, translational and basic research activities on CLL and related disorders.
Encouragement of interaction and cooperation between clinical expertise (physicians, study groups) and scientist/research groups in CLL and related scientific fields on a European and international level.
Creation of common standards with regard to the diagnostic and therapeutic management of CLL patients
Implementation and management of clinical trials in CLL and related diseases
Promotion of trans-national communication of clinicians/scientists and publication of clinical and scientific knowledge regarding CLL and related disorders
Collaboration with patient groups and patient advocates towards the advancement of CLL patient care

ERIC strives to achieve these objectives by developing and coordinating experimental and clinical research in Europe and beyond within the many aspects of CLL and related disorders, and by enabling cooperation with other scientific organizations.",,,,,,,,,,,,,
BEACON,,BEACON,Cancer Care Beacon - Reducing Disparities Across the European Union,EU4health - Diagnosis and Treatment,,,,,"Disparities in cancer care have a big impact on survival rates, as well as on the quality of life and mental health of patients and their families.

Income, education, location and ethnicity are some of the most important factors affecting quality of care in Europe. Healthcare costs, treatment options, integration of research and innovation into care and access to information and multidisciplinary care teams are other areas to target in addressing disparities.

To facilitate delivery of higher-quality cancer care, BEACON aims to identify the reasons for and reduce disparities in care across Europe.

Specifically, it will:

map and increase the capacity and capabilities of cancer treatment centres in EU Member States;
help patients to find the best treatment options, healthcare providers to share resources and expertise, researchers to share data on disparities, and policymakers to align funding with patients' priorities;
improve training and ensure that accreditation of care providers reflects quality of care.",,,,2022,2024,,,,,,,,
FORCE,,,InFrastructure fOr Rare Cancers in the nEtherlands,,,https://www.ikdoemeemetforce.nl/,,,,baee90cac357492daff744335f665271,,Netherlands (the),,,,,,,,"FORCE-NEN collections,FORCE-NEN Clinical Biobank",,FORCE-NEN
