resource,name,pid,description,subpopulations,keywords,start date,end date,age groups,number of participants,areas of information,data categories,sample categories,standardized tools,standardized tools other,core variables,contact point.first name,contact point.last name,publisher,creator,issued,modified,theme,access rights,applicable legislation,mg_draft
EDEN,20-24 week's of amenorrhoea,https://placeholder-pid/eden/20-24weeksofamenorrhoea.org,This is a test description,mothers,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
ELFE,5y,https://placeholder-pid/elfe/5y.org,This is a test description,children,National,,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
ELFE,2 months,https://placeholder-pid/elfe/2months.org,This is a test description,children,National,,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
ELFE,birth,https://placeholder-pid/elfe/birth.org,This is a test description,"children,mothers",National,,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
ELFE,3.5y,https://placeholder-pid/elfe/3.5y.org,This is a test description,children,National,,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
ELFE,3-10 months,https://placeholder-pid/elfe/3-10months.org,This is a test description,children,National,,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
mtFIT study,event 1,https://placeholder-pid/mtfitstudy/event1.org,This is a test description,mtFIT study,"colon,crc,colorectal,cancer,early detection,early detection of cancer,feces,mass screening,biomarkers,colonoscopy,routine diagnostic tests",,,,,,"Biological samples,Medical records,Physiological/Biochemical measurements",,,,,Bob,Ross,NKI,NKI,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
NFBC1966,46yr,https://placeholder-pid/nfbc1966/46yr.org,46-year follow-up,,"test1,test2",,,,,,,,,,,Bob,Ross,UOULU,UOULU,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
NFBC1966,31yr,https://placeholder-pid/nfbc1966/31yr.org,31-year follow-up,,"test1,test2",,,,,,,,,,,Bob,Ross,UOULU,UOULU,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
NOMA,Intervention,https://placeholder-pid/noma/intervention.org,This is a test description,,"RCT,SFA,PUFA,LDL-cholesterol",,,,99,,,,,,,Bob,Ross,UiO,UiO,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
NOMA,Screening visit,https://placeholder-pid/noma/screeningvisit.org,This is a test description,,"RCT,SFA,PUFA,LDL-cholesterol",,,,251,,,,,,,Bob,Ross,UiO,UiO,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DFBC,2008 F1,https://placeholder-pid/dfbc/2008f1.org,This is a test description,follow-up at: 63,"famine,Dutch,older adults,ageing,pregnancy,early life,prenatal famine exposure",1900-01-01,1900-01-01,,601,,,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DFBC,2012,https://placeholder-pid/dfbc/2012.org,This is a test description,follow-up at: 68,"famine,Dutch,older adults,ageing,pregnancy,early life,prenatal famine exposure",1900-01-01,1900-01-01,,151,,,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DFBC,1994 (baseline),https://placeholder-pid/dfbc/1994baseline.org,This is a test description,Baseline (50 years of age),"famine,Dutch,older adults,ageing,pregnancy,early life,prenatal famine exposure",1900-01-01,1900-01-01,,912,,,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DFBC,2019,https://placeholder-pid/dfbc/2019.org,This is a test description,follow-up at: 74/75,"famine,Dutch,older adults,ageing,pregnancy,early life,prenatal famine exposure",1900-01-01,1900-01-01,,92,,,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DFBC,2018,https://placeholder-pid/dfbc/2018.org,This is a test description,follow-up at: 73,"famine,Dutch,older adults,ageing,pregnancy,early life,prenatal famine exposure",1900-01-01,1900-01-01,,595,,,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
PSYCONN,baseline,https://placeholder-pid/psyconn/baseline.org,PSYCONN baseline data is collected from PROGR-S and RQ-MIS.,"PROGR-S,RQ-MIS",schizophrenia schizofrenie psychotic psychotisch psychose databank Nederland PHAMOUS EPO PROGRS PROGR-S RQMIS RQ-MIS,1900-01-01,1900-01-01,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (65-79 years),Aged (80+ years)",1000,"Age/birthdate,Sex/gender,Twin,Marital/partner status,Family and household structure,Education,""Ethnicity, race and religion"",Labour force and retirement,Other socio-demographic and economic characteristics,Tobacco,Alcohol,Drugs,Other and unspecified lifestyle information,Perception of health,Functional limitations,""Other perception of health, quality of life and functional limitation-related information"",Symptoms and signs involving nervous and musculoskeletal systems (R25-R29),""Symptoms and signs involving cognition, perception, emotional state and behaviour (R40-R46)"",General symptoms and signs (R50-R69),Symptoms related to multiple categories,Medication and supplement intake,Other and unspecified non-pharmacological interventions,Health and community care services utilization,Visits to health professionals,Hospitalizations,Community and social care,Other health and community care,Physical characteristics,Anthropometry,Circulation and respiration,Other physical measures and assessments,Hematology,Biochemistry,Other laboratory measures,""Cognition, personality and psychological measures and assessments"",Cognitive functioning,Personality,Psychological distress and emotions,Other psychological measures and assessments,Life events,Beliefs and values,""Other life events, plans and beliefs"",School life,Work life,""Other preschool, school or work life-related information"",Parenting and familial environment,Other social environment characteristics,Housing characteristics,Date and time-related information,Other administrative information","Biological samples,Survey data,Medical records,Physiological/Biochemical measurements,Other",,,,"age at inclusion,sex,marital status,Global Assessment of Functioning (GAF)",Bob,Ross,GGZ Drenthe,GGZ Drenthe,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,24-28 week's of amenorrhoea (WA),https://placeholder-pid/eden/24-28weeksofamenorrhoeawa.org,This is a test description,mothers,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DFBC,2002,https://placeholder-pid/dfbc/2002.org,This is a test description,follow-up at: 58,"famine,Dutch,older adults,ageing,pregnancy,early life,prenatal famine exposure",1900-01-01,1900-01-01,,860,,,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
testCohort1,test collection event 1B,https://placeholder-pid/testcohort1/testcollectionevent1b.org,description for test collection event 1B,test subcohort 1B,"test,cohort1,Molgenis,testing",1900-01-01,1900-01-01,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (65-79 years),Aged (80+ years)",286,"Health and community care services utilization,Visits to health professionals,Hospitalizations,Community and social care,Other health and community care","Imaging data,National registries","DNA,RNA",Frailty index,test other standardised tools for collection event 1B,"test core variable 1 for collection event 1B,test core variable 2 for collection event 1B,test core variable 3 for collection event 1B",PIPM,last name PIPM,test lead organisation 2,test lead organisation 2,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
