columnName,label,description,columnType,required,key,tableName,refTable
,Adjuvant therapy,CRANIOSYNOSTOSIS WORKSTREAM:  Types of adjuvant therapy,,,,surg_adjuvant_therapy,
id,id,,string,True,1,surg_adjuvant_therapy,
label,label,,string,True,,surg_adjuvant_therapy,
,Aesthetic surgery,CRANIOSYNOSTOSIS WORKSTREAM:  Types of aesthetic surgery,,,,surg_tech_aesthetic,
id,id,,string,True,1,surg_tech_aesthetic,
label,label,,string,True,,surg_tech_aesthetic,
,Age category at the time of diagnosis,ALL PATIENTS: Age category at the time of diagnosis,,,,agediagnosis,
id,id,,string,True,1,agediagnosis,
label,label,,string,True,,agediagnosis,
,Amblyopia,CRANIOSYNOSTOSIS WORKSTREAM: Determines the presence or absence of amblyopia,,,,amblyopia,
id,id,,string,True,1,amblyopia,
label,label,,string,True,,amblyopia,
,Any questions that can be answered as Yes or No answers,Yes/No Answers,,,,yesno,
id,id,,string,True,1,yesno,
label,label,,string,True,,yesno,
,Are answers to individual questions available for the CLEFT-Q,CLEFT WORKSTREAM: Are answers to individual questions available for the CLEFT-Q,,,,CLEFTQ_IND,
id,id,,string,True,1,CLEFTQ_IND,
label,label,,string,True,,CLEFTQ_IND,
,Availability of a genetic diagnosis,ALL PATIENTS: Availability of a genetic diagnosis,,,,genetic_diagnosis_avail,
id,id,,string,True,1,genetic_diagnosis_avail,
label,label,,string,True,,genetic_diagnosis_avail,
,Biobanks,ALL PATIENTS: Link to Biobanks from https://directory.bbmri-eric.eu,,,,biobank,
id,id,,string,True,1,biobank,
name,name,,string,True,1,biobank,
acronym,acronym,,string,False,,biobank,
description,description,,text,False,,biobank,
url,url,,hyperlink,False,,biobank,
country,country,,ref,False,,biobank,country
,CLEFT Q ANSWERS,CLEFT WORKSTREAM: contains CLEFTQ answers ( 1  Never;  2  Sometimes; 3  Often; 4  Always),,,,cleftq_answer2,
id,id,,string,True,1,cleftq_answer2,
label,label,,string,True,,cleftq_answer2,
,CLEFTQ ANSWERS,CLEFT WORKSTREAM: contains CLEFTQ answers ( 1 Not at all; 2  A little bit;  3 Quite a bit; 4  Very much ),,,,cleftq_answer,
id,id,,string,True,1,cleftq_answer,
label,label,,string,True,,cleftq_answer,
,COHIP answers,CLEFT WORKSTREAM: contains the COHIP answers,,,,cohip_answer,
id,id,,string,True,1,cohip_answer,
label,label,,string,True,,cohip_answer,
,Cleft workstream visits,CLEFT WORKSTREAM: Contains all information that was filled in for patients within the CRANIOSYNOSTOSIS WORKSTREAM,,,,visits_cleft,
cleftid,Patient ID,enter patient_date of visit,string,True,1,visits_cleft,
typevisitcleft,Please select the type of visit,,ontology,True,,visits_cleft,typevisitcleft
date,date,,date,True,,visits_cleft,
General_cleft,Disease Characteristics & General Information,,heading,False,,visits_cleft,
typecleft,Please specify the type of cleft,,ontology,True,,visits_cleft,typecleft
comorbidities_cleft,Comorbidities,,ontology_array,False,,visits_cleft,comorbidities_cleft
cleft_surgery,Surgery,,heading,False,,visits_cleft,
cleft_type_surgery,Type of surgery,,ontology_array,False,,visits_cleft,cleft_type_surgery
complication_cleft,Peri-operative complications,,ontology_array,False,,visits_cleft,complication_cleft
clinical_outcome_cleft,Clinical outcome measures,,heading,False,,visits_cleft,
cleft_orodental,Orodental,,heading,False,,visits_cleft,
DMFT,DMFT Score,,heading,False,,visits_cleft,
DENTHEALTHD,Overall health: Decayed teeth,"Enter the sum of an individual's decayed (permanent) teeth. For primary dentition the score ranges from 0-20. For permanent dentition the score ranges between 0-28.",int,False,,visits_cleft,
DENTHEALTHF,Overall dental health: Filled,"Enter the sum of an individual's filled (permanent) teeth. For primary dentition the score ranges from 0-20. For permanent dentition the score ranges between 0-28.",int,False,,visits_cleft,
DENTHEALTHM,Overall health: Missing teeth,"Enter the sum of an individual's missing (permanent) teeth.  For primary dentition the score ranges from 0-20. For permanent dentition the score ranges between 0-28.",int,False,,visits_cleft,
ScoreDENTHEALTH,DMFT Score,For primary dentition the score ranges from 0-20. For permanent dentition the score ranges between 0-28.,int,False,,visits_cleft,
Occlusion,Occlusion-overjet,,ontology,False,,visits_cleft,cleftocclusion
oronasal_fistula,Presence of oronasal fistula,,bool,False,,visits_cleft,
ScorePuretone,Puretone average,"Audiometry: Pure-tone thresholds indicate the softest sound audible to an individual at least 50% of the time. Score the average in decibels of the thresholds for pure tones at 500, 1000, and 2000 Hz.",heading,False,,visits_cleft,
PURETONELR_R,Right ear,Please enter in dB with one decimal place,decimal,False,,visits_cleft,
PURETONELR_L,Left ear,Please enter in dB with one decimal place,decimal,False,,visits_cleft,
otologic_cleft_compound,Otologic,,heading,False,,visits_cleft,
OTOHEALTH,Otologic Health Questionnaire,,heading,False,,visits_cleft,
OTOHEALTHxQ01,Has your child ever needed a hearing aid?,,ontology,False,,visits_cleft,yesno
OTOHEALTHxQ02,For how long?,Please enter in years,int,False,,visits_cleft,
OTOHEALTHxQ03,How many times has your child had an ear infection (otitis media) in the last 12 months?,Please enter in years,int,False,,visits_cleft,
OTOHEALTHxQ04,Has your child required ear tubes to improve hearing?,Ear tubes includes myringotomy and tympanostomy tube procedure (sometimes called a grommet),int,False,,visits_cleft,
OTOHEALTHxQ05,"Indicate if the patient had treatment for an acquired choleastoma, ossicular chain disruption, and/or mastoiditis",,bool,False,,visits_cleft,
cleft_clinical_speech,Speech,,heading,False,,visits_cleft,
PCC,Percentage of Consonants Correct (PCC),Scores indicate the patient’s level of articulation proficiency. Scoring is the percent consonants out of a restricted number of target consonants. The total score is the percentage of the target consonants produced correctly. Scoring involves transcription/assessment of target consonant productions in a restricted single word list. The words should be elicited by naming pictures or by reading the words.,decimal,False,,visits_cleft,
VPC,Velopharyngeal competence,,ontology,False,,visits_cleft,vpc
speechsurg_cleft,Indication for speech surgery,,bool,False,,visits_cleft,
PROM_cleft,Patient and parent reported outcome measures,,heading,False,,visits_cleft,
CLEFTQ,CLEFT-Q,,heading,False,,visits_cleft,
CLEFTQSPEAK,CLEFT-Q Speech Distress,,heading,False,,visits_cleft,
CLEFTQSPEAK_Q,HOW DO YOU FEEL ABOUT SPEAKING? Answer each question by circling one number. Please answer thinking of the PAST WEEK.,,heading,False,,visits_cleft,
CLEFTQSPEAK_Q01,1: I avoid going out because of my speech (like to a party).,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEAK_Q02,2: My speech makes it hard for me to make new friends.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEAK_Q03,3: I get teased about my speech.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEAK_Q04,4: I get frustrated when I speak.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEAK_Q05,5: I feel embarrassed when I speak.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEAK_Q06,6: I try to avoid speaking in front of people.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEAK_Q07,7: I feel nervous when I speak.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEAK_Q08,8: I worry that my speech is hard to understand.,,ontology,False,,visits_cleft,cleftq_answer
