id,Country,Biobank,Name,Acronym,Description,Network,Combined Network,Collection Type,Data Categories,Order of Magnitude,Size,TimeStamp,Number of Donors,Order of Magnitude Donors,Also Known In,Parent Collection,Categories,Head of Collection,Latitude,Longitude,Contact Person,Sex,Diagnosis Available,Age Low,Age High,Age Unit,Body Part Examined,Imaging Modality,Image Dataset Type,Materials,Storage Temperatures,Sample Access Fee,Sample Access Joint Project,Sample Access Description,Sample Access URI,Data Access Fee,Data Access Joint Project,Data Access Description,Data Access URI,Image Access Feee,Image Access Joint Project,Image Access Description,Image Access URI,Commercial Collaboration,Non Profit Collaboration,Data Use,Available for Commercial Use,Sample Processing PD or SOP,Sample Transport PD or SOP,Sample Storage PD or SOP,Data Processing PD or SOP,Data Transport PD or SOP,Data Storage PD or SOP,Combined Quality Info,URL,Biobank Label,National Node
bbmri-eric:ID:AT_MUG:collection:Bio-UV2017,AT,bbmri-eric:ID:AT_MUG,Bio-UV 2017: Photo(chemo)therapy in skin diseases,,"In this study, the molecular mechanisms of action of photo(chemo)therapy in skin diseases are investigated. The diseases include psoriasis, cutaneous T-cell lymphoma, other lymphoproliferative disorders of the skin, eczema, lichen planus, rurigo/pruritus, polymorphic light eruption, mastocytosis, graft-versus-host disease, vitiligo and other photo(chemo)therapy-responsive diseases. Twenty patients are being enrolled per diagnosis group.",,"bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_isber-irl,bbmri-eric:networkID:EU_esbb,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19","COHORT,DISEASE_SPECIFIC,HOSPITAL,LONGITUDINAL,SAMPLE","BIOLOGICAL_SAMPLES,BLOOD,CLINICAL_SYMPTOMS,DiseaseDuration,GENEALOGICAL_RECORDS,MEDICAL_RECORDS,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,TREATMENT_PROTOCOL",3,3432,2022-02-11 14:19:01.0,68,,,,cancer,,47.07492,15.46588,bbmri-eric:contactID:AT_MUG_0020,"FEMALE,MALE","urn:miriam:icd:L40,urn:miriam:icd:C84,urn:miriam:icd:L30.9,urn:miriam:icd:L43.9,urn:miriam:icd:L28.1,urn:miriam:icd:L29,urn:miriam:icd:L56.4,urn:miriam:icd:D89.8,urn:miriam:icd:D47,urn:miriam:icd:L80,urn:miriam:icd:L40-L45,urn:miriam:icd:XII,urn:miriam:icd:C81-C96,urn:miriam:icd:C00-C97,urn:miriam:icd:II,urn:miriam:icd:L30,urn:miriam:icd:L20-L30,urn:miriam:icd:L43,urn:miriam:icd:L28,urn:miriam:icd:L56,urn:miriam:icd:L55-L59,urn:miriam:icd:D89,urn:miriam:icd:D80-D89,urn:miriam:icd:III,urn:miriam:icd:D37-D48,urn:miriam:icd:L80-L99",18,99,YEAR,,,,"SERUM,PLASMA,BUFFY_COAT,OTHER","temperatureLN,temperature-60to-85",true,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,true,,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,,,,,true,true,,true,true,true,true,,,,accredited,,Biobank Graz,AT
bbmri-eric:ID:AT_MUG:collection:BioPersMedCohort,AT,bbmri-eric:ID:AT_MUG,BioPersMed Cohort: cardiovascular and metabolic diseases,,"This cohort comprises a huge number of samples and data collected since 2010 and is still ongoing. The aim is to detect biomarkers of patients at risk for cardiovascular and metabolic diseases. The BioPersMed cohort includes the areas: endocrinology & metabolism and cardiology. In the focus of this cohort: e.g. diabetes, fatty liver disease, osteoporosis, cardiovascular diseases. The biobank specimen comprise plasma, serum, buffy coat and urine stored at -80°C with 24/7 temperaturesurveillance, as well as the according clinical data including a large set of metabolic, cardiovascular, hormonal and general lab and imaging parameters.",,"bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_isber-irl,bbmri-eric:networkID:EU_esbb,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19","COHORT,DISEASE_SPECIFIC,HOSPITAL,IMAGE,LONGITUDINAL,POPULATION_BASED,SAMPLE,PROSPECTIVE_COLLECTION","BIOLOGICAL_SAMPLES,BLOOD,CLINICAL_SYMPTOMS,DiseaseDuration,GENEALOGICAL_RECORDS,MEDICAL_RECORDS,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,SURVEY_DATA,TREATMENT_PROTOCOL",5,311839,2022-05-20 09:24:02.0,1006,,,,,,47.07492,15.46588,bbmri-eric:contactID:AT_MUG_0020,"MALE,FEMALE","urn:miriam:icd:R55,urn:miriam:icd:I70,urn:miriam:icd:I20-I25,urn:miriam:icd:E11,urn:miriam:icd:E66,urn:miriam:icd:M80,urn:miriam:icd:M81,urn:miriam:icd:I99,urn:miriam:icd:I48,urn:miriam:icd:I38,urn:miriam:icd:I20,urn:miriam:icd:I21,urn:miriam:icd:I22,urn:miriam:icd:I23,urn:miriam:icd:I24,urn:miriam:icd:I25,urn:miriam:icd:R50-R69,urn:miriam:icd:XVIII,urn:miriam:icd:I70-I79,urn:miriam:icd:IX,urn:miriam:icd:E10-E14,urn:miriam:icd:IV,urn:miriam:icd:E65-E68,urn:miriam:icd:M80-M85,urn:miriam:icd:M80-M94,urn:miriam:icd:XIII,urn:miriam:icd:I95-I99,urn:miriam:icd:I30-I52",35,99,YEAR,,,,"SERUM,PLASMA,BUFFY_COAT,URINE",temperature-60to-85,true,false,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,true,false,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,true,,,,true,true,,true,true,true,true,false,false,false,"accredited,eric",,Biobank Graz,AT
bbmri-eric:ID:AT_MUG:collection:BloodAndTissueSamplesFromGynaecologicalTumours,AT,bbmri-eric:ID:AT_MUG,Blood And Tissue Samples From Gynaecological Tumours / Gynaecological Cancers,,"Blood as well as fresh frozen tissue samples have been collected from patients at the gynaecology department diagnosed with various gynaecological cancers.Collection strategy for blood samples and fresh frozen tissue: breast cancer, ovarial cancer, endometrial cancer, cervical cancer vulva and vaginal carcinomas rare gynaecological tumours endometriosis, LeiomyomasTime of collection: preoperative blood collection Tissue collection during surgery",,"bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_isber-irl,bbmri-eric:networkID:EU_esbb,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19","DISEASE_SPECIFIC,HOSPITAL,RD,SAMPLE,PROSPECTIVE_COLLECTION","BIOLOGICAL_SAMPLES,BLOOD,CLINICAL_SYMPTOMS,DiseaseDuration,GENEALOGICAL_RECORDS,MEDICAL_RECORDS,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,TREATMENT_PROTOCOL",4,12192,2022-02-15 15:26:05.0,2134,,,,cancer,,"47,07492","15,46588",bbmri-eric:contactID:AT_MUG_0021,FEMALE,"urn:miriam:icd:C50.0,urn:miriam:icd:C50.9,urn:miriam:icd:C53.9,urn:miriam:icd:C55,urn:miriam:icd:C56,urn:miriam:icd:C57.0,urn:miriam:icd:D05.0,urn:miriam:icd:D05.1,urn:miriam:icd:D06.9,urn:miriam:icd:D24,urn:miriam:icd:D25.9,urn:miriam:icd:D26.9,urn:miriam:icd:D27,urn:miriam:icd:D39.1,urn:miriam:icd:N80.0,urn:miriam:icd:N80.1,urn:miriam:icd:N80.9,urn:miriam:icd:N83.0,urn:miriam:icd:N83.1,urn:miriam:icd:N83.2,urn:miriam:icd:N84.0,urn:miriam:icd:N84.1,urn:miriam:icd:N86,urn:miriam:icd:N87.0,urn:miriam:icd:N87.1,urn:miriam:icd:N87.9,urn:miriam:icd:C50,urn:miriam:icd:C50-C50,urn:miriam:icd:C00-C75,urn:miriam:icd:C00-C97,urn:miriam:icd:II,urn:miriam:icd:C53,urn:miriam:icd:C51-C58,urn:miriam:icd:C57,urn:miriam:icd:D05,urn:miriam:icd:D00-D09,urn:miriam:icd:D06,urn:miriam:icd:D10-D36,urn:miriam:icd:D25,urn:miriam:icd:D26,urn:miriam:icd:D39,urn:miriam:icd:D37-D48,urn:miriam:icd:N80,urn:miriam:icd:N80-N98,urn:miriam:icd:XIV,urn:miriam:icd:N83,urn:miriam:icd:N84,urn:miriam:icd:N87",18,99,YEAR,,,,"PLASMA,BUFFY_COAT,WHOLE_BLOOD,TISSUE_FROZEN","temperature-60to-85,temperatureLN",true,,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,true,,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,,,,,true,true,,true,true,true,true,,,,accredited,,Biobank Graz,AT
bbmri-eric:ID:AT_MUG:collection:BloodBankCollection,AT,bbmri-eric:ID:AT_MUG,Blood Bank Collection: healthy subjects,,The sample collection of the Department of Blood Group Serology and Transfusion Medicine consists of plasma and cells from healthy male and female blood donors between 18 and 65 years.,,"bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_isber-irl,bbmri-eric:networkID:EU_esbb,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19","CROSS_SECTIONAL,HOSPITAL,LONGITUDINAL,POPULATION_BASED,SAMPLE,PROSPECTIVE_COLLECTION","BIOLOGICAL_SAMPLES,BLOOD,CLINICAL_SYMPTOMS,DiseaseDuration,GENEALOGICAL_RECORDS,MEDICAL_RECORDS,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,TREATMENT_PROTOCOL",4,26460,2022-02-11 12:15:54.0,505,,,,,,"47,07492","15,46588",bbmri-eric:contactID:AT_MUG_0020,"FEMALE,MALE",,18,65,YEAR,,,,"SERUM,PLASMA,BUFFY_COAT",temperature-60to-85,true,,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,true,,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,,,,,true,true,,true,true,true,true,,,,accredited,,Biobank Graz,AT
bbmri-eric:ID:AT_MUI:collection:47:231747,AT,bbmri-eric:ID:AT_MUI,Urology DB,,,,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,"OTHER,SAMPLE","BIOLOGICAL_SAMPLES,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,IMAGING_DATA,MEDICAL_RECORDS",1,57,2020-04-19 15:23:12.0,,,,bbmri-eric:ID:AT_MUI:collection:47,,,,,bbmri-eric:contactID:AT_MUI_0014,,,,,,,,,TISSUE_PARAFFIN_EMBEDDED,temperatureRoom,,,,,,,,,,,,,,,,false,,,,,,,accredited,,Biobank Innsbruck,AT
bbmri-eric:ID:AT_MUG:collection:BloodandTears,AT,bbmri-eric:ID:AT_MUG,"Blood and Tears: affective disorders, schizophrenic disorders, anxiety",,Blood Collection for future biomarker search projects combined with machine-based learning approaches helping to distinguish in between psychiatric diagnostic entities (e.g. Bipolar versus Unipolar Depression) and between disease states (e.g. manic versus euthymic).,,"bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_isber-irl,bbmri-eric:networkID:EU_esbb,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19","CASE_CONTROL,COHORT,DISEASE_SPECIFIC,HOSPITAL,LONGITUDINAL,POPULATION_BASED,SAMPLE,PROSPECTIVE_COLLECTION","BIOLOGICAL_SAMPLES,BLOOD,CLINICAL_SYMPTOMS,DiseaseDuration,GENEALOGICAL_RECORDS,MEDICAL_RECORDS,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,TREATMENT_PROTOCOL",3,5947,2022-02-18 12:20:35.0,519,,,,,,"47,07492","15,46588",bbmri-eric:contactID:AT_MUG_0020,"FEMALE,MALE","urn:miriam:icd:F02,urn:miriam:icd:F03,urn:miriam:icd:F04,urn:miriam:icd:F05,urn:miriam:icd:F06,urn:miriam:icd:F00-F09,urn:miriam:icd:V",18,80,YEAR,,,,"SERUM,PLASMA,BUFFY_COAT",temperature-60to-85,true,,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,true,,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,,,,,true,true,,true,true,true,true,,,,accredited,,Biobank Graz,AT
bbmri-eric:ID:AT_MUG:collection:COVAC-DMStudy:diabetesmellitustype1diabetesmellitustype2COVID-19COVID-19vaccine,AT,bbmri-eric:ID:AT_MUG,"COVAC-DM Study: diabetes mellitus type 1, diabetes mellitus type 2, COVID-19, COVID-19 vaccine",,"It is unknown, if people with established diabetes mellitus type 1 or type 2 display a reduced humoral immune response following COVID-19 vaccination as compared to people without this condition. In this study, we prospectively investigate antibody response in people with diabetes, following the first and second dose of vaccination (predominantly mRNA vaccine) as well as 12 months thereafter.",,"bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_isber-irl,bbmri-eric:networkID:EU_esbb,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19","SAMPLE,LONGITUDINAL,HOSPITAL,DISEASE_SPECIFIC","BIOLOGICAL_SAMPLES,MEDICAL_RECORDS",3,5967,2022-02-17 12:44:42.0,149,,,,,,,,bbmri-eric:contactID:AT_MUG_0020,"FEMALE,MALE","urn:miriam:icd:E10,urn:miriam:icd:E11,urn:miriam:icd:E10-E14,urn:miriam:icd:IV",,,YEAR,,,,"SERUM,PLASMA,SALIVA",temperature-60to-85,true,,,,true,,,,,,,,true,true,,true,true,true,true,,,,accredited,,Biobank Graz,AT
bbmri-eric:ID:AT_MUG:collection:COVID-19RecoveredPatients,AT,bbmri-eric:ID:AT_MUG,"COVID-19 Convalescent Cohort: SARS-CoV-2, COVID-19 recovered",,"Biobank Graz is looking for COVID-19 recovered persons who are willing to donate blood on a voluntarily basis. The samples are used for diagnostic and prognostic biomarker identification, to get a better understanding of this severe disease and to develop different antibody-tests.",bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,"bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_isber-irl,bbmri-eric:networkID:EU_esbb,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19","COHORT,DISEASE_SPECIFIC,HOSPITAL,LONGITUDINAL,SAMPLE,PROSPECTIVE_COLLECTION","BIOLOGICAL_SAMPLES,BLOOD,CLINICAL_SYMPTOMS,DiseaseDuration,GENEALOGICAL_RECORDS,MEDICAL_RECORDS,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,SURVEY_DATA,TREATMENT_PROTOCOL",4,34317,2022-11-21 08:51:52.0,366,,,,,,,,bbmri-eric:contactID:AT_MUG_0020,"FEMALE,MALE",,,,YEAR,,,,"SERUM,PLASMA,BUFFY_COAT,NASAL_SWAB,SALIVA,DNA",temperature-60to-85,true,,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,true,,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,,,,,true,true,,true,true,true,true,,,,"accredited,eric",,Biobank Graz,AT
bbmri-eric:ID:AT_MUG:collection:COVID19PROSPECTIVE,AT,bbmri-eric:ID:AT_MUG,Ability to collect COVID-19 cases,,Ability to prospectively collect COVID-19 cases for new research collaborations.,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,"bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_isber-irl,bbmri-eric:networkID:EU_esbb,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19","COHORT,DISEASE_SPECIFIC,HOSPITAL,PROSPECTIVE_COLLECTION,SAMPLE","BIOLOGICAL_SAMPLES,BLOOD,CLINICAL_SYMPTOMS,DiseaseDuration,GENEALOGICAL_RECORDS,MEDICAL_RECORDS,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,SURVEY_DATA,TREATMENT_PROTOCOL",0,,2021-06-25 07:36:45.0,,,,,covid19,,"47,07492","15,46588",bbmri-eric:contactID:AT_MUG_0021,"FEMALE,MALE","urn:miriam:icd:U07.1,urn:miriam:icd:U07,urn:miriam:icd:U00-U49,urn:miriam:icd:XXII",,,,,,,"SERUM,THROAT_SWAB,BUFFY_COAT,FECES,PLASMA",temperature-60to-85,,false,,https://biobank.medunigraz.at/researcher/access-request/,,,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,,,,,true,true,,true,true,true,true,false,false,false,accredited,,Biobank Graz,AT
bbmri-eric:ID:AT_MUG:collection:ClinibilStudy,AT,bbmri-eric:ID:AT_MUG,"Clinibil Study: post cardiac-surgery, ICU",,"Biological samples were as part of the Clinibil study. This open, monocentric, observational study aims to investigate fluid and electrolyte balance in post cardiac-surgery patients staying in Intensive Care Unit (ICU).",,"bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_isber-irl,bbmri-eric:networkID:EU_esbb,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19","COHORT,CROSS_SECTIONAL,DISEASE_SPECIFIC,HOSPITAL,POPULATION_BASED,SAMPLE,PROSPECTIVE_COLLECTION","BIOLOGICAL_SAMPLES,BLOOD,CLINICAL_SYMPTOMS,DiseaseDuration,GENEALOGICAL_RECORDS,MEDICAL_RECORDS,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,TREATMENT_PROTOCOL",4,37514,2022-02-18 10:11:30.0,177,,,,,,"47,07492","15,46588",bbmri-eric:contactID:AT_MUG_0020,"FEMALE,MALE","urn:miriam:icd:N17.9,urn:miriam:icd:N18.9,urn:miriam:icd:E87.8,urn:miriam:icd:E86,urn:miriam:icd:E87.7,urn:miriam:icd:N17,urn:miriam:icd:N17-N19,urn:miriam:icd:XIV,urn:miriam:icd:N18,urn:miriam:icd:E87,urn:miriam:icd:E70-E90,urn:miriam:icd:IV",18,99,YEAR,,,,"SERUM,URINE",temperature-60to-85,true,,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,true,,,https://biobank.medunigraz.at/en/for-researchers/specimen-requests,,,,,true,true,,true,true,true,true,,,,accredited,,Biobank Graz,AT
