order,name,label,code,parent,ontologyTermURI,definition
1,Effectiveness study (incl. comparative),,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032197,
2,Safety study (incl. comparative),,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032198,
3,Assessment of risk minimisation measure implementation or effectiveness,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032199,
4,Drug utilisation,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032200,
5,Healthcare resource utilization,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032201,
6,Disease epidemiology,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032202,
7,Patient reported outcomes,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032203,
8,Feasibility analysis,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032204,
9,"Validation of study variables (exposure, outcome, covariate)",,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032205,
10,Hypothesis generation (including signal detection),,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032206,
11,Method development or testing,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032207,
12,Scoping review (including literature review),,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032208,
13,Other,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000032184/terms/200000032246,
