name,definition,codesystem,code,ontologyTermURI
%,,,,
meter,,,,
mmHg,,,,
bpm,,,,
mmol/litre,,,,
day,,,,
litre,,,,
litres/second,,,,
metre_per_second,,,,
percent,,,,
mm,,,,
year,,,,
gram/litre,,,,
pg/ml,,,,
mu/litre,,,,
ug/ml,,,,
square_meter,,,,
square_meter_per_square_kilometer,,,,
week,,,,
mg/litre,,,,
cm,,,,
m,,,,
kg,,,,
minutes,,,,
vocabulary_table,,,,
free_text,,,,
weeks,,,,
unit,,,,
microgram_per_milli_liter,,,,
ng/ml,,,,
gram,"",UO,0000021,http://purl.obolibrary.org/obo/UO_0000021
kJ,,,,
hours/day,,,,
hours/week,,,,
servings/day,,,,
mg/day,,,,
kcal/day,,,,
kg/m2,,,,
mg,,,,
month,,,,
meter_per_square_kilometer,,,,
percent_energy_intake,,,,
inverse_meter,,,,
hours_per_day,,,,
A_weighted_decibel,,,,
gram_per_dl,,,,
percent_total_food,,,,
ng_per_ml,,,,
dogs,,,,
Kcal_per_day,,,,
mg_per_dl,,,,
vehicles_per_day,,,,
ten_power_minus_five_per_inverse_meter,,,,
parts_per_billion,,,,
vehicles_per_day_and_meter,,,,
iu_per_ml,,,,
milligram_per_day,,,,
nanograms_per_cubic_meter,,,,
people_per_square_kilometer,,,,
gram_per_day,,,,
micrograms_per_cubic_meter,,,,
ndvi_value,,,,
sympercent_change,,,,
number_per_square_kilometer,,,,
µg/ml,,,,
servings_per_day,,,,
kilojoules_per_square_meter,,,,
gram/ml,,,,
times_per_day,,,,
cats,,,,
degree_celsius,,,,
z-score,,,,
kua_l,,,,
times_per_week,,,,
numeric,,,,
mU/L,,,,
gr/day,,,,
% total food,,,,
times/week,,,,
m/s,,,,
% energy intake,,,,
days,,,,
times/day,,,,
mmhg,,,,
Kcal/day,,,,
months,,,,
kUa/L,,,,
L,,,,
years,,,,
g,,,,
L/s,,,,
g/L,,,,
grams,,,,
EUR,,,,
sympercent change,,,,
h/day,,,,
µg/L,,,,
mmol/l,,,,
pg/g,,,,
date,,,,
pack/years,,,,
drinks/week,,,,
cig/day,,,,
mk,,,,
eur,,,,
milliseconds,,,,
micrometer,"",UO,0000017,http://purl.obolibrary.org/obo/UO_0000017
unit per liter,"",UO,0000179,http://purl.obolibrary.org/obo/UO_0000179
estimated fetal weight SDS,,,,
Hectopascal,"A SI derived unit of pressure equivalent to one hundred pascals, 1 millibar or 0.0145 pounds per square inch.",NCIT,C105487,http://purl.obolibrary.org/obo/NCIT_C105487
watt per square meter,"",UO,0000155,http://purl.obolibrary.org/obo/UO_0000155
mg/dL,,,,
pmol/L,,,,
g/dL,,,,
ug/g,,,,
