order,name,code,parent,ontologyTermURI
1,A (ALIMENTARY TRACT AND METABOLISM),A,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093554
2,B (BLOOD AND BLOOD FORMING ORGANS),B,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093929
3,C (CARDIOVASCULAR SYSTEM),C,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094240
4,D (DERMATOLOGICALS),D,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094519
5,G (GENITO URINARY SYSTEM AND SEX HORMONES),G,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095219
6,"H (SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS)",H,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095667
7,J (ANTIINFECTIVES FOR SYSTEMIC USE),J,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095974
8,L (ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS),L,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000096613
9,M (MUSCULO-SKELETAL SYSTEM),M,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000096652
10,N (NERVOUS SYSTEM),N,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000096886
11,"P (ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS)",P,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000097788
12,R (RESPIRATORY SYSTEM),R,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000097796
13,S (SENSORY ORGANS),S,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000097968
14,V (VARIOUS),V,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000098358
15,A01AD (Other agents for local oral treatment),A01AD,A01A (STOMATOLOGICAL PREPARATIONS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093534
16,A01AD01 (epinephrine),A01AD01,A01AD (Other agents for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093535
17,A01AD02 (benzydamine),A01AD02,A01AD (Other agents for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093536
18,A01AD05 (acetylsalicylic acid),A01AD05,A01AD (Other agents for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093537
19,A01AD06 (adrenalone),A01AD06,A01AD (Other agents for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093538
20,A01AD07 (amlexanox),A01AD07,A01AD (Other agents for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093539
21,A01AD11 (various),A01AD11,A01AD (Other agents for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093540
22,A02 (DRUGS FOR ACID RELATED DISORDERS),A02,A (ALIMENTARY TRACT AND METABOLISM),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093541
23,A02A (ANTACIDS),A02A,A02 (DRUGS FOR ACID RELATED DISORDERS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093542
24,A02AA (Magnesium compounds),A02AA,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093543
25,A02AA01 (magnesium carbonate),A02AA01,A02AA (Magnesium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093544
26,A02AA02 (magnesium oxide),A02AA02,A02AA (Magnesium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093545
27,A02AA03 (magnesium peroxide),A02AA03,A02AA (Magnesium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093546
28,A02AA04 (magnesium hydroxide),A02AA04,A02AA (Magnesium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093547
29,A02AA05 (magnesium silicate),A02AA05,A02AA (Magnesium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093548
30,A02AA10 (combinations),A02AA10,A02AA (Magnesium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093549
31,A02AB (Aluminium compounds),A02AB,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093550
32,A02AB01 (aluminium hydroxide),A02AB01,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093551
33,A02AB02 (algeldrate),A02AB02,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093552
34,A01 (STOMATOLOGICAL PREPARATIONS),A01,A (ALIMENTARY TRACT AND METABOLISM),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093555
35,A01A (STOMATOLOGICAL PREPARATIONS),A01A,A01 (STOMATOLOGICAL PREPARATIONS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093556
36,A01AA (Caries prophylactic agents),A01AA,A01A (STOMATOLOGICAL PREPARATIONS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093557
37,A01AA01 (sodium fluoride),A01AA01,A01AA (Caries prophylactic agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093558
38,A01AA02 (sodium monofluorophosphate),A01AA02,A01AA (Caries prophylactic agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093559
39,A01AA03 (olaflur),A01AA03,A01AA (Caries prophylactic agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093560
40,A01AA04 (stannous fluoride),A01AA04,A01AA (Caries prophylactic agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093561
41,A01AA30 (combinations),A01AA30,A01AA (Caries prophylactic agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093562
42,"A01AA51 (sodium fluoride, combinations)",A01AA51,A01AA (Caries prophylactic agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093563
43,A01AB (Antiinfectives and antiseptics for local oral treatment),A01AB,A01A (STOMATOLOGICAL PREPARATIONS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093564
44,A01AB02 (hydrogen peroxide),A01AB02,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093565
45,A01AB03 (chlorhexidine),A01AB03,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093566
46,A01AB04 (amphotericin B),A01AB04,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093567
47,A01AB05 (polynoxylin),A01AB05,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093568
48,A01AB06 (domiphen),A01AB06,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093569
49,A01AB07 (oxyquinoline),A01AB07,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093570
50,A01AB08 (neomycin),A01AB08,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093571
51,A01AB09 (miconazole),A01AB09,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093572
52,A01AB10 (natamycin),A01AB10,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093573
53,A01AB11 (various),A01AB11,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093574
54,A01AB12 (hexetidine),A01AB12,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093575
55,A01AB13 (tetracycline),A01AB13,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093576
56,A01AB14 (benzoxonium chloride),A01AB14,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093577
57,A01AB15 (tibezonium iodide),A01AB15,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093578
58,A01AB16 (mepartricin),A01AB16,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093579
59,A01AB17 (metronidazole),A01AB17,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093580
60,A01AB18 (clotrimazole),A01AB18,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093581
61,A01AB19 (sodium perborate),A01AB19,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093582
62,A01AB21 (chlortetracycline),A01AB21,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093583
63,A01AB22 (doxycycline),A01AB22,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093584
64,A01AB23 (minocycline),A01AB23,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093585
65,A01AC (Corticosteroids for local oral treatment),A01AC,A01A (STOMATOLOGICAL PREPARATIONS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093586
66,A01AC01 (triamcinolone),A01AC01,A01AC (Corticosteroids for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093587
67,A01AC02 (dexamethasone),A01AC02,A01AC (Corticosteroids for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093588
68,A01AC03 (hydrocortisone),A01AC03,A01AC (Corticosteroids for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093589
69,"A01AC54 (prednisolone, combinations)",A01AC54,A01AC (Corticosteroids for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093590
70,A07DA04 (difenoxin),A07DA04,A07DA (Antipropulsives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093591
71,A07DA05 (loperamide oxide),A07DA05,A07DA (Antipropulsives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093592
72,A02AB03 (aluminium phosphate),A02AB03,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093593
73,A02AB04 (dihydroxialumini sodium carbonate),A02AB04,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093594
74,A02AB05 (aluminium acetoacetate),A02AB05,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093595
75,A02AB06 (aloglutamol),A02AB06,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093596
76,A02AB07 (aluminium glycinate),A02AB07,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093597
77,A02AB10 (combinations),A02AB10,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093598
78,A02AC (Calcium compounds),A02AC,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093599
79,A02AC01 (calcium carbonate),A02AC01,A02AC (Calcium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093600
80,A02AC02 (calcium silicate),A02AC02,A02AC (Calcium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093601
81,A02AC10 (combinations),A02AC10,A02AC (Calcium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093602
82,"A02AD (Combinations and complexes of aluminium, calcium and magnesium compounds)",A02AD,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093603
