name,parent,ontologyTermURI,definition
photoswitchable fluorescent protein,optical highlighter,http://purl.obolibrary.org/obo/FBbi_00000539,
differences in amount of elastic light scattering,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000600,
hand-sectioned tissue,sectioned tissue,http://purl.obolibrary.org/obo/FBbi_00000028,
small genetically encoded tag,genetically encoded tag,http://purl.obolibrary.org/obo/FBbi_00000407,
negative staining,visualization of contiguous regions,http://purl.obolibrary.org/obo/FBbi_00000399,"visualization by exclusion of a stain in which the specimen is immersed; compare with ""positive staining."
free hand graphic,graphic illustration,http://purl.obolibrary.org/obo/FBbi_00000229,
orcein,non-specific protein affinity,http://purl.obolibrary.org/obo/FBbi_00000046,
copper salt,electron-dense stain,http://purl.obolibrary.org/obo/FBbi_00000610,
molecular_function,process,http://purl.obolibrary.org/obo/GO_0003674,
macroscopy,recorded image,http://purl.obolibrary.org/obo/FBbi_00000240,methods for imaging objects large enough to be observed by the unaided eye
DsRed-MaxFP,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000508,
tetracysteine tag,small genetically encoded tag,http://purl.obolibrary.org/obo/FBbi_00000416,
mCherryFP,Red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000525,
glutaraldehyde fixed tissue,crosslinking-fixative fixed tissue,http://purl.obolibrary.org/obo/FBbi_00000011,
rsCherryRevFP,photoswitchable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000565,
elastic scattering of photons,elastic scattering,http://purl.obolibrary.org/obo/FBbi_00000587,
dark-field microscopy,light microscopy,http://purl.obolibrary.org/obo/FBbi_00000244,imaging with rejection of the unscattered illumination (removal of the zero order component of the diffracted wave)
X-ray microscopy,X-ray radiography,http://purl.obolibrary.org/obo/FBbi_00000260,
PA-mCherry1FP,photoactivatable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000546,
membrane impermeant probe,probes for nucleic acid,http://purl.obolibrary.org/obo/FBbi_00000422,
intermediate voltage electron microacopy (IVEM),transmission electron microscopy (TEM),http://purl.obolibrary.org/obo/FBbi_00000623,
montage,portrayed image,http://purl.obolibrary.org/obo/FBbi_00000261,
rhodamine B,optically-dense stain,http://purl.obolibrary.org/obo/FBbi_00000063,
illumination by ions,illumination method,http://purl.obolibrary.org/obo/FBbi_00000276,
distribution of a specific protein,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000597,
mAppleFP,Red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000524,
HcRed-tandemFP,Far-red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000492,
optical highlighter,fluorescent protein tag,http://purl.obolibrary.org/obo/FBbi_00000434,
unprocessed raw data,computational method,http://purl.obolibrary.org/obo/FBbi_00000582,"data as acquired, with no alterations that change the pixel values."
unfixed tissue,fixation method,http://purl.obolibrary.org/obo/FBbi_00000014,
tissue in polyester wax embedment,tissue in wax embedment,http://purl.obolibrary.org/obo/FBbi_00000021,
DOPI (defocussed orientation and position imaging),point-localization method,http://purl.obolibrary.org/obo/FBbi_00000338,
methanol fixed tissue,coagulating-fixative fixed tissue,http://purl.obolibrary.org/obo/FBbi_00000007,
uranyl salt,electron-dense stain,http://purl.obolibrary.org/obo/FBbi_00000569,
electron-dense stain,stain with broad specificity,http://purl.obolibrary.org/obo/FBbi_00000568,
SCFP,Cyan fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000470,
gold,electron dense label,http://purl.obolibrary.org/obo/FBbi_00000202,
taxol,affinity for specific proteins,http://purl.obolibrary.org/obo/FBbi_00000073,
spinning disk scanning,multiple point scanning,http://purl.obolibrary.org/obo/FBbi_00000288,scanning by multiple points of light arising from pinholes in a spinning disk that is illuminated by a widefield source
