name,code,order,definition,comments,parent,ontologyTermURI
research specific restrictions,DUO_0000012,6,This data use modifier indicates that use is limited to studies of a certain research type.,,,http://purl.obolibrary.org/obo/DUO_0000012
no general methods research,DUO_0000015,7,"This data use modifier indicates that use does not allow methods development research (e.g., development of software or algorithms).",,,http://purl.obolibrary.org/obo/DUO_0000015
genetic studies only,DUO_0000016,8,"This data use modifier indicates that use is limited to genetic studies only (i.e., studies that include genotype research alone or both genotype and phenotype research, but not phenotype research exclusively)",,,http://purl.obolibrary.org/obo/DUO_0000016
"not for profit, non commercial use only",DUO_0000018,10,"This data use modifier indicates that use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.",,,http://purl.obolibrary.org/obo/DUO_0000018
publication required,DUO_0000019,11,This data use modifier indicates that requestor agrees to make results of studies using the data available to the larger scientific community.,,,http://purl.obolibrary.org/obo/DUO_0000019
collaboration required,DUO_0000020,12,This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s).,,,http://purl.obolibrary.org/obo/DUO_0000020
ethics approval required,DUO_0000021,13,This data use modifier indicates that the requestor must provide documentation of local IRB/ERB approval.,,,http://purl.obolibrary.org/obo/DUO_0000021
geographical restriction,DUO_0000022,14,This data use modifier indicates that use is limited to within a specific geographic region.,,,http://purl.obolibrary.org/obo/DUO_0000022
publication moratorium,DUO_0000024,15,This data use modifier indicates that requestor agrees not to publish results of studies until a specific date.,,,http://purl.obolibrary.org/obo/DUO_0000024
time limit on use,DUO_0000025,16,This data use modifier indicates that use is approved for a specific number of months.,,,http://purl.obolibrary.org/obo/DUO_0000025
user specific restriction,DUO_0000026,17,This data use modifier indicates that use is limited to use by approved users.,,,http://purl.obolibrary.org/obo/DUO_0000026
project specific restriction,DUO_0000027,18,This data use modifier indicates that use is limited to use within an approved project.,,,http://purl.obolibrary.org/obo/DUO_0000027
institution specific restriction,DUO_0000028,19,This data use modifier indicates that use is limited to use within an approved institution.,,,http://purl.obolibrary.org/obo/DUO_0000028
return to database or resource,DUO_0000029,20,This data use modifier indicates that the requestor must return derived/enriched data to the database/resource.,,,http://purl.obolibrary.org/obo/DUO_0000029
clinical care use,DUO_0000043,33,"This data use modifier indicates that use is allowed for clinical use and care. Clinical Care is defined as Health care or services provided at home, in a healthcare facility or hospital. Data may be used for clinical decision making.",,,http://purl.obolibrary.org/obo/DUO_0000043
