name,parent,ontologyTermURI,definition
Abdominal ultrasound,Ultrasound imaging,,
Fluorography,,,
Three-phase planar bone scintigraphy,Bone imaging,,
Proton spin tomography,Tomography,,
Energy dispersive X-ray micro-analysis,,,
Dynamic renal scintigraphy,Genitourinary imaging,,
Thyroid imaging,,,
Planar scintigraphy,Bone imaging,,
Mammography,,,
Echo planar imaging,Magnetic resonance imaging,,
Tomography,,,
Micro-computed tomography,Computed axial tomography,,
Pelvic ultrasound,Ultrasound imaging,,
Magnetic resonance spectroscopy,Magnetic resonance imaging,,
Autoradiography,,,
Splenic scintigraphy,Gastrointestinal imaging,,
Scrotal scintigraphy,Genitourinary imaging,,
Radionuclide cystography,Genitourinary imaging,,
Liver and spleen scan,Gastrointestinal imaging,,
Pinhole magnification scintigraphy,Bone imaging,,
X-ray radiography,,,
Positron emission tomography,Tomography,,
Gastrointestinal imaging,,,
Hepatobiliary scintigraphy,Gastrointestinal imaging,,
Transclonic portal scintigraphy,Gastrointestinal imaging,,
Ultrasound imaging,,,
Renal cortical scintigraphy,Genitourinary imaging,,
Echocardiography,Ultrasound imaging,,
Doppler imaging,Ultrasound imaging,,
Single photon emission computed tomography,Tomography,,
Genitourinary imaging,,,
Radionuclide imaging,,,
Iodine-123  thyroid scintigraphy,Thyroid imaging,,
Skeletal scintigraphy,Bone imaging,,
Pulmonary imaging,,,
Computed axial tomography,Tomography,,
Magnetic resonance imaging,,,
Lymphoscintigraphy,,,
Infection imaging,,,
Gated magnetic resonance imaging,Magnetic resonance imaging,,
Pyelography,Genitourinary imaging,,
Bone imaging,,,
Absorptiometry,,,
Salivagraphy,Gastrointestinal imaging,,
Scintigraphy with 111In-labeled white blood cells,Infection imaging,,
