name,order,code,parent,ontologyTermURI,definition
No main medical condition,1,,,,
I Certain infectious and parasitic diseases,2,I,,,
A00-A09 Intestinal infectious diseases,3,A00-A09,I Certain infectious and parasitic diseases,,
A00 Cholera,4,A00,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A00,
"A00.0 Cholera due to Vibrio cholerae 01, biovar cholerae",5,A00.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A00.0,
"A00.1 Cholera due to Vibrio cholerae 01, biovar eltor",6,A00.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A00.1,ORPHAcode: 173 Cholera
"A00.9 Cholera, unspecified",7,A00.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A00.9,
A01 Typhoid and paratyphoid fevers,8,A01,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01,
A01.0 Typhoid fever,9,A01.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.0,ORPHAcode: 99745 Typhoid
A01.1 Paratyphoid fever A,10,A01.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.1,ORPHAcode: 443227 Paratyphoid fever
A01.2 Paratyphoid fever B,11,A01.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.2,
A01.3 Paratyphoid fever C,12,A01.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.3,
"A01.4 Paratyphoid fever, unspecified",13,A01.4,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.4,
A02 Other salmonella infections,14,A02,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02,
A02.0 Salmonella enteritis,15,A02.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.0,
A02.1 Salmonella sepsis,16,A02.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.1,
A02.2 Localized salmonella infections,17,A02.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.2,ORPHAcode: 324648 Invasive non-typhoidal salmonellosis
A02.8 Other specified salmonella infections,18,A02.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.8,
"A02.9 Salmonella infection, unspecified",19,A02.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.9,
A03 Shigellosis,20,A03,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03,
A03.0 Shigellosis due to Shigella dysenteriae,21,A03.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.0,
A03.1 Shigellosis due to Shigella flexneri,22,A03.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.1,
A03.2 Shigellosis due to Shigella boydii,23,A03.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.2,
A03.3 Shigellosis due to Shigella sonnei,24,A03.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.3,
A03.8 Other shigellosis,25,A03.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.8,ORPHAcode: 810 Shigellosis
"A03.9 Shigellosis, unspecified",26,A03.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.9,
A04 Other bacterial intestinal infections,27,A04,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04,
A04.0 Other bacterial intestinal infections - Enteropathogenic Escherichia coli infection,28,A04.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.0,
A04.1 Other bacterial intestinal infections - Enterotoxigenic Escherichia coli infection,29,A04.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.1,
A04.2 Other bacterial intestinal infections - Enteroinvasive Escherichia coli infection,30,A04.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.2,
A04.3 Other bacterial intestinal infections - Enterohaemorrhagic Escherichia coli infection,31,A04.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.3,
A04.4 Other intestinal Escherichia coli infections,32,A04.4,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.4,
A04.5 Other bacterial intestinal infections - Campylobacter enteritis,33,A04.5,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.5,
A04.6 Other bacterial intestinal infections - Enteritis due to Yersinia enterocolitica,34,A04.6,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.6,
A04.7 Other bacterial intestinal infections - Enterocolitis due to Clostridium difficile,35,A04.7,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.7,
A04.8 Other specified bacterial intestinal infections,36,A04.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.8,ORPHAcode: 90078 Invasive infections due to vancomycin-resistant enterococci
"A04.9 Bacterial intestinal infection, unspecified",37,A04.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.9,
"A05 Other bacterial foodborne intoxications, not elsewhere classified",38,A05,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05,
A05.0 Foodborne staphylococcal intoxication,39,A05.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.0,
"A05.1 Other bacterial foodborne intoxications, not elsewhere classified - Botulism",40,A05.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.1,ORPHAcode: 1267 Botulism
A05.2 Foodborne Clostridium perfringens [Clostridium welchii] intoxication,41,A05.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.2,
A05.3 Foodborne Vibrio parahaemolyticus intoxication,42,A05.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.3,
A05.4 Foodborne Bacillus cereus intoxication,43,A05.4,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.4,
A05.8 Other specified bacterial foodborne intoxications,44,A05.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.8,
"A05.9 Bacterial foodborne intoxication, unspecified",45,A05.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.9,
A06 Amoebiasis,46,A06,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06,
A06.0 Amoebiasis - Acute amoebic dysentery,47,A06.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.0,ORPHAcode: 67 Amoebiasis due to Entamoeba histolytica
A06.1 Chronic intestinal amoebiasis,48,A06.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.1,
A06.2 Amoebiasis - Amoebic nondysenteric colitis,49,A06.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.2,
A06.3 Amoebiasis - Amoeboma of intestine,50,A06.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.3,
A06.4 Amoebiasis - Amoebic liver abscess,51,A06.4,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.4,
A06.5 Amoebiasis - Amoebic lung abscess,52,A06.5,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.5,
A06.6 Amoebiasis - Amoebic brain abscess,53,A06.6,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.6,
A06.7 Cutaneous amoebiasis,54,A06.7,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.7,
A06.8 Amoebiasis - Amoebic infection of other sites,55,A06.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.8,
"A06.9 Amoebiasis, unspecified",56,A06.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.9,
A07 Other protozoal intestinal diseases,57,A07,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07,
A07.0 Other protozoal intestinal diseases - Balantidiasis,58,A07.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07.0,ORPHAcode: 1223 Balantidiasis
A07.1 Other protozoal intestinal diseases - Giardiasis [lambliasis],59,A07.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07.1,
"A15.3 Tuberculosis of lung, confirmed by unspecified means",60,A15.3,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.3,
A07.2 Other protozoal intestinal diseases - Cryptosporidiosis,61,A07.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07.2,ORPHAcode: 1549 Cryptosporidiosis
A07.3 Other protozoal intestinal diseases - Isosporiasis,62,A07.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07.3,ORPHAcode: 210 Cyclosporosis
A07.8 Other specified protozoal intestinal diseases,63,A07.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07.8,ORPHAcode: 54368 Sarcocystosis
"A07.9 Protozoal intestinal disease, unspecified",64,A07.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07.9,
A08 Viral and other specified intestinal infections,65,A08,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08,
A08.0 Rotaviral enteritis,66,A08.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08.0,
A08.1 Viral and other specified intestinal infections - Acute gastroenteropathy due to Norwalk agent,67,A08.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08.1,
A08.2 Adenoviral enteritis,68,A08.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08.2,
A08.3 Other viral enteritis,69,A08.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08.3,
"A08.4 Viral intestinal infection, unspecified",70,A08.4,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08.4,
A08.5 Other specified intestinal infections,71,A08.5,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08.5,
A09 Other gastroenteritis and colitis of infectious and unspecified origin,72,A09,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A09,
A09.0 Other and unspecified gastroenteritis and colitis of infectious origin,73,A09.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A09.0,
A09.9 Gastroenteritis and colitis of unspecified origin,74,A09.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A09.9,
A15-A19 Tuberculosis,75,,I Certain infectious and parasitic diseases,,
"A15 Respiratory tuberculosis, bacteriologically and histologically confirmed",76,A15,A15-A19 Tuberculosis,http://identifiers.org/icd/A15,
"A15.0 Tuberculosis of lung, confirmed by sputum microscopy with or without culture",77,A15.0,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.0,
"A15.1 Tuberculosis of lung, confirmed by culture only",78,A15.1,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.1,
"A15.2 Tuberculosis of lung, confirmed histologically",79,A15.2,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.2,
B74 Filariasis,80,B74,B65-B83 Helminthiases,http://identifiers.org/icd/B74,
"A15.4 Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",81,A15.4,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.4,
"A15.5 Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",82,A15.5,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.5,
