order,label,name,parent,code,ontologyTermURI
1177,Veterinary use,Veterinary use,,,
2,13C-Urea,Human use: 13C-Urea,Human use,100000089540,
3,A/CALIFORNIA/7/2009 (H1N1)-DERIVED STRAIN USED NYMC X-181,Human use: A/CALIFORNIA/7/2009 (H1N1)-DERIVED STRAIN USED NYMC X-181,Human use,100000129385,
4,A/CALIFORNIA/7/2009 (H1N1)PDM09 - DERIVED STRAIN USED NYMC X-179A,Human use: A/CALIFORNIA/7/2009 (H1N1)PDM09 - DERIVED STRAIN USED NYMC X-179A,Human use,100000138056,
5,A/CALIFORNIA/7/2009 (H1N1)PDM09-LIKE STRAIN,Human use: A/CALIFORNIA/7/2009 (H1N1)PDM09-LIKE STRAIN,Human use,100000153247,
6,A/CALIFORNIA/7/2009 PDM09 (H1N1) - LIKE STRAIN USED A/BRISBANE/10/2010 WILD TYPE,Human use: A/CALIFORNIA/7/2009 PDM09 (H1N1) - LIKE STRAIN USED A/BRISBANE/10/2010 WILD TYPE,Human use,100000136875,
7,A/CALIFORNIA/7/2009(H1N1)-LIKE STRAIN (NYMC X-179A),Human use: A/CALIFORNIA/7/2009(H1N1)-LIKE STRAIN (NYMC X-179A),Human use,100000115837,
8,"A/Darwin/6/2021(H3N2)-like strain (A/Darwin/11/2021, wild type)","Human use: A/Darwin/6/2021(H3N2)-like strain (A/Darwin/11/2021, wild type)",Human use,300000045070,
9,"A/Darwin/9/2021 (H3N2) - like strain (A/Darwin/6/2021, IVR-227)","Human use: A/Darwin/9/2021 (H3N2) - like strain (A/Darwin/6/2021, IVR-227)",Human use,300000043561,
10,"A/Darwin/9/2021 (H3N2) - like strain (A/Norway/16606/2021, MEDI 355293)","Human use: A/Darwin/9/2021 (H3N2) - like strain (A/Norway/16606/2021, MEDI 355293)",Human use,300000045072,
11,A/INDONESIA/05/2005 (H5N1) LIKE STRAIN USED (PR8-IBCDC-RG2),Human use: A/INDONESIA/05/2005 (H5N1) LIKE STRAIN USED (PR8-IBCDC-RG2),Human use,100000129393,
12,A/NEW CALEDONIA/20/99 (H1N1) - LIKE STRAIN (A/NEW CALEDONIA/20/99 REASS. IVR-116),Human use: A/NEW CALEDONIA/20/99 (H1N1) - LIKE STRAIN (A/NEW CALEDONIA/20/99 REASS. IVR-116),Human use,100000088021,
13,A/PERTH/16/2009 (H3N2) - LIKE STRAIN (A/VICTORIA/210/2009 REASS. NYMC X-187),Human use: A/PERTH/16/2009 (H3N2) - LIKE STRAIN (A/VICTORIA/210/2009 REASS. NYMC X-187),Human use,100000115516,
14,"A/SWITZERLAND/9715293/2013 (H3N2) - LIKE STRAIN (A/SOUTH AUSTRALIA/55/2014, WILD TYPE)","Human use: A/SWITZERLAND/9715293/2013 (H3N2) - LIKE STRAIN (A/SOUTH AUSTRALIA/55/2014, WILD TYPE)",Human use,100000164713,
15,A/TURKEY/TURKEY/1/05 (H5N1)-LIKE STRAIN (NIBRG-23),Human use: A/TURKEY/TURKEY/1/05 (H5N1)-LIKE STRAIN (NIBRG-23),Human use,100000130382,
18,"A/Victoria/2570/2019 (H1N1)pdm09 - like strain (A/Victoria/1/2020, MEDI 340505)","Human use: A/Victoria/2570/2019 (H1N1)pdm09 - like strain (A/Victoria/1/2020, MEDI 340505)",Human use,300000036058,
19,"A/Victoria/2570/2019 (H1N1)pdm09-like strain (A/Victoria/2570/2019, IVR-215)","Human use: A/Victoria/2570/2019 (H1N1)pdm09-like strain (A/Victoria/2570/2019, IVR-215)",Human use,300000034498,
16,"A/VICTORIA/361/2011 (H3N2)-LIKE STRAIN (A/TEXAS/50/2012, MEDI 237514)","Human use: A/VICTORIA/361/2011 (H3N2)-LIKE STRAIN (A/TEXAS/50/2012, MEDI 237514)",Human use,100000155843,
17,A/VIETNAM/1194/2004 (H5N1) LIKE STRAIN USED (NIBRG-14),Human use: A/VIETNAM/1194/2004 (H5N1) LIKE STRAIN USED (NIBRG-14),Human use,100000115684,
21,A/Wisconsin/588/2019 (H1N1)pdm09-like strain (A/Delaware/55/2019 CVR-45),Human use: A/Wisconsin/588/2019 (H1N1)pdm09-like strain (A/Delaware/55/2019 CVR-45),Human use,300000045069,
20,A/WISCONSIN/67/2005 (H3N2) - LIKE STRAIN (A/WISCONSIN/67/2005 REASS. NYMCX-161-B),Human use: A/WISCONSIN/67/2005 (H3N2) - LIKE STRAIN (A/WISCONSIN/67/2005 REASS. NYMCX-161-B),Human use,100000091214,
23,Abacavir,Human use: Abacavir,Human use,100000085435,
24,Abacavir sulfate,Human use: Abacavir sulfate,Human use,100000090705,
25,Abaloparatide,Human use: Abaloparatide,Human use,100000166149,
26,Abatacept,Human use: Abatacept,Human use,100000089557,
27,Abemaciclib,Human use: Abemaciclib,Human use,100000160392,
28,Abiraterone acetate,Human use: Abiraterone acetate,Human use,100000124155,
29,Abrocitinib,Human use: Abrocitinib,Human use,300000002660,
30,Acalabrutinib,Human use: Acalabrutinib,Human use,100000168547,
31,Acalabrutinib maleate,Human use: Acalabrutinib maleate,Human use,300000037342,
32,Acetylsalicylic acid,Human use: Acetylsalicylic acid,Human use,100000092077,
33,Aclidinium bromide,Human use: Aclidinium bromide,Human use,100000135704,
34,Adalimumab,Human use: Adalimumab,Human use,100000089523,
35,Adefovir dipivoxil,Human use: Adefovir dipivoxil,Human use,100000093015,
36,Adenovirus serotype 26 viral vector carrying a gene encoding the Ebola Zaire envelope glycoprotein,Human use: Adenovirus serotype 26 viral vector carrying a gene encoding the Ebola Zaire envelope glycoprotein,Human use,300000010480,
37,Afamelanotide,Human use: Afamelanotide,Human use,100000127697,
38,Afatinib dimaleate,Human use: Afatinib dimaleate,Human use,100000144600,
39,Aflibercept,Human use: Aflibercept,Human use,100000091493,
40,Agalsidase alfa,Human use: Agalsidase alfa,Human use,100000092056,
41,Agalsidase beta,Human use: Agalsidase beta,Human use,100000089283,
42,Agomelatine,Human use: Agomelatine,Human use,100000085257,
43,Alatrofloxacin mesilate,Human use: Alatrofloxacin mesilate,Human use,100000088003,
44,Albiglutide,Human use: Albiglutide,Human use,100000144391,
45,Albutrepenonacog alfa,Human use: Albutrepenonacog alfa,Human use,100000160835,
46,Alectinib hydrochloride,Human use: Alectinib hydrochloride,Human use,100000162855,
47,Alemtuzumab,Human use: Alemtuzumab,Human use,100000089882,
48,Alendronate sodium,Human use: Alendronate sodium,Human use,100000089090,
49,Alendronate sodium trihydrate,Human use: Alendronate sodium trihydrate,Human use,100000089619,
50,Alendronic acid,Human use: Alendronic acid,Human use,100000085258,
51,Alglucosidase alfa,Human use: Alglucosidase alfa,Human use,100000089564,
52,Alipogene tiparvovec,Human use: Alipogene tiparvovec,Human use,100000115623,
53,Alirocumab,Human use: Alirocumab,Human use,100000159811,
54,Aliskiren,Human use: Aliskiren,Human use,100000089565,
55,Aliskiren hemifumarate,Human use: Aliskiren hemifumarate,Human use,100000089500,
56,Alitretinoin,Human use: Alitretinoin,Human use,100000089387,
57,Allopurinol,Human use: Allopurinol,Human use,100000091907,
58,Alogliptin benzoate,Human use: Alogliptin benzoate,Human use,100000124472,
59,Alpelisib,Human use: Alpelisib,Human use,100000166553,
60,Ambrisentan,Human use: Ambrisentan,Human use,100000089441,
61,Amifampridine phosphate,Human use: Amifampridine phosphate,Human use,100000115908,
62,Amikacin sulfate,Human use: Amikacin sulfate,Human use,100000085153,
63,Aminolevulinic acid hydrochloride,Human use: Aminolevulinic acid hydrochloride,Human use,100000089584,
64,Aminosalicylic acid,Human use: Aminosalicylic acid,Human use,100000092424,
65,Amivantamab,Human use: Amivantamab,Human use,100000177630,
66,Amlodipine besilate,Human use: Amlodipine besilate,Human use,100000090079,
67,Amprenavir,Human use: Amprenavir,Human use,100000089388,
68,Anagrelide hydrochloride,Human use: Anagrelide hydrochloride,Human use,100000090407,
69,Anagrelide hydrochloride monohydrate,Human use: Anagrelide hydrochloride monohydrate,Human use,100000137355,
70,Anakinra,Human use: Anakinra,Human use,100000085260,
71,Andexanet alfa,Human use: Andexanet alfa,Human use,100000166815,
72,Angiotensin II acetate,Human use: Angiotensin II acetate,Human use,100000177362,
73,Anhydrous docetaxel,Human use: Anhydrous docetaxel,Human use,100000091745,
74,Anidulafungin,Human use: Anidulafungin,Human use,100000089572,
75,Anifrolumab,Human use: Anifrolumab,Human use,100000155087,
22,"ANTI-MELANOMA MAB FRAGMENTS, MOUSE, MONOCLONAL-CLONE 225.28S","Human use: ANTI-MELANOMA MAB FRAGMENTS, MOUSE, MONOCLONAL-CLONE 225.28S",Human use,100000085359,
76,Antithrombin alfa,Human use: Antithrombin alfa,Human use,100000087989,
77,Apalutamide,Human use: Apalutamide,Human use,100000174821,
78,Apixaban,Human use: Apixaban,Human use,100000091294,
79,Apomorphine hydrochloride hemihydrate,Human use: Apomorphine hydrochloride hemihydrate,Human use,100000092009,
80,Apremilast,Human use: Apremilast,Human use,100000156798,
81,Aprepitant,Human use: Aprepitant,Human use,100000089541,
82,Arcitumomab,Human use: Arcitumomab,Human use,100000089371,
83,Aripiprazole,Human use: Aripiprazole,Human use,100000089957,
84,Aripiprazole monohydrate,Human use: Aripiprazole monohydrate,Human use,100000151839,
85,Arsenic trioxide,Human use: Arsenic trioxide,Human use,100000089284,
86,Artenimol,Human use: Artenimol,Human use,100000115442,
87,Artesunate,Human use: Artesunate,Human use,100000086605,
88,Asciminib hydrochloride,Human use: Asciminib hydrochloride,Human use,300000011169,
89,Asenapine maleate,Human use: Asenapine maleate,Human use,100000115274,
90,Asfotase alfa,Human use: Asfotase alfa,Human use,100000158330,
91,Asparaginase,Human use: Asparaginase,Human use,100000092010,
92,Ataluren,Human use: Ataluren,Human use,100000140052,
93,Atazanavir sulfate,Human use: Atazanavir sulfate,Human use,100000089598,
94,Atezolizumab,Human use: Atezolizumab,Human use,100000163921,
95,Atidarsagene autotemcel,Human use: Atidarsagene autotemcel,Human use,300000000100,
96,Atosiban acetate,Human use: Atosiban acetate,Human use,100000089389,
97,Autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human ADA cDNA sequence,Human use: Autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human ADA cDNA sequence,Human use,100000162743,
98,Avacopan,Human use: Avacopan,Human use,100000172811,
99,Avalglucosidase alfa,Human use: Avalglucosidase alfa,Human use,100000177430,
100,Avanafil,Human use: Avanafil,Human use,100000128159,
101,Avapritinib,Human use: Avapritinib,Human use,100000177408,
102,Avatrombopag maleate,Human use: Avatrombopag maleate,Human use,100000143995,
103,Avelumab,Human use: Avelumab,Human use,100000166075,
104,Avibactam sodium,Human use: Avibactam sodium,Human use,100000166051,
105,Axicabtagene ciloleucel,Human use: Axicabtagene ciloleucel,Human use,100000174423,
106,Axitinib,Human use: Axitinib,Human use,100000089442,
107,Azacitidine,Human use: Azacitidine,Human use,100000086905,
108,Azathioprine,Human use: Azathioprine,Human use,100000091475,
109,Azilsartan medoxomil,Human use: Azilsartan medoxomil,Human use,100000124197,
110,Azilsartan medoxomil potassium,Human use: Azilsartan medoxomil potassium,Human use,100000177539,
111,Aztreonam,Human use: Aztreonam,Human use,100000091595,
112,"B/Austria/1359417/2021 - like strain (B/Austria/1359417/2021, MEDI 355292)","Human use: B/Austria/1359417/2021 - like strain (B/Austria/1359417/2021, MEDI 355292)",Human use,300000045050,
113,B/Austria/1359417/2021-like strain (B/Singapore/WUH4618/2021),Human use: B/Austria/1359417/2021-like strain (B/Singapore/WUH4618/2021),Human use,300000045071,
114,B/BRISBANE/60/2008,Human use: B/BRISBANE/60/2008,Human use,100000129395,
115,B/MALAYSIA/2506/2004 - LIKE STRAIN (B/MALAYSIA/2506/2004),Human use: B/MALAYSIA/2506/2004 - LIKE STRAIN (B/MALAYSIA/2506/2004),Human use,100000091417,
116,"B/MASSACHUSETTS/2/2012-LIKE STRAIN (B/MASSACHUSETTS/2/2012, MEDI 237751)","Human use: B/MASSACHUSETTS/2/2012-LIKE STRAIN (B/MASSACHUSETTS/2/2012, MEDI 237751)",Human use,100000155844,
118,"B/Phuket/3073/2013 - like strain (B/Phuket/3073/2013, MEDI 306444)","Human use: B/Phuket/3073/2013 - like strain (B/Phuket/3073/2013, MEDI 306444)",Human use,300000025979,
117,"B/PHUKET/3073/2013 – LIKE STRAIN (B/UTAH/9/2014, WILD TYPE)","Human use: B/PHUKET/3073/2013 – LIKE STRAIN (B/UTAH/9/2014, WILD TYPE)",Human use,100000164714,
119,"B/Phuket/3073/2013-like strain (B/Phuket/3073/2013, BVR-1B)","Human use: B/Phuket/3073/2013-like strain (B/Phuket/3073/2013, BVR-1B)",Human use,300000022296,
120,"B/Phuket/3073/2013-like virus (B/Singapore/INFTT-16-0610/2016, wild type)","Human use: B/Phuket/3073/2013-like virus (B/Singapore/INFTT-16-0610/2016, wild type)",Human use,300000009203,
123,Baloxavir marboxil,Human use: Baloxavir marboxil,Human use,100000176055,
124,Baricitinib,Human use: Baricitinib,Human use,100000166701,
125,Basiliximab,Human use: Basiliximab,Human use,100000092055,
126,Bazedoxifene,Human use: Bazedoxifene,Human use,100000089657,
127,Bazedoxifene acetate,Human use: Bazedoxifene acetate,Human use,100000078576,
128,Becaplermin,Human use: Becaplermin,Human use,100000089372,
129,Beclometasone dipropionate,Human use: Beclometasone dipropionate,Human use,100000091556,
130,Beclometasone dipropionate anhydrous,Human use: Beclometasone dipropionate anhydrous,Human use,100000089927,
131,Bedaquiline fumarate,Human use: Bedaquiline fumarate,Human use,100000141480,
132,Belantamab mafodotin,Human use: Belantamab mafodotin,Human use,100000181695,
133,Belatacept,Human use: Belatacept,Human use,100000092978,
134,Belimumab,Human use: Belimumab,Human use,100000090056,
135,Bempedoic acid,Human use: Bempedoic acid,Human use,100000169469,
136,Benralizumab,Human use: Benralizumab,Human use,100000167493,
137,Berotralstat dihydrochloride,Human use: Berotralstat dihydrochloride,Human use,300000005362,
138,Besilesomab,Human use: Besilesomab,Human use,100000092685,
139,Betaine,Human use: Betaine,Human use,100000089335,
140,Betibeglogene autotemcel,Human use: Betibeglogene autotemcel,Human use,100000178156,
141,Betulae cortex dry extract (5-10 : 1): Extraction solvent: n-heptane 95% (W/W),Human use: Betulae cortex dry extract (5-10 : 1): Extraction solvent: n-heptane 95% (W/W),Human use,100000158613,
142,Bevacizumab,Human use: Bevacizumab,Human use,100000089535,
143,Bexarotene,Human use: Bexarotene,Human use,100000089393,
144,Bezlotoxumab,Human use: Bezlotoxumab,Human use,100000153736,
145,Bictegravir sodium,Human use: Bictegravir sodium,Human use,100000174345,
146,Bimatoprost,Human use: Bimatoprost,Human use,100000089302,
147,Bimekizumab,Human use: Bimekizumab,Human use,100000169021,
148,Binimetinib,Human use: Binimetinib,Human use,100000165993,
149,Bivalirudin trifluoroacetate hydrate,Human use: Bivalirudin trifluoroacetate hydrate,Human use,100000138612,
150,Blinatumomab,Human use: Blinatumomab,Human use,100000128395,
151,Boceprevir,Human use: Boceprevir,Human use,100000124138,
121,BORDETELLA PERTUSSIS (INACTIVATED),Human use: BORDETELLA PERTUSSIS (INACTIVATED),Human use,100000089550,
