name,code,order,definition,comments,parent,ontologyTermURI
1950,,73,,,,
1951,,72,,,,
1952,,71,,,,
1953,,70,,,,
1954,,69,,,,
1955,,68,,,,
1956,,67,,,,
1957,,66,,,,
1958,,65,,,,
1959,,64,,,,
1960,,63,,,,
1961,,62,,,,
1962,,61,,,,
1963,,60,,,,
1964,,59,,,,
1965,,58,,,,
1966,,57,,,,
1967,,56,,,,
1968,,55,,,,
1969,,54,,,,
1970,,53,,,,
1971,,52,,,,
1972,,51,,,,
1973,,50,,,,
1974,,49,,,,
1975,,48,,,,
1976,,47,,,,
1977,,46,,,,
1978,,45,,,,
1979,,44,,,,
1980,,43,,,,
1981,,42,,,,
1982,,41,,,,
1983,,40,,,,
1984,,39,,,,
1985,,38,,,,
1986,,37,,,,
1987,,36,,,,
1988,,35,,,,
1989,,34,,,,
1990,,33,,,,
1991,,32,,,,
1992,,31,,,,
1993,,30,,,,
1994,,29,,,,
1995,,28,,,,
1996,,27,,,,
1997,,26,,,,
1998,,25,,,,
1999,,24,,,,
2000,,23,,,,
2001,,22,,,,
2002,,21,,,,
2003,,20,,,,
2004,,19,,,,
2005,,18,,,,
2006,,17,,,,
2007,,16,,,,
2008,,15,,,,
2009,,14,,,,
2010,,13,,,,
2011,,12,,,,
2012,,11,,,,
2013,,10,,,,
2014,,9,,,,
2015,,8,,,,
2016,,7,,,,
2017,,6,,,,
2018,,5,,,,
2019,,4,,,,
2020,,3,,,,
2021,,2,,,,
2022,,1,,,,
