order,name,label,parent,codesystem,code,ontologyTermURI,definition,,,
,DUO_0000007,disease specific research,DUO_0000006,DUO,DUO_0000007,http://purl.obolibrary.org/obo/DUO_0000007,,,,
,DUO_0000029,return to database or resource,DUO_0000017,DUO,DUO_0000029,http://purl.obolibrary.org/obo/DUO_0000029,,,,
,DUO_0000005,general research use and clinical care,DUO_0000042,DUO,DUO_0000005,http://purl.obolibrary.org/obo/DUO_0000005,,,,
,DUO_0000027,project specific restriction,DUO_0000017,DUO,DUO_0000027,http://purl.obolibrary.org/obo/DUO_0000027,,,,
,DUO_0000006,health or medical or biomedical research,DUO_0000042,DUO,DUO_0000006,http://purl.obolibrary.org/obo/DUO_0000006,,,,
,DUO_0000028,institution specific restriction,DUO_0000017,DUO,DUO_0000028,http://purl.obolibrary.org/obo/DUO_0000028,,,,
,DUO_0000003,obsolete consent code secondary category,,DUO,DUO_0000003,http://purl.obolibrary.org/obo/DUO_0000003,,,,
,DUO_0000025,time limit on use,DUO_0000017,DUO,DUO_0000025,http://purl.obolibrary.org/obo/DUO_0000025,,,,
,DUO_0000004,no restriction,DUO_0000001,DUO,DUO_0000004,http://purl.obolibrary.org/obo/DUO_0000004,,,,
,DUO_0000026,user specific restriction,DUO_0000017,DUO,DUO_0000026,http://purl.obolibrary.org/obo/DUO_0000026,,,,
,DUO_0000001,data use limitation,,DUO,DUO_0000001,http://purl.obolibrary.org/obo/DUO_0000001,,,,
,DUO_0000002,obsolete consent code primary category,,DUO,DUO_0000002,http://purl.obolibrary.org/obo/DUO_0000002,,,,
,DUO_0000024,publication moratorium,DUO_0000017,DUO,DUO_0000024,http://purl.obolibrary.org/obo/DUO_0000024,,,,
,DUO_0000021,ethics approval required,DUO_0000017,DUO,DUO_0000021,http://purl.obolibrary.org/obo/DUO_0000021,,,,
,DUO_0000022,geographical restriction,DUO_0000017,DUO,DUO_0000022,http://purl.obolibrary.org/obo/DUO_0000022,,,,
,DUO_0000020,collaboration required,DUO_0000017,DUO,DUO_0000020,http://purl.obolibrary.org/obo/DUO_0000020,,,,
,DUO_0000042,general research use,DUO_0000001,DUO,DUO_0000042,http://purl.obolibrary.org/obo/DUO_0000042,,,,
,DUO_0000040,disease category research,DUO_0000037,DUO,DUO_0000040,http://purl.obolibrary.org/obo/DUO_0000040,,,,
,OBI_0000066,investigation,,OBI,OBI_0000066,http://purl.obolibrary.org/obo/OBI_0000066,,,,
,DUO_0000018,not for profit use only,DUO_0000017,DUO,DUO_0000018,http://purl.obolibrary.org/obo/DUO_0000018,,,,
,DUO_0000019,publication required,DUO_0000017,DUO,DUO_0000019,http://purl.obolibrary.org/obo/DUO_0000019,,,,
,DUO_0000016,genetic studies only,DUO_0000001,DUO,DUO_0000016,http://purl.obolibrary.org/obo/DUO_0000016,,,,
,DUO_0000038,genetic research,DUO_0000037,DUO,DUO_0000038,http://purl.obolibrary.org/obo/DUO_0000038,,,,
,DUO_0000017,data use requirements,,DUO,DUO_0000017,http://purl.obolibrary.org/obo/DUO_0000017,,,,
,DUO_0000039,drug development research,DUO_0000037,DUO,DUO_0000039,http://purl.obolibrary.org/obo/DUO_0000039,,,,
,DUO_0000014,research use only,DUO_0000001,DUO,DUO_0000014,http://purl.obolibrary.org/obo/DUO_0000014,,,,
,DUO_0000036,research control,OBI_0000066,DUO,DUO_0000036,http://purl.obolibrary.org/obo/DUO_0000036,,,,
,DUO_0000015,no general methods research,DUO_0000001,DUO,DUO_0000015,http://purl.obolibrary.org/obo/DUO_0000015,,,,
,DUO_0000037,biomedical research,OBI_0000066,DUO,DUO_0000037,http://purl.obolibrary.org/obo/DUO_0000037,,,,
,DUO_0000012,research specific restrictions,DUO_0000001,DUO,DUO_0000012,http://purl.obolibrary.org/obo/DUO_0000012,,,,
,DUO_0000034,age category research,OBI_0000066,DUO,DUO_0000034,http://purl.obolibrary.org/obo/DUO_0000034,,,,
,DUO_0000035,gender category research,OBI_0000066,DUO,DUO_0000035,http://purl.obolibrary.org/obo/DUO_0000035,,,,
,DUO_0000032,population research,OBI_0000066,DUO,DUO_0000032,http://purl.obolibrary.org/obo/DUO_0000032,,,,
,DUO_0000011,population origins or ancestry research,DUO_0000042,DUO,DUO_0000011,http://purl.obolibrary.org/obo/DUO_0000011,,,,
,DUO_0000033,ancestry research,OBI_0000066,DUO,DUO_0000033,http://purl.obolibrary.org/obo/DUO_0000033,,,,
,DUO_0000031,method development,OBI_0000066,DUO,DUO_0000031,http://purl.obolibrary.org/obo/DUO_0000031,,,,
