order,name,label,parent,codesystem,code,ontologyTermURI,definition
,id,label,,,,,description
,cen-ts-16945-2016,CEN/TS 16945:2016,,,,,"Specifications for Pre-examination processes for metabolomics in  urine, serum and plasma"
,cen-ts-16835-3-2015,CEN/TS 16835-3:2015,,,,,Specifications for Pre-examination processes for venous whole blood -  Part 3: Isolated circ. cell-free DNA from plasma
,cen-ts-16827-2-2015,CEN/TS 16827-2:2015,,,,,Specifications for Pre-examination processes for FFPE tissue - Part 2:  Isolated proteins
,iso-17043-2010,ISO 17043:2010,,,,,Conformity assessment – General requirements for proficiency testing
,oecd-guidelines,OECD Guidelines,,,,,
,nfs96-900,NFS96-900,,,,,
,cen-ts-16826-1-2015,CEN/TS 16826-1:2015,,,,,Specifications for Pre-examination processes for snap frozen tissue -  Part 1: Isolated RNA
,cen-ts-16827-1-2015,CEN/TS 16827-1:2015,,,,,Specifications for Pre-examination processes for FFPE tissue - Part 1:  Isolated RNA
,others,Others,,,,,
,iso-fdis-20387,BBMRI audited ISO 20387:2018,,,,,Biotechnology - Biobanking - General requirements for biobanking
,cen-ts-16835-1-2015,CEN/TS 16835-1:2015,,,,,Specifications for pre-examination processes for venous whole blood -  Part 1: Isolated  cellular RNA
,iso-9001,ISO-9001:2015,,,,,Quality management systems - Requirements
,iso-15189,ISO-15189:2012,,,,,Medical laboratories – Requirements for quality and competence
,iso-17025,ISO-17025:2017,,,,,General requirements for the competence of testing and calibration laboratories
,iso-20166-2,ISO 20166-2:2018,,,,,Specifications for pre-examination processes for FFPE tissue - Part 2:  Isolated proteins
,iso-20166-3,ISO 20166-3:2018,,,,,Specifications for pre-examination processes for FFPE tissue - Part 3:  Isolated DNA
,oeci_accreditation,OECI Accreditation,,,,,
,cen-ts-16826-2-2015,CEN/TS 16826-2:2015,,,,,Specifications for Pre-examination processes for snap frozen tissue -  Part 2: Isolated proteins
,iso-20184-1,ISO 20184-1:2018,,,,,Specifications for pre-examination processes for frozen tissue -  Part 1: Isolated RNA
,iso-20186-1,ISO 20186-1:2019,,,,,Specifications for pre-examination processes for venous whole blood -  Part 1: Isolated  cellular RNA
,iso-20184-2,ISO 20184-2:2018,,,,,Specifications for pre-examination processes for frozen tissue -  Part 2: Isolated proteins
,iso-20186-3,ISO 20186-3:2019,,,,,Specifications for pre-examination processes for venous whole blood -  Part 3: Isolated circ. cell-free DNA from plasma
,cen-ts-16835-2-2015,CEN/TS 16835-2:2015,,,,,Specifications for Pre-examination processes for venous whole blood -  Part 2: Isolated genomic DNA
,iso-20166-1,ISO 20166-1:2018,,,,,Specifications for pre-examination processes for FFPE tissue - Part 1:  Isolated RNA
,iso-20186-2,ISO 20186-2:2019,,,,,Specifications for pre-examination processes for venous whole blood -  Part 2: Isolated genomic DNA
,cen-ts-16827-3-2015,CEN/TS 16827-3:2015,,,,,Specifications for Pre-examination processes for FFPE tissue - Part 3:  Isolated DNA
,iso-17034-2016,ISO 17034:2016,,,,,General requirements for the competence of reference material producers
,iso-15190,ISO-15190:2020,,,,,Medical laboratories – Requirements for safety
