tableName,tableExtends,columnName,label,columnType,key,required,isReadonly,description,refSchema,refTable,refBack,refLabel,defaultValue,validation,message,computed,semantics
DiseaseTypes,,,,,,,,Disease Types (ICD-10 and ORPHA),,,,,,,,,
DiseaseTypes,,order,,int,,false,,Order of this term within the code system.,,,,,,,,,
DiseaseTypes,,name,,string,1,true,,Unique name of the term within this table.,,,,,,,,,
DiseaseTypes,,label,,string,,false,,User-friendly label for this term. Should be unique in parent.,,,,,,,,,
DiseaseTypes,,parent,,ref_array,,false,,"The parent term(s), in case this code exists in a hierarchy.",,DiseaseTypes,,,,,,,
DiseaseTypes,,codesystem,,string,,false,,Abbreviation of the code system/ontology this term belongs to.,,,,,,,,,
DiseaseTypes,,code,,string,,false,,Identifier used for this term within this code system/ontology.,,,,,,,,,
DiseaseTypes,,ontologyTermURI,,hyperlink,,false,,Reference to structured definition of this term.,,,,,,,,,
DiseaseTypes,,definition,,text,,false,,A concise explanation of the meaning of this term.,,,,,,,,,
DiseaseTypes,,children,,refback,,false,,"Child terms, in case this term is the parent of other terms.",,DiseaseTypes,parent,,,,,,
DiseaseTypes,,exact_mapping,Exact matching code(s),ref_array,,false,,Matching code(s) from another ontology with exact mapping: the two concepts are equivalent.,,DiseaseTypes,,,,,,,
DiseaseTypes,,btnt_mapping,BTNT matching code(s),ref_array,,false,,Matching code(s) from another ontology with broader to narrow term mapping: the code is broader than the targeted code used to represent it.,,DiseaseTypes,,,,,,,
DiseaseTypes,,ntbt_mapping,NTBT matching code(s),ref_array,,false,,Matching code(s) from another ontology with narrow to broader term mapping: the code is narrower than the targeted code used to represent it.,,DiseaseTypes,,,,,,,
ServiceTypes,,,,,,,,Service Types,
ServiceTypes,,order,,int,,false,,Order of this term within the code system.,,,,,,,,,
ServiceTypes,,name,,string,1,true,,Unique name of the term within this table.,,,,,,,,,
ServiceTypes,,label,,string,,false,,User-friendly label for this term. Should be unique in parent.,,,,,,,,,
ServiceTypes,,parent,,ref,,false,,"The parent term(s), in case this code exists in a hierarchy.",,ServiceTypes,,,,,,,
ServiceTypes,,codesystem,,string,,false,,Abbreviation of the code system/ontology this term belongs to.,,,,,,,,,
ServiceTypes,,code,,string,,false,,Identifier used for this term within this code system/ontology.,,,,,,,,,
ServiceTypes,,ontologyTermURI,,hyperlink,,false,,Reference to structured definition of this term.,,,,,,,,,
ServiceTypes,,definition,,text,,false,,A concise explanation of the meaning of this term.,,,,,,,,,
ServiceTypes,,children,,refback,,false,,"Child terms, in case this term is the parent of other terms.",,ServiceTypes,parent,,,,,,
ServiceTypes,,serviceCategory,,ontology,,true,,Category the service type belongs to.,,ServiceCategories,,${label},,,,,
