order,name,label,parent,codesystem,code,ontologyTermURI,definition,exact_mapping,btnt_mapping,ntbt_mapping
,ORPHA:50918,Kikuchi-Fujimoto disease,"ORPHA:557493,ORPHA:377788,ORPHA:182222",orphanet,ORPHA:50918,https://identifiers.org/orphanet:50918,,,,urn:miriam:icd:I88.1
,ORPHA:599507,Acquired factor XI deficiency,"ORPHA:557493,ORPHA:377788,ORPHA:166775",orphanet,ORPHA:599507,https://identifiers.org/orphanet:599507,,,,urn:miriam:icd:D68.4
,ORPHA:599501,Acquired factor X deficiency,"ORPHA:557493,ORPHA:377788,ORPHA:166775",orphanet,ORPHA:599501,https://identifiers.org/orphanet:599501,,,,urn:miriam:icd:D68.4
,ORPHA:166475,Idiopathic or cryptogenic familial epilepsy syndrome with identified loci/genes,"ORPHA:557492,ORPHA:183512,ORPHA:101998",orphanet,ORPHA:166475,https://identifiers.org/orphanet:166475,,,,
,ORPHA:166478,Cerebral malformation with epilepsy,"ORPHA:557492,ORPHA:183512,ORPHA:101998",orphanet,ORPHA:166478,https://identifiers.org/orphanet:166478,,,,
,ORPHA:180772,Rare disease with autism,"ORPHA:557492,ORPHA:168778",orphanet,ORPHA:180772,https://identifiers.org/orphanet:180772,,,,
,ORPHA:178461,X-linked myopathy with postural muscle atrophy,"ORPHA:557493,ORPHA:377788,ORPHA:206644",orphanet,ORPHA:178461,https://identifiers.org/orphanet:178461,,,,urn:miriam:icd:G71.0
,ORPHA:178464,Hereditary myopathy with early respiratory failure,"ORPHA:557493,ORPHA:377788,ORPHA:209053,ORPHA:206662,ORPHA:206644",orphanet,ORPHA:178464,https://identifiers.org/orphanet:178464,,,,urn:miriam:icd:G71.0
,ORPHA:178469,Autosomal dominant non-syndromic intellectual disability,"ORPHA:557494,ORPHA:101685",orphanet,ORPHA:178469,https://identifiers.org/orphanet:178469,,,"urn:miriam:icd:F71,urn:miriam:icd:F72,urn:miriam:icd:F73,urn:miriam:icd:F70",
,ORPHA:141184,Rapidly involuting congenital hemangioma,"ORPHA:557493,ORPHA:377788,ORPHA:458775",orphanet,ORPHA:141184,https://identifiers.org/orphanet:141184,,,,urn:miriam:icd:D18.0
,ORPHA:166463,Epilepsy syndrome,"ORPHA:557492,ORPHA:183512,ORPHA:101998",orphanet,ORPHA:166463,https://identifiers.org/orphanet:166463,,,,
,ORPHA:166469,Chromosomal anomaly with epilepsy as a major feature,"ORPHA:557492,ORPHA:183512,ORPHA:101998",orphanet,ORPHA:166469,https://identifiers.org/orphanet:166469,,,,
,ORPHA:141189,Cerebrofacial arteriovenous metameric syndrome,"ORPHA:557492,ORPHA:211266,ORPHA:102006",orphanet,ORPHA:141189,https://identifiers.org/orphanet:141189,,,,
,ORPHA:166466,Neurocutaneous syndrome with epilepsy,"ORPHA:557492,ORPHA:183512,ORPHA:101998",orphanet,ORPHA:166466,https://identifiers.org/orphanet:166466,,,,
,ORPHA:178475,Wound botulism,"ORPHA:557494,ORPHA:230800",orphanet,ORPHA:178475,https://identifiers.org/orphanet:178475,,,,urn:miriam:icd:A05.1
,ORPHA:238505,Combined immunodeficiency due to CD27 deficiency,"ORPHA:557493,ORPHA:377788,ORPHA:238510",orphanet,ORPHA:238505,https://identifiers.org/orphanet:238505,,,,urn:miriam:icd:D47.9
,ORPHA:178478,Infant botulism,"ORPHA:557494,ORPHA:178481",orphanet,ORPHA:178478,https://identifiers.org/orphanet:178478,,,,urn:miriam:icd:A05.1
,ORPHA:575553,Cathepsin A-related arteriopathy-strokes-leukoencephalopathy,"ORPHA:557493,ORPHA:377788,ORPHA:98549,ORPHA:522576,ORPHA:477754",orphanet,ORPHA:575553,https://identifiers.org/orphanet:575553,,,,urn:miriam:icd:I67.8
,ORPHA:141194,Cerebrofacial arteriovenous metameric syndrome type 1,"ORPHA:557493,ORPHA:377789,ORPHA:141189",orphanet,ORPHA:141194,https://identifiers.org/orphanet:141194,,,,urn:miriam:icd:Q28.2
,ORPHA:166490,Infectious disease with epilepsy,"ORPHA:557492,ORPHA:101998",orphanet,ORPHA:166490,https://identifiers.org/orphanet:166490,,,,
,ORPHA:309796,Rhizomelic chondrodysplasia punctata type 2,"ORPHA:557494,ORPHA:177",orphanet,ORPHA:309796,https://identifiers.org/orphanet:309796,,,,urn:miriam:icd:Q77.3
,ORPHA:308467,Disorder of galactose metabolism,"ORPHA:79161,ORPHA:557492",orphanet,ORPHA:308467,https://identifiers.org/orphanet:308467,,urn:miriam:icd:E74.2,,
,ORPHA:308463,Disorder of fructose metabolism,"ORPHA:79161,ORPHA:557492",orphanet,ORPHA:308463,https://identifiers.org/orphanet:308463,,urn:miriam:icd:E74.1,,
,ORPHA:141199,Cerebrofacial arteriovenous metameric syndrome type 3,"ORPHA:557493,ORPHA:377789,ORPHA:141189",orphanet,ORPHA:141199,https://identifiers.org/orphanet:141199,,,,urn:miriam:icd:Q28.2
,ORPHA:563576,Autoimmune hepatitis type 1,"ORPHA:557494,ORPHA:2137",orphanet,ORPHA:563576,https://identifiers.org/orphanet:563576,,,,urn:miriam:icd:K75.4
,ORPHA:307141,Diffuse palmoplantar keratoderma,"ORPHA:79357,ORPHA:557492",orphanet,ORPHA:307141,https://identifiers.org/orphanet:307141,,,,
,ORPHA:166484,Inflammatory and autoimmune disease with epilepsy,"ORPHA:557492,ORPHA:101998",orphanet,ORPHA:166484,https://identifiers.org/orphanet:166484,,,,
,ORPHA:166481,Metabolic diseases with epilepsy,"ORPHA:557492,ORPHA:183512,ORPHA:101998",orphanet,ORPHA:166481,https://identifiers.org/orphanet:166481,,,,
,ORPHA:308473,Erythrocyte galactose epimerase deficiency,"ORPHA:557494,ORPHA:79238",orphanet,ORPHA:308473,https://identifiers.org/orphanet:308473,,,,urn:miriam:icd:E74.2
,ORPHA:180766,Malformative syndrome with dentinogenesis imperfecta,"ORPHA:77830,ORPHA:557492,ORPHA:139042",orphanet,ORPHA:180766,https://identifiers.org/orphanet:180766,,,,
,ORPHA:599519,Factor V short isoforms-related bleeding disorder,"ORPHA:557493,ORPHA:377788,ORPHA:68334",orphanet,ORPHA:599519,https://identifiers.org/orphanet:599519,,,,urn:miriam:icd:D68.4
,ORPHA:166487,Cerebral diseases of vascular origin with epilepsy,"ORPHA:557492,ORPHA:183512,ORPHA:101998",orphanet,ORPHA:166487,https://identifiers.org/orphanet:166487,,,,
,ORPHA:599513,Acquired factor XIII deficiency,"ORPHA:557493,ORPHA:377788,ORPHA:166775",orphanet,ORPHA:599513,https://identifiers.org/orphanet:599513,,,,urn:miriam:icd:D68.4
,ORPHA:538574,Palmoplantar keratoderma-hereditary motor and sensory neuropathy syndrome,"ORPHA:557493,ORPHA:377788,ORPHA:98352,ORPHA:140456",orphanet,ORPHA:538574,https://identifiers.org/orphanet:538574,,,,urn:miriam:icd:G60.0
,ORPHA:563581,Autoimmune hepatitis type 2,"ORPHA:557494,ORPHA:2137",orphanet,ORPHA:563581,https://identifiers.org/orphanet:563581,,,,urn:miriam:icd:K75.4
,ORPHA:623615,Autoimmune limbic encephalitis,"ORPHA:557493,ORPHA:377788,ORPHA:622014,ORPHA:36388",orphanet,ORPHA:623615,https://identifiers.org/orphanet:623615,,,,urn:miriam:icd:G04.8
,ORPHA:307148,Isolated diffuse palmoplantar keratoderma,"ORPHA:557492,ORPHA:307141",orphanet,ORPHA:307148,https://identifiers.org/orphanet:307148,,,,
,ORPHA:563589,Seronegative autoimmune hepatitis,"ORPHA:557494,ORPHA:2137",orphanet,ORPHA:563589,https://identifiers.org/orphanet:563589,,,,urn:miriam:icd:K75.4
,ORPHA:166430,Micturation-induced seizures,"ORPHA:557493,ORPHA:377788,ORPHA:310",orphanet,ORPHA:166430,https://identifiers.org/orphanet:166430,,,,urn:miriam:icd:G40.5
,ORPHA:308442,"Vitamin B12-responsive methylmalonic acidemia, type cblDv2","ORPHA:557494,ORPHA:28",orphanet,ORPHA:308442,https://identifiers.org/orphanet:308442,,,,urn:miriam:icd:E71.1
,ORPHA:141136,Otomandibular syndrome,ORPHA:C044,orphanet,ORPHA:141136,https://identifiers.org/orphanet:141136,,,,
,ORPHA:167762,Rare disease with dentinogenesis imperfecta,"ORPHA:98027,ORPHA:77830,ORPHA:557492",orphanet,ORPHA:167762,https://identifiers.org/orphanet:167762,,,,
,ORPHA:141132,Oculo-auriculo-vertebral spectrum,"ORPHA:557493,ORPHA:377789,ORPHA:519329,ORPHA:330206,ORPHA:183576,ORPHA:155896,ORPHA:139036,ORPHA:102285",orphanet,ORPHA:141132,https://identifiers.org/orphanet:141132,,,,urn:miriam:icd:Q87.0
,ORPHA:166433,Reading seizures,"ORPHA:557493,ORPHA:377788,ORPHA:310",orphanet,ORPHA:166433,https://identifiers.org/orphanet:166433,,,,urn:miriam:icd:G40.5
,ORPHA:167759,Hereditary dentin defect,"ORPHA:557492,ORPHA:420755,ORPHA:164001",orphanet,ORPHA:167759,https://identifiers.org/orphanet:167759,,,,
,ORPHA:238536,Congenital secondary polycythemia,"ORPHA:98428,ORPHA:557492",orphanet,ORPHA:238536,https://identifiers.org/orphanet:238536,,,,
,ORPHA:309778,Defect in V-ATPase,"ORPHA:557492,ORPHA:309526",orphanet,ORPHA:309778,https://identifiers.org/orphanet:309778,,,,
,ORPHA:623626,Paraneoplastic cerebellar degeneration,"ORPHA:557493,ORPHA:377788,ORPHA:623638,ORPHA:36388",orphanet,ORPHA:623626,https://identifiers.org/orphanet:623626,,,,urn:miriam:icd:G31.8
,ORPHA:25968,Benign occipital epilepsy,"ORPHA:557493,ORPHA:377788,ORPHA:98259",orphanet,ORPHA:25968,https://identifiers.org/orphanet:25968,,,,urn:miriam:icd:G40.0
,ORPHA:308448,Aminoacylase deficiency,"ORPHA:79158,ORPHA:557492",orphanet,ORPHA:308448,https://identifiers.org/orphanet:308448,,,,
,ORPHA:251510,"46,XY partial gonadal dysgenesis","ORPHA:557493,ORPHA:377789,ORPHA:98313,ORPHA:98074,ORPHA:506213,ORPHA:399877,ORPHA:325118",orphanet,ORPHA:251510,https://identifiers.org/orphanet:251510,,,,urn:miriam:icd:Q56.1
,ORPHA:308451,Disorder of neutral amino acid transport,"ORPHA:79166,ORPHA:557492",orphanet,ORPHA:308451,https://identifiers.org/orphanet:308451,,,,
,ORPHA:636941,Vascular Ehlers-Danlos-polymicrogyria syndrome,"ORPHA:557493,ORPHA:377788,ORPHA:98249",orphanet,ORPHA:636941,https://identifiers.org/orphanet:636941,,,,urn:miriam:icd:Q79.6
,ORPHA:166427,Startle epilepsy,"ORPHA:557493,ORPHA:377788,ORPHA:310",orphanet,ORPHA:166427,https://identifiers.org/orphanet:166427,,,,urn:miriam:icd:G40.5
,ORPHA:141148,Hemifacial myohyperplasia,"ORPHA:557493,ORPHA:377789,ORPHA:156207",orphanet,ORPHA:141148,https://identifiers.org/orphanet:141148,,,,urn:miriam:icd:Q67.4
,ORPHA:166424,Thinking seizures,"ORPHA:557493,ORPHA:377788,ORPHA:310",orphanet,ORPHA:166424,https://identifiers.org/orphanet:166424,,,,urn:miriam:icd:G40.5
,ORPHA:636945,Invasive Candidiasis,"ORPHA:557493,ORPHA:377788,ORPHA:163591",orphanet,ORPHA:636945,https://identifiers.org/orphanet:636945,,,,urn:miriam:icd:B37.8
,ORPHA:166421,Orgasm-induced seizures,"ORPHA:557493,ORPHA:377788,ORPHA:310",orphanet,ORPHA:166421,https://identifiers.org/orphanet:166421,,,,urn:miriam:icd:G40.5
,ORPHA:141145,Hemifacial hyperplasia,"ORPHA:557493,ORPHA:377789,ORPHA:156207",orphanet,ORPHA:141145,https://identifiers.org/orphanet:141145,,,,urn:miriam:icd:Q67.4
,ORPHA:50920,OBSOLETE: Multiple fibroadenoma of the breast,ORPHA:C052,orphanet,ORPHA:50920,https://identifiers.org/orphanet:50920,,,,
,ORPHA:166418,Eating reflex epilepsy,"ORPHA:557493,ORPHA:377788,ORPHA:310",orphanet,ORPHA:166418,https://identifiers.org/orphanet:166418,,,,urn:miriam:icd:G40.5
,ORPHA:238547,Acquired secondary polycythemia,"ORPHA:98428,ORPHA:557492",orphanet,ORPHA:238547,https://identifiers.org/orphanet:238547,,,,
,ORPHA:309789,Rhizomelic chondrodysplasia punctata type 1,"ORPHA:557494,ORPHA:177",orphanet,ORPHA:309789,https://identifiers.org/orphanet:309789,,,,urn:miriam:icd:Q77.3
,ORPHA:623638,Immune-mediated cerebellar ataxia,"ORPHA:622014,ORPHA:557492,ORPHA:247242",orphanet,ORPHA:623638,https://identifiers.org/orphanet:623638,,,,
,ORPHA:177101,Rare adult hypothyroidism,"ORPHA:557492,ORPHA:181396",orphanet,ORPHA:177101,https://identifiers.org/orphanet:177101,,,,
,ORPHA:177107,Syndromic hypothyroidism,"ORPHA:557492,ORPHA:226292",orphanet,ORPHA:177107,https://identifiers.org/orphanet:177107,,,,
,ORPHA:648919,Idiopathic catatonia,"ORPHA:557493,ORPHA:377788,ORPHA:98033",orphanet,ORPHA:648919,https://identifiers.org/orphanet:648919,,,,
,ORPHA:308459,Disorder of glycolysis,"ORPHA:79161,ORPHA:557492",orphanet,ORPHA:308459,https://identifiers.org/orphanet:308459,,,,
,ORPHA:141152,Isolated congenital hypoglossia/aglossia,"ORPHA:557493,ORPHA:377791,ORPHA:156212",orphanet,ORPHA:141152,https://identifiers.org/orphanet:141152,,,,urn:miriam:icd:Q38.3
,ORPHA:636955,Endemic pemphigus foliaceus,"ORPHA:557493,ORPHA:377788,ORPHA:46485",orphanet,ORPHA:636955,https://identifiers.org/orphanet:636955,,urn:miriam:icd:L10.3,,
,ORPHA:636950,Glaucomatocyclitic crisis disease,"ORPHA:557493,ORPHA:377788,ORPHA:519329",orphanet,ORPHA:636950,https://identifiers.org/orphanet:636950,,,,urn:miriam:icd:H40.4
,ORPHA:166457,OBSOLETE: Other forms of non-paraneoplastic limbic encephalitis,ORPHA:C051,orphanet,ORPHA:166457,https://identifiers.org/orphanet:166457,,,,
,ORPHA:25980,X-linked myopathy with excessive autophagy,"ORPHA:557493,ORPHA:377788,ORPHA:206662,ORPHA:206644",orphanet,ORPHA:25980,https://identifiers.org/orphanet:25980,,,,urn:miriam:icd:G71.8
,ORPHA:238510,Lymphoproliferative syndrome,"ORPHA:557492,ORPHA:506219,ORPHA:169361,ORPHA:140162",orphanet,ORPHA:238510,https://identifiers.org/orphanet:238510,,,,
,ORPHA:308425,Methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency,"ORPHA:557493,ORPHA:377788,ORPHA:293355",orphanet,ORPHA:308425,https://identifiers.org/orphanet:308425,,,,urn:miriam:icd:E71.1
,ORPHA:238517,Hypotonia-cystinuria type 1 syndrome,"ORPHA:93603,ORPHA:79166,ORPHA:557492,ORPHA:506213,ORPHA:369886,ORPHA:183592",orphanet,ORPHA:238517,https://identifiers.org/orphanet:238517,,,,
,ORPHA:178400,Distal myopathy with anterior tibial onset,"ORPHA:557493,ORPHA:377788,ORPHA:207073,ORPHA:206653",orphanet,ORPHA:178400,https://identifiers.org/orphanet:178400,,,,urn:miriam:icd:G71.0
,ORPHA:141163,Glossopalatine ankylosis,"ORPHA:557493,ORPHA:377789,ORPHA:2749",orphanet,ORPHA:141163,https://identifiers.org/orphanet:141163,,,,urn:miriam:icd:Q38.3
