order,name,label,parent,codesystem,code,ontologyTermURI,definition
,T-11503,LSPINE,,SNOMED CT,T-11503,http://purl.bioontology.org/ontology/SNOMEDCT/122496007,Lumbar spine
,T-11502,TSPINE,,SNOMED CT,T-11502,http://purl.bioontology.org/ontology/SNOMEDCT/122495006,Thoracic spine
,T-11501,CSPINE,,SNOMED CT,T-11501,http://purl.bioontology.org/ontology/SNOMEDCT/122494005,Cervical spine
,T-12710,FEMUR,,SNOMED CT,T-12710,http://purl.bioontology.org/ontology/SNOMEDCT/71341001,Femur
,T-11100,SKULL,,SNOMED CT,T-11100,http://purl.bioontology.org/ontology/SNOMEDCT/89546000,Skull
,T-12310,CLAVICLE,,SNOMED CT,T-12310,http://purl.bioontology.org/ontology/SNOMEDCT/51299004,Clavicle
,T-D9700,FOOT,,SNOMED CT,T-D9700,http://purl.bioontology.org/ontology/SNOMEDCT/56459004,Foot
,R-FAB53,NECKCHESTABDOMEN,,SNOMED CT,R-FAB53,http://purl.bioontology.org/ontology/SNOMEDCT/416152001,Neck
,T-12430,ULNA,,SNOMED CT,T-12430,http://purl.bioontology.org/ontology/SNOMEDCT/23416004,Ulna
,R-FAB54,NECKCHESTABDPELV,,SNOMED CT,R-FAB54,http://purl.bioontology.org/ontology/SNOMEDCT/416319003,Neck
,R-FAB52,NECKCHEST,,SNOMED CT,R-FAB52,http://purl.bioontology.org/ontology/SNOMEDCT/417437006,Neck and Chest
,R-FAB57,ABDOMENPELVIS,,SNOMED CT,R-FAB57,http://purl.bioontology.org/ontology/SNOMEDCT/416949008,Abdomen and Pelvis
,T-51000,MOUTH,,SNOMED CT,T-51000,http://purl.bioontology.org/ontology/SNOMEDCT/21082005,Mouth
,R-FAB55,CHESTABDOMEN,,SNOMED CT,R-FAB55,http://purl.bioontology.org/ontology/SNOMEDCT/416550000,Chest and Abdomen
,T-74000,BLADDER,,SNOMED CT,T-74000,http://purl.bioontology.org/ontology/SNOMEDCT/89837001,Bladder
,R-FAB56,CHESTABDPELVIS,,SNOMED CT,R-FAB56,http://purl.bioontology.org/ontology/SNOMEDCT/416775004,Chest
,T-15430,ELBOW,,SNOMED CT,T-15430,http://purl.bioontology.org/ontology/SNOMEDCT/16953009,Elbow joint
,T-45526,CIRCLEOFWILLIS,,SNOMED CT,T-45526,http://purl.bioontology.org/ontology/SNOMEDCT/362047009,Circle of Willis
,T-D00F9,LSSPINE,,SNOMED CT,T-D00F9,http://purl.bioontology.org/ontology/SNOMEDCT/297173004,Lumbo-sacral spine
,T-D00F7,CTSPINE,,SNOMED CT,T-D00F7,http://purl.bioontology.org/ontology/SNOMEDCT/297171002,Cervico-thoracic spine
,T-D00F8,TLSPINE,,SNOMED CT,T-D00F8,http://purl.bioontology.org/ontology/SNOMEDCT/297172009,Thoraco-lumbar spine
,T-15710,HIP,,SNOMED CT,T-15710,http://purl.bioontology.org/ontology/SNOMEDCT/24136001,Hip joint
,T-C8000,THYMUS,,SNOMED CT,T-C8000,http://purl.bioontology.org/ontology/SNOMEDCT/9875009,Thymus
,T-83000,UTERUS,,SNOMED CT,T-83000,http://purl.bioontology.org/ontology/SNOMEDCT/35039007,Uterus
,T-58600,ILEUM,,SNOMED CT,T-58600,http://purl.bioontology.org/ontology/SNOMEDCT/34516001,Ileum
,T-D2100,BACK,,SNOMED CT,T-D2100,http://purl.bioontology.org/ontology/SNOMEDCT/77568009,Back
,T-D2220,SHOULDER,,SNOMED CT,T-D2220,http://purl.bioontology.org/ontology/SNOMEDCT/16982005,Shoulder
,T-D8200,ARM,,SNOMED CT,T-D8200,http://purl.bioontology.org/ontology/SNOMEDCT/40983000,Upper arm
,T-AB959,IAC,,SNOMED CT,T-AB959,http://purl.bioontology.org/ontology/SNOMEDCT/361078006,Internal Auditory Canal
,T-D4000,ABDOMEN,,SNOMED CT,T-D4000,http://purl.bioontology.org/ontology/SNOMEDCT/113345001,Abdomen
,T-58200,DUODENUM,,SNOMED CT,T-58200,http://purl.bioontology.org/ontology/SNOMEDCT/38848004,Duodenum
,T-71000,KIDNEY,,SNOMED CT,T-71000,http://purl.bioontology.org/ontology/SNOMEDCT/64033007,Kidney
,T-12280,SCAPULA,,SNOMED CT,T-12280,http://purl.bioontology.org/ontology/SNOMEDCT/79601000,Scapula
,T-AA110,SCLERA,,SNOMED CT,T-AA110,http://purl.bioontology.org/ontology/SNOMEDCT/18619003,Sclera
,T-D14AE,ORBIT,,SNOMED CT,T-D14AE,http://purl.bioontology.org/ontology/SNOMEDCT/363654007,Orbital structure
,T-C3000,SPLEEN,,SNOMED CT,T-C3000,http://purl.bioontology.org/ontology/SNOMEDCT/78961009,Spleen
,T-45010,CAROTID,,SNOMED CT,T-45010,http://purl.bioontology.org/ontology/SNOMEDCT/69105007,Carotid Artery
,T-65000,PANCREAS,,SNOMED CT,T-65000,http://purl.bioontology.org/ontology/SNOMEDCT/15776009,Pancreas
,T-9200B,PROSTATE,,SNOMED CT,T-9200B,http://purl.bioontology.org/ontology/SNOMEDCT/181422007,Prostate
,T-A6000,CEREBELLUM,,SNOMED CT,T-A6000,http://purl.bioontology.org/ontology/SNOMEDCT/113305005,Cerebellum
,T-28000,LUNG,,SNOMED CT,T-28000,http://purl.bioontology.org/ontology/SNOMEDCT/39607008,Lung
,T-53000,TONGUE,,SNOMED CT,T-53000,http://purl.bioontology.org/ontology/SNOMEDCT/21974007,Tongue
,T-12730,PATELLA,,SNOMED CT,T-12730,http://purl.bioontology.org/ontology/SNOMEDCT/64234005,Patella
,T-D1200,FACE,,SNOMED CT,T-D1200,http://purl.bioontology.org/ontology/SNOMEDCT/89545001,Face
,T-D9200,KNEE,,SNOMED CT,T-D9200,http://purl.bioontology.org/ontology/SNOMEDCT/72696002,Knee
,T-15290,TMJ,,SNOMED CT,T-15290,http://purl.bioontology.org/ontology/SNOMEDCT/53620006,Temporomandibular joint
,T-D9440,CALF,,SNOMED CT,T-D9440,http://purl.bioontology.org/ontology/SNOMEDCT/53840002,Calf of leg
,T-D1160,SCALP,,SNOMED CT,T-D1160,http://purl.bioontology.org/ontology/SNOMEDCT/41695006,Scalp
,T-AA000,EYE,,SNOMED CT,T-AA000,http://purl.bioontology.org/ontology/SNOMEDCT/81745001,Eye
,T-D1206,CHEEK,,SNOMED CT,T-D1206,http://purl.bioontology.org/ontology/SNOMEDCT/60819002,Cheek
,T-D1600,NECK,,SNOMED CT,T-D1600,http://purl.bioontology.org/ontology/SNOMEDCT/45048000,Neck
,T-62000,LIVER,,SNOMED CT,T-62000,http://purl.bioontology.org/ontology/SNOMEDCT/10200004,Liver
,T-81000,VULVA,,SNOMED CT,T-81000,http://purl.bioontology.org/ontology/SNOMEDCT/45292006,Vulva
,T-D04FF,SPINE,,SNOMED CT,T-D04FF,http://purl.bioontology.org/ontology/SNOMEDCT/421060004,Spine
,T-D8104,AXILLA,,SNOMED CT,T-D8104,http://purl.bioontology.org/ontology/SNOMEDCT/91470000,Axilla
,T-12740,TIBIA,,SNOMED CT,T-12740,http://purl.bioontology.org/ontology/SNOMEDCT/12611008,Tibia
,T-12340,ILIUM,,SNOMED CT,T-12340,http://purl.bioontology.org/ontology/SNOMEDCT/22356005,Ilium
,T-98000,SCROTUM,,SNOMED CT,T-98000,http://purl.bioontology.org/ontology/SNOMEDCT/20233005,Scrotum
,T-56000,ESOPHAGUS,,SNOMED CT,T-56000,http://purl.bioontology.org/ontology/SNOMEDCT/32849002,Esophagus
,T-73000,URETER,,SNOMED CT,T-73000,http://purl.bioontology.org/ontology/SNOMEDCT/87953007,Ureter
,T-42000,AORTA,,SNOMED CT,T-42000,http://purl.bioontology.org/ontology/SNOMEDCT/15825003,Aorta
,T-AA810,EYELID,,SNOMED CT,T-AA810,http://purl.bioontology.org/ontology/SNOMEDCT/80243003,Eyelid
,T-25000,TRACHEA,,SNOMED CT,T-25000,http://purl.bioontology.org/ontology/SNOMEDCT/44567001,Trachea
,T-61300,SUBMANDIBULAR,,SNOMED CT,T-61300,http://purl.bioontology.org/ontology/SNOMEDCT/54019009,Submandibular gland
,T-D0010,WHOLEBODY,,SNOMED CT,T-D0010,http://purl.bioontology.org/ontology/SNOMEDCT/38266002,Entire body
