id,PID,Name,Acronym,Description,URL,Juridical Person,Country,Head of Biobank,Latitude,Longitude,Also Known In,Contact Person,Networks,Commercial Collaboration,Non Profit Collaboration,Capabilities,National Node
bbmri-eric:ID:AT_MUG,21.T12995/1.c207-ff0f-b9c8,Biobank Graz,,The mission of Biobank Graz is to support research on the cause of diseases and the development of improvements in disease diagnosis and treatment.,http://www.medunigraz.at/biobank,Medical University of Graz,AT,bbmri-eric:contactID:AT_MUG_0021,47.07492,15.46588,,bbmri-eric:contactID:AT_MUG_0021,"bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:EU_isber-irl,bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_esbb",true,true,"biomaterial-storage,digital-imaging,nucleic-acid-extraction,tma-creation,pathology-archive-access,immunohistochemistry-staining,data-analytics,covid19,ProspectiveCollections,BSL3,VSF",AT
bbmri-eric:ID:AT_MUI,21.T12995/1.c200-6eaa-d3be,Biobank Innsbruck,,The Medical University of Innsbruck has established several independent decentralized collections of diverse biomaterials that are approved by the local ethics committee.,https://www.i-med.ac.at/biobank/,Medical University of Innsbruck,AT,bbmri-eric:contactID:AT_MUI_0010,"47,259917","11,387718",,bbmri-eric:contactID:AT_MUI_0010,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,false,false,covid19,AT
bbmri-eric:ID:AT_MUW,21.T12995/1.2368-a28f-323b,MedUni Wien Biobank,MedUni Wien Biobank,The MedUni Wien Biobank considers itself as a link between basic and clinical research with the aim of enhancing research opportunities into emerging biomarkers and therapy strategies.,http://www.biobank.at,Medical University of Vienna,AT,bbmri-eric:contactID:AT_MUW_0008,"48,220937","16,345041",,bbmri-eric:contactID:AT_MUW_0008,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,true,true,covid19,AT
bbmri-eric:ID:AT_VET,21.T12995/1.38c6-feb2-6fba,VetBioBank,VetBioBank,The VetBiobank aims to achieve a comprehensive collection of high quality animal tumor tissue. A second priority is the archivation of reference tissues of a wide range of species.,http://www.vetmeduni.ac.at/vetbiobank,University of Veterinary Medicine,AT,bbmri-eric:contactID:AT_VET_0015,"48,254580","16,431660",,bbmri-eric:contactID:AT_VET_0015,"bbmri-eric:networkID:AT_corefacilitynet,bbmri-eric:networkID:EU_esbb",true,true,,AT
bbmri-eric:ID:BE_71014391000,21.T12995/1.9ca4-30ec-5d89,BiobankUZ Brussel,CBIB,"CBIB (Central biobank UZ Brussel) is the central biobank of the UZ Brussel, the University Hospital of the Vrije Universiteit Brussel.",http://www.vub.ac.be/2020/biobank,Vrije Universiteit Brussel,BE,bbmri-eric:contactID:BE_schots,50.8871394,4.3048933,,bbmri-eric:contactID:BE_71014391000,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT",true,true,"biomaterial-storage,cell-culture,data-analytics,data-storage,digital-imaging,immunohistochemistry-scoring,immunohistochemistry-staining,nucleic-acid-extraction,pathology-archive-access",BE
bbmri-eric:ID:UK_GBR-1-193,21.T12995/1.49b3-f395-e621,DARWIN1 Trial,,Blood and tissue from lung cancer patients,http://www.ctc.ucl.ac.uk/,UCL,UK,,,,,bbmri-eric:contactID:UK_GBR-1-193,,,,,UK
bbmri-eric:ID:BE_71024388,21.T12995/1.e967-223b-c369,University Biobank Limburg,UBiLim,"UBiLim is a collaboration between Hasselt University, Hospital East-Limburg and Jessa Hospital and is established to support translational research carried out by the three partners. UBiLim, however, also makes its facilities available to researchers from other hospitals or research institutes. The central storage facility of UBiLim is located at the Jessa Hospital. There are also storage facilities in the partner institutions Hasselt University and Hospital East-Limburg.
The goal of UBiLim is  to collect, process and store high-quality biological material together with its associated data; and to make the stored biological material available for a broad group of clinically relevant studies. To this end, UBiLim applies the highest standards regarding biobanking. All activities of UBiLim, carried out at the various locations, are executed according to the Belgian law and Royal Decree on biobanking, and reconciled to the (inter)national guidelines on biobanking and research, including those at Flemish (BBMRI.be) and European level (ESFRI, ECRIN, ...).
To manage the samples and associated data (collections and projects to which the sample belongs; informed consent of the donor; sample deliveries that have taken place, freeze-thaw cycles, etc.) a Biobank Information Management System (Labvantage Biobanking) is used, which makes it possible for UBiLim to offer the highest possible quality of service.",http://www.ubilim.be,Jessa Hospital,BE,bbmri-eric:contactID:BE_rummens,50926132,5342096,,bbmri-eric:contactID:BE_71024388,bbmri-eric:networkID:BE_BBMRIBE,true,true,"biomaterial-storage,immunohistochemistry-staining,nucleic-acid-extraction,pathology-archive-access,BSL2,ProspectiveCollections",BE
bbmri-eric:ID:BE_71030031000,21.T12995/1.89fe-83d9-0d18,Biobank Antwerpen,Biobank Antwerpen,"Biobank Antwerpen is an academic university hospital integrated biobank. Historically this biobank originated from Biobank@UZA which was a tumourbank. Nowadays, it's a collaboration between the University Hospital of Antwerp (UZA) and the University of Antwerp (UAntwerpen). Biobank Antwerpen is also the partner for many other research institutions and companies working with human body material. It contains a broad sample collection, harbouring samples of all active research domains at the university and the hospital. Examples are samples from oncology, pediatrics, immunology, microbiology, neurology etc. Biobank Antwerpen provides samples for all kind of research projects, both academic as (non)-commercial.",https://www.uza.be/biobankantwerpen,Universitair Ziekenhuis Antwerpen,BE,bbmri-eric:contactID:BE_71030031000,51.1574816,4.4108984,,bbmri-eric:contactID:BE_71030031000,"bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_BBMRIBE",true,true,"biomaterial-storage,cell-culture,data-analytics,data-storage,digital-imaging,immunohistochemistry-scoring,immunohistochemistry-staining,nucleic-acid-extraction,pathology-archive-access,recontact,BSL2,covid19,PCR,TrialSetupClinical",BE
bbmri-eric:ID:BE_71067049,21.T12995/1.4d3c-c5cb-2569,HIRUZ Biobank,HIRUZ Biobank,All centralised collections at Ghent University Hospital of human body material exclusively for research purposes,http://hiruz.be/service/brc/,University Hospital Ghent,BE,bbmri-eric:contactID:BE_vanderstraeten,51.025612,3.724091,,bbmri-eric:contactID:BE_71067049,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT",true,true,"biomaterial-storage,cell-culture,data-analytics,data-storage,digital-imaging,nucleic-acid-extraction,pathology-archive-access",BE
bbmri-eric:ID:BE_B0383,21.T12995/1.b642-e945-0837,Biobank-University Hospitals Leuven,BBUZL,"The Activity Centre Biobanking from the University Hospitals Leuven is a facility that stores and distributes human biological material (HBM) for research purposes. The centralized storage facility with supportive IT infrastructure was initiated in 2007 to comply with the changing Belgian legislation, to generate a generic informed consent and ethical code. The biobank holds prospective and historal collections obtained over several decades, both as leftover material and as primary research material, originating from ao Pathology, Laboratory Medicine, Genetics and a multitude of clinical departments. The UZ Leuven also participates in several Flemish, national and international initiatives to create a more transparent model for biobanking and research related to HBM.",,University Hospitals Leuven (B0383),BE,bbmri-eric:contactID:BE_ectors,50.877449,4.673402,,bbmri-eric:contactID:BE_B0383,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT",true,true,,BE
