tableName,tableExtends,columnName,columnType,key,required,refTable,refLink,refBack,validation,semantics,description,
InstitutionTypes,OntologyTerms,,,,,,,,,,,
Institutions,,,,,,,,,,,"Universities, companies, medical centres and research institutes",
Institutions,,pid,,1,TRUE,,,,,,Permanent identifier for this institution,
Institutions,,acronym,,,TRUE,,,,,,"Official acronym of the institution,if applicable",
Institutions,,name,,2,,,,,,,Official name of the institution or organisation as used in EU projects,
Institutions,,type,ref,,,InstitutionTypes,,,,,In which sector is the institution,
Institutions,,typeOther,,,,,,,,,"If type is 'other',the description of type of organisation",
Institutions,,description,text,,,,,,,,General description,
Institutions,,country,ref,,,Countries,,,,,Country in which organisation head office or coordinating centre is located,
Institutions,,address,text,,,,,,,,Full address where the organisation head office or coordinating centre is located,
Institutions,,homepage,,,,,,,,,Link to the homepage of this institution,
Institutions,,logo,file,,,,,,,,Logo to be shown when viewing this institution,
Institutions,,providerOf,refback,,,DAPs,,institution,,,"Query that lists all resources (datasources, databanks, cohorts, networks) that this institution is access provider of",
Institutions,,partnerIn,refback,,,Partners,,institution,,,List of partner roles this institution has in various resources,
DAPs,,,,,,,,,,,Data access provider relationship where an institution can provide access to (parts of) a resource,
DAPs,,institution,ref,1,TRUE,Institutions,,,,,Institution that provides access,
DAPs,,resource,ref,1,TRUE,Resources,,,,,Resource that is access provided to,
DAPs,,department,text,,,,,,,,"optionally, the organisational unit(s) that play a role as data access provider",
DAPs,,contact,ref_array,,,Contacts,,,,,Whom to contact for information and access,
DAPs,,populationSubset,ref_array,,,PopulationSubsets,,,,,"If the institution can only access a subset, which subsets can it access",
DAPs,,populationSubsetOther,text,,,,,,,,"If 'other' is selected above, describe the subset that can be accessed",
DAPs,,accessLevel,ref,,,DAPsAccessLevels,,,,,Can the institution access individual level data or only aggregate level data (where individual level data refer to individual records and aggregate level data refer to summary tables)?,
DAPs,,accessCompleteness,ref,,,DAPsAccessCompleteness,,,,,Can the institution access the whole data source or only an extract of the data source?,
DAPs,,reasonAccess,ref,,,DAPsReasonsForAccess,,,,,What is the reason for being able to access (an extract of) the data source?,
DAPs,,reasonAccessOther,text,,,,,,,,"If reasonAccess is 'other', reason for being able to access (an extract of) the data source",
DAPs,,accessPermission,ref,,,DAPsAccessPermissions,,,,,"Is permission required for your institute to access data source (e.g., from a data controller)?",
DAPs,,processTime,int,,,,,,,,"On average, how many DAYS does it take for approval/access to be obtained following an application for data access?",
DAPs,,fees,bool,,,,,,,,Are there fees for data access?,
Resources,,,,,,,,,,,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies",
Resources,,pid,,1,TRUE,,,,,,Persistent identifier for this resource,
Resources,,acronym,,,,,,,,,Acronym for this resource,
Resources,,name,,2,TRUE,,,,,,Name used in European projects,
Resources,,localName,,,,,,,,,"If different from above, name in the national language",
Resources,,externalIdentifiers,,,,,,,,,External identifier for this resource,
Resources,,type,ref,,,ResourceTypes,,,,,Type of the resource,
Resources,,typeOther,,,,,,,,,"If other, describe the type of data source",
Resources,,countries,ref_array,,,Countries,,,,,Countries where data originate (1 or more),
Resources,,regions,ref_array,,,Regions,,,,,Geographical regions that are covered,
Resources,,DAPs,refback,,,DAPs,,resource,,,List of DAPs that are listed in the catalogue as having (conditional) permission to access (an extract of) the data source,
Resources,,contact,ref_array,,,Contacts,,,,,Whom to contact for information and access,
Resources,,startYear,int,,,,,,,,Date of first collected data,
Resources,,endYear,int,,,,,,,,Date of last collected data. Leave empty if collection is ongoing,
Resources,,inclusionCriteria,text,,,InclusionCriteria,,,,,Inclusion criteria applied to these populations,
Resources,,keywords,text,,,,,,,,Keywords to increase findability of this resource. Try to use words that are not used in the description.,
Resources,,ageGroups,ref_array,,,AgeGroups,,,,,Which population age groups are captured? Select all that are relevant,
Resources,,description,text,,,,,,,,General description,
Resources,,noParticipants,int,,,,,,,,total number of individuals of which data is collected,
Resources,,noParticipantsWithSamples,int,,,,,,,,number of individuals of which samples are collected,
Resources,,publication,text,,,,,,,,Marker publication(s) about this resource,
Resources,,otherPublications,ref_array,,,Publications,,,,,Other publication(s) about this resource,
Resources,,logo,file,,,,,,,,Logo for use on homepages etc.,
Resources,,homepage,,,,,,,,,Link to the home page,
Resources,,contributors,refback,,,Contributions,,resource,,,Listing who is/has been involved in the creation and maintenance of this resource,
Resources,,partners,refback,,,Partners,,resource,,,Institutions involved in the creation of this resource,
Resources,,conditions,ref_array,,,Conditions,,,,,Codes defining access and use conditions,
Resources,,conditionsDescription,text,,,,,,,,Human readible description of access and use conditions and procedures,
Resources,,linkageOptions,text,,,,,,,,Linkage options,
Resources,,releases,refback,,,Releases,,resource,,,Releases available from this resource,
Resources,,releaseType,ref,,,ReleaseTypes,,,,,"Whether this resource releases data continuously, or at a termly basis",
Resources,,releaseDescription,text,,,,,,,,Description of the release cycle of this resource,
Resources,,documentation,refback,,,Documentation,,resource,,,List of documentation available for this resource,
Resources,,fundingStatement,text,,,,,,,,Funding statement,
Resources,,acknowledgements,text,,,,,,,,"Acknowledgement statement, to be used when citing this resource",
Resources,,subcohorts,refback,,,Subcohorts,,resource,,,Subcohorts / sub populations in this resource,
Resources,,collectionEvents,refback,,,CollectionEvents,,resource,,,"Listing of collection events in this resource, if applicable",
Publications,,,,,,,,,,,publications following bibtex format,
Publications,,doi,,1,TRUE,,,,,,digital object identifier,
Publications,,title,,,TRUE,,,,,,The title of the work,
Publications,,authors,string_array,,,,,,,,"List of authors, one string per author",
Publications,,year,int,,,,,,,,"The year of publication (or, if unpublished, the year of creation)",
Publications,,journal,,,,,,,,,The journal or magazine the work was published in,
Publications,,volume,int,,,,,,,,The volume of a journal or multi-volume book,
Publications,,number,int,,,,,,,,"The ""(issue) number"" of a journal, magazine, or tech-report, if applicable. Note that this is not the ""article number"" assigned by some journals.",
Publications,,pagination,,,,,,,,,"Page numbers, separated either by commas or double-hyphens.",
Publications,,publisher,,,,,,,,,The publisher's name,
Publications,,school,,,,,,,,,(in case of thesis) The school where the thesis was written,
Publications,,abstract,text,,,,,,,,,
Publications,,resources,refback,,,Resources,,otherPublications,,,list of resources that refer to this publication,
Partners,,,,,,,,,,,Institutions that partnered in the creation of a resource,
Partners,,resource,ref,1,TRUE,Resources,,,,,resource institution has contributed to,
