order,name,code,parent,ontologyTermURI,definition
8,Birth length,,Birth outcomes,,aaaaczock6baf6qwhycgrlaaae
9,vitamin_d_UV_dose,,Meteorology,,sub_sub_folder_58
10,land_surface_temperature,,Meteorology,,sub_sub_folder_59
,Sitting height,,Child's height,,
4,ln_categorical,,Noise,,sub_sub_folder_72
5,distance (noise),,Noise,,sub_sub_folder_73
1,area_level_ses_tertiles,,Social context,,sub_sub_folder_74
,Maternal measurements,,Health-related characteristics (M),,
,Paternal measurements,,Health-related characteristics (F),,
,Circumferences,,Measurements,,
,Arm circumference,,Circumferences,,
,Waist circumference,,Circumferences,,
,Head circumference,,Circumferences,,
,Hip circumference,,Circumferences,,
,Skinfold,,Measurements,,
,Bicep skinfold,,Skinfold,,
,Subscapular skinfold,,Skinfold,,
,Suprailiac skinfold,,Skinfold,,
,Tricep skinfold,,Skinfold,,
1,Socio-demographic characteristics (M),,Maternal Characteristics,,1
2,Maternal Characteristics,,,,3
3,Lifestyle Characteristics (M),,Maternal Characteristics,,4
1,Maternal smoking,,Lifestyle Characteristics (M),,5
1,Socio-demographic characteristics (C),,Child,,aaaac2iph3bzb6qwhza7xqiaae
1,Child's country of birth,,Socio-demographic characteristics (C),,aaaac2ipjyxw36qwhza7xqiaae
2,EUSILC-based household income,,Household Characteristics,,aaaac2iplmanp6qwhza7xqiaae
6,Cognitive domains,,Child,,aaaac3pyj4jej6qwhza7xqiaae
7,Behavioral problem domains,,Child,,aaaac3pyjzyiz6qwhza7xqiaae
1,Internalizing problems,,Behavioral problem domains,,aaaac3pykclzp6qwhza7xqiaae
2,Externalizing problems,,Behavioral problem domains,,aaaac3pytaulj6qwhza7xqiaae
3,ADHD symptoms,,Behavioral problem domains,,aaaac3pyupqij6qwhza7xqiaae
4,ADHD Registry diagnosis,,Behavioral problem domains,,aaaac3pyut3pd6qwhza7xqiaae
2,School age,,Diet (C),,aaaac4cx554gn6qwhza7xqiaae
1,Method of dietary assessment (M),,Diet (M),,aaaac4cyaophz6qwhza7xqiaae
5,Autism spectrum disorder symptoms,,Behavioral problem domains,,aaaac3pyuvqcj6qwhza7xqiaae
6,ASD Registry diagnosis,,Behavioral problem domains,,aaaac3pyuxgv56qwhza7xqiaae
1,Gross motor,,Cognitive domains,,aaaac3pyweyf76qwhza7xqiaae
2,Fine motor,,Cognitive domains,,aaaac3pywgivt6qwhza7xqiaai
3,Non-verbal intelligence,,Cognitive domains,,aaaac3pywidtd6qwhza7xqiaae
4,Working memory,,Cognitive domains,,aaaac3pywkewr6qwhza7xqiaae
5,Language,,Cognitive domains,,aaaac3pywlwmb6qwhza7xqiaau
6,Urban environment,,,,aaaac3tj53kmz6qwhza7xqiaae
1,Air pollution,,Urban environment,,aaaac3tj6cuob6qwhza7xqiaae
2,Natural spaces,,Urban environment,,aaaac3tj6kfo36qwhza7xqiaae
3,Build environment,,Urban environment,,aaaac3tj6mknf6qwhza7xqiaae
4,Social context,,Urban environment,,aaaac3tj6oywf6qwhza7xqiaae
5,Traffic,,Urban environment,,aaaac3tj6qq6x6qwhza7xqiaay
6,Noise,,Urban environment,,aaaac3tj6ssf76qwhza7xqiaae
7,Unhealthy food environment,,Urban environment,,aaaac3tj6u2w76qwhza7xqiaae
8,Meteorology,,Urban environment,,aaaac3tj6xkwh6qwhza7xqiaae
8,Urban area id,,Meta variables,,aaaac3tn4bup76qwhza7xqiaae
8,Preschool outdoor play,,Exposures/Lifestyle/Environment,,aaaac3wu545nf6qwhza7xqiaae
9,Preschool screen times,,Exposures/Lifestyle/Environment,,aaaac3wu57zcf6qwhza7xqiaae
7,Preschool sleep,,Exposures/Lifestyle/Environment,,aaaac3wu5zbjn6qwhza7xqiaae
10,Preschool multibehavioral profiles,,Exposures/Lifestyle/Environment,,aaaac3wu6cr4l6qwhza7xqiaae
5,Pets,,Exposures/Lifestyle/Environment,,aaaac4b5nls2j6qwhza7xqiaae
2,Cats (any),,Pets,,aaaac4b5pvo7j6qwhza7xqiaae
3,Cats (number),,Pets,,aaaac4b5qh37j6qwhza7xqiaae
4,Dogs (any),,Pets,,aaaac4b5qxlmb6qwhza7xqiaae
5,Dogs (number),,Pets,,aaaac4b5rhofr6qwhza7xqiaae
4,Diet (M),,Maternal Characteristics,,aaaac4cx2362j6qwhza7xqiaae
5,Diet (C),,Child,,aaaac4cx266gp6qwhza7xqiaae
1,Preschool age,,Diet (C),,aaaac4cx4tinl6qwhza7xqiaae
2,Gestational week at dietary assessment,,Diet (M),,aaaac4cyap2ax6qwhza7xqiaae
3,Food groups (M),,Diet (M),,aaaac4cyara376qwhza7xqiaae
5,Nutrients (M),,Diet (M),,aaaac4cyas72j6qwhza7xqiaae
4,Supplements (M),,Diet (M),,aaaac4cyashqb6qwhza7xqiaae
6,DASH diet index (M),,Diet (M),,aaaac4cyatw2x6qwhza7xqiaai
1,Method of dietary assessment (Preschool),,Preschool age,,aaaac4cyecpgp6qwhza7xqiaae
2,Exact age at dietary assessment (Preschool),,Preschool age,,aaaac4cyedlqt6qwhza7xqiaae
3,Food groups (Preschool),,Preschool age,,aaaac4cyeeamt6qwhza7xqiaam
4,Supplements (Preschool),,Preschool age,,aaaac4cyeevev6qwhza7xqiaae
5,Nutrients (Preschool),,Preschool age,,aaaac4cyegdwf6qwhza7xqiaae
6,Dietary behavior (Preschool),,Preschool age,,aaaac4cyehvsh6qwhza7xqiaae
1,Method of dietary assessment (School),,School age,,aaaac4cyes5vb6qwhza7xqiaae
2,Exact age at dietary assessment (School),,School age,,aaaac4cyetswx6qwhza7xqiaae
4,Supplements (School),,School age,,aaaac4cyeu56j6qwhza7xqiaae
3,Food groups (School),,School age,,aaaac4cyeuhdp6qwhza7xqiaae
5,Nutrients (School),,School age,,aaaac4cyevtgx6qwhza7xqiaae
6,Dietary behavior (School),,School age,,aaaac4cyewju56qwhza7xqiaae
7,DASH diet index,,School age,,aaaac4cyexglz6qwhza7xqiaai
4,Child,,,,aaaacyy2wne2p6qwh3nxvnaaae
2,Maternal occupational status,,Socio-demographic characteristics (M),,aaaacyxw33i5d6qwh3nxvnaaae
