order,name,code,parent,ontologyTermURI,definition
1,No main medical condition,,,,
2,I Certain infectious and parasitic diseases,I,,,
3,A00-A09 Intestinal infectious diseases,A00-A09,I Certain infectious and parasitic diseases,,
4,A00 Cholera,A00,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A00,
5,"A00.0 Cholera due to Vibrio cholerae 01, biovar cholerae",A00.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A00.0,
6,"A00.1 Cholera due to Vibrio cholerae 01, biovar eltor",A00.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A00.1,ORPHAcode: 173 Cholera
7,"A00.9 Cholera, unspecified",A00.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A00.9,
8,A01 Typhoid and paratyphoid fevers,A01,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01,
9,A01.0 Typhoid fever,A01.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.0,ORPHAcode: 99745 Typhoid
10,A01.1 Paratyphoid fever A,A01.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.1,ORPHAcode: 443227 Paratyphoid fever
11,A01.2 Paratyphoid fever B,A01.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.2,
12,A01.3 Paratyphoid fever C,A01.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.3,
13,"A01.4 Paratyphoid fever, unspecified",A01.4,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.4,
14,A02 Other salmonella infections,A02,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02,
15,A02.0 Salmonella enteritis,A02.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.0,
16,A02.1 Salmonella sepsis,A02.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.1,
17,A02.2 Localized salmonella infections,A02.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.2,ORPHAcode: 324648 Invasive non-typhoidal salmonellosis
18,A02.8 Other specified salmonella infections,A02.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.8,
19,"A02.9 Salmonella infection, unspecified",A02.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.9,
20,A03 Shigellosis,A03,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03,
21,A03.0 Shigellosis due to Shigella dysenteriae,A03.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.0,
22,A03.1 Shigellosis due to Shigella flexneri,A03.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.1,
23,A03.2 Shigellosis due to Shigella boydii,A03.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.2,
24,A03.3 Shigellosis due to Shigella sonnei,A03.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.3,
25,A03.8 Other shigellosis,A03.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.8,ORPHAcode: 810 Shigellosis
26,"A03.9 Shigellosis, unspecified",A03.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.9,
27,A04 Other bacterial intestinal infections,A04,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04,
28,A04.0 Other bacterial intestinal infections - Enteropathogenic Escherichia coli infection,A04.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.0,
29,A04.1 Other bacterial intestinal infections - Enterotoxigenic Escherichia coli infection,A04.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.1,
30,A04.2 Other bacterial intestinal infections - Enteroinvasive Escherichia coli infection,A04.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.2,
31,A04.3 Other bacterial intestinal infections - Enterohaemorrhagic Escherichia coli infection,A04.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.3,
32,A04.4 Other intestinal Escherichia coli infections,A04.4,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.4,
33,A04.5 Other bacterial intestinal infections - Campylobacter enteritis,A04.5,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.5,
34,A04.6 Other bacterial intestinal infections - Enteritis due to Yersinia enterocolitica,A04.6,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.6,
35,A04.7 Other bacterial intestinal infections - Enterocolitis due to Clostridium difficile,A04.7,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.7,
36,A04.8 Other specified bacterial intestinal infections,A04.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.8,ORPHAcode: 90078 Invasive infections due to vancomycin-resistant enterococci
37,"A04.9 Bacterial intestinal infection, unspecified",A04.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.9,
38,"A05 Other bacterial foodborne intoxications, not elsewhere classified",A05,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05,
39,A05.0 Foodborne staphylococcal intoxication,A05.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.0,
40,"A05.1 Other bacterial foodborne intoxications, not elsewhere classified - Botulism",A05.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.1,ORPHAcode: 1267 Botulism
