order,name,code,parent,ontologyTermURI,definition
,Fluids and Secretions,A12,,,
,Blood (whole),A12.207.152,Blood,,
,Blood Buffy Coat,A15.145.229.093,Blood,,
,Fetal blood (Cord blood),A12.207.152.200,Blood,,
,24h urine,,Urine,,
,"Urine, random",,Urine,,
,"Urine, first morning",,Urine,,
,"Urine, timed",,Urine,,
,Amniotic fluid,A12.098,Fluids and Secretions,,
,Ascites fluid,A12.207.119,Fluids and Secretions,,
,"Milk, Human",A12.200.467,Fluids and Secretions,,
,Bronchial wash,,Fluids and Secretions,,
,Cerebrospinal fluid,A12.207.270.210,Fluids and Secretions,,
,Follicular Fluid,A06.300.312.497.535.150,Fluids and Secretions,,
,Mouth swabs,,Fluids and Secretions,,
,Nasal swabs,,Fluids and Secretions,,
,Semen,A12.200.732,Fluids and Secretions,,
,Sputum,A12.200.808,Fluids and Secretions,,
,Synovial fluid,A12.207.270.847,Fluids and Secretions,,
,Tears,A12.200.882,Fluids and Secretions,,
,Feces,A12.459,Fluids and Secretions,,
,Breath,,Fluids and Secretions,,
,Cells,A11,,,
,Adipocytes,A11.329.114,Cells,,
,"Myocytes, Cardiac",A11.620.500,Cells,,
,Endothelial Cells,A11.436.275,Cells,,
,Epithelial Cells,A11.436,Cells,,
,Squamous epithelium,,Epithelial Cells,,
,Transitional epithelium,,Epithelial Cells,,
,Basal epithelium,,Epithelial Cells,,
,Mucinous epithelium,,Epithelial Cells,,
,Ciliary epithelium,,Epithelial Cells,,
,Other epithelium,,Epithelial Cells,,
,Fibroblasts,A11.329.228,Cells,,
,Germ cells,A05.360.490,Cells,,
,Neuroglia,A11.650,Cells,,
,Endocrine Cells,A11.382,Cells,,
,Granulocytes,A11.118.637.415,Cells,,
,"Leukocytes, Mononuclear",A11.118.637.555,Cells,,
,Neuron,A11.671,Cells,,
,"Myocytes, Smooth Muscle",A11.620.520,Cells,,
,Stem cells,A11.872,Cells,,
,Induced Pluripotent Stem Cells (iPS),A11.872.040.500,Cells,,
,Bone marrow cells,A11.148,Cells,,
,Chondrocyte,A11.329.171,Cells,,
,Osteoblast,A11.329.629,Cells,,
,Osteoclast,A11.329.372.700,Cells,,
,Musculoskeletal System - Tissue (Frozen),"A02,D005629",Tissue (Frozen),,
,Bone and Bones - Tissue (Frozen),"A02.835.232,D005629",Musculoskeletal System - Tissue (Frozen),,
,Joints - Tissue (Frozen),"A02.835.583,D005629",Musculoskeletal System - Tissue (Frozen),,
,Ligaments - Tissue (Frozen),"A02.513,D005629",Musculoskeletal System - Tissue (Frozen),,
,Muscles - Tissue (Frozen),"A02.633,D005629",Musculoskeletal System - Tissue (Frozen),,
,Tendons - Tissue (Frozen),"A02.880,D005629",Musculoskeletal System - Tissue (Frozen),,
,Cartilage - Tissue (Frozen),"A02.165,D005629",Musculoskeletal System - Tissue (Frozen),,
,Fascia - Tissue (Frozen),"A02.340,D005629",Musculoskeletal System - Tissue (Frozen),,
,Digestive System - Tissue (Frozen),"A03,D005629",Tissue (Frozen),,
,Mouth - Tissue (Frozen),"A01.456.505.631,D005629",Digestive System - Tissue (Frozen),,
,Salivary Glands - Tissue (Frozen),"A03.556.500.760,D005629",Digestive System - Tissue (Frozen),,
,Pharynx - Tissue (Frozen),"A03.556.750,D005629",Digestive System - Tissue (Frozen),,
,Esophagus - Tissue (Frozen),"A03.556.875.500,D005629",Digestive System - Tissue (Frozen),,
,Stomach - Tissue (Frozen),"A03.556.875.875,D005629",Digestive System - Tissue (Frozen),,
,"Intestine, Small - Tissue (Frozen)","A03.556.124.684,D005629",Digestive System - Tissue (Frozen),,
11,Tissue (Frozen),,,,
,"Intestine, Large - Tissue (Frozen)","A03.556.124.526,D005629",Digestive System - Tissue (Frozen),,
,Rectum - Tissue (Frozen),"A03.556.249.249.767,D005629",Digestive System - Tissue (Frozen),,
,Liver - Tissue (Frozen),"A03.620,D005629",Digestive System - Tissue (Frozen),,
,Gallbladder - Tissue (Frozen),"A03.159.439,D005629",Digestive System - Tissue (Frozen),,
,Mesentery - Tissue (Frozen),"A01.923.047.025.600.451,D005629",Digestive System - Tissue (Frozen),,
,Pancreas - Tissue (Frozen),"A03.734,D005629",Digestive System - Tissue (Frozen),,
,Lower Gastrointestinal Tract - Tissue (Frozen),"A03.556.249,D005629",Digestive System - Tissue (Frozen),,
,Respiratory System - Tissue (Frozen),"A04,D005629",Tissue (Frozen),,
,Nose - Tissue (Frozen),"A04.531,D005629",Respiratory System - Tissue (Frozen),,
,Larynx - Tissue (Frozen),"A04.329,D005629",Respiratory System - Tissue (Frozen),,
,Trachea - Tissue (Frozen),"A04.889,D005629",Respiratory System - Tissue (Frozen),,
,Bronchi - Tissue (Frozen),"A04.411.125,D005629",Respiratory System - Tissue (Frozen),,
,Bronchioles - Tissue (Frozen),"A04.411.125.500,D005629",Respiratory System - Tissue (Frozen),,
,Lung - Tissue (Frozen),"A04.411,D005629",Respiratory System - Tissue (Frozen),,
,Diaphragm - Tissue (Frozen),"A01.923.112.250,D005629",Respiratory System - Tissue (Frozen),,
,Urogenital System - Tissue (Frozen),"A05,D005629",Tissue (Frozen),,
,Kidney - Tissue (Frozen),"A05.810.453,D005629",Urogenital System - Tissue (Frozen),,
,Ureter - Tissue (Frozen),"A05.810.776,D005629",Urogenital System - Tissue (Frozen),,
,Urinary Bladder - Tissue (Frozen),"A05.810.890,D005629",Urogenital System - Tissue (Frozen),,
,Urethra - Tissue (Frozen),"A05.810.876,D005629",Urogenital System - Tissue (Frozen),,
,"Genitalia, Female - Tissue (Frozen)","A05.360.319,D005629",Tissue (Frozen),,
,Ovary - Tissue (Frozen),"A05.360.319.114.630,D005629","Genitalia, Female - Tissue (Frozen)",,
,Fallopian Tubes - Tissue (Frozen),"A05.360.319.114.373,D005629","Genitalia, Female - Tissue (Frozen)",,
,Uterus - Tissue (Frozen),"A05.360.319.679,D005629","Genitalia, Female - Tissue (Frozen)",,
,Cervix Uteri - Tissue (Frozen),"A05.360.319.679.256,D005629","Genitalia, Female - Tissue (Frozen)",,
,Vagina - Tissue (Frozen),"A05.360.319.779,D005629","Genitalia, Female - Tissue (Frozen)",,
,Vulva - Tissue (Frozen),"A05.360.319.887,D005629","Genitalia, Female - Tissue (Frozen)",,
,Placenta - Tissue (Frozen),"A16.710,D005629","Genitalia, Female - Tissue (Frozen)",,
,"Genitalia, Male - Tissue (Frozen)","A05.360.444,D005629",Tissue (Frozen),,
,Prostate - Tissue (Frozen),"A05.360.444.575,D005629","Genitalia, Male - Tissue (Frozen)",,
,Penis - Tissue (Frozen),"A05.360.444.492,D005629","Genitalia, Male - Tissue (Frozen)",,
,Testis - Tissue (Frozen),"A05.360.444.849,D005629","Genitalia, Male - Tissue (Frozen)",,
,Endocrine system - Tissue (Frozen),"A06,D005629",Tissue (Frozen),,
,Pituitary Gland - Tissue (Frozen),"A06.300.747,D005629",Endocrine system - Tissue (Frozen),,
,Pineal Gland - Tissue (Frozen),"A06.300.635,D005629",Endocrine system - Tissue (Frozen),,
,Thyroid Gland - Tissue (Frozen),"A06.300.900,D005629",Endocrine system - Tissue (Frozen),,
,Parathyroid Glands - Tissue (Frozen),"A06.300.560,D005629",Endocrine system - Tissue (Frozen),,
,Adrenal Glands - Tissue (Frozen),"A06.300.071,D005629",Endocrine system - Tissue (Frozen),,
,Cardiovascular System - Tissue (Frozen),"A07,D005629",Tissue (Frozen),,
,Heart - Tissue (Frozen),"A07.541,D005629",Cardiovascular System - Tissue (Frozen),,
,Arteries - Tissue (Frozen),"A07.015.114,D005629",Cardiovascular System - Tissue (Frozen),,
,Veins - Tissue (Frozen),"A07.015.908,D005629",Cardiovascular System - Tissue (Frozen),,
,Capillaries - Tissue (Frozen),"A07.015.461.165,D005629",Cardiovascular System - Tissue (Frozen),,
,Lymphoid Tissue - Tissue (Frozen),"A10.549,D005629",Tissue (Frozen),,
,Lymphatic Vessels - Tissue (Frozen),"A15.382.520.301,D005629",Lymphoid Tissue - Tissue (Frozen),,
,Lymph Nodes - Tissue (Frozen),"A10.549.400,D005629",Lymphoid Tissue - Tissue (Frozen),,
,Bone Marrow - Tissue (Frozen),"A15.382.216,D005629",Lymphoid Tissue - Tissue (Frozen),,
,Thymus gland - Tissue (Frozen),"A10.549.750,D005629",Lymphoid Tissue - Tissue (Frozen),,
,Spleen - Tissue (Frozen),"A10.549.700,D005629",Lymphoid Tissue - Tissue (Frozen),,
,Nervous System - Tissue (Frozen),"A08,D005629",Tissue (Frozen),,
,Brain - Tissue (Frozen),"A08.186.211,D005629",Nervous System - Tissue (Frozen),,
,Brain Stem - Tissue (Frozen),"A08.186.211.132,D005629",Nervous System - Tissue (Frozen),,
,Cerebellum - Tissue (Frozen),"A08.186.211.132.810.428.200,D005629",Nervous System - Tissue (Frozen),,
,Spinal Cord - Tissue (Frozen),"A08.186.854,D005629",Nervous System - Tissue (Frozen),,
,Cerebral Ventricles - Tissue (Frozen),"A08.186.211.140,D005629",Nervous System - Tissue (Frozen),,
,Nerve Net - Tissue (Frozen),"A08.511,D005629",Nervous System - Tissue (Frozen),,
,Sense Organs - Tissue (Frozen),"A09,D005629",Tissue (Frozen),,
,Eye - Tissue (Frozen),"A09.371,D005629",Sense Organs - Tissue (Frozen),,
,Ear - Tissue (Frozen),"A09.246,D005629",Sense Organs - Tissue (Frozen),,
,Olfactory Mucosa - Tissue (Frozen),"A09.531.623,D005629",Sense Organs - Tissue (Frozen),,
,Taste Buds - Tissue (Frozen),"A09.846,D005629",Sense Organs - Tissue (Frozen),,
