text,paragraph is centered,in block,id
"Page builder components have additional settings that can be enabled or disabled. For example, you can apply a shaded background on blocks (like this one) to provide a visual separation between multiple blocks. By default, this option is disabled. To enable it, click on the edit button to modify any section and enable the ""apply shaded background"" button.",false,,Paragraph-718c410d-7365-4883-8013-ce4c0026d981
"For text elements (e.g., headings, paragraphs) it is only possible to center the text within a block. In paragraphs, text can also be written with html. However, only a few html elements are supported: a, code, em, i, span, strong",false,,Paragraph-cd8cb63f-9b00-42eb-a480-a0619099fa1e
"The page builder feature is under development. Check back in the future for more components and features. For now, here's a nice image of two penguins.",false,,Paragraph-88b13313-e03c-421b-9493-9b0bf3866e51
"Use the column layout blocks to place content side-by-side. This allows you to place heading, images, or other content next to each other. By default, you can create a section with 1 to 4 columns. Content will be wrapped to the next line based on the number of the columns in the section or they are wrapped based on screen size",false,,Paragraph-22accdee-142a-4e63-9b7f-3c36157e9481
,false,,Paragraph-7a8a2365-d33c-46b1-b898-507f6092a726
"Using the page builder, you can create landing pages such as a home page, about us page, or a contact us page. The idea behind these pages is that content is stored in a system of blocks (e.g., sections) and content is placed inside these blocks (e.g., heading, paragraphs, images). This system allows for extensive flexibility in how you create pages as content can be reused in more than one block and blocks can be used in multiple pages.",false,,Paragraph-b205bdee-6cda-4be0-9f06-83f42004234e
The following types of components are available.,false,,Paragraph-5a553506-8495-4ff1-94a4-f378ce2d264f
"To get started, follow these steps-",false,,Paragraph-bac45e4b-41dd-4cd7-a29b-9c6c353a69f3
"Your page will now be listed in the gallery. To edit your page, click on ""edit"" button to open the <strong>page builder</strong>.",false,,Paragraph-12a9f2f4-059b-49a7-abf3-a156efa59628
"The <strong>Page Builder</strong> interface allows users to create custom pages using a drag-and-drop interface instead of writing HTML, CSS, and JavaScript. Content can be created directly in the UI and edited using the MOLGENIS web forms. Elements can also be reordered and deleted from the page.",false,,Paragraph-c95d9bcb-eb18-4d4b-88e5-90e253da7e45
