x value,y value,sort order,displayed in chart,id,primary group value
135,castle,0,demo-bar-chart,demo-bar-chart-0,
28,fortress,1,demo-bar-chart,demo-bar-chart-1,
21,ruin,2,demo-bar-chart,demo-bar-chart-2,
17,palace,3,demo-bar-chart,demo-bar-chart-3,
11,4,0,demo-column-chart,demo-column-chart-0,
12,8,1,demo-column-chart,demo-column-chart-1,
13,24,2,demo-column-chart,demo-column-chart-2,
14,21,3,demo-column-chart,demo-column-chart-3,
15,11,4,demo-column-chart,demo-column-chart-4,
16,12,5,demo-column-chart,demo-column-chart-5,
17,26,6,demo-column-chart,demo-column-chart-6,
18,6,7,demo-column-chart,demo-column-chart-7,
19,8,8,demo-column-chart,demo-column-chart-8,
21,1,9,demo-column-chart,demo-column-chart-9,
4,11,0,demo-grouped-bar-chart,demo-grouped-bar-chart-0,castle
4,12,1,demo-grouped-bar-chart,demo-grouped-bar-chart-1,castle
4,12,2,demo-grouped-bar-chart,demo-grouped-bar-chart-2,ruin
16,13,3,demo-grouped-bar-chart,demo-grouped-bar-chart-3,castle
2,13,4,demo-grouped-bar-chart,demo-grouped-bar-chart-4,palace
6,13,5,demo-grouped-bar-chart,demo-grouped-bar-chart-5,ruin
16,14,6,demo-grouped-bar-chart,demo-grouped-bar-chart-6,castle
2,14,7,demo-grouped-bar-chart,demo-grouped-bar-chart-7,palace
3,14,8,demo-grouped-bar-chart,demo-grouped-bar-chart-8,ruin
10,15,9,demo-grouped-bar-chart,demo-grouped-bar-chart-9,castle
1,15,10,demo-grouped-bar-chart,demo-grouped-bar-chart-10,fortress
9,16,11,demo-grouped-bar-chart,demo-grouped-bar-chart-11,castle
3,16,12,demo-grouped-bar-chart,demo-grouped-bar-chart-12,fortress
15,17,13,demo-grouped-bar-chart,demo-grouped-bar-chart-13,castle
3,17,14,demo-grouped-bar-chart,demo-grouped-bar-chart-14,fortress
6,17,15,demo-grouped-bar-chart,demo-grouped-bar-chart-15,palace
2,17,16,demo-grouped-bar-chart,demo-grouped-bar-chart-16,ruin
4,18,17,demo-grouped-bar-chart,demo-grouped-bar-chart-17,castle
1,18,18,demo-grouped-bar-chart,demo-grouped-bar-chart-18,palace
1,18,19,demo-grouped-bar-chart,demo-grouped-bar-chart-19,ruin
3,19,20,demo-grouped-bar-chart,demo-grouped-bar-chart-20,castle
5,19,21,demo-grouped-bar-chart,demo-grouped-bar-chart-21,fortress
1,21,22,demo-grouped-bar-chart,demo-grouped-bar-chart-22,castle
