name,parent,description,order
Metadata,,Metadata,4
Routine healthcare data,,Routine healthcare data,1
Curated tables,,Curated tables,3
Surveillance,,Surveillance,2
Child,,,
Adult health-related characteristics,Child,,
Behavioral problem domains,Child,,
Birth outcomes,Child,,
Cognitive domains,Child,,
Exposures/Lifestyle/Environment,Child,,
Breastfeeding,Exposures/Lifestyle/Environment,,
Childcare,Exposures/Lifestyle/Environment,,
Family mental health,Exposures/Lifestyle/Environment,,
Passive smoking,Exposures/Lifestyle/Environment,,
Pets,Exposures/Lifestyle/Environment,,
Preschool multibehavioral profiles,Exposures/Lifestyle/Environment,,
Preschool outdoor play,Exposures/Lifestyle/Environment,,
Preschool screen times,Exposures/Lifestyle/Environment,,
Preschool sleep,Exposures/Lifestyle/Environment,,
Solid food introduction,Exposures/Lifestyle/Environment,,
Health-related characteritics,Child,,
Household Characteristics,,,
EUSILC-based household income,Household Characteristics,,
Family size,Household Characteristics,,
Family split up,Household Characteristics,,
Household income,Household Characteristics,,
Maternal Characteristics,,,
Diet,Maternal Characteristics,,
Health-related characteristics,Maternal Characteristics,,
Fever during pregnancy,Health-related characteristics,,
Maternal asthma,Health-related characteristics,,
Maternal diabetes,Health-related characteristics,,
Maternal height,Health-related characteristics,,
Maternal psychiatric disoders,Health-related characteristics,,
Maternal thyroid disorders,Health-related characteristics,,
Maternal weight,Health-related characteristics,,
Paternal asthma,Health-related characteristics,,
Paternal diabetes,Health-related characteristics,,
Paternal height,Health-related characteristics,,
Paternal psychiatric health,Health-related characteristics,,
Paternal weight,Health-related characteristics,,
Preeclampsia/gestational hypertension,Health-related characteristics,,
"Respiratory, allergy and skin characteristics",Health-related characteristics,,
Allergy,Health-related characteritics,,
Child's height,Health-related characteritics,,
Child's weight,Health-related characteritics,,
Death of child,Health-related characteritics,,
Skin,Health-related characteritics,,
Lifestyle Characteristics,Maternal Characteristics,,
Obstetric Characteristics,Maternal Characteristics,,
Socio-demographic characteristics,Maternal Characteristics,,
Meta variables,,,
Child id,Meta variables,,
Child number,Meta variables,,
Cohort id,Meta variables,,
Country of cohort,Meta variables,,
