tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Individual consent,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C16735,"Consent given by a patient to a surgical or medical procedure or participation in a study, examination or analysis after achieving an understanding of the relevant medical facts and the risks involved.","FAIR Genomes, JRC-CDE, RD3"
Individual consent,,Individual consent identifier,string,1,TRUE,,,,,,http://purl.obolibrary.org/obo/ICO_0000044,A unique proper name or character sequence that identifies this particular signed individual consent.,"FAIR Genomes, JRC-CDE, RD3"
Individual consent,,Person consenting,ref,,,,Individuals,,,,http://purl.obolibrary.org/obo/IAO_0000136,Reference to the person (i.e. subject) to whom this individual consent applies.,"FAIR Genomes, JRC-CDE, RD3"
Individual consent,,Consent form used,ref,,,,Consent document,,,,http://purl.obolibrary.org/obo/IAO_0000136,Reference to the informed consent form that was signed. Points to a particular instance of leaflet and consent form that usually exists as a record (i.e. a row) within the same database as this individual consent.,FAIR Genomes
Individual consent,,Collected by,ontology,,,,Organisations,,,,http://purl.obolibrary.org/obo/NCIT_C45262,Indicates the institute who performed the collection act.,FAIR Genomes
Individual consent,,Signing date,date,,,,,,,,http://purl.obolibrary.org/obo/ICO_0000036,A date specification that designates when this individual consent form was signed.,FAIR Genomes
Individual consent,,Valid from,date,,,,,,,,http://purl.org/dc/terms/valid,Starting date of the validity of this individual consent.,FAIR Genomes
Individual consent,,Valid until,date,,,,,,,,http://purl.org/dc/terms/valid,End date of the validity of this individual consent.,FAIR Genomes
Individual consent,,Represented by,ontology,,,,RepresentedBy,,,,http://purl.obolibrary.org/obo/NCIT_C142600,An individual who is authorized under applicable State or local law to consent on behalf of a child or incapable person to general medical care including participation in clinical research.,FAIR Genomes
Individual consent,,Data use permissions,ontology,,,,DataUsePermissions,,,,http://purl.obolibrary.org/obo/DUO_0000001,"A data item that is used to indicate consent permissions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be used. In JRC-CDE: 'Consent to the reuse of data' and 'Biological sample'","FAIR Genomes, JRC-CDE, RD3"
Individual consent,,Data use modifiers,ontology_array,,,,DataUseModifiers,,,,http://purl.obolibrary.org/obo/DUO_0000017,"Data use modifiers indicate additional conditions for use. For instance, a dataset is restricted to investigations into specific diseases or performed at specific geographical locations. In JRC-CDE: 'Consent to the reuse of data' and 'Biological sample'","FAIR Genomes, JRC-CDE, RD3"
Individual consent,,Data use specification,text,,,,,,,,http://semanticscience.org/resource/SIO_000090,"Further specification of applied data use permissions and modifiers. For example, a list of countries in case of geographic restrictions or a list of diseases when restricted to disease-specific research.","FAIR Genomes, RD3"
Individual consent,,Allow recontacting,ontology_array,,,,AllowRecontacting,,,,http://purl.obolibrary.org/obo/NCIT_C25737,The procedure of recontacting the patient for specified reasons. This means the patient agrees to be re-identifiable under those circumstances. In JRC-CDE: Agreement to be contacted for research purposes,"FAIR Genomes, JRC-CDE, RD3"
Consent document,,,,,,,,,,,http://semanticscience.org/resource/SIO_000295,A document explaining all the relevant information to assist an individual in understanding the expectations and risks in making a decision about a procedure. This document is presented to and signed by the individual or guardian.,
Consent document,,id,string,,,,,,,,http://semanticscience.org/resource/SIO_000148,A unique proper name or character sequence that identifies this document,
Consent document,,type of document,ontology,,,,Consent document types,,,,http://purl.obolibrary.org/obo/ICO_0000001,"A classification of the document (e.g., leaflet, consent for clinical study, consent for intervention, etc.)",
Consent document,,title,string,,,,,,,,http://semanticscience.org/resource/SIO_000175,A title or name given to the document,
Consent document,,version,string,,,,,,,,http://semanticscience.org/resource/SIO_000186,"The version, edition, or adaptation of this document",
Consent document,,date of approval,date,,,,,,,,http://semanticscience.org/resource/SIO_000031,"The date on which this document was approved (e.g., ethnical approval, regulatory approval, etc.)",
Consent document,,date valid from,date,,,,,,,,http://semanticscience.org/resource/SIO_000031,The date on which this document is valid,
Consent document,,date valid until,date,,,,,,,,http://semanticscience.org/resource/SIO_000032,The last date on which this document is valid,
Consent document,,authors,ref_array,,,,Contacts,,,,http://semanticscience.org/resource/SIO_001315,The persons involved in creating or maintaining this document,
Consent document,,document location,ref,,,,Files,,,,"http://purl.obolibrary.org/obo/STATO_0000002,http://purl.obolibrary.org/obo/NCIT_C42883",A reference to the file and the current location,
Consent document,,related to documents,ref_array,,,,Consent document,,,,http://semanticscience.org/resource/SIO_000295,Reference to one or more relevant documents,
