tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Version,,,,,,,,,,,,3.10,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Resources,,,,,,,,,,,,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies","DataCatalogue,EMA,SharedStaging,CohortStaging,RWEStaging"
Organisations,,,,,,,,,,,,Research departments and research groups,"DataCatalogue,EMA,SharedStaging"
Models,,,,,,,,,,,,Data models,"DataCatalogue,EMA"
Data sources,Resources,,,,,,,,,,,Collections of multiple data banks covering the same population,"DataCatalogue,EMA"
Networks,,,,,,,,,,,,Collaborations of multiple institutions,"DataCatalogue,EMA"
Studies,,,,,,,,,,,,"Collaborations of multiple institutions, addressing research questions using data sources and/or data banks","DataCatalogue,EMA"
Resources,,id,,1,true,,,,,,,Internal identifier,"DataCatalogue,EMA,SharedStaging,CohortStaging,RWEStaging"
Networks,,id,,1,true,,,,,,,Internal identifier,"DataCatalogue,EMA"
Models,,id,,1,true,,,,,,,Internal identifier,"DataCatalogue,EMA"
Studies,,id,,1,true,,,,,,,Internal identifier,"DataCatalogue,EMA"
Organisations,,id,,1,true,,,,,,,Internal identifier,"DataCatalogue,EMA,SharedStaging"
Resources,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA,SharedStaging,CohortStaging,RWEStaging"
Networks,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA"
Models,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA"
Studies,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA"
Organisations,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA,SharedStaging"
Resources,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA,SharedStaging,CohortStaging,RWEStaging"
Networks,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA"
Models,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA"
Studies,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA"
Organisations,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA,SharedStaging"
Resources,,name,text,3,true,,,,,,,Name used in European projects,"DataCatalogue,EMA,SharedStaging,CohortStaging,RWEStaging"
Networks,,name,text,3,true,,,,,,,Name used in European projects,"DataCatalogue,EMA"
Models,,name,text,3,true,,,,,,,Name used in European projects,"DataCatalogue,EMA"
Studies,,name,text,3,true,,,,,,,Name used in European projects,"DataCatalogue,EMA"
Organisations,,name,text,3,true,,,,,,,Name used in European projects,"DataCatalogue,EMA,SharedStaging"
Organisations,,type,ontology_array,,,CatalogueOntologies,Organisation types,,,,,Type of organisation; in which sector is the organisation active?,"DataCatalogue,EMA,SharedStaging"
Organisations,,institution,text,,,,,,,,,"University, company, medical centre or research institutes this organisation is part of","DataCatalogue,EMA,SharedStaging"
Organisations,,institution acronym,string,,,,,,,,,Short name of the organisation,"DataCatalogue,EMA,SharedStaging"
Organisations,,country,ontology_array,,,CatalogueOntologies,Countries,,,,,Country in which the institution head office or coordinating centre is located,"DataCatalogue,EMA,SharedStaging"
Organisations,,features,ontology_array,,,CatalogueOntologies,Organisation features,,,,,Features that describe this organisation,"DataCatalogue,EMA,SharedStaging"
Organisations,,role,ontology_array,,,CatalogueOntologies,Organisation roles,,,,,Roles of the institution in connection with data sources in the catalogue. Select one or more of the following:,"DataCatalogue,EMA,SharedStaging"
Organisations,,leading resources,refback,,,,Resources,,lead organisation,,,"Listing of data sources, cohorts, studies (etc)","DataCatalogue,EMA"
Organisations,,additional resources,refback,,,,Resources,,additional organisations,,,"Listing of data sources, cohorts, studies (etc)","DataCatalogue,EMA"
Networks,,features,ontology_array,,,CatalogueOntologies,Network features,,,,,Characterizations of the network,"DataCatalogue,EMA"
Studies,,type,ontology,,,CatalogueOntologies,Study types,,,,,Select 1 of the following types of study,"DataCatalogue,EMA"
Studies,,type other,,,,,,,,,,"If other, describe the type of study","DataCatalogue,EMA"
Resources,,type,ontology_array,,,CatalogueOntologies,Datasource types,,,,,Which of the following families of databanks best describe this data source,"DataCatalogue,EMA,RWEStaging"
Resources,,type other,text,,,,,,,,,"If other, describe the type of datasource","DataCatalogue,EMA,RWEStaging"
Resources,,website,hyperlink,,,,,,,,,Link to the website or homepage,"DataCatalogue,EMA,CohortStaging,RWEStaging"
Networks,,website,hyperlink,,,,,,,,,Link to the website or homepage,"DataCatalogue,EMA"
Models,,website,hyperlink,,,,,,,,,Link to the website or homepage,"DataCatalogue,EMA"
Studies,,website,hyperlink,,,,,,,,,Link to the website or homepage,"DataCatalogue,EMA"
Organisations,,website,hyperlink,,,,,,,,,Link to the website or homepage,"DataCatalogue,EMA"
Resources,,lead organisation,ref_array,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,"DataCatalogue,EMA"
Studies,,lead organisation,ref_array,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,"DataCatalogue,EMA"
