collection,variable.dataset,variable.name,value,label,order,is missing,ontology term URI,since version,until version
ATHLETE,outcome_ath,rmcmes_,1,Manual,1,false,,1.0.1,
ATHLETE,outcome_ath,rhinitis_sx_ever_,0,No,2,false,,1.0.1,
ATHLETE,outcome_ath,rhinitis_sx_ever_,1,Yes,,false,,1.0.1,
ATHLETE,outcome_ath,rhinitis_sx_12m_,1,Yes,,false,,1.0.1,
ATHLETE,outcome_ath,rhinitis_,0,No,,false,,1.0.1,
ATHLETE,outcome_ath,rmcmes_,2,Semi-automatic,,false,,1.0.1,
ATHLETE,outcome_ath,mets_idefics_,0,Non-MetS,,false,,1.0.1,
ATHLETE,outcome_ath,mets_idefics_,1,Mets,,false,,1.0.1,
ATHLETE,outcome_ath,rhinitis_,1,Yes,,false,,1.0.1,
ATHLETE,outcome_ath,rhinitis_ttt_12m_,0,No,,false,,1.0.1,
ATHLETE,outcome_ath,rhinitis_ttt_12m_,1,Yes,,false,,1.0.1,
ATHLETE,outcome_ath,n_wheezing_12m_,0,None,,false,,1.0.1,
ATHLETE,outcome_ath,n_wheezing_12m_,1,1 to 3,,false,,1.0.1,
ATHLETE,outcome_ath,n_wheezing_12m_,2,4 to 12,,false,,1.0.1,
ATHLETE,outcome_ath,n_wheezing_12m_,3,more than 12,,false,,1.0.1,
ATHLETE,outcome_ath,anR_,1,Yes,,false,,1.0.1,
ATHLETE,outcome_ath,bnR_,0,No,,false,,1.0.1,
ATHLETE,outcome_ath,bnR_,1,Yes,,false,,1.0.1,
ATHLETE,outcome_ath,bedR_,0,No,,false,,1.0.1,
ATHLETE,outcome_ath,bedR_,1,Yes,,false,,1.0.1,
ATHLETE,outcome_ath,edR_eval_,1,Medical registries or medical records linkage,,false,,1.0.1,
ATHLETE,outcome_ath,edR_eval_,2,Parentally reported,,false,,1.0.1,
testNetwork1,cdm_1,testVarCategorical_,1,No,,false,,,
testNetwork1,cdm_1,testVarCategorical_,2,Yes,,false,,,
testNetwork1,cdm_1,testVarCategorical_,0,not available,,true,,,
