collection,dataset,name,useExternalDefinition.collection,useExternalDefinition.dataset,useExternalDefinition.name,label,description,collection event,format,unit,since version,until version,repeat unit,repeat min,repeat max,example values,keywords,vocabularies,notes
ATHLETE,outcome_ath,liver_age_,,,,,,,,,,,,,,,,,
LifeCycle,core,apgar,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,areases_quint_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,areases_quint_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,areases_quint_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,areases_tert_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,areases_tert_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,areases_tert_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,art,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,asthma_adult,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,asthma_bf,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,asthma_m,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bdens100_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bdens100_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bdens100_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bdens300_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bdens300_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bdens300_t,,,,,,,,,1.0.0,,,,,,,,
ATHLETE,outcome_ath,mets_ idefics_,,,,,,,,,,,,,,,,,
LifeCycle,core,birth_head_circum,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,birth_length,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,birth_month,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,birth_weight,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,birth_year,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,blue_dist_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,blue_dist_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,plac_weight,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,blue_dist_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,blue_size_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,blue_size_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,blue_size_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,blueyn300_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ln_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,blueyn300_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,blueyn300_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bn_m_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,breastfed_any,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,breastfed_ever,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,breastfed_excl,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,death_m,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_lines_100_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_lines_100_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_lines_100_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_lines_300_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_lines_300_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_lines_300_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_lines_500_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_lines_500_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_lines_500_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_stops_100_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_stops_100_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_stops_100_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_stops_300_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ln_c_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_stops_300_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_stops_300_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_stops_500_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_stops_500_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,death_m_age,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,bus_stops_500_t,,,,,,,,,1.0.0,,,,,,,,
ATHLETE,outcome_ath,mets_age_,,,,,,,,,,,,,,,,,
LifeCycle,core,cats_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,cats_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,cats_quant_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,cats_quant_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,cer_palsy,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,child_id,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,child_no,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,childcare_,,,,,,,,,1.0.0,,Trimester,0,3,,,,
LifeCycle,core,childcare_intro,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,childcarecentre_,,,,,,,,,1.0.0,,Trimester,0,3,,,,
LifeCycle,core,childcareprof_,,,,,,,,,1.0.0,,Trimester,0,3,,,,
LifeCycle,core,childcarerel_,,,,,,,,,1.0.0,,Trimester,0,3,,,,
LifeCycle,core,cob_m,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,death_p,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,death_p_age,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,fastfood_sch,,,,,,,,,1.0.0,,,,,,,,
