"id","label"
11,"Hematological anomalies or dysfunction"
12,"Immunological anomalies or dysfunction"
13,"Neurological anomalies or dysfunction"
1,"No other diseases"
2,"GU anomalies or dysfunction"
3,"Developmental delay or learning difficulty"
4,"Psychiatric or behavior disorder"
5,"Infection or toxin mediated disease"
6,"GI anomalies or dysfunction"
7,"Musculoskeletal anomalies or dysfunction"
8,"Other craniomaxillofacial anomalies"
9,"Pulmonary anomalies or dysfunction"
10,"Cardiac anomalies or dysfunction"
