"id","label"
"A","Strip craniectomy"
"B","Strip craniectomy and additional craniotomy"
"C","Biparietal outward fracturing"
"D","Fronto-orbital advancement"
"E","Fronto-orbitalbiparietal remodeling"
"F","Fronto-biparietal remodeling"
"G","Fronto-biparieto-occipital remodeling"
"H","Biparietal remodeling"
"I","Biparietal-occipital remodeling"
"J","Posterior vault expansion"
"K","Other vault expansion"
"L","Closure of bone defect"
"M","Extracranial skull correction"
"N","Foramen magnum decompression"
