"id","label","synonyms","description","link","parents"
"ORPHA:108999","Rare disorder due to toxic effects","","","https://identifiers.org/orphanet:108999","ORPHA:377794"
"ORPHA:108997","Rare anemia","","","https://identifiers.org/orphanet:108997","ORPHA:377794,ORPHA:97992"
"ORPHA:108995","Syndromic respiratory or mediastinal malformation","","","https://identifiers.org/orphanet:108995","ORPHA:97962,ORPHA:98045,ORPHA:377794"
"ORPHA:119894","succinate-CoA ligase ADP-forming beta subunit","succinate--CoA ligase (ADP-forming)","","https://identifiers.org/orphanet:119894","ORPHA:410298"
"ORPHA:118561","succinate dehydrogenase complex subunit D","cybS|small subunit of cytochrome b","","https://identifiers.org/orphanet:118561","ORPHA:410298"
"ORPHA:119411","cholinergic receptor nicotinic alpha 1 subunit","acetylcholine receptor, nicotinic, alpha 1 (muscle)","","https://identifiers.org/orphanet:119411","ORPHA:410298"
"ORPHA:119653","amelogenin X-linked","amelogenesis imperfecta 1","","https://identifiers.org/orphanet:119653","ORPHA:410298"
"ORPHA:119892","syntaxin 11","","","https://identifiers.org/orphanet:119892","ORPHA:410298"
"ORPHA:119419","cholinergic receptor nicotinic beta 1 subunit","acetylcholine receptor, nicotinic, beta 1 (muscle)","","https://identifiers.org/orphanet:119419","ORPHA:410298"
"ORPHA:118329","ribonuclease H2 subunit A","RNHL|AGS4|RNHIA|RNASEHI","","https://identifiers.org/orphanet:118329","ORPHA:410298"
"ORPHA:119414","cholinergic receptor nicotinic alpha 4 subunit","acetylcholine receptor, nicotinic, alpha 4 (neuronal)|BFNC","","https://identifiers.org/orphanet:119414","ORPHA:410298"
"ORPHA:118565","Sec23 homolog A, coat complex II component","","","https://identifiers.org/orphanet:118565","ORPHA:410298"
"ORPHA:119657","anti-Mullerian hormone","MIS","","https://identifiers.org/orphanet:119657","ORPHA:410298"
"ORPHA:119899","sulfatase modifying factor 1","FGE|UNQ3037","","https://identifiers.org/orphanet:119899","ORPHA:410298"
"ORPHA:118326","retinaldehyde binding protein 1","CRALBP","","https://identifiers.org/orphanet:118326","ORPHA:410298"
"ORPHA:119896","SUFU negative regulator of hedgehog signaling","SUFUH|SUFUXL|PRO1280","","https://identifiers.org/orphanet:119896","ORPHA:410298"
"ORPHA:118567","SEC63 homolog, protein translocation regulator","PRO2507|SEC63L|ERdj2|DNAJC23","","https://identifiers.org/orphanet:118567","ORPHA:410298"
"ORPHA:108993","Non-syndromic respiratory or mediastinal malformation","","","https://identifiers.org/orphanet:108993","ORPHA:97962,ORPHA:98045,ORPHA:377794,ORPHA:183554"
"ORPHA:108991","Syndrome with a central nervous system malformation as major feature","","","https://identifiers.org/orphanet:108991","ORPHA:98044,ORPHA:377794"
"ORPHA:108989","Non-syndromic central nervous system malformation","","","https://identifiers.org/orphanet:108989","ORPHA:98044,ORPHA:377794"
"ORPHA:119422","cholinergic receptor nicotinic delta subunit","acetylcholine receptor, nicotinic, delta (muscle)","","https://identifiers.org/orphanet:119422","ORPHA:410298"
"ORPHA:120412","uromodulin","Tamm-Horsfall glycoprotein|uromucoid","","https://identifiers.org/orphanet:120412","ORPHA:410298"
"ORPHA:119662","Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1","","","https://identifiers.org/orphanet:119662","ORPHA:410298"
"ORPHA:120414","uridine monophosphate synthetase","orotate phosphoribosyl transferase and orotidine-5'-decarboxylase","","https://identifiers.org/orphanet:120414","ORPHA:410298"
"ORPHA:119660","anti-Mullerian hormone receptor type 2","MISRII|Muellerian inhibiting substance type II receptor|MISR2","","https://identifiers.org/orphanet:119660","ORPHA:410298"
"ORPHA:120416","unc-13 homolog D","Munc13-4","","https://identifiers.org/orphanet:120416","ORPHA:410298"
"ORPHA:119669","solute carrier family 4 member 1 (Diego blood group)","CD233|Swann blood group|WR|Froese blood group|Wright blood group|FR|SW|RTA1A","","https://identifiers.org/orphanet:119669","ORPHA:410298"
"ORPHA:119428","cholinergic receptor nicotinic gamma subunit","acetylcholine receptor, nicotinic, gamma (muscle)","","https://identifiers.org/orphanet:119428","ORPHA:410298"
"ORPHA:118335","ribonuclease H2 subunit B","FLJ11712","","https://identifiers.org/orphanet:118335","ORPHA:410298"
"ORPHA:119425","cholinergic receptor nicotinic epsilon subunit","ACHRE|acetylcholine receptor, nicotinic, epsilon (muscle)","","https://identifiers.org/orphanet:119425","ORPHA:410298"
"ORPHA:119665","solute carrier family 45 member 2","OCA4|AIM-1","","https://identifiers.org/orphanet:119665","ORPHA:410298"
"ORPHA:108979","Syndromic diaphragmatic or abdominal wall malformation","","","https://identifiers.org/orphanet:108979","ORPHA:98043,ORPHA:377794"
"ORPHA:108977","Non-syndromic diaphragmatic or abdominal wall malformation","","","https://identifiers.org/orphanet:108977","ORPHA:98043,ORPHA:377794"
"ORPHA:108973","Syndromic visceral malformation","","","https://identifiers.org/orphanet:108973","ORPHA:98041,ORPHA:377794,ORPHA:183548"
"ORPHA:120421","uracil DNA glycosylase","UNG1|UNG2|HIGM4|UDG|uracil-DNA glycosylase 1, uracil-DNA glycosylase 2","","https://identifiers.org/orphanet:120421","ORPHA:410298"
"ORPHA:118344","ribonuclease L","","","https://identifiers.org/orphanet:118344","ORPHA:410298"
"ORPHA:119431","carbohydrate sulfotransferase 3","C6ST|chondroitin 6 sulfotransferase 1|C6ST1","","https://identifiers.org/orphanet:119431","ORPHA:410298"
"ORPHA:120426","beta-ureidopropionase 1","BUP1","","https://identifiers.org/orphanet:120426","ORPHA:410298"
