"id","name","acronym","description","url","country"
"bbmri-eric:ID:FR_BB-0033-00012","Myobank-AFM de l'Institut de Myologie","Myobank-AFM","Myobank-AFM Institut de Myologie is a non-profit  bank of tissue acting to the exclusive scope of scientific research  while  respecting  the fundamental  rights  of individuals. Il was created  in 1996  by the AFM in order to allow scientific research teams to work directly on human tissue. This bank is nowa service of the ""Association  Institut de Myologie"" (AIM). Myobank  - AFM is located within the ""Plate-Forme  Commun de Ressources  Biologiques"" of the Pitie-Salpetriere  Hospital in Paris (75013).Ils  goal   is  to  faveur   the  development   and   achievement   of  treatments   for   people   affected   with neuromuscular diseases through collecting and distributing human tissue.Myobank-AFM is useful to the French and foreign scientific community researching  in the field of neuromuscular diseases. On request from research  teams the bank ensures the collecting, preservation, storage,  distribution  or  hosting  of  the  collections   mainly  in  the  field  of  neuromuscular   or  connected diseases","http://www.institut-myologie.org","FR"
"bbmri-eric:ID:FR_BB-0033-00011","GIE-Neuro-CEB","Neuro-CEB","Created in 2006, the GIE Neuro-CEB biobank collects, stores and distributes post mortem human brain samples from patients with neurological disorders or without these diseases (controls).","http://www.neuroceb.org","FR"
"bbmri-eric:ID:FR_BB-0033-00010","Banque ADN et de cellules - Genethon","BACG","Since its creation in 1990, the goal of the Genethon DNA and Cell Bank has been to encourage advances in research in genetics by placing the high quality services of a cell and human material bank at the disposal of the scientific community.The objective of the DNA and Cell Bank at Genethon has always been to store the memory of genetic - mainly neuromuscular - diseases and to provide the human material necessary for the work of research teams, regardless of the pathology. It functions as a service provider for the scientific and medical community as a whole. The Bank collects blood samples that originate from sample collection campaigns run by research teams, biologists and geneticists in France and abroad. The management and traceability of the samples (processing, storage, distribution and partnerships) are provided by the database known as 'Stocky' - specially developed at Genethon for the DNA Bank.The activities of the DNA and Cell Bank are as follows: oCollecting blood or DNA from patients affected with genetic diseases and their families with the minimum identification data necessary for the monitoring and follow-up of samples. oProcessing the samples in order to make them available to the scientific community and perpetuating DNA preservation (serum isolation and DNA extraction), isolating lymphocytes and establishing lymphoblastoid B lines and primary cultures (myoblasts and fibroblasts). oStoring samples for future research and preserving the genetic heritage by ensuring the long-term physical security of the preserved samples. oDistributing samples as necessary for ongoing research while complying with the principles and laws of bioethics and using the best available technologies at minimum cost. All these activities are carried out following Standard Operating Procedures (SOP) validated by the Quality Assurance department at Genethon.The Bank's activity is exclusively one of research, not of diagnosis.","http://www.genethon.fr/rd/banque-dadn-et-de-cellules/","FR"
"bbmri-eric:contactID:UK_GBR-1-191","Watch and Wait Trial","","Watch and Wait is a randomised phase III trial to determine whether initial treatment with rituximab in patients with advanced stage asymptomatic follicular lymphoma  (grades 1, 2 and 3a) results in a significant delay in the initiation of chemotherapy or radiotherapy and the impact of each strategy on patient-related quality of life.    360 patients randomised to receive either Rituximab treatment and maintenance or to a Watch and Wait strategy.    Samples collected for trial: Formalin fixed paraffin embedded tumour block or unstained slides (lymph node and bone marrow)- sent to HMDS.  Blood and bone marrow sample taken at baseline and if patient in CR clinically and radiologically at 7, 13 and 25 months - sent to University College London Hospital","","UK"
"bbmri-eric:contactID:UK_GBR-1-190","RATHL Trial","","RATHL is a multicentre, randomised, phase III trial comparing treatment outcome for patients with advanced Hodgkin lymphoma, using FDG-PET imaging after 2 cycles of ABVD to determine response and subsequent management.    Recruitment target: 1200 patients    Patients received 2 cycles of ABVD and then had a PET-CT scan.    PET negative patients were randomised to either ABVD or AVD for a further 4 cycles.  PET positive patients received either BEACOPP-14, for 4-6 cycles or BEACOPP escalated, for 3-4 cycles.    Samples collected for trial:  Formalin fixed paraffin embedded tumour block - sent to HMDS, Leeds.  Blood sample to be analysed at site.  Blood sample - sent to Simpson Centre for Reproductive Health, Edinburgh.","","UK"
"bbmri-eric:ID:FR_BB-0033-00016","CRB de l'Institut Jerome Lejeune","CRB-BioJel","CRB BioJel collects and stores samples of patients with genetic intellectual disabilities. The majority of the samples come from patients followed in consultation at the Institut Jerome Lejeune. In addition to making these samples available, the CRB BioJeL offers its technical platform:
- To meet specific needs of external research centers
- To take samples from patients not usually followed at the consultation of the Jerome Lejeune Institute","http://www.crb-institutlejeune.com","FR"
"bbmri-eric:ID:FR_BB-0033-00015","Tumorotheque CLCC Paul Strauss","-","The Center Paul Strauss is an Health Establishment of Private Collective Interest wich provides 3 missions or f health service in oncology: care, research and education.
Paul Strauss establishment is a center of expertise, remedy and innovation in oncology. It belongs to UNICANCER group, gathering 20 centers of fight against cancer distributed at national level.","http://www.centre-paul-strauss.fr/recherche/tumorotheque","FR"
"bbmri-eric:ID:FR_BB-0033-00014","Biobanque CHU de Toulouse","","Since its creation in 2002, the biobank of Toulouse Hospital (BkT), led to its missions, mostly in research projects. The BkT followed the guideline of good practical and recommendations of INCa.The BkT has organized the collection, the freezing and the storage of human biological samples from which were prepared nucleic acid derivatives by standard procedures and technique.","https://www.iuct-oncopole.fr/le-centre-de-ressources-biologiques","FR"
"bbmri-eric:ID:FR_BB-0033-00013","GIS-CRB","-","The Scientific Interest Group Centre de Ressources Biologiques de Touraine (GIS CRBT) was officially created in 2004, by the signature of a contract between the six members (detailed in Document 1).Several scientific themes were chosen (though they are not restrictive): Oncology (including Molecular and functional markers, Biotherapies and Pharmacogenetics of monoclonal antibodies), Nutrition and Metabolism, Infectiology and Vascular Pathologies.The type of scientific activity in which the CRB of Tours is involved depends on the services that solicit the CRB's help in constituting and conserving collections, mainly in the case of clinical research trials (total of 77 studies in 2010). The most frequently represented domains are Rheumatology, Oncology and Hepato-gastro-enterology.In the last five years, most of the collections have been in the constitution phase, not yet in the analytical phase. However, some collections have been analysed and the results seem interesting. This is the case for the following studies:-the FAKIR study promoted by the CHRU of Tours: Variability of the pharmacokinetics and the pharmacokinetics-pharmacodynamics relationship of infliximab in rheumatoid polyarthritis : this study involved a clinical service (the Rheumatology service) and a research team (the GICC : Genetique Immunotherapie Chimie et Cancer)-the PEPIT study promoted by the CHRU of Tours : Study protocole of the passage of immunoglobulins transplacentally : this study involved a clinical service (the Rheumatology service) and a research team (the GICC)-the STORI study promoted by the GETAID (Groupe d'Etudes Therapeutiques des Affections Inflammatoires du tube Digestif) : Prospective study of the predictive factors of remission maintenance in Crohn's disease after stopping the infliximab treatmentIn 2010, new clinical services have started to call upon the competencies of the CRB so we should be able to extend our scientific activity to the domains of Cardiology and Pneumology.","https://www.chu-tours.fr/presentation-du-crb-de-touraine.html","FR"
"bbmri-eric:contactID:UK_GBR-1-197","Apheresis MNC Collection","","A cell bank of allogeneic γδ T cells required to ensure that an adequate supply of γδ T cells is available for research and development purposes as well as to conduct future clinical trials using γδ T cells (unmodified or modified) as IMP.","","UK"
