tableName,tableType,semantics
AgeGroups,ONTOLOGIES,http://purl.obolibrary.org/obo/NCIT_C20587
AnalysesPerformed,ONTOLOGIES,http://edamontology.org/topic_0003
Ancestry,ONTOLOGIES,http://purl.obolibrary.org/obo/HANCESTRO_0004
Countries,ONTOLOGIES,http://purl.obolibrary.org/obo/GENEPIO_0001830
DCMITypes,ONTOLOGIES,http://purl.org/dc/terms/DCMIType
DiseaseStage,ONTOLOGIES,http://purl.obolibrary.org/obo/OBI_0000278
Diseases,ONTOLOGIES,http://edamontology.org/data_2800
GenderAtBirth,ONTOLOGIES,http://purl.obolibrary.org/obo/GSSO_009418
Languages,ONTOLOGIES,http://lexvo.org/ontology#Language
LibrarySource,ONTOLOGIES,http://purl.obolibrary.org/obo/GENEPIO_0001965
ObtentionProcedure,ONTOLOGIES,http://purl.obolibrary.org/obo/OBI_0000659
PathologicalState,ONTOLOGIES,http://purl.obolibrary.org/obo/NCIT_C164617
SampleOriginType,ONTOLOGIES,http://semanticscience.org/resource/SIO_001262
SequencingInstrumentModels,ONTOLOGIES,http://purl.obolibrary.org/obo/GENEPIO_0001921
StudyDesign,ONTOLOGIES,http://purl.obolibrary.org/obo/OBI_0500000
Units,ONTOLOGIES,http://purl.obolibrary.org/obo/NCIT_C25709
VariationCategory,ONTOLOGIES,http://purl.obolibrary.org/obo/NCIT_C25372
Genes,ONTOLOGIES,http://edamontology.org/data_2298
Phenotypes,ONTOLOGIES,https://www.wikidata.org/wiki/Property:P3841
Severity,ONTOLOGIES,http://purl.obolibrary.org/obo/HP_0012824
FileFormats,ONTOLOGIES,http://edamontology.org/format_1915
ClusterJobStatus,ONTOLOGIES,http://purl.obolibrary.org/obo/NCIT_C25688
