name,definition,codesystem,code,ontologyTermURI
xsd,xsd,EDAM,format_3804,http://edamontology.org/format_3804
XMFA,XMFA,EDAM,format_3811,http://edamontology.org/format_3811
GEN,GEN,EDAM,format_3812,http://edamontology.org/format_3812
SAMPLE file format,SAMPLE file format,EDAM,format_3813,http://edamontology.org/format_3813
SDF,SDF,EDAM,format_3814,http://edamontology.org/format_3814
Molfile,Molfile,EDAM,format_3815,http://edamontology.org/format_3815
Mol2,Mol2,EDAM,format_3816,http://edamontology.org/format_3816
latex,latex,EDAM,format_3817,http://edamontology.org/format_3817
ELAND format,ELAND format,EDAM,format_3818,http://edamontology.org/format_3818
Relaxed PHYLIP Interleaved,Relaxed PHYLIP Interleaved,EDAM,format_3819,http://edamontology.org/format_3819
Relaxed PHYLIP Sequential,Relaxed PHYLIP Sequential,EDAM,format_3820,http://edamontology.org/format_3820
VisML,VisML,EDAM,format_3821,http://edamontology.org/format_3821
GML,GML,EDAM,format_3822,http://edamontology.org/format_3822
FASTG,FASTG,EDAM,format_3823,http://edamontology.org/format_3823
Raw NMR data format,Raw NMR data format,EDAM,format_3824,http://edamontology.org/format_3824
nmrML,nmrML,EDAM,format_3825,http://edamontology.org/format_3825
proBAM,proBAM,EDAM,format_3826,http://edamontology.org/format_3826
proBED,proBED,EDAM,format_3827,http://edamontology.org/format_3827
Raw microarray data format,Raw microarray data format,EDAM,format_3828,http://edamontology.org/format_3828
GPR,GPR,EDAM,format_3829,http://edamontology.org/format_3829
ARB,ARB,EDAM,format_3830,http://edamontology.org/format_3830
consensusXML,consensusXML,EDAM,format_3832,http://edamontology.org/format_3832
featureXML,featureXML,EDAM,format_3833,http://edamontology.org/format_3833
mzData,mzData,EDAM,format_3834,http://edamontology.org/format_3834
TIDE TXT,TIDE TXT,EDAM,format_3835,http://edamontology.org/format_3835
BLAST XML v2 results format,BLAST XML v2 results format,EDAM,format_3836,http://edamontology.org/format_3836
pptx,pptx,EDAM,format_3838,http://edamontology.org/format_3838
ibd,ibd,EDAM,format_3839,http://edamontology.org/format_3839
SMILES,SMILES,EDAM,format_1196,http://edamontology.org/format_1196
InChI,InChI,EDAM,format_1197,http://edamontology.org/format_1197
mf,mf,EDAM,format_1198,http://edamontology.org/format_1198
InChIKey,InChIKey,EDAM,format_1199,http://edamontology.org/format_1199
smarts,smarts,EDAM,format_1200,http://edamontology.org/format_1200
unambiguous pure,unambiguous pure,EDAM,format_1206,http://edamontology.org/format_1206
nucleotide,nucleotide,EDAM,format_1207,http://edamontology.org/format_1207
protein,protein,EDAM,format_1208,http://edamontology.org/format_1208
consensus,consensus,EDAM,format_1209,http://edamontology.org/format_1209
pure nucleotide,pure nucleotide,EDAM,format_1210,http://edamontology.org/format_1210
unambiguous pure nucleotide,unambiguous pure nucleotide,EDAM,format_1211,http://edamontology.org/format_1211
dna,dna,EDAM,format_1212,http://edamontology.org/format_1212
rna,rna,EDAM,format_1213,http://edamontology.org/format_1213
unambiguous pure dna,unambiguous pure dna,EDAM,format_1214,http://edamontology.org/format_1214
pure dna,pure dna,EDAM,format_1215,http://edamontology.org/format_1215
unambiguous pure rna sequence,unambiguous pure rna sequence,EDAM,format_1216,http://edamontology.org/format_1216
pure rna,pure rna,EDAM,format_1217,http://edamontology.org/format_1217
unambiguous pure protein,unambiguous pure protein,EDAM,format_1218,http://edamontology.org/format_1218
pure protein,pure protein,EDAM,format_1219,http://edamontology.org/format_1219
EMBL feature location,EMBL feature location,EDAM,format_1248,http://edamontology.org/format_1248
quicktandem,quicktandem,EDAM,format_1295,http://edamontology.org/format_1295
Sanger inverted repeats,Sanger inverted repeats,EDAM,format_1296,http://edamontology.org/format_1296
EMBOSS repeat,EMBOSS repeat,EDAM,format_1297,http://edamontology.org/format_1297
est2genome format,est2genome format,EDAM,format_1316,http://edamontology.org/format_1316
restrict format,restrict format,EDAM,format_1318,http://edamontology.org/format_1318
restover format,restover format,EDAM,format_1319,http://edamontology.org/format_1319
REBASE restriction sites,REBASE restriction sites,EDAM,format_1320,http://edamontology.org/format_1320
FASTA search results format,FASTA search results format,EDAM,format_1332,http://edamontology.org/format_1332
BLAST results,BLAST results,EDAM,format_1333,http://edamontology.org/format_1333
mspcrunch,mspcrunch,EDAM,format_1334,http://edamontology.org/format_1334
Smith-Waterman format,Smith-Waterman format,EDAM,format_1335,http://edamontology.org/format_1335
dhf,dhf,EDAM,format_1336,http://edamontology.org/format_1336
lhf,lhf,EDAM,format_1337,http://edamontology.org/format_1337
InterPro hits format,InterPro hits format,EDAM,format_1341,http://edamontology.org/format_1341
InterPro protein view report format,InterPro protein view report format,EDAM,format_1342,http://edamontology.org/format_1342
InterPro match table format,InterPro match table format,EDAM,format_1343,http://edamontology.org/format_1343
HMMER Dirichlet prior,HMMER Dirichlet prior,EDAM,format_1349,http://edamontology.org/format_1349
MEME Dirichlet prior,MEME Dirichlet prior,EDAM,format_1350,http://edamontology.org/format_1350
HMMER emission and transition,HMMER emission and transition,EDAM,format_1351,http://edamontology.org/format_1351
prosite-pattern,prosite-pattern,EDAM,format_1356,http://edamontology.org/format_1356
EMBOSS sequence pattern,EMBOSS sequence pattern,EDAM,format_1357,http://edamontology.org/format_1357
meme-motif,meme-motif,EDAM,format_1360,http://edamontology.org/format_1360
prosite-profile,prosite-profile,EDAM,format_1366,http://edamontology.org/format_1366
JASPAR format,JASPAR format,EDAM,format_1367,http://edamontology.org/format_1367
MEME background Markov model,MEME background Markov model,EDAM,format_1369,http://edamontology.org/format_1369
HMMER format,HMMER format,EDAM,format_1370,http://edamontology.org/format_1370
HMMER-aln,HMMER-aln,EDAM,format_1391,http://edamontology.org/format_1391
DIALIGN format,DIALIGN format,EDAM,format_1392,http://edamontology.org/format_1392
daf,daf,EDAM,format_1393,http://edamontology.org/format_1393
Sequence-MEME profile alignment,Sequence-MEME profile alignment,EDAM,format_1419,http://edamontology.org/format_1419
HMMER profile alignment (sequences versus HMMs),HMMER profile alignment (sequences versus HMMs),EDAM,format_1421,http://edamontology.org/format_1421
HMMER profile alignment (HMM versus sequences),HMMER profile alignment (HMM versus sequences),EDAM,format_1422,http://edamontology.org/format_1422
Phylip distance matrix,Phylip distance matrix,EDAM,format_1423,http://edamontology.org/format_1423
ClustalW dendrogram,ClustalW dendrogram,EDAM,format_1424,http://edamontology.org/format_1424
Phylip tree raw,Phylip tree raw,EDAM,format_1425,http://edamontology.org/format_1425
Phylip continuous quantitative characters,Phylip continuous quantitative characters,EDAM,format_1430,http://edamontology.org/format_1430
Phylip character frequencies format,Phylip character frequencies format,EDAM,format_1432,http://edamontology.org/format_1432
Phylip discrete states format,Phylip discrete states format,EDAM,format_1433,http://edamontology.org/format_1433
Phylip cliques format,Phylip cliques format,EDAM,format_1434,http://edamontology.org/format_1434
Phylip tree format,Phylip tree format,EDAM,format_1435,http://edamontology.org/format_1435
TreeBASE format,TreeBASE format,EDAM,format_1436,http://edamontology.org/format_1436
TreeFam format,TreeFam format,EDAM,format_1437,http://edamontology.org/format_1437
Phylip tree distance format,Phylip tree distance format,EDAM,format_1445,http://edamontology.org/format_1445
dssp,dssp,EDAM,format_1454,http://edamontology.org/format_1454
hssp,hssp,EDAM,format_1455,http://edamontology.org/format_1455
Dot-bracket format,Dot-bracket format,EDAM,format_1457,http://edamontology.org/format_1457
Vienna local RNA secondary structure format,Vienna local RNA secondary structure format,EDAM,format_1458,http://edamontology.org/format_1458
PDB database entry format,PDB database entry format,EDAM,format_1475,http://edamontology.org/format_1475
PDB,PDB,EDAM,format_1476,http://edamontology.org/format_1476
mmCIF,mmCIF,EDAM,format_1477,http://edamontology.org/format_1477
aaindex,aaindex,EDAM,format_1504,http://edamontology.org/format_1504
Pcons report format,Pcons report format,EDAM,format_1551,http://edamontology.org/format_1551
ProQ report format,ProQ report format,EDAM,format_1552,http://edamontology.org/format_1552
findkm,findkm,EDAM,format_1582,http://edamontology.org/format_1582
Primer3 primer,Primer3 primer,EDAM,format_1627,http://edamontology.org/format_1627
ABI,ABI,EDAM,format_1628,http://edamontology.org/format_1628
mira,mira,EDAM,format_1629,http://edamontology.org/format_1629
CAF,CAF,EDAM,format_1630,http://edamontology.org/format_1630
EXP,EXP,EDAM,format_1631,http://edamontology.org/format_1631
SCF,SCF,EDAM,format_1632,http://edamontology.org/format_1632
PHD,PHD,EDAM,format_1633,http://edamontology.org/format_1633
dat,dat,EDAM,format_1637,http://edamontology.org/format_1637
cel,cel,EDAM,format_1638,http://edamontology.org/format_1638
affymetrix,affymetrix,EDAM,format_1639,http://edamontology.org/format_1639
affymetrix-exp,affymetrix-exp,EDAM,format_1641,http://edamontology.org/format_1641
CHP,CHP,EDAM,format_1644,http://edamontology.org/format_1644
HET group dictionary entry format,HET group dictionary entry format,EDAM,format_1705,http://edamontology.org/format_1705
PubMed citation,PubMed citation,EDAM,format_1734,http://edamontology.org/format_1734
Medline Display Format,Medline Display Format,EDAM,format_1735,http://edamontology.org/format_1735
CiteXplore-core,CiteXplore-core,EDAM,format_1736,http://edamontology.org/format_1736
CiteXplore-all,CiteXplore-all,EDAM,format_1737,http://edamontology.org/format_1737
pmc,pmc,EDAM,format_1739,http://edamontology.org/format_1739
iHOP format,iHOP format,EDAM,format_1740,http://edamontology.org/format_1740
OSCAR format,OSCAR format,EDAM,format_1741,http://edamontology.org/format_1741
PlasMapper TextMap,PlasMapper TextMap,EDAM,format_1861,http://edamontology.org/format_1861
newick,newick,EDAM,format_1910,http://edamontology.org/format_1910
TreeCon format,TreeCon format,EDAM,format_1911,http://edamontology.org/format_1911
Format,Format,EDAM,format_1915,http://edamontology.org/format_1915
Sequence record format,Sequence record format,EDAM,format_1919,http://edamontology.org/format_1919
Sequence feature annotation format,Sequence feature annotation format,EDAM,format_1920,http://edamontology.org/format_1920
acedb,acedb,EDAM,format_1923,http://edamontology.org/format_1923
codata,codata,EDAM,format_1925,http://edamontology.org/format_1925
dbid,dbid,EDAM,format_1926,http://edamontology.org/format_1926
EMBL format,EMBL format,EDAM,format_1927,http://edamontology.org/format_1927
Staden experiment format,Staden experiment format,EDAM,format_1928,http://edamontology.org/format_1928
FASTA,FASTA,EDAM,format_1929,http://edamontology.org/format_1929
FASTA format,FASTA format,EDAM,format_1929,http://edamontology.org/format_1929
FASTQ-illumina,FASTQ-illumina,EDAM,format_1931,http://edamontology.org/format_1931
FASTQ-sanger,FASTQ-sanger,EDAM,format_1932,http://edamontology.org/format_1932
FASTQ-solexa,FASTQ-solexa,EDAM,format_1933,http://edamontology.org/format_1933
fitch program,fitch program,EDAM,format_1934,http://edamontology.org/format_1934
GCG,GCG,EDAM,format_1935,http://edamontology.org/format_1935
GenBank format,GenBank format,EDAM,format_1936,http://edamontology.org/format_1936
genpept,genpept,EDAM,format_1937,http://edamontology.org/format_1937
GFF2-seq,GFF2-seq,EDAM,format_1938,http://edamontology.org/format_1938
GFF3-seq,GFF3-seq,EDAM,format_1939,http://edamontology.org/format_1939
giFASTA format,giFASTA format,EDAM,format_1940,http://edamontology.org/format_1940
hennig86,hennig86,EDAM,format_1941,http://edamontology.org/format_1941
ig,ig,EDAM,format_1942,http://edamontology.org/format_1942
igstrict,igstrict,EDAM,format_1943,http://edamontology.org/format_1943
jackknifer,jackknifer,EDAM,format_1944,http://edamontology.org/format_1944
mase format,mase format,EDAM,format_1945,http://edamontology.org/format_1945
mega-seq,mega-seq,EDAM,format_1946,http://edamontology.org/format_1946
GCG MSF,GCG MSF,EDAM,format_1947,http://edamontology.org/format_1947
