name,label,codesystem,code,definition
All,All,HPO,HP_0000001,Root of all terms in the Human Phenotype Ontology.
Abnormality of body height,Abnormality of body height,HPO,HP_0000002,Deviation from the norm of height with respect to that which is expected according to age and gender norms.
Multicystic kidney dysplasia,Multicystic kidney dysplasia,HPO,HP_0000003,"Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.|Multicystic kidney dysplasia is the result of abnormal fetal renal development in which the affected kidney is replaced by multiple cysts and has little or no residual function. The vast majority of multicystic kidneys are unilateral. Multicystic kidney can be diagnosed on prenatal ultrasound."
HP_0000004,HP_0000004,HPO,HP_0000004,
Mode of inheritance,Mode of inheritance,HPO,HP_0000005,The pattern in which a particular genetic trait or disorder is passed from one generation to the next.
Autosomal dominant inheritance,Autosomal dominant inheritance,HPO,HP_0000006,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele."
Autosomal recessive inheritance,Autosomal recessive inheritance,HPO,HP_0000007,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele)."
Abnormal morphology of female internal genitalia,Abnormal morphology of female internal genitalia,HPO,HP_0000008,An abnormality of the female internal genitalia.
Functional abnormality of the bladder,Functional abnormality of the bladder,HPO,HP_0000009,Dysfunction of the urinary bladder.
Recurrent urinary tract infections,Recurrent urinary tract infections,HPO,HP_0000010,"Repeated infections of the urinary tract.|The urinary tract comprises the kidneys, ureters, a bladder, and a urethra."
Neurogenic bladder,Neurogenic bladder,HPO,HP_0000011,"A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention.|Neurogenic bladder sphincter dysfunction (NBSD) can develop as a result of a lesion at any level in the nervous system, including the cerebral cortex, spinal cord, or peripheral nervous system. Neurologic conditions in children leading to neurogenic bladder dysfunction are predominantly congenital neural tube defects (including myelomeningocele, lipomeningocele, sacral agenesis, and occult lesions causing tethered cord). Acquired causes such as spinal cord tumors or trauma or sequelae of transverse myelitis are less frequent. Whereas from an etiologic standpoint neurogenic bladder dysfunction is a heterogeneous group, medical management will be similar irrespective of the underlying cause."
Urinary urgency,Urinary urgency,HPO,HP_0000012,"Urge incontinence is the strong, sudden need to urinate.|Urinary urgency is the strong, sudden need to urinate and is usually due to bladder spasms or contractions. This symptom is suggestive of, but not necessarily conclusive for urodynamically demonstrable detrusor hyperactivity."
Hypoplasia of the uterus,Hypoplasia of the uterus,HPO,HP_0000013,Underdevelopment of the uterus.
Abnormality of the bladder,Abnormality of the bladder,HPO,HP_0000014,An abnormality of the urinary bladder.
Bladder diverticulum,Bladder diverticulum,HPO,HP_0000015,Diverticulum (sac or pouch) in the wall of the urinary bladder.
Urinary retention,Urinary retention,HPO,HP_0000016,Inability to completely empty the urinary bladder during the process of urination.|Urinary retention is the inability of the urinary bladder to empty. The cause may be neurologic or nonneurologic.
Nocturia,Nocturia,HPO,HP_0000017,Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.|Often occuring as a result of heart insufficiency.
HP_0000018,HP_0000018,HPO,HP_0000018,
Urinary hesitancy,Urinary hesitancy,HPO,HP_0000019,Difficulty in beginning the process of urination.
Urinary incontinence,Urinary incontinence,HPO,HP_0000020,Loss of the ability to control the urinary bladder leading to involuntary urination.|Urinary incontinence can be defined as the complaint of any involuntary leakage of urine.
Megacystis,Megacystis,HPO,HP_0000021,Dilatation of the bladder postnatally.
Abnormality of male internal genitalia,Abnormality of male internal genitalia,HPO,HP_0000022,"An abnormality of the male internal genitalia.|The internal genital structures of the male including the testis, epididymis, vas deferens, seminal vesicle, ejaculatory duct, bulbourethral gland, and the prostate."
Inguinal hernia,Inguinal hernia,HPO,HP_0000023,Protrusion of the contents of the abdominal cavity through the inguinal canal.|Inguinal hernia appears as a bulge in the groin.
Prostatitis,Prostatitis,HPO,HP_0000024,The presence of inflammation of the prostate.
Functional abnormality of male internal genitalia,Functional abnormality of male internal genitalia,HPO,HP_0000025,
Male hypogonadism,Male hypogonadism,HPO,HP_0000026,"Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis."
Azoospermia,Azoospermia,HPO,HP_0000027,Absence of any measurable level of sperm in his semen.
Cryptorchidism,Cryptorchidism,HPO,HP_0000028,"Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.|The gonad is mobile and can be retracted superiorly by the cremaster muscle reflex stimulated, for instance, by cold or touch. A retracted testis is not cryptorchidism. An abdominal testis cannot be distinguished by physical examination from an (Apparently) absent testis and requires radiological (or, rarely, surgical) procedures for assessment."
Testicular atrophy,Testicular atrophy,HPO,HP_0000029,Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.
Testicular gonadoblastoma,Testicular gonadoblastoma,HPO,HP_0000030,The presence of a gonadoblastoma of the testis.
Epididymitis,Epididymitis,HPO,HP_0000031,The presence of inflammation of the epididymis.
Abnormality of male external genitalia,Abnormality of male external genitalia,HPO,HP_0000032,An abnormality of male external genitalia.
"Ambiguous genitalia, male","Ambiguous genitalia, male",HPO,HP_0000033,Ambiguous genitalia in an individual with XY genetic gender.
Hydrocele testis,Hydrocele testis,HPO,HP_0000034,Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.
Abnormal testis morphology,Abnormal testis morphology,HPO,HP_0000035,An anomaly of the testicle (the male gonad).
Abnormality of the penis,Abnormality of the penis,HPO,HP_0000036,
Male pseudohermaphroditism,Male pseudohermaphroditism,HPO,HP_0000037,"Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes."
HP_0000038,HP_0000038,HPO,HP_0000038,
Epispadias,Epispadias,HPO,HP_0000039,"Displacement of the urethral opening on the dorsal (superior) surface of the penis.|Epispadias may be present in a phenotypic male, female, or an individual with ambiguous genitalia. A meatus in a phenotypic male may be positioned either on the glans (glandular or balanic epispadias), the shaft (penile epispadias) or at the attachment of the penis to the abdominal wall (penopubic epispadias). Alternatively, the urethra may be an open groove along the dorsal shaft of the penis, with no readily recognized meatus. Epispadias is a frequent component of Bladder exstrophy, but should be coded separately."
Long penis,Long penis,HPO,HP_0000040,"Penile length more than 2 SD above the mean for age.|Penile length is the distance between the midline attachment of the gently stretched, flaccid penis above the pubic symphysis and tip of the glans."
