name,label,codesystem,definition,ontologyTermURI
BLOOD,Blood,MIABIS-2.0-17,Blood that has not been separated into its various components; blood that has not been modified except for the addition of an anticoagulant.,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
DNA,DNA,MIABIS-2.0-17,A long linear double-stranded polymer formed from nucleotides attached to a deoxyribose backbone and found in the nucleus of a cell; associated with the transmission of genetic information.,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
FAECES,Faeces,MIABIS-2.0-17,"The material discharged from the bowel during defecation. It consists of undigested food, intestinal mucus, epithelial cells, and bacteria.",https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
IMMORTALIZED CELL LINES,Immortalized Cell Lines,MIABIS-2.0-17,"Cells of a single type (human, animal, or plant) that have been adapted to grow continuously in the laboratory and are used in research.",https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
ISOLATED PATHOGEN,Isolated Pathogen,MIABIS-2.0-17,"An isolated biological agent causing disease; a disease producer e.g. virus, bacterium, prion, other microorganism etc.",https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
OTHER,Other,MIABIS-2.0-17,"Any other type of material taken from a biological entity, e.g. amniotic fluid, cerebrospinal fluid (CSV), mitochondrial RNA.",https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
PLASMA,Plasma,MIABIS-2.0-17,"Plasma is the fluid (acellular) portion of the circulating blood, as distinguished from the serum that is the fluid portion of the blood obtained by removal of the fibrin clot and blood cells after coagulation.",https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
RNA,RNA,MIABIS-2.0-17,"One of two types of nucleic acid made by cells. RNA contains information that has been copied from DNA (the other type of nucleic acid). Cells make several different forms of RNA, and each form has a specific job in the cell. Many forms of RNA have functions related to making proteins. RNA is also the genetic material of some viruses instead of DNA. RNA can be made in the laboratory and used in research studies. Also called ribonucleic acid.",https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
SALIVA,Saliva,MIABIS-2.0-17,A clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches.,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
SERUM,Serum,MIABIS-2.0-17,The clear portion of the blood that remains after the removal of the blood cells and the clotting proteins.,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
TISSUE (FFPE),Tissue (FFPE),MIABIS-2.0-17,"Tissue, formalin fixated and paraffin preserved or equivalent.",https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
TISSUE (FROZEN),Tissue (Frozen),MIABIS-2.0-17,"An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.",https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
URINE,Urine,MIABIS-2.0-17,The fluid that is excreted by the kidneys. It is stored in the bladder and discharged through the urethra.,https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#material-type
