name,label,codesystem,code,ontologyTermURI,isDuplicate
"1,4-alpha-glucan branching enzyme 1","1,4-alpha-glucan branching enzyme 1",Orphanet,ORDO_122043,http://www.orpha.net/ORDO/Orphanet_122043,0
1-5 / 10 000,1-5 / 10 000,Orphanet,ORDO_409975,http://www.orpha.net/ORDO/Orphanet_409975,0
1-9 / 1 000 000,1-9 / 1 000 000,Orphanet,ORDO_409976,http://www.orpha.net/ORDO/Orphanet_409976,0
1-9 / 100 000,1-9 / 100 000,Orphanet,ORDO_409977,http://www.orpha.net/ORDO/Orphanet_409977,0
1-acylglycerol-3-phosphate O-acyltransferase 2,1-acylglycerol-3-phosphate O-acyltransferase 2,Orphanet,ORDO_119525,http://www.orpha.net/ORDO/Orphanet_119525,0
10q22.3q23.3 microdeletion syndrome,10q22.3q23.3 microdeletion syndrome,Orphanet,ORDO_276413,http://www.orpha.net/ORDO/Orphanet_276413,0
10q22.3q23.3 microduplication syndrome,10q22.3q23.3 microduplication syndrome,Orphanet,ORDO_276422,http://www.orpha.net/ORDO/Orphanet_276422,0
11p15.4 microduplication syndrome,11p15.4 microduplication syndrome,Orphanet,ORDO_300305,http://www.orpha.net/ORDO/Orphanet_300305,0
11q22.2q22.3 microdeletion syndrome,11q22.2q22.3 microdeletion syndrome,Orphanet,ORDO_444002,http://www.orpha.net/ORDO/Orphanet_444002,0
12p12.1 microdeletion syndrome,12p12.1 microdeletion syndrome,Orphanet,ORDO_313884,http://www.orpha.net/ORDO/Orphanet_313884,0
12q14 microdeletion syndrome,12q14 microdeletion syndrome,Orphanet,ORDO_94063,http://www.orpha.net/ORDO/Orphanet_94063,0
12q15q21.1 microdeletion syndrome,12q15q21.1 microdeletion syndrome,Orphanet,ORDO_289513,http://www.orpha.net/ORDO/Orphanet_289513,0
13q12.3 microdeletion syndrome,13q12.3 microdeletion syndrome,Orphanet,ORDO_412035,http://www.orpha.net/ORDO/Orphanet_412035,0
14q11.2 microdeletion syndrome,14q11.2 microdeletion syndrome,Orphanet,ORDO_261120,http://www.orpha.net/ORDO/Orphanet_261120,0
14q11.2 microduplication syndrome,14q11.2 microduplication syndrome,Orphanet,ORDO_261229,http://www.orpha.net/ORDO/Orphanet_261229,0
14q12 microdeletion syndrome,14q12 microdeletion syndrome,Orphanet,ORDO_261144,http://www.orpha.net/ORDO/Orphanet_261144,0
14q22q23 microdeletion syndrome,14q22q23 microdeletion syndrome,Orphanet,ORDO_264200,http://www.orpha.net/ORDO/Orphanet_264200,0
14q24.1q24.3 microdeletion syndrome,14q24.1q24.3 microdeletion syndrome,Orphanet,ORDO_401935,http://www.orpha.net/ORDO/Orphanet_401935,0
14q32 duplication syndrome,14q32 duplication syndrome,Orphanet,ORDO_488280,http://www.orpha.net/ORDO/Orphanet_488280,0
15-hydroxyprostaglandin dehydrogenase,15-hydroxyprostaglandin dehydrogenase,Orphanet,ORDO_168077,http://www.orpha.net/ORDO/Orphanet_168077,0
15q overgrowth syndrome,15q overgrowth syndrome,Orphanet,ORDO_314585,http://www.orpha.net/ORDO/Orphanet_314585,0
15q11.2 microdeletion syndrome,15q11.2 microdeletion syndrome,Orphanet,ORDO_261183,http://www.orpha.net/ORDO/Orphanet_261183,0
15q11q13 microduplication syndrome,15q11q13 microduplication syndrome,Orphanet,ORDO_238446,http://www.orpha.net/ORDO/Orphanet_238446,0
15q13.3 microdeletion syndrome,15q13.3 microdeletion syndrome,Orphanet,ORDO_199318,http://www.orpha.net/ORDO/Orphanet_199318,0
15q14 microdeletion syndrome,15q14 microdeletion syndrome,Orphanet,ORDO_261190,http://www.orpha.net/ORDO/Orphanet_261190,0
15q24 microdeletion syndrome,15q24 microdeletion syndrome,Orphanet,ORDO_94065,http://www.orpha.net/ORDO/Orphanet_94065,0
16p11.2p12.2 microdeletion syndrome,16p11.2p12.2 microdeletion syndrome,Orphanet,ORDO_261211,http://www.orpha.net/ORDO/Orphanet_261211,0
16p11.2p12.2 microduplication syndrome,16p11.2p12.2 microduplication syndrome,Orphanet,ORDO_261204,http://www.orpha.net/ORDO/Orphanet_261204,0
16p12.1p12.3 triplication syndrome,16p12.1p12.3 triplication syndrome,Orphanet,ORDO_485405,http://www.orpha.net/ORDO/Orphanet_485405,0
16p13.11 microdeletion syndrome,16p13.11 microdeletion syndrome,Orphanet,ORDO_261236,http://www.orpha.net/ORDO/Orphanet_261236,0
16p13.11 microduplication syndrome,16p13.11 microduplication syndrome,Orphanet,ORDO_261243,http://www.orpha.net/ORDO/Orphanet_261243,0
