name,label,definition
COL,Collaboration required,Requestor must agree to collaboration with the primary study investigator(s).
DS,Disease-specific research and clinical care,Use of the data must be related to [disease].
GRU,General research use and clinical care,"For health/medical/biomedical purposes, including the study of population origins or ancestry."
GS,Geographical restrictions,Use of the data is limited to within [geographic region].
GSO,Genetic studies only,"Use of the data is limited to genetic studies only (i.e., no phenotype-only research)."
HMB,Health/medical/biomedical research and clinical care,Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry.
IRB,Ethics approval required,Requestor must provide documentation of local IRB/REC approval.
IS,Institution-specific restrictions,Use of data is limited to use within an approved institution.
MOR,Publication moratorium/embargo,Requestor agrees not to publish results of studies until [date].
NMDS,No general methods research,"Use of the data includes methods development research (e.g., development of software or algorithms) ONLY within the bounds of other data use limitations."
NPU,Not-for-profit use only,Use of the data is limited to not-for-profit organizations.
NRES,No restrictions,No restrictions on data use.
POA,Population origins/ancestry research,Use of the data is limited to the study of population origins or ancestry.
PS,Project-specific restrictions,Use of data is limited to use within an approved project.
PUB,Publication required,Requestor agrees to make results of studies using the data available to the larger scientific community.
RS,Oher research-specific restrictions,"Use of the data is limited to studies of [research type] (e.g., pediatric research)."
RUO,Research use only,"Use of data is limited to research purposes (e.g., does not include its use in clinical care)."
TS,Time limits on use,Use of data is approved for [x months].
US,User-specific restrictions,Use of data is limited to use by approved users.
