tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Version,,,,,,,,,,,,3.6,EMA
Resources,,,,,,,,,,,,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies",EMA
Extended resources,Resources,,,,,,,,,,,,EMA
Data resources,Extended resources,,,,,,,,,,,Resources for data,EMA
RWE resources,Data resources,,,,,,,,,,,Real world data collections,EMA
Databanks,RWE resources,,,,,,,,,,,"Data collection from real world databases such as health records, registries",
Data sources,RWE resources,,,,,,,,,,,Collections of multiple data banks covering the same population,EMA
Resources,,overview,heading,,,,,,,,,General information,
Resources,,id,,1,TRUE,,,,,,,Internal identifier,EMA
Resources,,pid,,2,,,,,,,,Persistent identifier,EMA
Resources,,acronym,,,,,,,,,,Acronym if applicable,EMA
Resources,,name,text,3,TRUE,,,,,,,Name used in European projects,EMA
Data resources,,local name,,,,,,,,,,"If different from above, name in the national language",
RWE resources,,type,ontology_array,,,CatalogueOntologies,Datasource types,,,,,Which of the following families of databanks best describe this data source,EMA
RWE resources,,type other,text,,,,,,,,,"If other, describe the type of datasource",EMA
Data resources,,keywords,text,,,,,,,,,Keywords to increase findability of this resource. Try to use words that are not used in the description,
Resources,,website,hyperlink,,,,,,,,,Link to the website or homepage,EMA
Extended resources,,lead organisation,ref_array,,,SharedStaging,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,EMA
Extended resources,,additional organisations,ref_array,,,SharedStaging,Organisations,,,,,List the names of any additional organisations that contributed to the resource,EMA
Resources,,description,text,,,,,,,,,Short description,EMA
RWE resources,,data collection description,text,,,,,,,,,Describe the process of collection and recording of data.,EMA
RWE resources,,date established,date,,,,,,,,,"Date when the data source was first established. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",EMA
RWE resources,,start data collection,date,,,,,,,,,"The date when data started to be collected or extracted. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",EMA
RWE resources,,end data collection,date,,,,,,,,,"If data collection in the data source has ceased, on what date did new records last enter the data source?. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",EMA
RWE resources,,time span description,text,,,,,,,,,Description of time span,
Extended resources,,external identifiers,refback,,,,External identifiers,,resource,,,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)",EMA
Resources,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),EMA
Extended resources,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc.",
Data resources,,population,heading,,,,,,,,,Description of the population that can potentially be captured in the resource,
Data resources,,number of participants,int,,,,,,,,,Total number of individuals for which data is collected,EMA
