providerIdentifier,organisation,hasSubmittedData
053tsx367,Stichting Wetenschappelijk Onderzoek Verkeersveiligheid,False
00p5j4e25,Panteia,True
01mzc3z63,Research Institute for Knowledge Systems,False
041pa7h16,Waag Society,False
017hmby02,Verwey Jonker Institute,False
04xdr5k48,DDL Diagnostic Laboratory,True
038x9td67,Institute for Atomic and Molecular Physics,False
044hshx49,Centre for Human Drug Research,True
00bp9f906,Reade,True
01wfg6h04,Pharmo Institute,False
04s2z4291,Netherlands Forensic Institute,True
05ddg7v64,Nederlands Instituut Voor Zuivel Oonderzoek,True
04hmqap24,Netherlands Institute for Innovative Ocular Surgery,False
04fp8ns78,Netherlands Pharmacovigilance Centre Lareb,True
00f9tz983,National Institute for Subatomic Physics,False
02amggm23,Trimbos Institute,False
04zsytt76,Wise & Munro Learning Research,True
01deh9c76,Deltares,True
01gntjh03,Royal Netherlands Institute for Sea Research,False
01cesdt21,National Institute for Public Health and the Environment,False
041pa7h16,Waag Society,True
017hmby02,Verwey Jonker Institute,False
03w5dn804,Dutch Institute for Fundamental Energy Research,True
02yzsw326,Institute for Applied Environmental Economics,False
01m71fs94,Dutch Polymer Institute,True
01jases89,WaterCampus,False
02jybwh86,Stichting Technisch Centrum vd Keramische Industrie,True
05fcmfe52,Fryske Akademy,True
05he87q93,"NIOD Institute for War, Holocaust and Genocide Studies",True
00pavee11,CSG Centre for Society and the Life Sciences,True
00ma2r948,African Studies Centre,False
00dztkz65,Graduate School Experimental Plant Sciences,True
05kaxyq51,Meertens Institute,False
03hxrmn64,Institute for the Study of Education and Human Development,True
04tz9fd40,International Institute for Asian Studies,True
020hsr785,Nederlands Instituut voor Wetenschappelijke Informatiediensten,False
055pf8065,ERA-NET Plant Genomics,False
01bdv4312,Royal Netherlands Institute of Southeast Asian and Caribbean Studies,True
04z3wz653,Netherlands Institute for Advanced Study in the Humanities and Social Sciences,False
00zh5wn98,Netherlands Metabolomics Centre,False
01qmxzb47,Top Institute Pharma,False
053zwxr79,United Nations University – Maastricht Economic and Social Research Institute on Innovation and Technology,True
01yb10j39,Radboud Institute for Molecular Life Sciences,False
007bss615,Holland Chemistry,False
04beyjz13,European Tropical Forest Research Network,True
03124pm05,Netherlands Institute for the Study of Crime and Law Enforcement,False
03120tz42,Menasseh Ben Israel Institute,False
02dnvjf04,Netherlands Defence Academy,False
04cr37s66,Borstkanker Onderzoek Groep,True
00q8tg479,Brainclinics,False
02ymhq538,Instituut Verbeeten,True
04nae0247,Libra Revalidatie & Audiologie,False
0002exf56,Wetenschappelijk Onderzoek- en Documentatiecentrum,True
00jtnvh80,Netherlands Center for Occupational Diseases,True
03vf2kf90,Benelux Society of Phlebology,False
01qsyak13,Dianet,False
05d63m431,Carbohydrate Competence Center,True
008a4xs91,Alan Turing Institute Almere,False
04m8g8w48,Certe,False
01qyj4j90,CityLab010,False
04m8g8w48,Certe,True
01qyj4j90,CityLab010,True
022gvqh28,Amsterdam Institute for Addiction Research,True
0460chp58,National Initiative Brain & Cognition,False
00txvrc11,Leyden Academy on Vitality and Ageing,False
00xe2gs46,Stichting Artsenlaboratorium en Trombosedienst,False
03w498803,IVO Addiction Research Institute,False
01jbeyb43,SPRINT,True
01a0jnf88,Landsteiner Instituut,False
024h8zy86,Schothorst Feed Research,False
03agtxq40,Genetic Factors for Osteoporosis Consortium,True
0072ngz93,Nectaerra,False
04wf30j82,QuTech,False
008pnp284,Data Archiving and Networked Services,False
05bpzf670,Dutch Institute for Alcohol Policy,False
057tkar12,Understanding Childhood Arthritis Network,False
05ttdrn83,The Hague Centre for Strategic Studies,False
03h837345,Astronomisch Fysisch Onderzoek Nederland,False
00zq3ce72,QuSoft,False
02n9d1732,Max Planck University of Twente Center for Complex Fluid Dynamics,True
01yx4wq53,Delta Institute for Theoretical Physics,False
035jnav47,J.M. Burgerscentrum,False
05mggs005,PAMM,True
05ap1vt50,VSL Dutch Metrology Institute,False
0258apj61,EMGO Institute for Health and Care Research,False
04xa4c474,Energy Research Centre of the Netherlands,False
03es66g06,Leiden Observatory,True
05ck1h211,Roosevelt Institute for American Studies,True
023qc4a07,Hubrecht Institute for Developmental Biology and Stem Cell Research,True
00x7ekv49,Centrum Wiskunde & Informatica,False
00e7dfm13,Centre for Medical Systems Biology,False
0123yy056,Nederlandse Vereniging voor Tropische Geneeskunde,False
00fyemf28,Materials innovation institute,True
01x2d9f70,Amsterdam Neuroscience,False
05csn2x06,Netherlands Institute for Neuroscience,False
0360ybs31,Brightlands Materials Center,True
04kf5kc54,Netherlands Interdisciplinary Demographic Institute,False
00671me87,Max Planck Institute for Psycholinguistics,True
04hzejq44,Foundation for Liver and Gastrointestinal Research,True
04ts2h794,Darwin Center for Biogeosciences,False
04hzejq44,Foundation for Liver and Gastrointestinal Research,False
04ts2h794,Darwin Center for Biogeosciences,False
037n2rm85,Amsterdam Institute for Global Health and Development,True
04x6kq749,Huygens Institute for History and Culture of the Netherlands,True
00hjpwn75,Erasmus Optical Imaging Centre,False
013rctf62,Van Leeuwenhoek Centre for Advanced Microscopy,False
01g25jp36,Netherlands Institute of Ecology,False
030a5r161,Westerdijk Fungal Biodiversity Institute,False
04crnd335,Rathenau Instituut,False
03tkwyq76,FELIX Laboratory,False
01ezq2j76,Imec the Netherlands,False
03cv38k47,University Medical Center Groningen,False
05grdyy37,Amsterdam University Medical Centers,True
045nawc23,Tergooi,False
04rr42t68,Jeroen Bosch Ziekenhuis,False
03q4p1y48,Haga Hospital,False
050jqep38,Altrecht GGZ,False
01g21pa45,Amphia Ziekenhuis,True
01d3gh658,Central Military Hospital,True
042jn4x95,Public Health Service of Amsterdam,False
04tsjk726,Rijndam Revalidatiecentrum,True
051ae7717,Stichting Epilepsie Instellingen Nederland,False
045nawc23,Tergooi,False
04rr42t68,Jeroen Bosch Ziekenhuis,True
03q4p1y48,Haga Hospital,False
050jqep38,Altrecht GGZ,False
01g21pa45,Amphia Ziekenhuis,True
01d3gh658,Central Military Hospital,False
042jn4x95,Public Health Service of Amsterdam,True
0367sye10,Atrium Medisch Centrum Parkstad,False
0285m5c69,De Wever-Ziekenhuis,False
02hvsf428,Ziekenhuis Bethesda,False
01q750e89,Elkerliek Ziekenhuis,True
00bmv4102,Emma Kinderziekenhuis,True
023r6xh67,Ignatius Hospital,False
03r781319,Bronovo Hospital,False
02hjc7j46,Rotterdam Eye Hospital,False
047b5av97,Juliana Kinderziekenhuis,False
04vccmr34,Medisch Centrum Alkmaar,False
05275vm15,Gelre Hospitals,False
006xsx833,Geneeskundige en Gezondheidsdienst,False
05qfq7p37,St Clara Hospital,False
04gpfvy81,Elisabeth-TweeSteden Ziekenhuis,False
03bfc4534,Zuyderland Medisch Centrum,True
04grrp271,Ziekenhuis Groep Twente,False
0331x8t04,Zaans Medisch Centrum,False
02h6h5y05,Vincent Van Gogh Voor Geestelijke Gezondheidszorg,False
04f03nc30,Adelante,False
04tsjk726,Rijndam Revalidatiecentrum,False
051ae7717,Stichting Epilepsie Instellingen Nederland,False
059wkzj26,Maastro Clinic,False
01fmdar07,Borstkankervereniging Nederland,False
02babdz45,European Neuro Muscular Centre,False
03yew7168,Inter-Psy,True
0088fqs38,HealthNet TPO,False
05se6w266,Dutch Institute for Healthcare Improvement,False
01d02sf11,Onze Lieve Vrouwe Gasthuis,True
03wnqyy64,Netherlands Consortium for Healthy Ageing,False
046a2wj10,Isala,True
04pw0tr28,Refaja Ziekenhuis,True
02h4pw461,Accare,True
024pk8k39,Amalia Kinderziekenhuis,True
044jw3g30,Karakter,False
029cn2a76,GGZ Rivierduinen,True
00t93jm73,Lentis,False
03c0kv729,GGZ Friesland,False
0107rkg57,GGZ Drenthe,True
03g5hcd33,Netherlands Comprehensive Cancer Organisation,True
050xscb48,TropIQ Health Sciences,False
05p2mb588,GGZ Oost Brabant,False
002wh3v03,Parnassia Groep,True
0405b3553,Westfriesgasthuis,False
017rd0q69,Alrijne Ziekenhuis,False
01ypfvm35,Dr Kolbach Kliniek,False
0240vc720,Havenziekenhuis Rotterdam,False
01mj4k378,Medicort Sports & Orthopedic Care,False
02kqzrt08,Tandartspraktijk Bocht Oosterdiep,False
01a91k946,St.Jans Gasthuis Weert,True
031a73r17,Tolbrug Specialistische Revalidatie,False
05exe6d14,Franciscus Vlietland,True
05exe6d14,Franciscus Vlietland,False
02pfr9428,Waterlandziekenhuis,False
03bbe8e53,Kempenhaeghe,False
032dyj305,Basko Healthcare,False
00z1c3x88,Bergman Clinics,True
048jnwk41,De Viersprong,False
0180s3q15,Omring,False
00xnymf93,Militaire Geestelijke Gezondheidszorg,False
01aq0vw42,Ergotherapie Nederland,True
03gsbap19,Clinical Trial Center Maastricht,False
05fwtr092,Arbo Unie,True
048338z54,Radiotherapie Groep,True
0491zfs73,Arkin,True
052bwcm79,Capri Hartrevalidatie,False
0081aw162,Arq Psychotrauma Expert Group,False
00r83s510,Virenze,True
03tx1jp34,De Forensische Zorgspecialisten,False
05vgtss27,C Care Orthopedics,True
003n39s44,Apotheek Haagse Ziekenhuizen,True
010jxjq13,Dimence,False
014ef6110,Alexander Monro Ziekenhuis,False
041g5fr04,GGNet,False
04c4nbz33,AmbulanceZorg Rotterdam-Rijnmond,True
01zacdj41,Amstelland Fysiotherapie,False
04318hx17,Antes,False
01cwg1p04,"Foundation Centrum '45",False
01nsg2f90,Robuust,False
04c0z9s56,GGZ Delfland,True
05g52s684,Kijvelanden,True
01kmd8x15,Oostvaarderskliniek,True
00b3xjw51,GGZ Noord-Holland-Noord,False
01j0j2s89,Zeeuws Hand & Pols Centrum,True
042xwgm79,Fysio Schambergen,True
03x67yw88,Orthopedie Groot Eindhoven,False
02258bk69,Kliniek ViaSana,False
04ctmwv54,MeanderGroep Zuid-Limburg,False
01mgbxm56,Kliniek voor Parodontologie Rotterdam,False
057a13j38,Mediant Geestelijke Gezondheidszorg,False
03en95y37,Merem,False
04e53cd15,Nederlandse Obesitas Kliniek,False
043nwx769,Visio,True
02v1bhf02,Nederlandse Vereniging voor Acupunctuur,True
04dm9th67,Nederlandse Vereniging voor Heelkunde,False
00g49cs57,Mentaal Beter,False
059gs6g36,KSYOS TeleMedical Centre,True
01wjwqr61,Innofeet,False
04gv1ap07,Nederlandse Vereniging van Artsen voor Musculoskeletale Geneeskunde,False
01d2t6428,Laurens,False
04gk6ks26,Mondriaan GGZ,False
03exh6913,Podocentrum Alkmaar,False
01tm5k604,Treant Zorggroep,False
00bc64s87,Noordwest Ziekenhuisgroep,False
035thvx71,Proteion,False
02nr63q87,Psychotherapy & Movement,False
02fxhk514,Nederlandse Vereniging voor Plastische Chirurgie,True
02axh0j46,PsyQ,True
042yqf226,Sint Maartenskliniek,False
04ggjpc96,Reinier van Arkel,False
03m7jfm83,Sophia Revalidatie,True
058x0nn53,Centrum Oosterwal,True
01w48gk31,Lange Land Ziekenhuis,False
02wmkpz59,Sport Medisch Centrum Papendal,False
04jfsvb44,Star Medisch Diagnostisch Centrum,False
02cwrcd13,Stichting Gezondheidscentra Eindhoven,False
05g6kcv24,IZZ Zorgverzekering,False
01fw4cw44,Transcare,False
013e4mp15,Wantveld,False
03deszr39,Defence Against Cancer Foundation,False
03791x537,U-center,False
03vn3r884,Zorg in Ontwikkeling,True
0356ywp11,Stichting Rehabilitatie ‘92,True
0564c7p76,Verslavingszorg Noord Nederland,True
04phw6a61,de Posten,True
04gpeah71,Zorggroep Kans,False
03jftj094,Yulius,False
00vtp3850,Zorggroep Meander,False
0320z2q35,Zorggroep Sint Maarten,False
00d7qnf81,Zorg voor innoveren,False
03xhpsm17,Andros Mannenkliniek,False
04swy5694,Dokter Bosman,False
018hhzz02,Bouman GGZ,False
02zyr1680,Beatrix Kinderziekenhuis,True
03j5g5d55,De Kinderkliniek,True
02xmm1048,Willem-Alexander Kinderziekenhuis,False
0428k0n93,Hartwig Medical Foundation,False
00xjcve44,Center for Personalized Cancer Treatment,False
03sxzz606,Centrum voor Gynaecologische Oncologie Amsterdam,True
00cjb8p81,GGD Brabant-Zuidoost,True
0232dj695,Rotterdam Stroke Service,True
00qtxjg46,General Practitioners Research Institute,False
02rx3c188,Leidsche Rijn Julius Health Centers,True
04gbbq803,GGD Amsterdam,False
03xwgfg33,Ziekenhuis Rivierenland,True
00e8ykd54,Albert Schweitzer Ziekenhuis,False
05564wx43,Bravis Ziekenhuis,False
01n0rnc91,Maasstad Ziekenhuis,False
00y7tet25,ERN eUROGEN,False
04y89nz36,St. Anna Ziekenhuis,True
007xmz366,Sint Franciscus Gasthuis,False
02x6rcb77,Máxima Medisch Centrum,False
04r0k8112,Admiraal De Ruyter Ziekenhuis,False
055s7a943,ERN GUARD-Heart,False
01abkkw91,Ikazia Ziekenhuis,False
027vts844,Canisius-Wilhelmina Ziekenhuis,True
017b69w10,Martini Ziekenhuis,True
02d9ce178,Maastricht University Medical Centre,True
030gj2p37,Ziekenhuis Nij Smellinghe,False
05b5x0e19,Ziekenhuis Bernhoven,False
0208ges23,ERN RITA,True
032gggv33,ERN CRANIO,True
053njym08,Laurentius Ziekenhuis,False
05wg1m734,Radboud University Nijmegen Medical Centre,True
05s4nk876,Endo-ERN,False
02tqqrq23,Flevoziekenhuis,False
00vyr7c31,Rode Kruis Ziekenhuis,False
05w8df681,Deventer Ziekenhuis,False
03qh1f279,IJsselland Ziekenhuis,True
03pbpa834,ERN GENTURIS,False
02kjpb485,VieCuri Medisch Centrum,True
03862t386,Ziekenhuis Gelderse Vallei,True
03862t386,Ziekenhuis Gelderse Vallei,True
05e73v668,Ziekenhuis Amstelland,True
01nrpzj54,Diakonessenhuis hospital,False
04n1xa154,Meander Medisch Centrum,False
02h9n4675,ERNICA,False
05d7whc82,Spaarne Gasthuis,False
01qavk531,Catharina Ziekenhuis,False
03t4gr691,Academic Medical Center,False
05xvt9f17,Leiden University Medical Center,False
03r4m3349,Erasmus MC Cancer Institute,False
0585v6057,Erasmus MC Transplant Institute,False
047afsm11,Erasmus MC - Sophia Children’s Hospital,False
02aj7yc53,Princess Máxima Center,False
02dm2pb39,Netherlands Federation of University Medical Centres,True
05fqypv61,"Wilhelmina Children's Hospital",False
033xvax87,Medisch Spectrum Twente,False
03xqtf034,Netherlands Cancer Institute-Antoni van Leeuwenhoek Hospital,True
03b8ydc26,Ciro,True
02ykn5012,Nederlandse Vereniging voor Anesthesiologie,True
05h6np937,OCON Orthopedische kliniek,False
056cwr036,Health Holland,False
00v2tx290,Medisch Centrum Haaglanden,False
00q6h8f30,Amsterdam UMC Location VUmc,False
029e5ny19,Levvel,False
0283nw634,Medisch Centrum Leeuwarden,False
04cm78a24,Maaslandziekenhuis,False
0575yy874,University Medical Center Utrecht,True
004c11w41,Erasmus MC Hart en Vaat Instituut,False
018906e22,Erasmus MC,False
04qw24q55,Wageningen University & Research,False
012p63287,University of Groningen,False
02jz4aj89,Maastricht University,False
02e2c7k09,Delft University of Technology,True
006hf6230,University of Twente,True
02c2kyt77,Eindhoven University of Technology,True
04b8v1s79,Tilburg University,False
04m5bjk54,Instituut voor de Nederlandse Taal,False
005t9n460,Saxion University of Applied Sciences,True
018dfmf50,Open University in the Netherlands,True
05mv4rb84,Medicines Evaluation Board,False
036k3ee35,Windesheim Flevoland,False
01jcjpa26,Reinwardt Academie,False
0449h4696,Graduate School Neurosciences Amsterdam Rotterdam,False
0175ya539,Royal Dutch Kentalis,False
0183vre95,TiFN,False
030deh410,IHE Delft Institute for Water Education,True
04x5wnb75,Academic Center for Dentistry Amsterdam,False
01xpgs822,Vilentum University of applied sciences,False
018bzp792,University of the Arts Utrecht,False
00y2z2s03,Amsterdam University of Applied Sciences,True
041deym60,Center for Technology & Innovation Management,False
015d5s513,Avans University of Applied Sciences,True
01jwcme05,Fontys University of Applied Sciences,True
047cqa323,HZ University of Applied Sciences,False
03cfsyg37,Inholland University of Applied Sciences,True
05p706d77,HAS University of Applied Sciences,False
04484bb06,International Research Universities Network,False
016w23120,Protestant Theological University,False
04mfj5474,NHTV Breda University of Applied Sciences,False
04x99xv31,Stoas University of Applied Sciences,True
04w5ec154,University of Humanistic Studies,False
020z55s31,Wittenborg University,False
026rmnx29,Via Vinci Academy,True
04zmc0e16,Windesheim University of Applied Sciences,True
01p232496,Fons Vitae Lyceum,False
05dbptw67,Netherlands Graduate School of Linguistics,True
02gd5t807,Christelijk Gymnasium Utrecht,False
02rdwwh89,Christelijke Scholengemeenschap Walcheren,True
03pdfag88,Marecollege,False
056k6yz11,Hogeschool de Kempel,False
0230zs006,Hogeschool iPabo,False
0500gea42,HAN University of Applied Sciences,True
02mdbnd10,Van Hall Larenstein University of Applied Sciences,True
03bkq6a07,Research School for Medieval Studies,True
03wyamy27,Huizinga Instituut,True
039ryse59,Ichthus College,True
008za0b72,Openbare Scholengemeenschap De Hogeberg,False
01dn09e98,Terra,True
030ms0k96,Alfa College,False
04jrdcy74,Dutch Network of Systems and Control,False
008za0b72,Openbare Scholengemeenschap De Hogeberg,False
01dn09e98,Terra,False
030ms0k96,Alfa College,False
04jrdcy74,Dutch Network of Systems and Control,False
0567f1w19,Netherlands Institute for Catalysis Research,False
05rxmpb48,BC Broekhin Roermond,False
002g6sj22,Bertrand Russell College,False
