tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description
Contacts,,,,,,,,,,,,
Publications,,,,,,,,,,,,Publications following bibtex format
Resources,,,,,,,,,,,,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies"
Cohorts,Resources,,,,,,,,,,,Group of individuals sharing a defining demographic characteristic
Contributions,,,,,,,,,,,,Persons that contributed to the creation of a resource
Partners,,,,,,,,,,,,Institutions that partnered in the creation of a resource
Documentation,,,,,,,,,,,,Documentation attached to a resource
Subcohorts,,,,,,,,,,,,Subcohorts defined for this resource
CollectionEvents,,,,,,,,,,,,Definition of a data collection event for a resource
Resources,,overview,heading,,,,,,,,,General information about this resource
Resources,,pid,,1,true,,,,,,,Persistent identifier for this resource
Resources,,name,,2,true,,,,,,,Name of used in European projects
Resources,,localName,,,,,,,,,,"If different from above, name in the national language"
Resources,,acronym,,,,,,,,,,Resource acronym
Resources,,website,,,,,,,,,,Link to the website of this resource
Resources,,description,text,,,,,,,,,Short description of this resource
Resources,,keywords,text,,,,,,,,,Keywords to increase findability of this resource. Try to use words that are not used in the description.
Resources,,externalIdentifiers,,,,,,,,,,External identifier for this resource
Cohorts,,type,ref_array,,,UMCG,ResourceTypes,,,,,"Type of resource, e.g. registry, cohort, biobank"
Cohorts,,typeOther,,,,,,,,,,"If other, describe the type of resource"
Cohorts,,design,ref,,,UMCG,CohortDesigns,,,,,"The study design of this cohort, e.g. cross-sectional or longitudinal"
Cohorts,,collectionType,ref_array,,,UMCG,CollectionTypes,,,,,"The data collection type of this cohort, e.g. retrospective or prospective; if both, select both"
Resources,,institution,ref_array,,,UMCG,Institutions,,,,,Institution providing and/or coordinating access to this resource
Resources,,logo,file,,,,,,,,,Logo for use on homepages etc.
Resources,,contact,ref_array,,,,Contacts,,,,,Primary contact person for this resource
Resources,,population,heading,,,,,,,,,Description of the population that can potentially be captured in the resource
Resources,,numberOfParticipants,int,,,,,,,,,Total number of individuals for which data is collected
Resources,,numberOfParticipantsWithSamples,int,,,,,,,,,Number of individuals for which samples are collected
Resources,,regions,ontology_array,,,UMCG,Regions,,,,,Countries and geographical regions where data from this resource originate from
Resources,,populationAgeGroups,ontology_array,,,UMCG,AgeGroups,,,,,Age groups of the participants of this resource
Cohorts,,inclusionCriteria,text,,,,,,,,,Other inclusion criteria applied to the participants of this resource
Resources,,startYear,int,,,,,,,,,Year when first data was collected
Resources,,endYear,int,,,,,,,,,Year when last data was collected. Leave empty if collection is ongoing
Cohorts,,subcohorts,refback,,,,Subcohorts,,resource,,,List of subcohorts or subpopulations for this resource
Resources,,contents,heading,,,,,,,,,Data model and contents
Cohorts,,collectionEvents,refback,,,,CollectionEvents,,resource,,,List of collection events defined for this resource
Cohorts,,access,heading,,,,,,,,,
Cohorts,,dataAccessConditions,ontology_array,,,UMCG,Conditions,,,,,Codes defining data access terms and use conditions
